"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"US REPRESENTATIVE 4TH DISTRICT (REP) (Vote For 1)","Ron Estes","REP",2770,100.00,22982,3972,41,41,"0","0"
2,"US REPRESENTATIVE 4TH DISTRICT (DEM) (Vote For 1)","Esau Freeman","DEM",689,100.00,22982,3972,41,41,"0","0"
3,"KS Senate - District 31 (REP) (Vote For 1)","Stephen Owens","REP",2694,100.00,22982,3972,41,41,"0","0"
4,"KS Senate - District 31 (DEM) (Vote For 1)","Jason Miller","DEM",735,100.00,22982,3972,41,41,"0","0"
5,"STATE REPRESENTATIVE 72ND DIST (REP) (Vote For 1)","Avery Anderson","REP",1653,100.00,14752,2404,22,22,"0","0"
6,"STATE REPRESENTATIVE 72ND DIST (DEM) (Vote For 1)","Heidi Hoskinson","DEM",425,100.00,14752,2404,22,22,"0","0"
7,"STATE REPRESENTATIVE 74TH DIST (REP) (Vote For 1)","Mike King","REP",1060,100.00,8230,1568,19,19,"0","0"
8,"STATE REPRESENTATIVE 74TH DIST (DEM) (Vote For 1)","Jenna Ratzlaff","DEM",287,100.00,8230,1568,19,19,"0","0"
9,"COUNTY COMMISSIONER-2nd DIST (REP) (Vote For 1)","Terry Scott","REP",571,55.60,7646,1478,8,8,"0","0"
10,"COUNTY COMMISSIONER-2nd DIST (REP) (Vote For 1)","Lance Gormley","REP",456,44.40,7646,1478,8,8,"0","0"
11,"COUNTY COMMISSIONER-2nd DIST (DEM) (Vote For 1)","Mark Jenkins","DEM",384,100.00,7646,1478,8,8,"0","0"
12,"COUNTY COMMISSIONER-3rd DIST (REP) (Vote For 1)","Don Schroeder","REP",685,58.10,7763,1365,19,19,"0","0"
13,"COUNTY COMMISSIONER-3rd DIST (REP) (Vote For 1)","Kevin Pouch","REP",494,41.90,7763,1365,19,19,"0","0"
14,"COUNTY COMMISSIONER-3rd DIST (DEM) (Vote For 1)","Richard C. McDiffett","DEM",137,100.00,7763,1365,19,19,"0","0"
15,"COUNTY CLERK (REP) (Vote For 1)","Rick Piepho","REP",2654,100.00,22982,3972,41,41,"0","0"
16,"COUNTY CLERK (DEM) (Vote For 1)","Write-in","DEM",32,100.00,22982,3972,41,41,"0","0"
17,"COUNTY TREASURER (REP) (Vote For 1)","Amy Perkins","REP",2222,70.90,22982,3972,41,41,"0","0"
18,"COUNTY TREASURER (REP) (Vote For 1)","Becky Fields","REP",912,29.10,22982,3972,41,41,"0","0"
19,"COUNTY TREASURER (DEM) (Vote For 1)","Mark Llamas","DEM",660,100.00,22982,3972,41,41,"0","0"
20,"REGISTER OF DEEDS (REP) (Vote For 1)","Raquel R. Langley","REP",2684,100.00,22982,3972,41,41,"0","0"
21,"REGISTER OF DEEDS (DEM) (Vote For 1)","Write-in","DEM",13,100.00,22982,3972,41,41,"0","0"
22,"COUNTY ATTORNEY (REP) (Vote For 1)","Heather L. Figger","REP",2588,100.00,22982,3972,41,41,"0","0"
23,"COUNTY ATTORNEY (DEM) (Vote For 1)","Write-in","DEM",15,100.00,22982,3972,41,41,"0","0"
24,"COUNTY SHERIFF (REP) (Vote For 1)","Chad E. Gay","REP",2908,100.00,22982,3972,41,41,"0","0"
25,"COUNTY SHERIFF (DEM) (Vote For 1)","Write-in","DEM",20,100.00,22982,3972,41,41,"0","0"
26,"ALTA TOWNSHIP TRUSTEE (REP) (Vote For 1)","Gregg Ratzlaff","REP",23,100.00,173,27,1,1,"0","0"
27,"ALTA TOWNSHIP TRUSTEE (DEM) (Vote For 1)","Write-in","DEM",0,0.00,173,27,1,1,"0","0"
28,"ALTA TOWNSHIP TREASURER (REP) (Vote For 1)","Kelton (Kelly) Pitts","REP",22,100.00,173,27,1,1,"0","0"
29,"ALTA TOWNSHIP TREASURER (DEM) (Vote For 1)","Write-in","DEM",0,0.00,173,27,1,1,"0","0"
