County,Precinct,Race,Candidate,Party,Votes,VTD
ALLEN,Carlyle Township,Attorney General,"Swain, Sarah G. ",Democratic,31,000010
ALLEN,Carlyle Township,Attorney General,"Schmidt, Derek  ",Republican,125,000010
ALLEN,Cottage Grove Township,Attorney General,"Swain, Sarah G. ",Democratic,23,000020
ALLEN,Cottage Grove Township,Attorney General,"Schmidt, Derek  ",Republican,76,000020
ALLEN,Deer Creek Township,Attorney General,"Swain, Sarah G. ",Democratic,8,000030
ALLEN,Deer Creek Township,Attorney General,"Schmidt, Derek  ",Republican,40,000030
ALLEN,East Elm,Attorney General,"Swain, Sarah G. ",Democratic,42,000040
ALLEN,East Elm,Attorney General,"Schmidt, Derek  ",Republican,153,000040
ALLEN,Geneva Township,Attorney General,"Swain, Sarah G. ",Democratic,10,000050
ALLEN,Geneva Township,Attorney General,"Schmidt, Derek  ",Republican,43,000050
ALLEN,Humboldt Township,Attorney General,"Swain, Sarah G. ",Democratic,25,00006A
ALLEN,Humboldt Township,Attorney General,"Schmidt, Derek  ",Republican,91,00006A
ALLEN,Humboldt Township Rural Enclave,Attorney General,"Swain, Sarah G. ",Democratic,0,00006B
ALLEN,Humboldt Township Rural Enclave,Attorney General,"Schmidt, Derek  ",Republican,0,00006B
ALLEN,Humboldt Township Split,Attorney General,"Swain, Sarah G. ",Democratic,0,00006C
ALLEN,Humboldt Township Split,Attorney General,"Schmidt, Derek  ",Republican,0,00006C
ALLEN,Humboldt Ward 1,Attorney General,"Swain, Sarah G. ",Democratic,112,000070
ALLEN,Humboldt Ward 1,Attorney General,"Schmidt, Derek  ",Republican,184,000070
ALLEN,Humboldt Ward 2,Attorney General,"Swain, Sarah G. ",Democratic,90,000080
ALLEN,Humboldt Ward 2,Attorney General,"Schmidt, Derek  ",Republican,251,000080
ALLEN,Iola Ward 1,Attorney General,"Swain, Sarah G. ",Democratic,105,000090
ALLEN,Iola Ward 1,Attorney General,"Schmidt, Derek  ",Republican,260,000090
ALLEN,Iola Ward 2,Attorney General,"Swain, Sarah G. ",Democratic,109,00010A
ALLEN,Iola Ward 2,Attorney General,"Schmidt, Derek  ",Republican,366,00010A
ALLEN,Iola Ward 2 Exclave,Attorney General,"Swain, Sarah G. ",Democratic,0,00010B
ALLEN,Iola Ward 2 Exclave,Attorney General,"Schmidt, Derek  ",Republican,0,00010B
ALLEN,Iola Ward 3,Attorney General,"Swain, Sarah G. ",Democratic,143,000110
ALLEN,Iola Ward 3,Attorney General,"Schmidt, Derek  ",Republican,245,000110
ALLEN,Iola Ward 4,Attorney General,"Swain, Sarah G. ",Democratic,133,000120
ALLEN,Iola Ward 4,Attorney General,"Schmidt, Derek  ",Republican,261,000120
ALLEN,Marmaton Township,Attorney General,"Swain, Sarah G. ",Democratic,83,000140
ALLEN,Marmaton Township,Attorney General,"Schmidt, Derek  ",Republican,217,000140
ALLEN,North Elsmore,Attorney General,"Swain, Sarah G. ",Democratic,15,000150
ALLEN,North Elsmore,Attorney General,"Schmidt, Derek  ",Republican,57,000150
ALLEN,North Iola Part A,Attorney General,"Swain, Sarah G. ",Democratic,26,00016A
ALLEN,North Iola Part A,Attorney General,"Schmidt, Derek  ",Republican,89,00016A
ALLEN,North Iola Part A Rural Enclave,Attorney General,"Swain, Sarah G. ",Democratic,0,00016B
ALLEN,North Iola Part A Rural Enclave,Attorney General,"Schmidt, Derek  ",Republican,0,00016B
ALLEN,North Iola Part B,Attorney General,"Swain, Sarah G. ",Democratic,0,00016C
ALLEN,North Iola Part B,Attorney General,"Schmidt, Derek  ",Republican,0,00016C
ALLEN,Osage Township,Attorney General,"Swain, Sarah G. ",Democratic,24,000170
ALLEN,Osage Township,Attorney General,"Schmidt, Derek  ",Republican,70,000170
ALLEN,Salem Township,Attorney General,"Swain, Sarah G. ",Democratic,26,000180
ALLEN,Salem Township,Attorney General,"Schmidt, Derek  ",Republican,87,000180
ALLEN,South Elsmore,Attorney General,"Swain, Sarah G. ",Democratic,18,000190
ALLEN,South Elsmore,Attorney General,"Schmidt, Derek  ",Republican,44,000190
ALLEN,South Iola,Attorney General,"Swain, Sarah G. ",Democratic,41,00020A
ALLEN,South Iola,Attorney General,"Schmidt, Derek  ",Republican,193,00020A
ALLEN,South Iola Enclave,Attorney General,"Swain, Sarah G. ",Democratic,0,00020B
ALLEN,South Iola Enclave,Attorney General,"Schmidt, Derek  ",Republican,0,00020B
ALLEN,West Elm,Attorney General,"Swain, Sarah G. ",Democratic,118,000210
ALLEN,West Elm,Attorney General,"Schmidt, Derek  ",Republican,304,000210
ALLEN,Logan Township S12,Attorney General,"Swain, Sarah G. ",Democratic,18,120020
ALLEN,Logan Township S12,Attorney General,"Schmidt, Derek  ",Republican,72,120020
ALLEN,Logan Township S15,Attorney General,"Swain, Sarah G. ",Democratic,0,120030
ALLEN,Logan Township S15,Attorney General,"Schmidt, Derek  ",Republican,0,120030
ANDERSON,Garnett Precinct 1,Attorney General,"Swain, Sarah G. ",Democratic,115,00002A
ANDERSON,Garnett Precinct 1,Attorney General,"Schmidt, Derek  ",Republican,283,00002A
ANDERSON,Garnett Precinct 1 Exclave,Attorney General,"Swain, Sarah G. ",Democratic,0,00002B
ANDERSON,Garnett Precinct 1 Exclave,Attorney General,"Schmidt, Derek  ",Republican,0,00002B
ANDERSON,Garnett Precinct 2,Attorney General,"Swain, Sarah G. ",Democratic,99,000030
ANDERSON,Garnett Precinct 2,Attorney General,"Schmidt, Derek  ",Republican,230,000030
ANDERSON,Garnett Precinct 3,Attorney General,"Swain, Sarah G. ",Democratic,78,000040
ANDERSON,Garnett Precinct 3,Attorney General,"Schmidt, Derek  ",Republican,187,000040
ANDERSON,Garnett Precinct 4,Attorney General,"Swain, Sarah G. ",Democratic,19,000050
ANDERSON,Garnett Precinct 4,Attorney General,"Schmidt, Derek  ",Republican,32,000050
ANDERSON,Indian Creek Township,Attorney General,"Swain, Sarah G. ",Democratic,7,000080
ANDERSON,Indian Creek Township,Attorney General,"Schmidt, Derek  ",Republican,43,000080
ANDERSON,Lincoln Township,Attorney General,"Swain, Sarah G. ",Democratic,18,000110
ANDERSON,Lincoln Township,Attorney General,"Schmidt, Derek  ",Republican,70,000110
ANDERSON,Monroe Township,Attorney General,"Swain, Sarah G. ",Democratic,40,00014A
ANDERSON,Monroe Township,Attorney General,"Schmidt, Derek  ",Republican,98,00014A
ANDERSON,Putnam Township,Attorney General,"Swain, Sarah G. ",Democratic,48,000170
ANDERSON,Putnam Township,Attorney General,"Schmidt, Derek  ",Republican,79,000170
ANDERSON,Reeder Township,Attorney General,"Swain, Sarah G. ",Democratic,14,000180
ANDERSON,Reeder Township,Attorney General,"Schmidt, Derek  ",Republican,66,000180
ANDERSON,Washington Township,Attorney General,"Swain, Sarah G. ",Democratic,17,000210
ANDERSON,Washington Township,Attorney General,"Schmidt, Derek  ",Republican,90,000210
ANDERSON,Welda Township,Attorney General,"Swain, Sarah G. ",Democratic,38,000220
ANDERSON,Welda Township,Attorney General,"Schmidt, Derek  ",Republican,80,000220
ANDERSON,Lone Elm Township,Attorney General,"Swain, Sarah G. ",Democratic,16,130010
ANDERSON,Lone Elm Township,Attorney General,"Schmidt, Derek  ",Republican,71,130010
ANDERSON,Ozark Township,Attorney General,"Swain, Sarah G. ",Democratic,41,130020
ANDERSON,Ozark Township,Attorney General,"Schmidt, Derek  ",Republican,168,130020
ANDERSON,Rich Township,Attorney General,"Swain, Sarah G. ",Democratic,29,130030
ANDERSON,Rich Township,Attorney General,"Schmidt, Derek  ",Republican,98,130030
ANDERSON,Walker Township,Attorney General,"Swain, Sarah G. ",Democratic,77,130040
ANDERSON,Walker Township,Attorney General,"Schmidt, Derek  ",Republican,160,130040
ANDERSON,Westphalia Township,Attorney General,"Swain, Sarah G. ",Democratic,24,130050
ANDERSON,Westphalia Township,Attorney General,"Schmidt, Derek  ",Republican,92,130050
ANDERSON,Jackson Township,Attorney General,"Swain, Sarah G. ",Democratic,37,140010
ANDERSON,Jackson Township,Attorney General,"Schmidt, Derek  ",Republican,136,140010
ATCHISON,Atchison Precinct 1,Attorney General,"Swain, Sarah G. ",Democratic,81,000010
ATCHISON,Atchison Precinct 1,Attorney General,"Schmidt, Derek  ",Republican,99,000010
ATCHISON,Atchison Precinct 2 East,Attorney General,"Swain, Sarah G. ",Democratic,91,000020
ATCHISON,Atchison Precinct 2 East,Attorney General,"Schmidt, Derek  ",Republican,145,000020
ATCHISON,Atchison Precinct 2 West,Attorney General,"Swain, Sarah G. ",Democratic,100,000030
ATCHISON,Atchison Precinct 2 West,Attorney General,"Schmidt, Derek  ",Republican,127,000030
ATCHISON,Atchison Precinct 3 East,Attorney General,"Swain, Sarah G. ",Democratic,183,000040
ATCHISON,Atchison Precinct 3 East,Attorney General,"Schmidt, Derek  ",Republican,274,000040
ATCHISON,Atchison Precinct 3 West,Attorney General,"Swain, Sarah G. ",Democratic,298,00005A
ATCHISON,Atchison Precinct 3 West,Attorney General,"Schmidt, Derek  ",Republican,394,00005A
ATCHISON,Atchison Precinct 4,Attorney General,"Swain, Sarah G. ",Democratic,206,00006A
ATCHISON,Atchison Precinct 4,Attorney General,"Schmidt, Derek  ",Republican,177,00006A
ATCHISON,Atchison Precinct 4 Exclave A,Attorney General,"Swain, Sarah G. ",Democratic,0,00006B
ATCHISON,Atchison Precinct 4 Exclave A,Attorney General,"Schmidt, Derek  ",Republican,0,00006B
