County,Precinct,Race,District,Candidate,Party,Votes,VTD
SHAWNEE,48 Cheyenne,Kansas House of Representatives,57,"Alcala, John",Democratic,374,
SHAWNEE,Ward 5 Precinct 11,Kansas House of Representatives,57,"Alcala, John",Democratic,315,
SHAWNEE,Ward 2 Precinct 10,Kansas House of Representatives,57,"Alcala, John",Democratic,290,
SHAWNEE,45 Peck & 17 Croco *,Kansas House of Representatives,57,"Alcala, John",Democratic,242,
SHAWNEE,Ward 2 Precinct 1,Kansas House of Representatives,57,"Alcala, John",Democratic,240,
SHAWNEE,Ward 1 Precinct 4,Kansas House of Representatives,57,"Alcala, John",Democratic,227,
SHAWNEE,Ward 2 Precinct 9,Kansas House of Representatives,57,"Alcala, John",Democratic,223,
SHAWNEE,46 East Peck,Kansas House of Representatives,57,"Alcala, John",Democratic,221,
SHAWNEE,Ward 2 Precinct 2,Kansas House of Representatives,57,"Alcala, John",Democratic,204,
SHAWNEE,Ward 4 Precinct 2,Kansas House of Representatives,57,"Alcala, John",Democratic,202,
SHAWNEE,Ward 2 Precinct 3,Kansas House of Representatives,57,"Alcala, John",Democratic,197,
SHAWNEE,Ward 1 Precinct 2,Kansas House of Representatives,57,"Alcala, John",Democratic,186,
SHAWNEE,Ward 2 Precinct 4,Kansas House of Representatives,57,"Alcala, John",Democratic,186,
SHAWNEE,Ward 4 Precinct 1,Kansas House of Representatives,57,"Alcala, John",Democratic,184,
SHAWNEE,Ward 2 Precinct 5,Kansas House of Representatives,57,"Alcala, John",Democratic,177,
SHAWNEE,Ward 5 Precinct 14,Kansas House of Representatives,57,"Alcala, John",Democratic,172,
SHAWNEE,Ward 2 Precinct 11,Kansas House of Representatives,57,"Alcala, John",Democratic,162,
SHAWNEE,Ward 1 Precinct 3,Kansas House of Representatives,57,"Alcala, John",Democratic,160,
SHAWNEE,Ward 2 Precinct 6,Kansas House of Representatives,57,"Alcala, John",Democratic,155,
SHAWNEE,Ward 4 Precinct 3,Kansas House of Representatives,57,"Alcala, John",Democratic,136,
SHAWNEE,Ward 1 Precinct 1,Kansas House of Representatives,57,"Alcala, John",Democratic,133,
SHAWNEE,Ward 2 Precinct 7,Kansas House of Representatives,57,"Alcala, John",Democratic,131,
SHAWNEE,Ward 2 Precinct 8,Kansas House of Representatives,57,"Alcala, John",Democratic,129,
SHAWNEE,Ward 3 Precinct 10,Kansas House of Representatives,57,"Alcala, John",Democratic,26,
DOUGLAS,Big Springs Township,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,96,10
DOUGLAS,Clinton Township,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,248,30
DOUGLAS,Lawrence Precinct 06,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,513,00012A
DOUGLAS,Lawrence Precinct 13,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,628,190
DOUGLAS,Lawrence Precinct 20,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,938,260
DOUGLAS,Lawrence Precinct 41 Exclave A,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,00048B
DOUGLAS,Lawrence Precinct 41 Exclave C,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,00048D
DOUGLAS,Lawrence Precinct 43 Part 1,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,366,00050A
DOUGLAS,Lawrence Precinct 43 Part 3,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,00050C
DOUGLAS,Lawrence Precinct 45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,769,00052A
DOUGLAS,Lawrence Precinct 49,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,904,560
DOUGLAS,Grant Township S2 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,19,120040
DOUGLAS,Grant Township S3 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,97,120050
DOUGLAS,Kawaka Township S19,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,430,120070
DOUGLAS,Kawaka Township S2,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,85,120080
DOUGLAS,Lawrence Precinct 41 S2 H45 A,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,12021A
DOUGLAS,Lawrence Precinct 41 S2 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,120210
DOUGLAS,Lawrence Precinct 41 S3 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,1,120230
DOUGLAS,Lawrence Precinct 42 Part 1 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,255,120250
DOUGLAS,Lawrence Precinct 44 H45 A,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,12028A
DOUGLAS,Lawrence Precinct 44 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,348,120280
DOUGLAS,Lawrence Precinct 46 S19,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,120290
DOUGLAS,Lawrence Precinct 46 S3,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,1071,120300
DOUGLAS,Lecompton Township Precinct 57 S19,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,71,120310
DOUGLAS,Lecompton Township Precinct 57 S2,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,275,120320
DOUGLAS,Marion Township Precinct 59 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,164,120330
DOUGLAS,North Wakarusa Precinct 64 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,156,120350
DOUGLAS,West Wakarusa Precinct 66 Part 1 S19 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,134,120400
DOUGLAS,West Wakarusa Precinct 66 Part 1 S19 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,120401
DOUGLAS,West Wakarusa Precinct 66 Part 1 S3 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,3,120420
DOUGLAS,Willow Springs Township S19 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,221,120430
DOUGLAS,Willow Springs Township S3 H45,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,42,120450
DOUGLAS,Lawrence Precinct 75,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,160010
DOUGLAS,Lawrence Precinct 76,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,29,160020
DOUGLAS,Lawrence Precinct 42 Part 2,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,400010
DOUGLAS,Lawrence Precinct 42 Part 3,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,400080
DOUGLAS,West Wakarusa Precinct 66 Part 2,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,400110
DOUGLAS,Lawrence Precinct 68,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,900010
DOUGLAS,Lawrence Precinct 70,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,5,900040
DOUGLAS,Lawrence Precinct 71,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,778,900050
DOUGLAS,Lawrence Precinct 72,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,900060
DOUGLAS,Lawrence Precinct 73,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,900070
DOUGLAS,Lawrence Precinct 74,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,821,900080
DOUGLAS,Lawrence Precinct 43 Part 2,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,582,900090
DOUGLAS,Lawrence Precinct 42 Part 5,Kansas House of Representatives,45,"Amyx, Mike  ",Democratic,0,900170
BARTON,Albion Township,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,20,10
BARTON,Buffalo Township,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,160,30
BARTON,Eureka Township,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,37,80
BARTON,Great Bend City Ward 1 Precinct 1,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,214,00011A
BARTON,Great Bend City Ward 1 Precinct 1 Courthouse,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,00011B
BARTON,Great Bend City Ward 1 Precinct 2,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,365,120
BARTON,Great Bend City Ward 1 Precinct 3,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,289,130
BARTON,Great Bend City Ward 2 Precinct 1,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,489,140
BARTON,Great Bend City Ward 2 Precinct 2,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,464,150
BARTON,Great Bend City Ward 2 Precinct 3,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,587,160
BARTON,Great Bend City Ward 3 Precinct 1,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,314,170
BARTON,Great Bend City Ward 3 Precinct 2,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,343,180
BARTON,Great Bend City Ward 3 Precinct 3,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,384,00019A
BARTON,Great Bend City Ward 3 Precinct 3 Exclave,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,00019B
BARTON,Great Bend City Ward 4 Precinct 1,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,178,200
BARTON,Great Bend City Ward 4 Precinct 2,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,150,210
BARTON,Great Bend City Ward 4 Precinct 3,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,60,00022A
BARTON,Great Bend City Ward 4 Precinct 3 Exclave A,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,00022B
BARTON,Great Bend City Ward 4 Precinct 3 Exclave B,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,00022C
BARTON,Great Bend City Ward 4 Precinct 3 Exclave C,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,00022D
BARTON,Great Bend City Ward 4 Precinct 3 Exclave D1,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,00022E
BARTON,Great Bend City Ward 4 Precinct 3 Exclave D2,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,00022F
BARTON,Great Bend Township Part A,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,430,00023A
BARTON,Great Bend Township Part B,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,85,00023B
BARTON,Great Bend Township,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,00023C
BARTON,Hoisington Ward 1,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,198,240
BARTON,Hoisington Ward 2,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,238,250
BARTON,Hoisington Ward 3,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,191,260
BARTON,Hoisington Ward 4,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,183,00027A
BARTON,Hoisington Ward 4 Exclave,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,00027B
BARTON,Liberty Township,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,94,300
BARTON,North Homestead Township,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,51,320
BARTON,South Bend Township,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,225,340
BARTON,South Homestead Township,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,126,350
BARTON,Hoisington Landfill,Kansas House of Representatives,112,"Arnberger, Tory Marie ",Republican,0,900010
JACKSON,Adrian Township,Kansas House of Representatives,61,"Awerkamp, Francis  ",Republican,57,10
JACKSON,Banner Township,Kansas House of Representatives,61,"Awerkamp, Francis  ",Republican,138,20
JACKSON,Cedar Township,Kansas House of Representatives,61,"Awerkamp, Francis  ",Republican,429,30
JACKSON,Douglas Township,Kansas House of Representatives,61,"Awerkamp, Francis  ",Republican,783,40
JACKSON,Franklin Township,Kansas House of Representatives,61,"Awerkamp, Francis  ",Republican,335,50
JACKSON,Garfield Township,Kansas House of Representatives,61,"Awerkamp, Francis  ",Republican,204,60
JACKSON,Grant Township,Kansas House of Representatives,61,"Awerkamp, Francis  ",Republican,65,70
JACKSON,Holton Ward 1,Kansas House of Representatives,61,"Awerkamp, Francis  ",Republican,269,00008A
JACKSON,Holton Ward 1 Exclave City Lake,Kansas House of Representatives,61,"Awerkamp, Francis  ",Republican,0,00008B
