County,Precinct,Race,Candidate,Party,Votes,VTD
ALLEN,Carlyle Township,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,35,000010
ALLEN,Carlyle Township,Secretary of State,"Hodgkinson, Rob  ",Libertarian,5,000010
ALLEN,Carlyle Township,Secretary of State,"Schwab, Scott  ",Republican,116,000010
ALLEN,Cottage Grove Township,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,26,000020
ALLEN,Cottage Grove Township,Secretary of State,"Hodgkinson, Rob  ",Libertarian,4,000020
ALLEN,Cottage Grove Township,Secretary of State,"Schwab, Scott  ",Republican,67,000020
ALLEN,Deer Creek Township,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,8,000030
ALLEN,Deer Creek Township,Secretary of State,"Hodgkinson, Rob  ",Libertarian,3,000030
ALLEN,Deer Creek Township,Secretary of State,"Schwab, Scott  ",Republican,35,000030
ALLEN,East Elm,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,50,000040
ALLEN,East Elm,Secretary of State,"Hodgkinson, Rob  ",Libertarian,8,000040
ALLEN,East Elm,Secretary of State,"Schwab, Scott  ",Republican,133,000040
ALLEN,Geneva Township,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,11,000050
ALLEN,Geneva Township,Secretary of State,"Hodgkinson, Rob  ",Libertarian,2,000050
ALLEN,Geneva Township,Secretary of State,"Schwab, Scott  ",Republican,40,000050
ALLEN,Humboldt Township,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,27,00006A
ALLEN,Humboldt Township,Secretary of State,"Hodgkinson, Rob  ",Libertarian,5,00006A
ALLEN,Humboldt Township,Secretary of State,"Schwab, Scott  ",Republican,82,00006A
ALLEN,Humboldt Township Rural Enclave,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,0,00006B
ALLEN,Humboldt Township Rural Enclave,Secretary of State,"Hodgkinson, Rob  ",Libertarian,0,00006B
ALLEN,Humboldt Township Rural Enclave,Secretary of State,"Schwab, Scott  ",Republican,0,00006B
ALLEN,Humboldt Township Split,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,0,00006C
ALLEN,Humboldt Township Split,Secretary of State,"Hodgkinson, Rob  ",Libertarian,0,00006C
ALLEN,Humboldt Township Split,Secretary of State,"Schwab, Scott  ",Republican,0,00006C
ALLEN,Humboldt Ward 1,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,113,000070
ALLEN,Humboldt Ward 1,Secretary of State,"Hodgkinson, Rob  ",Libertarian,13,000070
ALLEN,Humboldt Ward 1,Secretary of State,"Schwab, Scott  ",Republican,172,000070
ALLEN,Humboldt Ward 2,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,112,000080
ALLEN,Humboldt Ward 2,Secretary of State,"Hodgkinson, Rob  ",Libertarian,14,000080
ALLEN,Humboldt Ward 2,Secretary of State,"Schwab, Scott  ",Republican,214,000080
ALLEN,Iola Ward 1,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,116,000090
ALLEN,Iola Ward 1,Secretary of State,"Hodgkinson, Rob  ",Libertarian,17,000090
ALLEN,Iola Ward 1,Secretary of State,"Schwab, Scott  ",Republican,230,000090
ALLEN,Iola Ward 2,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,127,00010A
ALLEN,Iola Ward 2,Secretary of State,"Hodgkinson, Rob  ",Libertarian,15,00010A
ALLEN,Iola Ward 2,Secretary of State,"Schwab, Scott  ",Republican,334,00010A
ALLEN,Iola Ward 2 Exclave,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,0,00010B
ALLEN,Iola Ward 2 Exclave,Secretary of State,"Hodgkinson, Rob  ",Libertarian,0,00010B
ALLEN,Iola Ward 2 Exclave,Secretary of State,"Schwab, Scott  ",Republican,0,00010B
ALLEN,Iola Ward 3,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,159,000110
ALLEN,Iola Ward 3,Secretary of State,"Hodgkinson, Rob  ",Libertarian,15,000110
ALLEN,Iola Ward 3,Secretary of State,"Schwab, Scott  ",Republican,208,000110
ALLEN,Iola Ward 4,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,156,000120
ALLEN,Iola Ward 4,Secretary of State,"Hodgkinson, Rob  ",Libertarian,13,000120
ALLEN,Iola Ward 4,Secretary of State,"Schwab, Scott  ",Republican,222,000120
ALLEN,Marmaton Township,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,85,000140
ALLEN,Marmaton Township,Secretary of State,"Hodgkinson, Rob  ",Libertarian,18,000140
ALLEN,Marmaton Township,Secretary of State,"Schwab, Scott  ",Republican,197,000140
ALLEN,North Elsmore,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,16,000150
ALLEN,North Elsmore,Secretary of State,"Hodgkinson, Rob  ",Libertarian,0,000150
ALLEN,North Elsmore,Secretary of State,"Schwab, Scott  ",Republican,55,000150
ALLEN,North Iola Part A,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,25,00016A
ALLEN,North Iola Part A,Secretary of State,"Hodgkinson, Rob  ",Libertarian,6,00016A
ALLEN,North Iola Part A,Secretary of State,"Schwab, Scott  ",Republican,83,00016A
ALLEN,North Iola Part A Rural Enclave,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,0,00016B
ALLEN,North Iola Part A Rural Enclave,Secretary of State,"Hodgkinson, Rob  ",Libertarian,0,00016B
ALLEN,North Iola Part A Rural Enclave,Secretary of State,"Schwab, Scott  ",Republican,0,00016B
ALLEN,North Iola Part B,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,0,00016C
ALLEN,North Iola Part B,Secretary of State,"Hodgkinson, Rob  ",Libertarian,0,00016C
ALLEN,North Iola Part B,Secretary of State,"Schwab, Scott  ",Republican,0,00016C
ALLEN,Osage Township,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,27,000170
ALLEN,Osage Township,Secretary of State,"Hodgkinson, Rob  ",Libertarian,7,000170
ALLEN,Osage Township,Secretary of State,"Schwab, Scott  ",Republican,61,000170
ALLEN,Salem Township,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,37,000180
ALLEN,Salem Township,Secretary of State,"Hodgkinson, Rob  ",Libertarian,1,000180
ALLEN,Salem Township,Secretary of State,"Schwab, Scott  ",Republican,76,000180
ALLEN,South Elsmore,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,19,000190
ALLEN,South Elsmore,Secretary of State,"Hodgkinson, Rob  ",Libertarian,1,000190
ALLEN,South Elsmore,Secretary of State,"Schwab, Scott  ",Republican,42,000190
ALLEN,South Iola,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,53,00020A
ALLEN,South Iola,Secretary of State,"Hodgkinson, Rob  ",Libertarian,11,00020A
ALLEN,South Iola,Secretary of State,"Schwab, Scott  ",Republican,169,00020A
ALLEN,South Iola Enclave,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,0,00020B
ALLEN,South Iola Enclave,Secretary of State,"Hodgkinson, Rob  ",Libertarian,0,00020B
ALLEN,South Iola Enclave,Secretary of State,"Schwab, Scott  ",Republican,0,00020B
ALLEN,West Elm,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,135,000210
ALLEN,West Elm,Secretary of State,"Hodgkinson, Rob  ",Libertarian,12,000210
ALLEN,West Elm,Secretary of State,"Schwab, Scott  ",Republican,275,000210
ALLEN,Logan Township S12,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,21,120020
ALLEN,Logan Township S12,Secretary of State,"Hodgkinson, Rob  ",Libertarian,2,120020
ALLEN,Logan Township S12,Secretary of State,"Schwab, Scott  ",Republican,67,120020
ALLEN,Logan Township S15,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,0,120030
ALLEN,Logan Township S15,Secretary of State,"Hodgkinson, Rob  ",Libertarian,0,120030
ALLEN,Logan Township S15,Secretary of State,"Schwab, Scott  ",Republican,0,120030
ANDERSON,Garnett Precinct 1,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,105,00002A
ANDERSON,Garnett Precinct 1,Secretary of State,"Hodgkinson, Rob  ",Libertarian,22,00002A
ANDERSON,Garnett Precinct 1,Secretary of State,"Schwab, Scott  ",Republican,272,00002A
ANDERSON,Garnett Precinct 1 Exclave,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,0,00002B
ANDERSON,Garnett Precinct 1 Exclave,Secretary of State,"Hodgkinson, Rob  ",Libertarian,0,00002B
ANDERSON,Garnett Precinct 1 Exclave,Secretary of State,"Schwab, Scott  ",Republican,0,00002B
ANDERSON,Garnett Precinct 2,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,82,000030
ANDERSON,Garnett Precinct 2,Secretary of State,"Hodgkinson, Rob  ",Libertarian,31,000030
ANDERSON,Garnett Precinct 2,Secretary of State,"Schwab, Scott  ",Republican,219,000030
ANDERSON,Garnett Precinct 3,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,77,000040
ANDERSON,Garnett Precinct 3,Secretary of State,"Hodgkinson, Rob  ",Libertarian,12,000040
ANDERSON,Garnett Precinct 3,Secretary of State,"Schwab, Scott  ",Republican,179,000040
ANDERSON,Garnett Precinct 4,Secretary of State,"McClendon, Brian ""BAM"" ",Democratic,16,000050
