County,Precinct,Race,Candidate,Party,Votes,VTD
ALLEN,Carlyle Township,State Treasurer,"Francisco, Marci  ",Democratic,37,000010
ALLEN,Carlyle Township,State Treasurer,"LaTurner, Jake  ",Republican,115,000010
ALLEN,Cottage Grove Township,State Treasurer,"Francisco, Marci  ",Democratic,30,000020
ALLEN,Cottage Grove Township,State Treasurer,"LaTurner, Jake  ",Republican,69,000020
ALLEN,Deer Creek Township,State Treasurer,"Francisco, Marci  ",Democratic,14,000030
ALLEN,Deer Creek Township,State Treasurer,"LaTurner, Jake  ",Republican,33,000030
ALLEN,East Elm,State Treasurer,"Francisco, Marci  ",Democratic,50,000040
ALLEN,East Elm,State Treasurer,"LaTurner, Jake  ",Republican,141,000040
ALLEN,Geneva Township,State Treasurer,"Francisco, Marci  ",Democratic,12,000050
ALLEN,Geneva Township,State Treasurer,"LaTurner, Jake  ",Republican,41,000050
ALLEN,Humboldt Township,State Treasurer,"Francisco, Marci  ",Democratic,23,00006A
ALLEN,Humboldt Township,State Treasurer,"LaTurner, Jake  ",Republican,88,00006A
ALLEN,Humboldt Township Rural Enclave,State Treasurer,"Francisco, Marci  ",Democratic,0,00006B
ALLEN,Humboldt Township Rural Enclave,State Treasurer,"LaTurner, Jake  ",Republican,0,00006B
ALLEN,Humboldt Township Split,State Treasurer,"Francisco, Marci  ",Democratic,0,00006C
ALLEN,Humboldt Township Split,State Treasurer,"LaTurner, Jake  ",Republican,0,00006C
ALLEN,Humboldt Ward 1,State Treasurer,"Francisco, Marci  ",Democratic,122,000070
ALLEN,Humboldt Ward 1,State Treasurer,"LaTurner, Jake  ",Republican,173,000070
ALLEN,Humboldt Ward 2,State Treasurer,"Francisco, Marci  ",Democratic,119,000080
ALLEN,Humboldt Ward 2,State Treasurer,"LaTurner, Jake  ",Republican,220,000080
ALLEN,Iola Ward 1,State Treasurer,"Francisco, Marci  ",Democratic,126,000090
ALLEN,Iola Ward 1,State Treasurer,"LaTurner, Jake  ",Republican,228,000090
ALLEN,Iola Ward 2,State Treasurer,"Francisco, Marci  ",Democratic,128,00010A
ALLEN,Iola Ward 2,State Treasurer,"LaTurner, Jake  ",Republican,345,00010A
ALLEN,Iola Ward 2 Exclave,State Treasurer,"Francisco, Marci  ",Democratic,0,00010B
ALLEN,Iola Ward 2 Exclave,State Treasurer,"LaTurner, Jake  ",Republican,0,00010B
ALLEN,Iola Ward 3,State Treasurer,"Francisco, Marci  ",Democratic,162,000110
ALLEN,Iola Ward 3,State Treasurer,"LaTurner, Jake  ",Republican,220,000110
ALLEN,Iola Ward 4,State Treasurer,"Francisco, Marci  ",Democratic,157,000120
ALLEN,Iola Ward 4,State Treasurer,"LaTurner, Jake  ",Republican,233,000120
ALLEN,Marmaton Township,State Treasurer,"Francisco, Marci  ",Democratic,89,000140
ALLEN,Marmaton Township,State Treasurer,"LaTurner, Jake  ",Republican,211,000140
ALLEN,North Elsmore,State Treasurer,"Francisco, Marci  ",Democratic,15,000150
ALLEN,North Elsmore,State Treasurer,"LaTurner, Jake  ",Republican,56,000150
ALLEN,North Iola Part A,State Treasurer,"Francisco, Marci  ",Democratic,30,00016A
ALLEN,North Iola Part A,State Treasurer,"LaTurner, Jake  ",Republican,84,00016A
ALLEN,North Iola Part A Rural Enclave,State Treasurer,"Francisco, Marci  ",Democratic,0,00016B
ALLEN,North Iola Part A Rural Enclave,State Treasurer,"LaTurner, Jake  ",Republican,0,00016B
ALLEN,North Iola Part B,State Treasurer,"Francisco, Marci  ",Democratic,0,00016C
ALLEN,North Iola Part B,State Treasurer,"LaTurner, Jake  ",Republican,0,00016C
ALLEN,Osage Township,State Treasurer,"Francisco, Marci  ",Democratic,29,000170
ALLEN,Osage Township,State Treasurer,"LaTurner, Jake  ",Republican,66,000170
ALLEN,Salem Township,State Treasurer,"Francisco, Marci  ",Democratic,34,000180
ALLEN,Salem Township,State Treasurer,"LaTurner, Jake  ",Republican,79,000180
ALLEN,South Elsmore,State Treasurer,"Francisco, Marci  ",Democratic,20,000190
ALLEN,South Elsmore,State Treasurer,"LaTurner, Jake  ",Republican,41,000190
ALLEN,South Iola,State Treasurer,"Francisco, Marci  ",Democratic,57,00020A
ALLEN,South Iola,State Treasurer,"LaTurner, Jake  ",Republican,178,00020A
ALLEN,South Iola Enclave,State Treasurer,"Francisco, Marci  ",Democratic,0,00020B
ALLEN,South Iola Enclave,State Treasurer,"LaTurner, Jake  ",Republican,0,00020B
ALLEN,West Elm,State Treasurer,"Francisco, Marci  ",Democratic,129,000210
ALLEN,West Elm,State Treasurer,"LaTurner, Jake  ",Republican,290,000210
ALLEN,Logan Township S12,State Treasurer,"Francisco, Marci  ",Democratic,23,120020
ALLEN,Logan Township S12,State Treasurer,"LaTurner, Jake  ",Republican,64,120020
ALLEN,Logan Township S15,State Treasurer,"Francisco, Marci  ",Democratic,0,120030
ALLEN,Logan Township S15,State Treasurer,"LaTurner, Jake  ",Republican,0,120030
ANDERSON,Garnett Precinct 1,State Treasurer,"Francisco, Marci  ",Democratic,122,00002A
ANDERSON,Garnett Precinct 1,State Treasurer,"LaTurner, Jake  ",Republican,274,00002A
ANDERSON,Garnett Precinct 1 Exclave,State Treasurer,"Francisco, Marci  ",Democratic,0,00002B
ANDERSON,Garnett Precinct 1 Exclave,State Treasurer,"LaTurner, Jake  ",Republican,0,00002B
ANDERSON,Garnett Precinct 2,State Treasurer,"Francisco, Marci  ",Democratic,101,000030
ANDERSON,Garnett Precinct 2,State Treasurer,"LaTurner, Jake  ",Republican,230,000030
ANDERSON,Garnett Precinct 3,State Treasurer,"Francisco, Marci  ",Democratic,83,000040
ANDERSON,Garnett Precinct 3,State Treasurer,"LaTurner, Jake  ",Republican,185,000040
ANDERSON,Garnett Precinct 4,State Treasurer,"Francisco, Marci  ",Democratic,22,000050
ANDERSON,Garnett Precinct 4,State Treasurer,"LaTurner, Jake  ",Republican,29,000050
ANDERSON,Indian Creek Township,State Treasurer,"Francisco, Marci  ",Democratic,10,000080
ANDERSON,Indian Creek Township,State Treasurer,"LaTurner, Jake  ",Republican,39,000080
ANDERSON,Lincoln Township,State Treasurer,"Francisco, Marci  ",Democratic,21,000110
ANDERSON,Lincoln Township,State Treasurer,"LaTurner, Jake  ",Republican,67,000110
ANDERSON,Monroe Township,State Treasurer,"Francisco, Marci  ",Democratic,42,00014A
ANDERSON,Monroe Township,State Treasurer,"LaTurner, Jake  ",Republican,96,00014A
ANDERSON,Putnam Township,State Treasurer,"Francisco, Marci  ",Democratic,43,000170
ANDERSON,Putnam Township,State Treasurer,"LaTurner, Jake  ",Republican,82,000170
ANDERSON,Reeder Township,State Treasurer,"Francisco, Marci  ",Democratic,14,000180
ANDERSON,Reeder Township,State Treasurer,"LaTurner, Jake  ",Republican,66,000180
ANDERSON,Washington Township,State Treasurer,"Francisco, Marci  ",Democratic,26,000210
ANDERSON,Washington Township,State Treasurer,"LaTurner, Jake  ",Republican,80,000210
ANDERSON,Welda Township,State Treasurer,"Francisco, Marci  ",Democratic,40,000220
ANDERSON,Welda Township,State Treasurer,"LaTurner, Jake  ",Republican,78,000220
ANDERSON,Lone Elm Township,State Treasurer,"Francisco, Marci  ",Democratic,18,130010
ANDERSON,Lone Elm Township,State Treasurer,"LaTurner, Jake  ",Republican,71,130010
ANDERSON,Ozark Township,State Treasurer,"Francisco, Marci  ",Democratic,43,130020
ANDERSON,Ozark Township,State Treasurer,"LaTurner, Jake  ",Republican,164,130020
ANDERSON,Rich Township,State Treasurer,"Francisco, Marci  ",Democratic,34,130030
ANDERSON,Rich Township,State Treasurer,"LaTurner, Jake  ",Republican,95,130030
ANDERSON,Walker Township,State Treasurer,"Francisco, Marci  ",Democratic,78,130040
ANDERSON,Walker Township,State Treasurer,"LaTurner, Jake  ",Republican,159,130040
ANDERSON,Westphalia Township,State Treasurer,"Francisco, Marci  ",Democratic,30,130050
ANDERSON,Westphalia Township,State Treasurer,"LaTurner, Jake  ",Republican,84,130050
ANDERSON,Jackson Township,State Treasurer,"Francisco, Marci  ",Democratic,37,140010
ANDERSON,Jackson Township,State Treasurer,"LaTurner, Jake  ",Republican,135,140010
ATCHISON,Atchison Precinct 1,State Treasurer,"Francisco, Marci  ",Democratic,77,000010
ATCHISON,Atchison Precinct 1,State Treasurer,"LaTurner, Jake  ",Republican,102,000010
ATCHISON,Atchison Precinct 2 East,State Treasurer,"Francisco, Marci  ",Democratic,83,000020
ATCHISON,Atchison Precinct 2 East,State Treasurer,"LaTurner, Jake  ",Republican,156,000020
ATCHISON,Atchison Precinct 2 West,State Treasurer,"Francisco, Marci  ",Democratic,101,000030
ATCHISON,Atchison Precinct 2 West,State Treasurer,"LaTurner, Jake  ",Republican,128,000030
ATCHISON,Atchison Precinct 3 East,State Treasurer,"Francisco, Marci  ",Democratic,194,000040
ATCHISON,Atchison Precinct 3 East,State Treasurer,"LaTurner, Jake  ",Republican,260,000040
ATCHISON,Atchison Precinct 3 West,State Treasurer,"Francisco, Marci  ",Democratic,304,00005A
ATCHISON,Atchison Precinct 3 West,State Treasurer,"LaTurner, Jake  ",Republican,388,00005A
ATCHISON,Atchison Precinct 4,State Treasurer,"Francisco, Marci  ",Democratic,212,00006A
ATCHISON,Atchison Precinct 4,State Treasurer,"LaTurner, Jake  ",Republican,170,00006A
ATCHISON,Atchison Precinct 4 Exclave A,State Treasurer,"Francisco, Marci  ",Democratic,0,00006B
ATCHISON,Atchison Precinct 4 Exclave A,State Treasurer,"LaTurner, Jake  ",Republican,0,00006B
ATCHISON,Atchison Precinct 4 Exclave B,State Treasurer,"Francisco, Marci  ",Democratic,0,00006C
