PRECINCT NAME,Barbara Bollier,Jason Buckley,Roger Marshall
Aubry Township Precinct 01,42,6,97
Aubry Township Precinct 02,377,44,579
Aubry Township Precinct 03,180,35,315
Aubry Township Precinct 04,473,66,812
Aubry Township Precinct 05,7,0,10
Aubry Township Precinct 06,34,8,80
Aubry Township Precinct 07,0,0,0
Gardner Township Precinct 01,165,27,329
Gardner Township Precinct 02,146,25,303
Gardner Township Precinct 03,0,0,0
Gardner Township Precinct 04,0,0,0
Gardner Township Precinct 05,0,0,4
Gardner Township Precinct 06,0,0,0
Gardner Township Precinct 07,1,0,2
Gardner Township Precinct 08,3,0,2
Gardner Township Precinct 09,1,0,3
Gardner Township Precinct 10,2,0,4
Gardner Township Precinct 11,50,10,77
Gardner Township Precinct 13,0,0,3
Gardner Township Precinct 14,5,0,0
Gardner Township Precinct 15,0,0,0
Gardner Township Precinct 16,4,0,9
Gardner Township Precinct 17,0,4,8
Gardner Township Precinct 18,3,0,0
Gardner Township Precinct 19,0,0,0
Gardner Township Precinct 20,1,0,3
Lexington Township Precinct 01,346,43,632
Lexington Township Precinct 02,1,0,0
Lexington Township Precinct 03,2,1,0
Lexington Township Precinct 04,0,0,0
Lexington Township Precinct 05,0,0,0
McCamish Township Precinct 01,46,13,153
McCamish Township Precinct 02,131,23,322
McCamish Township Precinct 03,0,0,0
McCamish Township Precinct 04,0,0,0
McCamish Township Precinct 05,0,0,0
Olathe Township Precinct 01,175,15,227
Olathe Township Precinct 02,21,1,45
Olathe Township Precinct 03,22,3,32
Olathe Township Precinct 04,0,0,4
Olathe Township Precinct 06,0,0,0
Olathe Township Precinct 07,0,0,0
Olathe Township Precinct 08,0,0,1
Olathe Township Precinct 09,0,0,0
Olathe Township Precinct 10,2,0,11
Olathe Township Precinct 11,0,0,5
Olathe Township Precinct 12,0,0,0
Olathe Township Precinct 13,3,0,4
Olathe Township Precinct 14,0,0,1
Olathe Township Precinct 15,0,0,0
Olathe Township Precinct 16,0,0,0
Olathe Township Precinct 17,0,0,0
Olathe Township Precinct 24,0,0,2
Olathe Township Precinct 25,0,0,7
Olathe Township Precinct 26,0,0,4
Olathe Township Precinct 27,0,0,0
Olathe Township Precinct 32,11,2,23
Oxford Township Precinct 01,0,0,1
Oxford Township Precinct 02,233,22,367
Oxford Township Precinct 03,0,0,0
Oxford Township Precinct 04,269,13,335
Oxford Township Precinct 05,1,0,18
Oxford Township Precinct 08,0,0,0
Oxford Township Precinct 09,11,5,17
Oxford Township Precinct 10,0,0,1
Oxford Township Precinct 11,49,4,97
Spring Hill Township Precinct 01,375,50,681
Spring Hill Township Precinct 02,0,0,0
Spring Hill Township Precinct 03,24,11,73
Spring Hill Township Precinct 04,3,0,20
Spring Hill Township Precinct 05,9,2,7
De Soto Precinct 01,452,90,597
De Soto Precinct 02,338,52,395
De Soto Precinct 03,427,60,659
De Soto Precinct 04,0,0,0
De Soto Precinct 05,0,0,0
De Soto Precinct 06,50,12,32
De Soto Precinct 07,0,0,0
De Soto Precinct 08,0,0,0
Edgerton Precinct 01,250,85,438
Edgerton Precinct 02,0,0,0
Edgerton Precinct 03,0,0,0
Edgerton Precinct 04,0,0,0
Edgerton Precinct 05,2,1,5
Edgerton Precinct 06,3,2,2
Edgerton Precinct 07,0,0,0
Gardner Precinct 01,639,129,909
Gardner Precinct 02,127,33,121
Gardner Precinct 03,473,120,579
Gardner Precinct 04,326,79,535
Gardner Precinct 05,0,0,0
Gardner Precinct 06,530,113,771
Gardner Precinct 07,15,1,10
Gardner Precinct 08,104,22,188
Gardner Precinct 09,624,134,857
Gardner Precinct 10,401,106,580
Gardner Precinct 11,0,0,0
Gardner Precinct 12,3,1,9
Gardner Precinct 13,407,90,537
Gardner Precinct 14,310,71,372
Gardner Precinct 15,0,0,0
Gardner Precinct 16,0,0,0
Gardner Precinct 17,0,0,0
Olathe Ward 1 Precinct 01,464,88,454
Olathe Ward 1 Precinct 02,323,58,272
Olathe Ward 1 Precinct 03,260,29,228
Olathe Ward 1 Precinct 04,503,68,460
Olathe Ward 1 Precinct 05,386,49,435
Olathe Ward 1 Precinct 06,290,31,269
Olathe Ward 1 Precinct 07,0,0,0
Olathe Ward 1 Precinct 08,812,108,705
Olathe Ward 1 Precinct 09,477,43,490
Olathe Ward 1 Precinct 10,0,0,0
Olathe Ward 1 Precinct 11,81,12,77
Olathe Ward 1 Precinct 12,0,0,0
Olathe Ward 1 Precinct 13,0,0,0
Olathe Ward 1 Precinct 14,377,45,409
Olathe Ward 1 Precinct 15,446,38,425
Olathe Ward 1 Precinct 16,598,56,653
Olathe Ward 1 Precinct 17,162,15,227
Olathe Ward 1 Precinct 18,354,38,393
Olathe Ward 1 Precinct 19,228,34,206
Olathe Ward 1 Precinct 20,307,57,281
Olathe Ward 1 Precinct 21,598,86,510
Olathe Ward 1 Precinct 22,1076,125,1302
Olathe Ward 1 Precinct 23,0,0,0
