Precinct,DEM Barbara Bollier,LIB Jason Buckley,REP Roger Marshall,Write-in Totals,Total Votes Cast
101,595,64,458,1,1118
102,510,29,434,0,973
103,135,8,61,0,204
104,48,2,18,0,68
105,462,37,190,1,690
106,861,67,284,3,1215
107,935,48,501,0,1484
108,644,40,273,0,957
109,764,62,313,1,1140
110,852,40,585,0,1477
111,196,17,164,0,377
112,842,54,321,3,1220
113,686,31,124,4,845
114,609,38,64,4,715
116,873,40,75,1,989
117,845,52,66,2,965
118,1002,50,148,1,1201
119,721,41,264,3,1029
120,730,49,299,1,1079
121,481,21,387,1,890
122,1042,80,571,4,1697
123,145,12,94,0,251
126,117,7,136,0,260
127,239,31,277,2,549
128,655,37,429,1,1122
129,143,21,101,0,265
130,412,45,224,2,683
133,21,2,14,0,37
205,240,37,108,1,386
206,221,13,133,0,367
207,1105,92,762,1,1960
208,182,19,178,1,380
209,663,45,348,2,1058
210,750,63,488,0,1301
211,336,24,343,1,704
212,616,29,633,3,1281
213,733,42,770,2,1547
214,563,25,838,0,1426
215,1012,59,990,0,2061
216,581,34,528,0,1143
217,607,34,784,3,1428
218,1132,69,1209,2,2412
221,409,22,474,1,906
222,783,67,1008,1,1859
223,754,48,1038,1,1841
224,1111,107,932,1,2151
225,1086,72,954,4,2116
226,993,102,1460,3,2558
227,426,22,675,0,1123
228,652,41,1226,2,1921
233,249,23,278,0,550
235,202,14,132,2,350
236,316,17,519,2,854
238,17,0,29,0,46
239,14,1,51,0,66
240,72,5,94,0,171
241,50,7,88,0,145
242,88,9,157,0,254
246,24,2,37,0,63
247,133,5,187,0,325
301,242,49,213,1,505
302,484,85,375,1,945
303,274,36,204,1,515
304,275,28,172,0,475
305,745,75,533,4,1357
306,944,99,491,2,1536
307,419,50,209,3,681
308,672,64,383,4,1123
309,747,87,477,1,1312
310,389,55,226,3,673
311,211,27,228,1,467
312,237,28,189,0,454
313,727,97,525,2,1351
314,527,73,540,5,1145
315,426,60,432,2,920
316,421,62,673,1,1157
317,11,0,8,0,19
318,53,10,82,0,145
319,206,20,112,0,338
320,156,14,68,0,238
321,25,4,10,0,39
324,228,36,161,1,426
325,448,54,418,1,921
326,41,11,70,0,122
328,24,3,21,0,48
329,0,0,0,0,0
401,278,36,369,2,685
402,236,23,355,0,614
403,283,41,565,1,890
404,719,126,655,5,1505
405,504,62,407,3,976
406,443,70,408,3,924
407,44,10,46,0,100
408,426,79,340,1,846
