COUNTY,PRECINCT,RACE,DISTRICT,CANDIDATE,FIRST,MIDDLE,LAST,SUFFIX,PARTY,VOTES,VTD
ALLEN,Carlyle Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,30,000010
ALLEN,Carlyle Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,108,000010
ALLEN,Cottage Grove Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,35,000020
ALLEN,Cottage Grove Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,86,000020
ALLEN,Deer Creek Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,17,000030
ALLEN,Deer Creek Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,37,000030
ALLEN,East Elm,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,91,000040
ALLEN,East Elm,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,147,000040
ALLEN,Geneva Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,19,000050
ALLEN,Geneva Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,43,000050
ALLEN,Humboldt Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,38,00006A
ALLEN,Humboldt Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,89,00006A
ALLEN,Humboldt Township Rural Enclave,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,0,00006B
ALLEN,Humboldt Township Rural Enclave,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,0,00006B
ALLEN,Humboldt Township Split,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,0,00006C
ALLEN,Humboldt Township Split,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,0,00006C
ALLEN,Humboldt Ward 1,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,154,000070
ALLEN,Humboldt Ward 1,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,223,000070
ALLEN,Humboldt Ward 2,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,153,000080
ALLEN,Humboldt Ward 2,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,261,000080
ALLEN,Iola Ward 1,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,231,000090
ALLEN,Iola Ward 1,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,453,000090
ALLEN,Iola Ward 2,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,145,00010A
ALLEN,Iola Ward 2,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,260,00010A
ALLEN,Iola Ward 2 Exclave,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,0,00010B
ALLEN,Iola Ward 2 Exclave,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,0,00010B
ALLEN,Iola Ward 3,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,166,000110
ALLEN,Iola Ward 3,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,254,000110
ALLEN,Iola Ward 4,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,161,000120
ALLEN,Iola Ward 4,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,254,000120
ALLEN,Marmaton Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,126,000140
ALLEN,Marmaton Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,207,000140
ALLEN,North Elmsmore,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,28,000150
ALLEN,North Elmsmore,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,58,000150
ALLEN,North Iola Part A,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,33,00016A
ALLEN,North Iola Part A,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,81,00016A
ALLEN,North Iola Part A Rural Enclave,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,0,00016B
ALLEN,North Iola Part A Rural Enclave,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,0,00016B
ALLEN,North Iola Part B,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,0,00016C
ALLEN,North Iola Part B,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,0,00016C
ALLEN,Osage Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,50,000170
ALLEN,Osage Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,74,000170
ALLEN,Salem Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,49,000180
ALLEN,Salem Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,80,000180
ALLEN,South Elmsmore,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,32,000190
ALLEN,South Elmsmore,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,53,000190
ALLEN,South Iola,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,82,00020A
ALLEN,South Iola,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,183,00020A
ALLEN,South Iola Enclave,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,0,00020B
ALLEN,South Iola Enclave,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,0,00020B
ALLEN,West Elm,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,153,000210
ALLEN,West Elm,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,295,000210
ALLEN,Logan Township S12,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,32,120020
ALLEN,Logan Township S12,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,64,120020
ALLEN,Logan Township S15,Kansas Senate,15,"King, Jeff  ",Jeff,,King,,Republican,0,120030
ANDERSON,Colony,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,58,000010
ANDERSON,Colony,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,118,000010
ANDERSON,Garnett Precinct 1,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,169,00002A
ANDERSON,Garnett Precinct 1,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,308,00002A
ANDERSON,Garnett Precinct 1 Exclave,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,0,00002B
ANDERSON,Garnett Precinct 1 Exclave,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,0,00002B
ANDERSON,Garnett Precinct 2,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,150,000030
ANDERSON,Garnett Precinct 2,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,287,000030
ANDERSON,Garnett Precinct 3,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,136,000040
ANDERSON,Garnett Precinct 3,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,196,000040
ANDERSON,Garnett Precinct 4,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,34,000050
ANDERSON,Garnett Precinct 4,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,49,000050
ANDERSON,Greeley,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,45,000060
ANDERSON,Greeley,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,64,000060
ANDERSON,Indian Creek Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,12,000080
ANDERSON,Indian Creek Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,55,000080
ANDERSON,Kincaid,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,10,000100
ANDERSON,Kincaid,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,23,000100
ANDERSON,Lincoln Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,28,000110
ANDERSON,Lincoln Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,63,000110
ANDERSON,Lone Elm City,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,4,000120
ANDERSON,Lone Elm City,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,3,000120
ANDERSON,Lone Elm Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,23,000130
ANDERSON,Lone Elm Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,50,000130
ANDERSON,Monroe Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,56,00014A
ANDERSON,Monroe Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,101,00014A
ANDERSON,North Rich Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,8,000150
ANDERSON,North Rich Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,16,000150
ANDERSON,Ozark Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,18,000160
ANDERSON,Ozark Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,57,000160
ANDERSON,Putnam Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,70,000170
ANDERSON,Putnam Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,88,000170
ANDERSON,Reeder Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,38,000180
ANDERSON,Reeder Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,63,000180
ANDERSON,Rich Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,18,000190
ANDERSON,Rich Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,45,000190
ANDERSON,Walker Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,61,000200
ANDERSON,Walker Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,113,000200
ANDERSON,Washington Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,48,000210
ANDERSON,Washington Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,74,000210
ANDERSON,Welda Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,47,000220
ANDERSON,Welda Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,80,000220
ANDERSON,Westphalia City,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,25,000230
ANDERSON,Westphalia City,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,23,000230
ANDERSON,Westphalia Township,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,27,000240
ANDERSON,Westphalia Township,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,67,000240
ANDERSON,Jackson Township H5,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,65,200010
ANDERSON,Jackson Township H5,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,133,200010
ANDERSON,Jackson Township H9,Kansas Senate,12,"Cassells, Denise  ",Denise,,Cassells,,Democratic,0,200020
ANDERSON,Jackson Township H9,Kansas Senate,12,"Tyson, Caryn  ",Caryn,,Tyson,,Republican,0,200020
ATCHISON,Atchison Precinct 1,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,107,000010
ATCHISON,Atchison Precinct 1,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,145,000010
ATCHISON,Atchison Precinct 2 East,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,133,000020
ATCHISON,Atchison Precinct 2 East,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,136,000020
ATCHISON,Atchison Precinct 2 West,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,154,000030
ATCHISON,Atchison Precinct 2 West,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,176,000030
ATCHISON,Atchison Precinct 3 East,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,256,000040
ATCHISON,Atchison Precinct 3 East,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,271,000040
ATCHISON,Atchison Precinct 3 West,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,439,00005A
ATCHISON,Atchison Precinct 3 West,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,413,00005A
ATCHISON,Atchison Precinct 4,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,256,00006A
ATCHISON,Atchison Precinct 4,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,202,00006A
ATCHISON,Atchison Precinct 4 Exclave A,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,0,00006B
ATCHISON,Atchison Precinct 4 Exclave A,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,0,00006B
ATCHISON,Atchison Precinct 4 Exclave B,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,0,00006C
ATCHISON,Atchison Precinct 4 Exclave B,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,0,00006C
ATCHISON,Atchison Precinct 5 North,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,301,00007A
ATCHISON,Atchison Precinct 5 North,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,314,00007A
ATCHISON,Atchison Precinct 5 North Exclave A,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,0,00007B
ATCHISON,Atchison Precinct 5 North Exclave A,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,0,00007B
ATCHISON,Atchison Precinct 5 North Exclave B,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,0,00007C
ATCHISON,Atchison Precinct 5 North Exclave B,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,0,00007C
ATCHISON,Atchison Precinct 5 South,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,183,00008A
ATCHISON,Atchison Precinct 5 South,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,168,00008A
ATCHISON,Atchison Precinct 5 South Exclave A,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,0,00008B
ATCHISON,Atchison Precinct 5 South Exclave A,Kansas Senate,1,"Pyle, Dennis D. ",Dennis,D.,Pyle,,Republican,0,00008B
ATCHISON,Atchison Precinct 5 South Exclave B,Kansas Senate,1,"Lukert, Steve  ",Steve,,Lukert,,Democratic,0,00008C
