KANSAS SENATE DISTRICT 18,BARTA,KELLY,
TOPEKA WARD 13 PRECINCT 30,67,69,
,,,
TOTALS,11110,13499,
,,,
KANSAS SENATE DISTRICT 19,HENSLEY,MOORE,
,DEMOCRATIC,REPUBLICAN,
,,,
STINSON CREEK,95,90,
NORTH TECUMSEH,249,194,
SOUTH TECUMSEH,255,192,
PAWNEE,282,310,
KAW,281,224,
PECK,198,143,
EAST PECK,163,148,
KIOWA,385,320,
CHEYENNE,264,248,
PONCA,196,136,
DEER CREEK,7,16,
PAULINE,114,85,
NW MONMOUTH,341,322,
NE MONMOUTH,275,240,
S MONMOUTH,324,339,
FORBES,28,30,
KINGSTON,52,76,
TOPEKA WARD 02 PRECINCT 01,215,110,
TOPEKA WARD 02 PRECINCT 02,187,83,
TOPEKA WARD 02 PRECINCT 03,209,90,
TOPEKA WARD 02 PRECINCT 04,206,77,
TOPEKA WARD 02 PRECINCT 05,185,57,
TOPEKA WARD 02 PRECINCT 06,195,47,
TOPEKA WARD 02 PRECINCT 07,134,20,
TOPEKA WARD 02 PRECINCT 08,158,11,
TOPEKA WARD 02 PRECINCT 09,233,92,
TOPEKA WARD 02 PRECINCT 10,275,61,
TOPEKA WARD 04 PRECINCT 01,212,57,
TOPEKA WARD 04 PRECINCT 02,264,51,
TOPEKA WARD 04 PRECINCT 03,176,28,
TOPEKA WARD 04 PRECINCT 04,319,59,
TOPEKA WARD 04 PRECINCT 07,171,49,
TOPEKA WARD 04 PRECINCT 08,209,66,
TOPEKA WARD 04 PRECINCT 09,233,59,
TOPEKA WARD 04 PRECINCT 10,293,85,
TOPEKA WARD 04 PRECINCT 11,73,47,
TOPEKA WARD 04 PRECINCT 15,140,71,
TOPEKA WARD 05 PRECINCT 01,186,60,
TOPEKA WARD 05 PRECINCT 02,223,57,
TOPEKA WARD 05 PRECINCT 03,203,57,
TOPEKA WARD 05 PRECINCT 04,218,65,
TOPEKA WARD 05 PRECINCT 05,242,77,
TOPEKA WARD 05 PRECINCT 06,189,42,
TOPEKA WARD 05 PRECINCT 07,222,57,
TOPEKA WARD 05 PRECINCT 08,173,55,
TOPEKA WARD 05 PRECINCT 09,282,177,
TOPEKA WARD 05 PRECINCT 10,317,228,
TOPEKA WARD 05 PRECINCT 11,242,143,
TOPEKA WARD 05 PRECINCT 14,122,133,
TOPEKA WARD 05 PRECINCT 15,30,26,
TOPEKA WARD 05 PRECINCT 91,72,44,
TOPEKA WARD 06 PRECINCT 01,221,42,
TOPEKA WARD 06 PRECINCT 02,222,38,
TOPEKA WARD 06 PRECINCT 08,285,80,
TOPEKA WARD 09 PRECINCT 01,57,26,
TOPEKA WARD 15 PRECINCT 01,345,220,
TOPEKA WARD 15 PRECINCT 02,236,126,
TOPEKA WARD 15 PRECINCT 03,16,16,
,,,
TOTALS,11699,6102,
,,,
KANSAS SENATE DISTRICT 19,CROWDER,HINCHEY,SCHMIDT
,DEMOCRATIC,LIBERTARIAN,REPUBLICAN
,,,
WEST POTTER,15,6,48
CENTRAL PAULINE,28,4,39
MONTARA,140,20,180
CULLEN,166,35,204
WAKARUSA,100,34,322
CITY OF AUBURN,122,52,291
MEADOWLARK,166,46,441
BUFFALO,112,57,295
GAILLARDIA,96,35,320
DOVER,96,42,206
YUCCA,33,9,84
ALDERSGATE,63,4,174
SUNFLOWER,140,35,567
WASHBURN,94,28,247
SOUTH MISSION,88,27,219
CENTRAL MISSION,157,44,393
SHERWOOD,102,25,302
SOUTH SHERWOOD,57,14,283
INDIAN HILLS,92,22,335
YORK,136,34,328
VACQUERO,112,33,215
YORK OUTER,19,2,34
VERBENA,18,6,68
TOPEKA WARD 06 PRECINCT 03,72,18,272
TOPEKA WARD 06 PRECINCT 04,127,17,159
TOPEKA WARD 06 PRECINCT 05,155,17,197
TOPEKA WARD 06 PRECINCT 06,110,18,115
TOPEKA WARD 06 PRECINCT 07,94,13,80
TOPEKA WARD 06 PRECINCT 09,251,28,414
TOPEKA WARD 08 PRECINCT 06,73,17,185
TOPEKA WARD 08 PRECINCT 10,71,17,230
TOPEKA WARD 08 PRECINCT 11,128,30,251
TOPEKA WARD 09 PRECINCT 02,117,11,131
TOPEKA WARD 09 PRECINCT 03,158,22,287
TOPEKA WARD 09 PRECINCT 04,149,25,226
TOPEKA WARD 09 PRECINCT 05,170,22,159
TOPEKA WARD 09 PRECINCT 06,138,24,228
TOPEKA WARD 09 PRECINCT 08,225,28,251
TOPEKA WARD 09 PRECINCT 09,75,15,207
TOPEKA WARD 09 PRECINCT 10,178,23,390
TOPEKA WARD 09 PRECINCT 11,73,12,256
TOPEKA WARD 09 PRECINCT 12,86,14,94
TOPEKA WARD 10 PRECINCT 03,183,30,322
TOPEKA WARD 10 PRECINCT 05,110,22,168
TOPEKA WARD 10 PRECINCT 06,93,17,188
TOPEKA WARD 10 PRECINCT 07,116,28,226
TOPEKA WARD 10 PRECINCT 08,121,14,181
TOPEKA WARD 10 PRECINCT 09,100,10,131
TOPEKA WARD 10 PRECINCT 10,140,20,229
TOPEKA WARD 11 PRECINCT 01,99,9,157
TOPEKA WARD 11 PRECINCT 02,130,15,192
TOPEKA WARD 11 PRECINCT 03,100,16,152
TOPEKA WARD 11 PRECINCT 04,154,31,275
TOPEKA WARD 11 PRECINCT 05,133,28,199
TOPEKA WARD 11 PRECINCT 06,139,22,200
TOPEKA WARD 11 PRECINCT 07,127,23,188
TOPEKA WARD 11 PRECINCT 08,98,18,200
TOPEKA WARD 11 PRECINCT 09,141,22,207
TOPEKA WARD 11 PRECINCT 10,108,22,143
TOPEKA WARD 12 PRECINCT 01,167,13,150
TOPEKA WARD 12 PRECINCT 02,118,14,133
TOPEKA WARD 12 PRECINCT 03,112,10,254
TOPEKA WARD 12 PRECINCT 04,140,22,320
TOPEKA WARD 12 PRECINCT 05,79,20,305
TOPEKA WARD 12 PRECINCT 06,156,22,312
TOPEKA WARD 12 PRECINCT 07,167,24,288
TOPEKA WARD 12 PRECINCT 08,195,25,256
TOPEKA WARD 12 PRECINCT 09,242,35,439
TOPEKA WARD 12 PRECINCT 11,142,30,518
TOPEKA WARD 12 PRECINCT 13,97,12,357
TOPEKA WARD 12 PRECINCT 14,90,20,269
TOPEKA WARD 12 PRECINCT 15,174,31,435
TOPEKA WARD 12 PRECINCT 16,204,26,432
TOPEKA WARD 12 PRECINCT 19,40,2,38
TOPEKA WARD 12 PRECINCT 20,143,33,349
TOPEKA WARD 12 PRECINCT 31,78,21,224
TOPEKA WARD 13 PRECINCT 02,55,7,91
TOPEKA WARD 13 PRECINCT 05,8,1,18
TOPEKA WARD 13 PRECINCT 06,18,4,85
TOPEKA WARD 13 PRECINCT 09,12,5,66
TOPEKA WARD 13 PRECINCT 12,132,22,450
TOPEKA WARD 13 PRECINCT 21,30,2,60
TOPEKA WARD 13 PRECINCT 22,18,1,56
TOPEKA WARD 14 PRECINCT 01,218,39,421
TOPEKA WARD 14 PRECINCT 02,122,18,376
TOPEKA WARD 14 PRECINCT 03,84,16,238
TOPEKA WARD 14 PRECINCT 04,105,22,511
TOPEKA WARD 14 PRECINCT 05,53,18,306
,,,
TOTALS,9893,1847,20842
