KANSAS SENATE DISTRICT 18,BARTA,KELLY,
,REPUBLICAN,DEMOCRATIC,
,,,
EAST ROSSVILLE,248,222,
WEST ROSSVILLE,202,146,
EAST SILVER LAKE,272,311,
WEST SILVER LAKE,189,212,
GROVE,195,134,
KIRO,297,235,
MESSHOSS CREEK,192,111,
LITTLE MUDDY CREEK,175,138,
SAC,336,224,
SHERMAN,288,217,
IROQUIS,297,225,
WEST WICHITA,127,109,
INDIANOLA,307,217,
APACE,259,193,
EAST WICHITA,525,416,
FOX,295,241,
ELMOT,370,297,
KILMER,85,66,
ROCHESTER,230,214,
EAST SOLDIER,289,255,
WHITFIELD,201,205,
SIOUX,261,190,
POTTAWATOMIE,327,242,
WILLARD,204,169,
NORTH MISSION,94,52,
TOPEKA WARD 01 PRECINCT 01,63,168,
TOPEKA WARD 01 PRECINCT 02,73,196,
TOPEKA WARD 01 PRECINCT 03,93,135,
TOPEKA WARD 01 PRECINCT 04,151,200,
TOPEKA WARD 01 PRECINCT 05,225,275,
TOPEKA WARD 01 PRECINCT 06,299,241,
TOPEKA WARD 02 PRECINCT 11,82,131,
TOPEKA WARD 03 PRECINCT 01,110,212,
TOPEKA WARD 03 PRECINCT 02,90,204,
TOPEKA WARD 03 PRECINCT 03,39,153,
TOPEKA WARD 03 PRECINCT 04,82,183,
TOPEKA WARD 03 PRECINCT 05,54,152,
TOPEKA WARD 03 PRECINCT 06,55,143,
TOPEKA WARD 03 PRECINCT 07,81,189,
TOPEKA WARD 03 PRECINCT 08,89,179,
TOPEKA WARD 03 PRECINCT 09,91,206,
TOPEKA WARD 03 PRECINCT 10,8,18,
TOPEKA WARD 04 PRECINCT 06,82,231,
TOPEKA WARD 04 PRECINCT 14,1,18,
TOPEKA WARD 07 PRECINCT 01,110,252,
TOPEKA WARD 07 PRECINCT 02,105,213,
TOPEKA WARD 07 PRECINCT 03,101,211,
TOPEKA WARD 07 PRECINCT 04,145,229,
TOPEKA WARD 07 PRECINCT 05,136,167,
TOPEKA WARD 07 PRECINCT 06,119,152,
TOPEKA WARD 07 PRECINCT 07,99,167,
TOPEKA WARD 07 PRECINCT 09,106,159,
TOPEKA WARD 07 PRECINCT 10,100,166,
TOPEKA WARD 07 PRECINCT 11,162,278,
TOPEKA WARD 08 PRECINCT 01,70,216,
TOPEKA WARD 08 PRECINCT 02,91,236,
TOPEKA WARD 08 PRECINCT 03,127,290,
TOPEKA WARD 08 PRECINCT 04,132,255,
TOPEKA WARD 08 PRECINCT 05,193,325,
TOPEKA WARD 08 PRECINCT 07,99,229,
TOPEKA WARD 08 PRECINCT 08,111,198,
TOPEKA WARD 08 PRECINCT 09,147,231,
TOPEKA WARD 10 PRECINCT 01,146,254,
TOPEKA WARD 10 PRECINCT 02,199,196,
TOPEKA WARD 10 PRECINCT 04,131,222,
TOPEKA WARD 10 PRECINCT 11,212,301,
TOPEKA WARD 10 PRECINCT 14,169,208,
