KANSAS HOUSE DISTRICT 081,HOWELL,WELLS,
,REPUBLICAN,DEMOCRATIC,
,,,
WICHITA PRECINCT 233,259,172,
WICHITA PRECINCT 310,105,228,
WICHITA PRECINCT 323,78,148,
DERBY WARD 01 PRECINCT 01,856,347,
DERBY WARD 01 PRECINCT 02,464,220,
DERBY WARD 01 PRECINCT 03,111,52,
DERBY WARD 01 PRECINCT 04,289,115,
DERBY WARD 01 PRECINCT 05,27,11,
DERBY WARD 02 PRECINCT 03,268,78,
DERBY WARD 02 PRECINCT 06,310,143,
GYPSUM PRECINCT 01,1054,423,
GYPSUM PRECINCT 02,33,15,
GYPSUM PRECINCT 03,24,20,
GYPSUM PRECINCT 04,5,2,
RIVERSIDE PRECINCT 03,85,74,
RIVERSIDE PRECINCT 04,55,141,
RIVERSIDE PRECINCT 06,83,53,
,,,
TOTALS,4106,2242,
,,,
KANSAS HOUSE DISTRICT 082,DEGRAAF,,
,REPUBLICAN,,
,,,
DERBY WARD 02 PRECINCT 01,508,,
DERBY WARD 02 PRECINCT 02,476,,
DERBY WARD 02 PRECINCT 05,48,,
DERBY WARD 03 PRECINCT 01,234,,
DERBY WARD 03 PRECINCT 02,165,,
DERBY WARD 03 PRECINCT 04,144,,
DERBY WARD 03 PRECINCT 05,255,,
DERBY WARD 03 PRECINCT 06,772,,
DERBY WARD 03 PRECINCT 07,130,,
DERBY WARD 04 PRECINCT 01,352,,
DERBY WARD 04 PRECINCT 02,831,,
DERBY WARD 04 PRECINCT 03,22,,
DERBY WARD 04 PRECINCT 04,454,,
MULVANE PRECINCT 01,419,,
MULVANE PRECINCT 02,1044,,
ROCKFORD PRECINCT 01,272,,
ROCKFORD PRECINCT 02,40,,
ROCKFORD PRECINCT 03,207,,
ROCKFORD PRECINCT 04,23,,
,,,
TOTALS,6396,,
,,,
KANSAS HOUSE DISTRICT 083,BRIDGES,GARVEY,
,DEMOCRATIC,REPUBLICAN,
,,,
WICHITA PRECINCT 109,698,291,
WICHITA PRECINCT 110,162,152,
WICHITA PRECINCT 203,524,427,
WICHITA PRECINCT 204,441,412,
WICHITA PRECINCT 205,232,115,
WICHITA PRECINCT 306,726,520,
WICHITA PRECINCT 307,329,216,
WICHITA PRECINCT 308,591,366,
WICHITA PRECINCT 321,19,3,
MINNEHA PRECINCT 02,181,274,
,,,
TOTALS,3903,2776,
,,,
KANSAS HOUSE DISTRICT 084,BAKKEN,FINNEY,HEFLIN
,LIBERTARIAN,DEMOCRATIC,REPUBLICAN
,,,
WICHITA PRECINCT 106,22,166,85
WICHITA PRECINCT 107,35,557,76
WICHITA PRECINCT 108,44,436,226
WICHITA PRECINCT 113,22,664,52
WICHITA PRECINCT 114,15,705,23
WICHITA PRECINCT 116,27,1018,41
WICHITA PRECINCT 201,86,629,486
WICHITA PRECINCT 202,78,574,533
,,,
TOTALS,329,4749,1522
,,,
KANSAS HOUSE DISTRICT 085,BRUNK,STANLEY,
