PRECINCT,OBAMA / BIDEN,JOHNSON / GRAY,BALDWIN / MARTIN,ROMNEY / RYAN,,
,DEMOCRATIC,LIBERTARIAN,REFORM,REPUBLICAN,,
,,,,,,
ALDERSGATE,119,0,0,131,,
APACE,161,7,5,284,,
BUFFALO,135,9,2,345,,
CENTRAL MISSION,215,12,1,392,,
CENTRAL PAULINE,39,2,1,34,,
CHEYENNE,201,10,1,312,,
CITY OF AUBURN,182,6,2,290,,
CULLEN,207,20,0,185,,
DEER CREEK,5,2,0,16,,
DOVER,136,6,3,222,,
EAST PECK,125,5,3,182,,
EAST ROSSVILLE,141,13,5,311,,
EAST SILVER LAKE,243,9,1,331,,
EAST SOLDIER,220,14,4,306,,
EAST WICHITA,362,12,3,570,,
ELMONT,253,12,4,399,,
FORBES,20,0,0,37,,
FOX,202,9,2,328,,
GAILLARDIA,158,8,0,298,,
GROVE,102,6,2,223,,
INDIAN HILLS,181,10,0,274,,
INDIANOLA,177,6,2,339,,
IROQUIS,201,7,4,317,,
KAW,231,9,0,273,,
KILMER,51,2,0,97,,
KINGSTON,42,1,0,84,,
KIOWA,293,10,5,404,,
KIRO,182,9,3,339,,
LITTLE MUDDY CREEK,110,5,0,198,,
MEADOWLARK,195,12,3,450,,
MESSHOSS CREEK,94,7,3,202,,
MONTARA,189,7,2,150,,
NE MONMOUTH,209,9,0,301,,
NW MONMOUTH,225,11,4,431,,
NORTH MISSION,37,4,0,112,,
NORTH TECUMSEH,210,11,1,225,,
PAULINE,99,4,1,99,,
PAWNEE,198,12,0,386,,
PECK,152,14,0,183,,
PONCA,151,3,0,186,,
POTTAWATOMIE,222,9,3,334,,
ROCHESTER,177,6,4,251,,
S MONMOUTH,243,10,1,419,,
SAC,217,6,2,341,,
SHERMAN,168,11,4,315,,
SHERWOOD,161,5,1,274,,
SIOUX,180,2,3,266,,
SOUTH MISSION,112,6,0,220,,
SOUTH SHERWOOD,119,3,0,238,,
SOUTH TECUMSEH,196,10,4,245,,
STINSON CREEK,77,0,0,112,,
SUNFLOWER,216,6,2,548,,
TOPEKA WARD 01 PRECINCT 01,156,6,1,72,,
TOPEKA WARD 01 PRECINCT 02,187,4,4,82,,
TOPEKA WARD 01 PRECINCT 03,125,4,1,101,,
TOPEKA WARD 01 PRECINCT 04,181,8,5,155,,
TOPEKA WARD 01 PRECINCT 05,229,13,3,251,,
TOPEKA WARD 01 PRECINCT 06,231,7,1,305,,
TOPEKA WARD 02 PRECINCT 01,175,7,6,142,,
TOPEKA WARD 02 PRECINCT 02,155,6,0,107,,
TOPEKA WARD 02 PRECINCT 03,176,5,2,113,,
TOPEKA WARD 02 PRECINCT 04,178,9,4,91,,
TOPEKA WARD 02 PRECINCT 05,157,4,0,81,,
TOPEKA WARD 02 PRECINCT 06,180,2,0,64,,
TOPEKA WARD 02 PRECINCT 07,123,3,5,27,,
TOPEKA WARD 02 PRECINCT 08,164,3,1,12,,
TOPEKA WARD 02 PRECINCT 09,202,7,2,116,,
TOPEKA WARD 02 PRECINCT 10,266,7,1,68,,
TOPEKA WARD 02 PRECINCT 11,129,3,2,81,,
TOPEKA WARD 03 PRECINCT 01,187,12,1,127,,
TOPEKA WARD 03 PRECINCT 02,177,8,3,103,,
TOPEKA WARD 03 PRECINCT 03,147,8,0,37,,
TOPEKA WARD 03 PRECINCT 04,170,11,1,88,,
TOPEKA WARD 03 PRECINCT 05,152,4,1,52,,
TOPEKA WARD 03 PRECINCT 06,137,1,0,62,,
TOPEKA WARD 03 PRECINCT 07,192,11,0,74,,
TOPEKA WARD 03 PRECINCT 08,184,2,3,84,,
TOPEKA WARD 03 PRECINCT 09,205,8,1,90,,
TOPEKA WARD 03 PRECINCT 10,21,1,0,5,,
TOPEKA WARD 04 PRECINCT 01,198,2,1,69,,
TOPEKA WARD 04 PRECINCT 02,271,6,3,47,,
