PRECINCT,OBAMA / BIDEN,JOHNSON / GRAY,BALDWIN / MARTIN,ROMNEY / RYAN,,
TOPEKA WARD 04 PRECINCT 03,180,4,1,26,,
TOPEKA WARD 04 PRECINCT 04,334,3,1,52,,
TOPEKA WARD 04 PRECINCT 06,227,10,5,70,,
TOPEKA WARD 04 PRECINCT 07,172,3,0,45,,
TOPEKA WARD 04 PRECINCT 08,192,4,5,76,,
TOPEKA WARD 04 PRECINCT 09,227,4,0,72,,
TOPEKA WARD 04 PRECINCT 10,280,12,0,93,,
TOPEKA WARD 04 PRECINCT 11,67,3,1,50,,
TOPEKA WARD 04 PRECINCT 14,23,0,0,2,,
TOPEKA WARD 04 PRECINCT 15,123,1,3,92,,
TOPEKA WARD 05 PRECINCT 01,184,3,5,58,,
TOPEKA WARD 05 PRECINCT 02,197,9,1,80,,
TOPEKA WARD 05 PRECINCT 03,183,2,2,80,,
TOPEKA WARD 05 PRECINCT 04,191,4,2,86,,
TOPEKA WARD 05 PRECINCT 05,223,4,1,97,,
TOPEKA WARD 05 PRECINCT 06,180,6,0,52,,
TOPEKA WARD 05 PRECINCT 07,204,3,4,68,,
TOPEKA WARD 05 PRECINCT 08,157,2,1,72,,
TOPEKA WARD 05 PRECINCT 09,241,4,2,214,,
TOPEKA WARD 05 PRECINCT 10,249,6,5,287,,
TOPEKA WARD 05 PRECINCT 11,203,10,1,182,,
TOPEKA WARD 05 PRECINCT 14,104,4,0,150,,
TOPEKA WARD 05 PRECINCT 15,21,0,0,35,,
TOPEKA WARD 05 PRECINCT 91,60,1,1,58,,
TOPEKA WARD 06 PRECINCT 01,219,4,2,42,,
TOPEKA WARD 06 PRECINCT 02,201,2,1,61,,
TOPEKA WARD 06 PRECINCT 03,152,5,4,219,,
TOPEKA WARD 06 PRECINCT 04,191,3,3,114,,
TOPEKA WARD 06 PRECINCT 05,210,3,2,172,,
TOPEKA WARD 06 PRECINCT 06,154,4,1,98,,
TOPEKA WARD 06 PRECINCT 07,119,1,1,72,,
TOPEKA WARD 06 PRECINCT 08,274,6,1,90,,
TOPEKA WARD 06 PRECINCT 09,350,12,1,353,,
TOPEKA WARD 07 PRECINCT 01,229,2,1,129,,
TOPEKA WARD 07 PRECINCT 02,196,10,3,112,,
TOPEKA WARD 07 PRECINCT 03,199,13,0,103,,
TOPEKA WARD 07 PRECINCT 04,200,7,2,176,,
TOPEKA WARD 07 PRECINCT 05,146,14,1,143,,
TOPEKA WARD 07 PRECINCT 06,131,14,3,123,,
TOPEKA WARD 07 PRECINCT 07,164,4,1,97,,
TOPEKA WARD 07 PRECINCT 09,137,3,1,127,,
TOPEKA WARD 07 PRECINCT 10,157,10,4,99,,
TOPEKA WARD 07 PRECINCT 11,248,12,3,182,,
TOPEKA WARD 08 PRECINCT 01,204,6,1,78,,
TOPEKA WARD 08 PRECINCT 02,229,9,3,89,,
TOPEKA WARD 08 PRECINCT 03,268,10,1,141,,
TOPEKA WARD 08 PRECINCT 04,231,8,2,148,,
TOPEKA WARD 08 PRECINCT 05,289,19,1,196,,
TOPEKA WARD 08 PRECINCT 06,134,6,0,140,,
TOPEKA WARD 08 PRECINCT 07,213,9,0,122,,
TOPEKA WARD 08 PRECINCT 08,184,8,1,121,,
TOPEKA WARD 08 PRECINCT 09,203,8,0,177,,
TOPEKA WARD 08 PRECINCT 10,145,2,0,181,,
TOPEKA WARD 08 PRECINCT 11,203,7,1,204,,
TOPEKA WARD 09 PRECINCT 01,52,0,1,32,,
TOPEKA WARD 09 PRECINCT 02,148,8,1,119,,
TOPEKA WARD 09 PRECINCT 03,258,9,2,217,,
TOPEKA WARD 09 PRECINCT 04,216,4,0,187,,
TOPEKA WARD 09 PRECINCT 05,218,12,3,131,,
TOPEKA WARD 09 PRECINCT 06,210,11,4,172,,
TOPEKA WARD 09 PRECINCT 08,305,6,1,200,,
TOPEKA WARD 09 PRECINCT 09,138,5,1,155,,
TOPEKA WARD 09 PRECINCT 10,314,6,2,270,,
TOPEKA WARD 09 PRECINCT 11,162,4,2,179,,
TOPEKA WARD 09 PRECINCT 12,119,1,1,73,,
TOPEKA WARD 10 PRECINCT 01,225,5,0,174,,
TOPEKA WARD 10 PRECINCT 02,156,2,1,235,,
TOPEKA WARD 10 PRECINCT 03,255,10,1,294,,
TOPEKA WARD 10 PRECINCT 04,191,7,1,153,,
TOPEKA WARD 10 PRECINCT 05,167,7,2,139,,
TOPEKA WARD 10 PRECINCT 06,139,5,1,164,,
TOPEKA WARD 10 PRECINCT 07,169,13,1,199,,
TOPEKA WARD 10 PRECINCT 08,174,10,3,137,,
TOPEKA WARD 10 PRECINCT 09,138,2,1,108,,
TOPEKA WARD 10 PRECINCT 10,209,5,0,190,,
TOPEKA WARD 10 PRECINCT 11,267,12,3,238,,
TOPEKA WARD 10 PRECINCT 14,192,8,1,182,,
TOPEKA WARD 11 PRECINCT 01,140,2,0,126,,
TOPEKA WARD 11 PRECINCT 02,182,5,3,160,,
TOPEKA WARD 11 PRECINCT 03,150,4,0,123,,
TOPEKA WARD 11 PRECINCT 04,254,10,0,216,,
TOPEKA WARD 11 PRECINCT 05,203,4,1,158,,
TOPEKA WARD 11 PRECINCT 06,197,7,1,164,,
TOPEKA WARD 11 PRECINCT 07,184,8,2,159,,
TOPEKA WARD 11 PRECINCT 08,164,9,0,149,,
TOPEKA WARD 11 PRECINCT 09,188,6,1,188,,
TOPEKA WARD 11 PRECINCT 10,157,5,0,119,,
TOPEKA WARD 12 PRECINCT 01,219,6,0,113,,
TOPEKA WARD 12 PRECINCT 02,162,7,0,109,,
TOPEKA WARD 12 PRECINCT 03,179,5,3,207,,
TOPEKA WARD 12 PRECINCT 04,217,2,2,275,,
TOPEKA WARD 12 PRECINCT 05,166,3,1,239,,
TOPEKA WARD 12 PRECINCT 06,248,6,1,248,,
TOPEKA WARD 12 PRECINCT 07,242,11,2,236,,
TOPEKA WARD 12 PRECINCT 08,265,7,1,210,,
TOPEKA WARD 12 PRECINCT 09,347,12,1,385,,
TOPEKA WARD 12 PRECINCT 11,271,14,1,433,,
TOPEKA WARD 12 PRECINCT 13,163,8,2,312,,
TOPEKA WARD 12 PRECINCT 14,161,7,0,234,,
TOPEKA WARD 12 PRECINCT 15,272,13,2,370,,
TOPEKA WARD 12 PRECINCT 16,328,9,1,346,,
TOPEKA WARD 12 PRECINCT 19,33,1,0,47,,
TOPEKA WARD 12 PRECINCT 20,232,15,2,303,,
TOPEKA WARD 12 PRECINCT 31,125,4,1,201,,
TOPEKA WARD 13 PRECINCT 02,77,9,1,72,,
TOPEKA WARD 13 PRECINCT 05,11,0,0,18,,
TOPEKA WARD 13 PRECINCT 06,18,1,0,88,,
TOPEKA WARD 13 PRECINCT 09,22,2,0,61,,
TOPEKA WARD 13 PRECINCT 12,217,5,0,394,,
TOPEKA WARD 13 PRECINCT 21,52,1,0,39,,
TOPEKA WARD 13 PRECINCT 22,28,1,0,49,,
TOPEKA WARD 13 PRECINCT 30,64,2,0,73,,
TOPEKA WARD 14 PRECINCT 01,301,15,3,368,,
TOPEKA WARD 14 PRECINCT 02,231,7,2,295,,
TOPEKA WARD 14 PRECINCT 03,115,5,2,233,,
TOPEKA WARD 14 PRECINCT 04,204,6,2,445,,
TOPEKA WARD 14 PRECINCT 05,94,2,0,294,,
TOPEKA WARD 15 PRECINCT 01,276,12,1,282,,
TOPEKA WARD 15 PRECINCT 02,185,7,0,171,,
TOPEKA WARD 15 PRECINCT 03,13,0,0,20,,
VACQUERO,154,8,0,210,,
VERBENA,24,0,1,70,,
WAKARUSA,155,9,4,301,,
WASHBURN,147,6,3,228,,
WEST POTTER,21,2,0,48,,
WEST ROSSVILLE,96,3,6,245,,
WEST SILVER LAKE,161,5,0,232,,
WEST WICHITA,94,3,1,140,,
WHITFIELD,171,15,1,224,,
WILLARD,127,9,3,233,,
YORK,195,5,0,319,,
YORK OUTER,15,0,1,43,,
YUCCA,38,3,0,88,,
,,,,,,
TOTAL,36975,1369,321,37782,,
