PRECINCT,,HAWVER,JENKINS,SCHLINGENSIEPEN,
,,LIBERTARIAN,REPUBLICAN,DEMOCRATIC,
,,,,,
ALDERSGATE,,4,125,115,
APACHE,,20,243,188,
BUFFALO,,16,290,179,
CENTRAL MISSION,,26,357,229,
CENTRAL PAULINE,,5,35,34,
CHEYENNE,,17,277,225,
CITY OF AUBURN,,16,262,191,
CULLEN,,24,197,189,
DEER CREEK,,1,14,8,
DOVER,,12,197,156,
EAST PECK,,11,175,128,
EAST ROSSVILLE,,28,280,157,
EAST SILVER LAKE,,14,303,266,
EAST SOLDIER,,15,281,245,
EAST WICHITA,,25,526,387,
ELMONT,,34,348,276,
FORBES,,1,35,21,
FOX,,21,299,213,
GAILLARDIA,,17,283,156,
GROVE,,15,211,104,
INDIAN HILLS,,14,252,196,
INDIANOLA,,10,321,186,
IROQUIS,,15,304,206,
KAW,,23,246,238,
KILMER,,9,80,60,
KINGSTON,,3,77,48,
KIOWA,,18,382,308,
KIRO,,20,307,204,
LITTLE MUDDY CREEK,,10,180,124,
MEADOWLARK,,21,408,231,
MESSHOSS CREEK,,17,172,112,
MONTARA,,10,165,164,
NE MONMOUTH,,15,294,208,
NW MONMOUTH,,24,372,272,
NORTH MISSION,,1,100,49,
NORTH TECUMSEH,,19,209,216,
PAULINE,,8,89,106,
PAWNEE,,18,341,237,
PECK,,12,166,164,
PONCA,,9,172,153,
POTTAWATOMIE,,27,315,225,
ROCHESTER,,19,201,216,
S MONMOUTH,,22,375,272,
SAC,,25,289,245,
SHERMAN,,25,284,189,
SHERWOOD,,17,241,180,
SIOUX,,22,239,194,
SOUTH MISSION,,15,192,132,
SOUTH SHERWOOD,,6,231,120,
SOUTH TECUMSEH,,16,219,211,
STINSON CREEK,,1,109,77,
SUNFLOWER,,17,503,243,
TOPEKA WARD 01 PRECINCT 01,,14,83,134,
TOPEKA WARD 01 PRECINCT 02,,14,94,167,
TOPEKA WARD 01 PRECINCT 03,,14,93,120,
TOPEKA WARD 01 PRECINCT 04,,17,142,191,
TOPEKA WARD 01 PRECINCT 05,,29,257,218,
TOPEKA WARD 01 PRECINCT 06,,26,286,228,
TOPEKA WARD 02 PRECINCT 01,,14,138,176,
TOPEKA WARD 02 PRECINCT 02,,9,98,161,
TOPEKA WARD 02 PRECINCT 03,,9,121,166,
TOPEKA WARD 02 PRECINCT 04,,20,97,164,
TOPEKA WARD 02 PRECINCT 05,,5,82,156,
TOPEKA WARD 02 PRECINCT 06,,6,73,158,
TOPEKA WARD 02 PRECINCT 07,,4,47,102,
TOPEKA WARD 02 PRECINCT 08,,6,33,132,
TOPEKA WARD 02 PRECINCT 09,,22,128,170,
TOPEKA WARD 02 PRECINCT 10,,6,88,243,
TOPEKA WARD 02 PRECINCT 11,,11,85,117,
TOPEKA WARD 03 PRECINCT 01,,16,121,188,
TOPEKA WARD 03 PRECINCT 02,,12,95,188,
TOPEKA WARD 03 PRECINCT 03,,4,52,138,
TOPEKA WARD 03 PRECINCT 04,,14,76,175,
TOPEKA WARD 03 PRECINCT 05,,6,71,129,
TOPEKA WARD 03 PRECINCT 06,,3,63,130,
TOPEKA WARD 03 PRECINCT 07,,17,88,166,
TOPEKA WARD 03 PRECINCT 08,,5,95,167,
TOPEKA WARD 03 PRECINCT 09,,15,99,186,
TOPEKA WARD 03 PRECINCT 10,,0,12,15,
TOPEKA WARD 04 PRECINCT 01,,12,76,181,
TOPEKA WARD 04 PRECINCT 02,,6,78,233,
TOPEKA WARD 04 PRECINCT 03,,6,34,163,
TOPEKA WARD 04 PRECINCT 04,,19,75,283,
