KANSAS HOUSE DISTRICT 047,GONZALEZ,HANSON,
TOPEKA WARD 08 PRECINCT 05,293,221,
TOPEKA WARD 08 PRECINCT 06,156,120,
TOPEKA WARD 08 PRECINCT 07,223,105,
TOPEKA WARD 08 PRECINCT 08,182,126,
TOPEKA WARD 08 PRECINCT 09,209,166,
TOPEKA WARD 08 PRECINCT 10,172,150,
TOPEKA WARD 08 PRECINCT 11,206,201,
,,,
TOTALS,5257,3534,
,,,
KANSAS HOUSE DISTRICT 056,MITCHELL,WEIGEL,
,REPUBLICAN,DEMOCRATIC,
,,,
CENTRAL PAULINE,37,36,
PAULINE,94,105,
TOPEKA WARD 04 PRECINCT 15,95,111,
TOPEKA WARD 06 PRECINCT 03,207,149,
TOPEKA WARD 06 PRECINCT 04,115,184,
TOPEKA WARD 06 PRECINCT 05,164,197,
TOPEKA WARD 06 PRECINCT 06,101,139,
TOPEKA WARD 06 PRECINCT 07,73,111,
TOPEKA WARD 06 PRECINCT 09,326,345,
TOPEKA WARD 09 PRECINCT 01,32,46,
TOPEKA WARD 09 PRECINCT 02,127,134,
TOPEKA WARD 09 PRECINCT 03,228,234,
TOPEKA WARD 09 PRECINCT 04,185,217,
TOPEKA WARD 09 PRECINCT 05,137,212,
TOPEKA WARD 09 PRECINCT 06,189,197,
TOPEKA WARD 09 PRECINCT 08,188,304,
TOPEKA WARD 09 PRECINCT 09,135,156,
TOPEKA WARD 09 PRECINCT 10,255,313,
TOPEKA WARD 09 PRECINCT 11,183,156,
TOPEKA WARD 09 PRECINCT 12,73,118,
TOPEKA WARD 12 PRECINCT 09,344,348,
TOPEKA WARD 14 PRECINCT 01,357,311,
TOPEKA WARD 14 PRECINCT 02,279,234,
TOPEKA WARD 14 PRECINCT 03,205,133,
TOPEKA WARD 15 PRECINCT 01,264,290,
TOPEKA WARD 15 PRECINCT 02,168,175,
TOPEKA WARD 15 PRECINCT 03,17,14,
WEST POTTER,50,20,
,,,
TOTALS,4628,4989,
,,,
KANSAS HOUSE DISTRICT 057,ALCALA,ROSENOW,
,DEMOCRATIC,REPUBLICAN,
,,,
CHEYENNE,271,233,
EAST PECK,167,140,
PECK,190,149,
TOPEKA WARD 01 PRECINCT 01,179,52,
TOPEKA WARD 01 PRECINCT 02,213,54,
TOPEKA WARD 01 PRECINCT 03,156,70,
TOPEKA WARD 01 PRECINCT 04,264,85,
TOPEKA WARD 02 PRECINCT 01,232,96,
TOPEKA WARD 02 PRECINCT 02,187,83,
TOPEKA WARD 02 PRECINCT 03,218,74,
TOPEKA WARD 02 PRECINCT 04,212,66,
TOPEKA WARD 02 PRECINCT 05,188,51,
TOPEKA WARD 02 PRECINCT 06,189,52,
