,STATE REP 22,,,,STATE REP 23,,,,STATE REP 24,,,,STATE REP 25,,,,STATE REP 26,,STATE REP 27,,STATE REP 28,,,,STATE REP 29,,,
,MARLA BREMS (R),,NANCY LUSK (D),,KELLY R MEIGS (R),,DAVE PACK (D),,EMILY PERRY (D),,CHRISTOPHER,,MEGAN ENGLAND,,MELISSA A ROOKER,,LARRY L CAMPBELL,,RAY MERRICK (R),,KELLY L JACKSON,,JERRY LUNN (R),,NANCY LEIKER (D),,JAMES TODD (R),
,,,,,,,,,,,KENNETH,, (D),,(R),,(R),,,,(D),,,,,,,
,,,,,,,,,,,WALDSCHMIDT (R),,,,,,,,,,,,,,,,,
Jurisdiction Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubry Twp 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,94.44%,-,-,-,-,-,-,-,-
Aubry Twp 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663,99.25%,-,-,-,-,-,-,-,-
Aubry Twp 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,360,99.72%,-,-,-,-,-,-,-,-
Aubry Twp 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,853,98.84%,-,-,-,-,-,-,-,-
Aubry Twp 0-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,100.00%,-,-,-,-,-,-,-,-,-,-
Aubry Twp 0-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,100.00%,-,-,-,-,-,-,-,-
Bonner Springs 4-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edgerton 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edgerton 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edgerton 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edgerton 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edgerton 0-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edgerton 0-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edgerton 0-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edgerton 0-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairway 1-00,-,-,-,-,-,-,-,-,-,-,-,-,240,38.96%,376,61.04%,-,-,-,-,-,-,-,-,-,-,-,-
Fairway 2-00,-,-,-,-,-,-,-,-,-,-,-,-,193,35.81%,345,64.01%,-,-,-,-,-,-,-,-,-,-,-,-
Fairway 3-00,-,-,-,-,-,-,-,-,-,-,-,-,230,32.76%,472,67.24%,-,-,-,-,-,-,-,-,-,-,-,-
Fairway 4-00,-,-,-,-,-,-,-,-,-,-,-,-,327,55.05%,266,44.78%,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
