,STATE SEN 6,,,,STATE SEN 7,,,,STATE SEN 8,,,,STATE SEN 9,,,,STATE SEN 10,,,,STATE SEN 11,,,,STATE SEN 21,,,,STATE SEN 23,,,,STATE SEN 37,
,PAT PETTEY (D),,CHRIS STEINEGER,,KYLE RUSSELL (D),,KAY WOLF (R),,JIM DENNING (R),,LISA JOHNSTON (D),,JULIA LYNN (R),,MERLIN D RING (D),,MARK J GREENE (D),,MARY,,MICHAEL F DELANEY,,JEFF MELCHER (R),,JUANITA ROY (D),,GREG A SMITH (R) ,,ROB OLSON (R) ,,STEVE WRIGHT (D) ,,PAT APPLE (R),
,,,(R),,,,,,,,,,,,,,,,PILCHER-COOK (R),,(D),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction Wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubry Twp 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,96.08%
Aubry Twp 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,652,98.94%
Aubry Twp 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,358,100.00%
Aubry Twp 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,839,99.53%
Aubry Twp 0-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,100.00%
Aubry Twp 0-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,100.00%
Bonner Springs 4-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-01,-,-,-,-,-,-,-,-,-,-,-,-,603,67.60%,289,32.40%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-02,-,-,-,-,-,-,-,-,-,-,-,-,322,64.02%,181,35.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-03,-,-,-,-,-,-,-,-,-,-,-,-,562,71.05%,229,28.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-04,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-05,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-06,-,-,-,-,-,-,-,-,-,-,-,-,41,56.94%,31,43.06%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-07,-,-,-,-,-,-,-,-,-,-,-,-,2,100.00%,0,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De Soto 0-08,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edgerton 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,547,99.27%
Edgerton 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Edgerton 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Edgerton 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Edgerton 0-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
