,,
,JOEL BALAM (L),KEVIN YODER (R)
,,
,,
Jurisdiction Wide,,
Aubry Twp 0-01,29,92
Aubry Twp 0-02,146,596
Aubry Twp 0-03,101,316
Aubry Twp 0-04,204,731
Aubry Twp 0-05,2,13
Aubry Twp 0-06,17,87
Bonner Springs 4-01,0,0
De Soto 0-01,259,610
De Soto 0-02,145,349
De Soto 0-03,206,565
De Soto 0-04,0,0
De Soto 0-05,0,0
De Soto 0-06,31,40
De Soto 0-07,0,2
De Soto 0-08,0,0
Edgerton 0-01,163,455
Edgerton 0-02,0,0
Edgerton 0-03,0,0
Edgerton 0-04,0,0
Edgerton 0-05,0,0
Edgerton 0-06,0,0
Edgerton 0-07,0,0
Edgerton 0-08,0,0
Fairway 1-00,157,396
Fairway 2-00,169,308
Fairway 3-00,169,462
Fairway 4-00,271,271
Gardner 0-01,275,879
Gardner 0-02,72,110
Gardner 0-03,262,581
Gardner 0-04,172,458
Gardner 0-05,0,0
Gardner 0-06,237,654
Gardner 0-07,10,15
Gardner 0-08,11,54
Gardner 0-09,274,738
Gardner 0-10,182,498
Gardner 0-11,0,0
Gardner 0-12,11,7
Gardner 0-13,234,573
Gardner 0-14,190,423
Gardner 0-15,0,0
Gardner Twp 0-01,99,267
Gardner Twp 0-02,120,350
Gardner Twp 0-03,0,0
Gardner Twp 0-04,0,1
Gardner Twp 0-05,2,6
Gardner Twp 0-06,0,0
Gardner Twp 0-07,2,2
Gardner Twp 0-08,3,2
Gardner Twp 0-09,0,2
Gardner Twp 0-10,0,0
Gardner Twp 0-11,35,76
Gardner Twp 0-12,0,0
Lake Quivira 0-01,130,486
Leawood 1-01,194,363
Leawood 1-02,228,636
Leawood 1-03,215,563
Leawood 1-04,172,435
Leawood 1-05,162,419
Leawood 1-06,53,96
Leawood 2-01,186,530
Leawood 2-02,239,626
Leawood 2-03,204,633
Leawood 2-04,148,765
Leawood 2-05,147,378
Leawood 2-06,94,284
Leawood 3-01,128,347
Leawood 3-02,204,619
Leawood 3-03,96,429
Leawood 3-04,54,200
Leawood 3-05,243,819
Leawood 3-06,217,805
Leawood 3-07,160,617
Leawood 4-01,34,211
Leawood 4-02,143,536
Leawood 4-03,169,517
Leawood 4-04,191,676
Leawood 4-05,176,642
Leawood 4-06,91,567
Leawood 4-07,204,952
Leawood 4-08,76,370
Lenexa 1-01,139,326
Lenexa 1-02,292,658
Lenexa 1-03,320,775
Lenexa 1-04,287,480
Lenexa 1-05,262,502
Lenexa 1-06,216,704
Lenexa 1-07,162,344
Lenexa 1-08,93,139
Lenexa 1-09,6,10
Lenexa 2-01,206,771
Lenexa 2-02,47,228
Lenexa 2-03,212,799
Lenexa 2-04,177,874
Lenexa 2-05,340,498
Lenexa 2-06,143,511
Lenexa 2-07,298,756
Lenexa 2-08,0,0
Lenexa 3-01,291,379
Lenexa 3-02,336,547
Lenexa 3-03,301,680
Lenexa 3-04,191,482
Lenexa 3-05,250,297
Lenexa 3-06,222,388
Lenexa 3-07,254,539
Lenexa 3-08,234,614
Lenexa 4-01,111,275
Lenexa 4-02,217,535
Lenexa 4-03,213,228
Lenexa 4-04,170,242
Lenexa 4-05,104,228
