,,
,JOEL BALAM (L),KEVIN YODER (R)
Lenexa 4-06,220,406
Lenexa 4-07,199,427
Lenexa 4-08,147,431
Lenexa 4-09,205,432
Lenexa 4-10,145,223
Lenexa 4-11,45,72
Lexington Twp 0-01,184,555
Lexington Twp 0-02,1,2
Lexington Twp 0-03,1,3
Lexington Twp 0-04,0,1
Lexington Twp 0-05,0,0
McCamish Twp 0-01,40,139
McCamish Twp 0-02,80,272
McCamish Twp 0-03,0,0
Merriam 1-01,174,278
Merriam 1-02,249,321
Merriam 2-01,276,411
Merriam 2-02,1,1
Merriam 2-03,153,217
Merriam 3-01,278,352
Merriam 3-02,213,297
Merriam 4-01,272,427
Merriam 4-02,123,194
Merriam 4-03,144,239
Mission 1-01,259,382
Mission 1-02,180,168
Mission 2-01,179,212
Mission 2-02,228,285
Mission 3-01,278,380
Mission 3-02,131,188
Mission 4-01,149,221
Mission 4-02,184,360
Mission 4-03,125,210
Mission Hills 0-01,91,405
Mission Hills 0-02,126,504
Mission Hills 0-03,60,347
Mission Hills 0-04,137,479
Mission Woods 0-01,38,64
Olathe 1-01,234,518
Olathe 1-02,168,327
Olathe 1-03,143,296
Olathe 1-04,202,552
Olathe 1-05,226,553
Olathe 1-06,115,389
Olathe 1-07,0,0
Olathe 1-08,286,715
Olathe 1-09,228,630
Olathe 1-10,1,5
Olathe 1-11,49,74
Olathe 1-12,7,26
Olathe 1-13,0,0
Olathe 1-14,182,488
Olathe 1-15,180,522
Olathe 1-16,199,747
Olathe 1-17,33,156
Olathe 1-18,51,153
Olathe 1-19,114,236
Olathe 1-20,199,365
Olathe 1-21,280,667
Olathe 1-22,252,814
Olathe 1-23,0,0
Olathe 1-24,0,0
Olathe 1-25,0,0
Olathe 1-26,2,2
Olathe 1-27,202,326
Olathe 1-28,56,135
Olathe 1-29,24,94
Olathe 2-01,100,262
Olathe 2-02,119,293
Olathe 2-03,199,375
Olathe 2-04,246,445
Olathe 2-05,279,1112
Olathe 2-06,126,636
Olathe 2-07,259,704
Olathe 2-08,297,564
Olathe 2-09,83,231
Olathe 2-10,424,1022
Olathe 2-11,327,717
Olathe 2-12,159,398
Olathe 2-13,198,441
Olathe 2-14,181,429
Olathe 2-15,90,340
Olathe 2-16,0,0
Olathe 2-17,0,0
Olathe 2-18,0,0
Olathe 2-19,1,6
Olathe 2-20,0,0
Olathe 2-21,0,0
Olathe 2-22,250,764
Olathe 2-23,207,576
Olathe 2-24,1,12
Olathe 2-25,4,3
Olathe 2-26,0,0
Olathe 2-27,1,10
Olathe 2-28,83,158
Olathe 3-01,123,252
Olathe 3-02,294,708
Olathe 3-03,115,392
Olathe 3-04,229,614
Olathe 3-05,167,586
Olathe 3-06,118,470
Olathe 3-07,153,428
Olathe 3-08,189,674
Olathe 3-09,119,353
Olathe 3-10,234,712
Olathe 3-11,178,451
Olathe 3-12,253,582
Olathe 3-13,217,637
Olathe 3-14,0,3
Olathe 3-15,162,504
Olathe 3-16,146,571
Olathe 3-17,211,681
Olathe 3-18,193,617
Olathe 3-19,93,427
Olathe 3-20,126,466
Olathe 3-21,64,328
Olathe 3-22,226,520
Olathe 3-23,233,499
Olathe 3-24,0,0
Olathe 3-25,0,0
Olathe 3-26,27,54
Olathe 3-27,94,281
Olathe 4-01,274,451
Olathe 4-02,296,705
Olathe 4-03,177,291
Olathe 4-04,180,304
Olathe 4-05,217,521
Olathe 4-06,305,700
Olathe 4-07,312,570
Olathe 4-08,175,514
Olathe 4-09,271,715
Olathe 4-10,159,410
Olathe 4-11,171,238
Olathe 4-12,263,714
Olathe 4-13,166,298
Olathe 4-14,266,629
Olathe 4-15,40,45
Olathe 4-16,0,3
Olathe 4-17,1,4
Olathe 4-18,126,186
Olathe Twp 0-01,106,235
Olathe Twp 0-02,14,53
Olathe Twp 0-03,19,28
Olathe Twp 0-04,0,2
Olathe Twp 0-05,0,3
Olathe Twp 0-06,1,0
Olathe Twp 0-07,0,1
Olathe Twp 0-08,3,13
Olathe Twp 0-09,0,0
Olathe Twp 0-10,6,11
Olathe Twp 0-11,1,3
Olathe Twp 0-12,0,0
Olathe Twp 0-13,0,0
Olathe Twp 0-14,0,1
Olathe Twp 0-17,0,0
Olathe Twp 0-24,1,2
Olathe Twp 0-25,2,6
Olathe Twp 0-26,0,4
Olathe Twp 0-27,0,0
Olathe Twp 0-32,8,20
Overland Park 1-01,301,367
Overland Park 1-02,291,351
Overland Park 1-03,242,391
Overland Park 1-04,82,173
Overland Park 1-05,175,275
Overland Park 1-06,277,486
Overland Park 1-07,305,514
Overland Park 1-08,263,358
Overland Park 1-09,183,208
Overland Park 1-10,306,406
Overland Park 1-11,133,160
Overland Park 1-12,312,410
Overland Park 1-13,210,289
Overland Park 1-14,259,398
Overland Park 1-15,144,169
Overland Park 1-16,325,443
Overland Park 1-17,137,221
Overland Park 1-18,204,388
Overland Park 1-19,226,318
Overland Park 1-20,147,225
Overland Park 1-21,63,145
Overland Park 1-22,78,84
Overland Park 2-01,165,360
Overland Park 2-02,198,381
Overland Park 2-03,179,343
Overland Park 2-04,230,418
Overland Park 2-05,238,386
Overland Park 2-06,222,384
Overland Park 2-07,153,309
Overland Park 2-08,195,212
Overland Park 2-09,207,342
Overland Park 2-10,110,331
Overland Park 2-11,218,361
Overland Park 2-12,147,301
Overland Park 2-13,158,206
Overland Park 2-14,143,273
Overland Park 2-15,271,488
Overland Park 2-16,168,303
Overland Park 2-17,186,520
Overland Park 2-18,274,488
Overland Park 2-19,152,331
Overland Park 2-20,133,312
Overland Park 2-21,168,308
Overland Park 2-22,227,363
Overland Park 2-23,125,421
Overland Park 2-24,273,626
Overland Park 2-25,182,459
Overland Park 2-26,110,150
Overland Park 3-01,253,736
Overland Park 3-02,205,409
Overland Park 3-03,132,417
Overland Park 3-04,268,504
Overland Park 3-05,212,500
Overland Park 3-06,272,571
Overland Park 3-07,211,369
Overland Park 3-08,185,437
Overland Park 3-09,282,640
Overland Park 3-10,115,349
Overland Park 3-11,164,505
Overland Park 3-12,183,299
Overland Park 3-13,345,800
Overland Park 3-14,277,490
Overland Park 3-15,147,376
Overland Park 3-16,181,444
Overland Park 3-17,130,360
Overland Park 3-18,229,407
Overland Park 3-19,206,487
Overland Park 3-20,229,597
Overland Park 4-01,145,419
Overland Park 4-02,207,746
Overland Park 4-03,205,851
Overland Park 4-04,226,849
Overland Park 4-05,168,645
Overland Park 4-06,149,474
Overland Park 4-07,166,355
Overland Park 4-08,160,584
Overland Park 4-09,112,611
Overland Park 4-10,117,445
Overland Park 4-11,227,630
Overland Park 4-12,304,852
Overland Park 4-13,103,488
Overland Park 4-14,103,365
Overland Park 4-15,218,817
Overland Park 4-16,163,634
Overland Park 4-17,213,658
Overland Park 4-18,66,120
Overland Park 5-01,205,579
Overland Park 5-02,125,306
Overland Park 5-03,152,447
Overland Park 5-04,253,461
Overland Park 5-05,192,378
Overland Park 5-06,203,546
Overland Park 5-07,159,818
Overland Park 5-08,290,882
Overland Park 5-09,237,756
Overland Park 5-10,208,591
Overland Park 5-11,299,668
Overland Park 5-12,74,152
Overland Park 5-13,250,662
Overland Park 5-14,198,555
Overland Park 5-15,203,503
Overland Park 5-16,131,356
Overland Park 5-17,92,239
Overland Park 5-18,174,434
Overland Park 5-19,12,60
Overland Park 6-01,210,718
Overland Park 6-02,158,582
Overland Park 6-03,171,715
Overland Park 6-04,149,732
Overland Park 6-05,243,722
Overland Park 6-06,0,1
Overland Park 6-07,46,206
Overland Park 6-08,163,906
Overland Park 6-09,268,791
Overland Park 6-10,219,595
Overland Park 6-11,208,571
Overland Park 6-12,102,255
Overland Park 6-13,192,780
Overland Park 6-14,1,2
Overland Park 6-15,186,838
Overland Park 6-16,107,458
Overland Park 6-17,195,613
Overland Park 6-18,0,0
Overland Park 6-19,235,702
Overland Park 6-20,77,327
Overland Park 6-21,136,963
Overland Park 6-22,59,266
Overland Park 6-23,41,121
Oxford Twp 0-01,1,0
Oxford Twp 0-02,121,432
Oxford Twp 0-03,0,0
Oxford Twp 0-04,116,355
Oxford Twp 0-05,0,14
Oxford Twp 0-08,0,0
Oxford Twp 0-09,12,19
Oxford Twp 0-10,0,2
Oxford Twp 0-11,15,96
Prairie Village 1-01,283,514
Prairie Village 1-02,207,372
Prairie Village 1-03,296,530
Prairie Village 2-01,255,400
Prairie Village 2-02,155,236
Prairie Village 2-03,253,385
Prairie Village 3-01,153,329
Prairie Village 3-02,238,472
Prairie Village 3-03,253,393
Prairie Village 4-01,195,532
Prairie Village 4-02,182,330
Prairie Village 4-03,264,502
Prairie Village 5-01,237,527
Prairie Village 5-02,187,560
Prairie Village 5-03,155,405
Prairie Village 6-01,263,487
Prairie Village 6-02,241,346
Prairie Village 6-03,191,263
Roeland Park 1-01,149,197
Roeland Park 1-02,100,137
Roeland Park 1-03,0,0
Roeland Park 2-01,154,202
Roeland Park 2-02,191,268
Roeland Park 3-01,136,162
Roeland Park 3-02,218,311
Roeland Park 4-01,88,156
Roeland Park 4-02,298,407
Shawnee 1-01,292,537
Shawnee 1-02,151,417
Shawnee 1-03,191,382
Shawnee 1-04,250,719
Shawnee 1-05,313,687
Shawnee 1-06,182,570
Shawnee 1-07,259,579
Shawnee 1-08,246,683
Shawnee 1-09,72,89
Shawnee 1-10,54,231
Shawnee 1-11,157,505
Shawnee 1-12,4,5
Shawnee 2-01,149,235
Shawnee 2-02,232,442
Shawnee 2-03,242,366
Shawnee 2-04,304,528
Shawnee 2-05,157,273
Shawnee 2-06,169,402
Shawnee 2-07,187,309
Shawnee 2-08,168,277
Shawnee 2-09,177,270
Shawnee 2-10,138,246
Shawnee 2-11,185,395
Shawnee 2-12,95,100
Shawnee 2-13,93,212
Shawnee 3-01,131,442
Shawnee 3-02,246,797
Shawnee 3-03,210,617
Shawnee 3-04,154,579
Shawnee 3-05,200,728
Shawnee 3-06,270,567
Shawnee 3-07,262,727
Shawnee 3-08,216,730
Shawnee 3-09,118,425
Shawnee 4-01,293,706
Shawnee 4-02,157,409
Shawnee 4-03,80,173
Shawnee 4-04,172,178
Shawnee 4-05,262,512
Shawnee 4-06,215,451
Shawnee 4-07,264,721
Shawnee 4-08,87,257
Shawnee 4-09,353,808
Shawnee 4-10,0,0
Shawnee 4-11,224,391
Shawnee 4-12,0,0
Shawnee 4-13,24,74
Spring Hill 0-01,322,906
Spring Hill 0-02,0,0
Spring Hill 0-03,4,34
Spring Hill 0-04,0,0
Spring Hill Twp 0-01,200,661
Spring Hill Twp 0-02,0,2
Spring Hill Twp 0-03,19,66
Spring Hill Twp 0-04,3,15
Spring Hill Twp 0-05,4,9
Westwood 0-01,205,221
Westwood 0-02,152,250
Westwood Hills 0-01,83,134
Total,73018,177044
City Ward,,
Aubry Township,499,1835
Bonner Springs Ward 4,0,0
De Soto,641,1566
Edgerton,163,455
Fairway Ward 1,157,396
Fairway Ward 2,169,308
Fairway Ward 3,169,462
Fairway Ward 4,271,271
Gardner,1930,4990
Gardner Township,261,706
Lake Quivira,130,486
Leawood Ward 1,1024,2512
Leawood Ward 2,1018,3216
Leawood Ward 3,1102,3836
Leawood Ward 4,1084,4471
Lenexa Ward 1,1777,3938
Lenexa Ward 2,1423,4437
Lenexa Ward 3,2079,3926
Lenexa Ward 4,1776,3499
Lexington Township,186,561
McCamish Township,120,411
Merriam Ward 1,423,599
Merriam Ward 2,430,629
Merriam Ward 3,491,649
Merriam Ward 4,539,860
Mission Hills,414,1735
Mission Ward 1,439,550
Mission Ward 2,407,497
Mission Ward 3,409,568
Mission Ward 4,458,791
Mission Woods,38,64
Olathe Township,161,382
Olathe Ward 1,3433,8790
Olathe Ward 2,3634,9498
Olathe Ward 3,3964,11810
Olathe Ward 4,3399,7298
Overland Park Ward 1,4663,6779
Overland Park Ward 2,4832,9376
Overland Park Ward 3,4226,9697
Overland Park Ward 4,3052,10543
Overland Park Ward 5,3457,9393
Overland Park Ward 6,3166,11864
Oxford Township,265,918
Prairie Village Ward 1,786,1416
Prairie Village Ward 2,663,1021
Prairie Village Ward 3,644,1194
Prairie Village Ward 4,641,1364
Prairie Village Ward 5,579,1492
Prairie Village Ward 6,695,1096
Roeland Park Ward 1,249,334
Roeland Park Ward 2,345,470
Roeland Park Ward 3,354,473
Roeland Park Ward 4,386,563
Shawnee Ward 1,2171,5404
Shawnee Ward 2,2296,4055
Shawnee Ward 3,1807,5612
Shawnee Ward 4,2131,4680
Spring Hill,326,940
Spring Hill Township,226,753
Westwood,357,471
Westwood Hills,83,134
Total,73018,177044
Municipality,,
Bonner Springs,0,0
De Soto,641,1566
Edgerton,163,455
Fairway,766,1437
Gardner,1930,4990
Lake Quivira,130,486
Leawood,4228,14035
Lenexa,7055,15800
Merriam,1883,2737
Mission,1713,2406
Mission Hills,414,1735
Mission Woods,38,64
Olathe,14430,37396
Overland Park,23396,57652
Prairie Village,4008,7583
Roeland Park,1334,1840
Shawnee,8405,19751
Spring Hill,326,940
Westwood,357,471
Westwood Hills,83,134
No Matching District,1718,5566
Total,73018,177044
