PRECINCT,Candidate,Votes
101,Barack Obama,527
101,Chuck Baldwin,3
101,Gary Johnson,36
101,Mitt Romney,458
101,WRITE-IN,7
102,Barack Obama,205
102,Chuck Baldwin,3
102,Gary Johnson,6
102,Mitt Romney,153
102,WRITE-IN,2
103,Barack Obama,58
103,Chuck Baldwin,0
103,Gary Johnson,1
103,Mitt Romney,47
103,WRITE-IN,0
104,Barack Obama,15
104,Chuck Baldwin,0
104,Gary Johnson,1
104,Mitt Romney,20
104,WRITE-IN,1
105,Barack Obama,370
105,Chuck Baldwin,2
105,Gary Johnson,23
105,Mitt Romney,181
105,WRITE-IN,7
106,Barack Obama,164
106,Chuck Baldwin,2
106,Gary Johnson,12
106,Mitt Romney,108
106,WRITE-IN,9
107,Barack Obama,578
107,Chuck Baldwin,1
107,Gary Johnson,15
107,Mitt Romney,111
107,WRITE-IN,6
108,Barack Obama,467
108,Chuck Baldwin,1
108,Gary Johnson,25
108,Mitt Romney,271
108,WRITE-IN,7
109,Barack Obama,765
109,Chuck Baldwin,4
109,Gary Johnson,25
109,Mitt Romney,290
109,WRITE-IN,8
110 & 111,Barack Obama,139
110 & 111,Chuck Baldwin,1
110 & 111,Gary Johnson,4
110 & 111,Mitt Romney,186
110 & 111,WRITE-IN,1
112,Barack Obama,772
112,Chuck Baldwin,2
112,Gary Johnson,16
112,Mitt Romney,336
112,WRITE-IN,4
113,Barack Obama,718
113,Chuck Baldwin,1
113,Gary Johnson,13
113,Mitt Romney,63
113,WRITE-IN,4
114,Barack Obama,768
114,Chuck Baldwin,2
114,Gary Johnson,8
114,Mitt Romney,19
114,WRITE-IN,0
116,Barack Obama,1159
116,Chuck Baldwin,1
116,Gary Johnson,10
116,Mitt Romney,53
116,WRITE-IN,2
117,Barack Obama,1050
117,Chuck Baldwin,4
117,Gary Johnson,4
117,Mitt Romney,49
117,WRITE-IN,2
118,Barack Obama,956
118,Chuck Baldwin,2
118,Gary Johnson,11
118,Mitt Romney,149
118,WRITE-IN,5
119,Barack Obama,651
119,Chuck Baldwin,2
119,Gary Johnson,10
119,Mitt Romney,242
119,WRITE-IN,5
120,Barack Obama,565
120,Chuck Baldwin,3
120,Gary Johnson,13
120,Mitt Romney,291
120,WRITE-IN,7
121,Barack Obama,384
121,Chuck Baldwin,2
121,Gary Johnson,13
121,Mitt Romney,437
121,WRITE-IN,3
122,Barack Obama,785
122,Chuck Baldwin,5
122,Gary Johnson,22
122,Mitt Romney,633
122,WRITE-IN,13
123,Barack Obama,50
123,Chuck Baldwin,0
123,Gary Johnson,2
123,Mitt Romney,59
123,WRITE-IN,1
126,Barack Obama,93
126,Chuck Baldwin,0
126,Gary Johnson,2
126,Mitt Romney,125
126,WRITE-IN,1
127,Barack Obama,85
127,Chuck Baldwin,2
127,Gary Johnson,2
127,Mitt Romney,152
127,WRITE-IN,3
128,Barack Obama,122
128,Chuck Baldwin,1
128,Gary Johnson,4
128,Mitt Romney,54
128,WRITE-IN,1
129,Barack Obama,133
129,Chuck Baldwin,3
129,Gary Johnson,16
129,Mitt Romney,94
129,WRITE-IN,1
130,Barack Obama,361
130,Chuck Baldwin,4
130,Gary Johnson,24
130,Mitt Romney,222
130,WRITE-IN,5
131,Barack Obama,4
131,Chuck Baldwin,0
131,Gary Johnson,0
131,Mitt Romney,10
131,WRITE-IN,0
132 & 124,Barack Obama,14
132 & 124,Chuck Baldwin,0
132 & 124,Gary Johnson,0
132 & 124,Mitt Romney,4
132 & 124,WRITE-IN,1
201,Barack Obama,627
201,Chuck Baldwin,1
201,Gary Johnson,49
201,Mitt Romney,632
201,WRITE-IN,9
202,Barack Obama,591
202,Chuck Baldwin,3
202,Gary Johnson,21
202,Mitt Romney,666
202,WRITE-IN,11
203,Barack Obama,473
203,Chuck Baldwin,2
203,Gary Johnson,19
203,Mitt Romney,513
