precinct,williamson,palmer,phillips,biden,nonedem,trump,haley,desantis,binkley,nonerep
Andover W1,1,1,1,33,3,94,20,0,0,8
Andover W2,1,0,0,25,10,112,28,2,1,13
Andover W3,0,0,0,17,1,54,14,3,0,0
Andover W4,0,0,0,1,0,4,2,0,0,0
Augusta City W1,1,0,0,10,2,39,7,1,1,1
Augusta City W2,0,0,0,10,0,39,9,0,0,1
Augusta City W3,1,0,2,25,3,85,25,4,1,9
Augusta City W4,0,0,2,11,4,70,20,1,0,1
Augusta Twp,1,1,0,14,3,43,7,2,0,1
Benton City,2,0,0,6,1,42,3,1,0,1
Benton Twp,0,0,0,10,5,62,14,6,1,4
Bloomington Twp,0,0,0,2,1,21,4,1,0,0
Bruno Twp North,1,0,0,14,2,56,15,3,0,3
Bruno Twp South,0,0,0,2,0,19,4,0,0,0
Cassoday City,0,0,0,0,1,7,1,0,0,1
Chelsea Twp,0,0,0,4,0,7,2,1,0,0
Clay Twp,0,0,0,3,1,5,0,0,0,0
Clifford Twp,0,0,0,0,1,5,0,0,0,0
Douglass City,0,1,0,15,1,34,13,0,0,2
Douglass Twp,0,0,0,5,0,15,1,6,0,1
El Dorado Twp East,0,0,0,0,0,2,1,0,0,0
El Dorado Twp West,0,0,2,1,0,17,2,1,0,0
El Dorado W1,1,1,1,46,5,89,36,1,1,2
El Dorado W2,2,1,0,45,8,116,21,1,0,8
El Dorado W3,0,0,0,4,2,33,5,1,0,2
El Dorado W4,0,1,0,17,3,48,6,4,0,2
Elbing City,0,0,0,2,0,8,0,0,0,0
Fairmount Twp,0,0,0,0,2,12,1,3,0,0
Fairview Twp,0,0,0,1,0,34,1,0,0,0
Glencoe Twp,0,0,0,5,0,4,0,0,0,0
Hickory Twp,0,0,1,1,0,2,1,0,0,0
Latham City,0,0,0,3,0,1,0,0,0,0
Leon City,0,1,0,3,1,16,2,0,0,0
Lincoln Twp,0,0,0,0,0,16,3,1,0,0
Little Walnut Twp,0,0,1,2,0,7,3,0,0,1
Logan Twp,0,0,0,1,0,7,1,0,0,0
Milton Twp,0,0,0,4,1,15,4,7,3,0
Murdock Twp,0,0,0,5,0,21,3,2,0,0
Pleasant Twp,1,0,0,10,1,106,20,4,0,3
Plum Grove Twp,0,0,0,1,0,7,0,0,0,2
Potwin City,1,1,0,2,0,2,0,0,0,0
Prospect Twp,1,0,0,10,1,48,3,1,0,1
Richland Twp,0,0,0,10,0,36,9,2,0,4
Rock Creek Twp,0,0,0,0,0,10,0,0,0,1
Rosalia Twp,1,0,0,1,2,39,2,1,0,1
Rose Hill City,0,0,1,20,3,124,22,8,0,3
Spring Twp,0,0,2,6,2,43,8,5,0,4
Sycamore Twp,0,0,0,2,0,17,0,0,0,2
Towanda City,2,0,0,7,2,40,4,1,0,0
Towanda Twp,0,0,0,2,2,53,8,3,0,2
Union Twp,0,0,0,0,0,1,0,0,0,0
Walnut Twp,0,0,0,9,0,27,2,1,0,0
Whitewater City,1,0,0,3,1,71,4,5,1,2
