COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Democratic,REGISTERED VOTERS - Republican,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic,BALLOTS CAST - Republican,BALLOTS CAST BLANK,DEM For President,DEM For President,DEM For President,DEM For President,DEM For President,DEM For President,DEM For President,REP For President,REP For President,REP For President,REP For President,REP For President,REP For President,REP For President
,,,,DEM,REP,NON,,DEM,REP,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,REP,REP,REP,REP,REP,REP,REP
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Marianne Williamson,Jason Michael Palmer,Dean Phillips,Joseph R Biden Jr,None of the names shown,OVER VOTES,UNDER VOTES,Donald J. Trump,Nikki R. Haley,Ron DeSantis,Ryan L. Binkley,None of the names shown,OVER VOTES,UNDER VOTES
177,1,1 East Rossville,678,136,376,166,63,7,56,0,0,0,0,6,1,0,0,47,6,3,0,0,0,0
177,2,2 West Rossville,541,71,319,151,40,6,34,0,0,0,0,5,1,0,0,31,2,1,0,0,0,0
177,9,9 East Silver Lake,829,179,429,221,64,16,48,0,2,1,0,10,3,0,0,28,13,1,1,5,0,0
177,10,10 West Silver Lake,530,147,254,129,47,11,36,0,1,0,0,8,2,0,0,26,6,1,0,3,0,0
177,12,12 Grove,551,82,320,149,43,6,37,0,0,0,0,4,2,0,0,31,3,1,0,2,0,0
177,14,14 Kiro,702,143,374,185,72,13,59,0,1,1,0,10,1,0,0,55,3,0,0,1,0,0
177,15,15 Messhoss Creek,542,104,274,164,42,16,26,0,1,0,0,13,2,0,0,21,3,1,0,1,0,0
177,16,16 SE Kiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,17,17 Croco,3,1,1,1,0,0,0,0,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted
177,18,18 Flathead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,22,22 Little Muddy Creek,455,103,229,123,32,8,24,0,1,0,0,5,2,0,0,19,4,1,0,0,0,0
177,24,24 Sac,788,192,367,229,62,18,44,0,0,0,0,13,5,0,0,32,6,1,1,4,0,0
177,25,25 Sherman,699,154,339,206,69,10,59,0,1,0,0,8,1,0,0,38,14,5,0,2,0,0
177,26,26 Iroquois,919,228,398,293,68,31,37,0,0,0,0,29,2,0,0,27,7,0,2,1,0,0
177,28,28 West Wichita,581,141,272,168,34,12,22,0,0,0,0,10,2,0,0,18,3,1,0,0,0,0
177,29,29 Indianola,738,166,352,220,58,16,42,0,1,0,0,15,0,0,0,25,14,0,0,3,0,0
177,30,30 Apache,699,152,356,191,58,15,43,0,0,0,1,13,1,0,0,33,6,2,0,2,0,0
177,31,31 East Wichita,1048,230,515,303,67,13,54,0,1,1,0,9,2,0,0,38,14,0,0,2,0,0
177,32,32 Fox,802,151,452,199,91,11,80,0,0,1,3,6,1,0,0,63,10,5,1,1,0,0
177,33,33 Elmont,1078,252,538,288,101,24,77,0,0,0,1,20,3,0,0,59,14,1,2,1,0,0
177,34,34 Kilmer,215,38,116,61,13,3,10,0,0,0,0,3,0,0,0,9,0,0,0,1,0,0
177,35,35 Rochester,688,145,312,231,60,23,37,0,1,1,2,18,1,0,0,27,6,3,0,1,0,0
177,36,36 East Soldier,774,195,342,237,65,29,36,0,1,0,0,26,2,0,0,23,13,0,0,0,0,0
177,37,37 Whitfield,589,135,270,184,41,7,34,0,0,0,1,5,1,0,0,22,6,1,0,5,0,0
177,38,38 Sioux,635,155,314,166,55,23,32,0,2,0,1,16,4,0,0,18,9,2,0,3,0,0
177,39,39 Pottawatomie,810,211,369,230,73,20,53,0,0,0,1,14,5,0,0,42,8,1,0,2,0,0
177,40,40 Stinson Creek,274,83,125,66,24,4,20,0,0,0,0,4,0,0,0,13,5,0,0,2,0,0
177,41,41 North Tecumseh,652,193,274,185,44,14,30,0,0,0,0,13,1,0,0,20,7,1,2,0,0,0
177,42,42 South Tecumseh,572,163,273,136,80,29,51,0,0,0,0,26,3,0,0,38,9,4,0,0,0,0
177,43,43 Pawnee,750,167,387,196,85,27,58,0,1,0,0,23,3,0,0,38,12,3,1,4,0,0
177,44,44 Kaw,692,177,335,180,58,20,38,0,0,0,0,18,2,0,0,24,12,0,0,2,0,0
177,45,45 Peck,443,152,181,110,40,17,23,0,1,0,0,16,0,0,0,16,3,2,1,1,0,0
177,46,46 East Peck,434,111,198,125,38,11,27,0,0,1,0,9,1,0,0,16,7,3,0,1,0,0
177,47,47 Kiowa,972,329,378,265,111,42,69,0,0,0,0,36,6,0,0,57,9,2,0,1,0,0
177,48,48 Cheyenne,734,197,297,240,64,18,46,0,1,0,0,17,0,0,0,39,7,0,0,0,0,0
177,49,49 Ponca,426,128,188,110,48,16,32,0,0,0,0,16,0,0,0,26,3,0,0,3,0,0
177,50,50 North Potter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,51,51 Channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,52,52 Deer Creek,29,8,12,9,5,3,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
177,53,53 Pauline,262,73,120,69,32,16,16,0,1,0,0,10,5,0,0,8,7,0,0,1,0,0
177,54,54 West Potter,109,24,59,26,6,2,4,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0
177,55,55 Central Pauline,156,34,51,71,11,4,7,0,0,0,0,3,1,0,0,6,0,0,0,1,0,0
177,56,56 NW Monmouth,536,114,301,121,48,9,39,0,1,0,0,8,0,0,0,23,13,0,0,3,0,0
177,57,57 NE Monmouth,725,195,340,190,60,19,41,0,1,0,1,14,3,0,0,29,7,2,1,2,0,0
177,58,58 South Monmouth,912,173,509,230,115,29,86,0,2,0,1,25,1,0,0,68,12,0,1,5,0,0
177,59,59 NC Monmouth,374,66,205,103,31,7,24,0,0,0,0,6,1,0,0,14,8,0,0,2,0,0
177,62,62 Forbes,78,18,40,20,8,1,7,0,0,1,0,0,0,0,0,5,0,2,0,0,0,0
177,63,63 Montara,699,154,226,319,33,12,21,0,1,0,0,11,0,0,0,15,6,0,0,0,0,0
177,64,64 Cullen,742,179,217,346,27,6,21,0,1,1,0,3,1,0,0,18,2,1,0,0,0,0
177,65,65 Wakarusa,715,134,404,177,89,27,62,0,1,0,1,25,0,0,0,47,10,3,0,2,0,0
177,66,66 Kingston,190,35,94,61,20,2,18,0,0,0,0,2,0,0,0,17,1,0,0,0,0,0
177,72,72 City Of Auburn,769,156,336,277,78,15,63,0,2,0,0,11,2,0,0,49,11,0,0,3,0,0
177,73,73 Meadowlark,915,148,545,222,75,10,65,0,0,0,0,7,3,0,0,55,4,1,0,5,0,0
177,74,74 Buffalo,674,106,391,177,56,14,42,0,0,0,0,11,3,0,0,33,5,0,0,4,0,0
177,78,78 Hodges Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,80,80 Gaillardia,799,190,414,195,67,17,50,0,1,1,0,15,0,0,0,29,11,6,1,3,0,0
177,81,81 Dover,535,118,306,111,56,14,42,0,3,0,0,9,2,0,0,38,3,1,0,0,0,0
177,82,82 Willard,492,75,297,120,58,11,47,0,1,0,1,8,1,0,0,37,7,1,0,2,0,0
177,83,83 Ichabod Washburn,13,3,5,5,2,0,2,0,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted
177,84,84 Yucca,246,40,129,77,17,3,14,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0
177,85,85 Aldersgate,321,106,172,43,61,28,33,0,0,0,0,28,0,0,0,14,11,1,1,6,0,0
177,86,86 Sunflower,1123,211,609,303,100,23,77,0,0,0,1,22,0,0,0,54,18,1,2,2,0,0
177,87,87 Washburn,801,163,397,241,63,14,49,0,0,0,0,13,1,0,0,31,11,1,0,6,0,0
177,89,89 North Mission,176,35,101,40,17,3,14,0,0,0,0,1,2,0,0,13,1,0,0,0,0,0
177,90,90 South Mission,492,83,291,118,44,13,31,0,5,0,0,8,0,0,0,23,6,1,0,1,0,0
177,91,91 Central Mission,772,199,372,201,83,25,58,0,1,0,0,23,1,0,0,40,13,2,1,2,0,0
177,92,92 Sherwood,554,127,290,137,37,9,28,0,0,0,0,9,0,0,0,17,7,2,0,2,0,0
177,93,93 South Sherwood,575,124,336,115,53,16,37,0,0,0,0,12,4,0,0,19,17,0,0,1,0,0
177,94,94 Indian Hills,653,162,309,182,36,10,26,0,0,0,0,9,1,0,0,19,6,1,0,0,0,0
177,95,95 York,664,167,353,144,57,19,38,0,0,1,0,14,4,0,0,19,10,4,0,5,0,0
177,96,96 Vaquero,461,114,229,118,47,14,33,0,0,1,0,12,1,0,0,28,3,1,0,1,0,0
177,97,97 York Outer,70,22,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,98,98 NE Mission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,99,99 Verbena,111,27,59,25,4,3,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
