"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"PRESIDENT/VP (Vote For 1)","Trump-Vance","REP",9591,59.32,23495,16273,41,41,"0","0"
2,"PRESIDENT/VP (Vote For 1)","Harris-Walz","DEM",6202,38.36,23495,16273,41,41,"0","0"
3,"PRESIDENT/VP (Vote For 1)","Kennedy-Shanahan","IND",216,1.34,23495,16273,41,41,"0","0"
4,"PRESIDENT/VP (Vote For 1)","Write-in","NP",83,0.51,23495,16273,41,41,"0","0"
5,"PRESIDENT/VP (Vote For 1)","Oliver-ter Maat","LIBERT",77,0.48,23495,16273,41,41,"0","0"
6,"US REPRESENTATIVE  4TH DISTRICT (Vote For 1)","Ron Estes","REP",10227,64.33,23495,16273,41,41,"0","0"
7,"US REPRESENTATIVE  4TH DISTRICT (Vote For 1)","Esau Freeman","DEM",5657,35.58,23495,16273,41,41,"0","0"
8,"US REPRESENTATIVE  4TH DISTRICT (Vote For 1)","Write-in","NP",14,0.09,23495,16273,41,41,"0","0"
9,"STATE SENATE - District 31 (Vote For 1)","Stephen Owens","REP",9788,61.73,23495,16273,41,41,"0","0"
10,"STATE SENATE - District 31 (Vote For 1)","Jason Miller","DEM",6047,38.14,23495,16273,41,41,"0","0"
11,"STATE SENATE - District 31 (Vote For 1)","Write-in","NP",20,0.13,23495,16273,41,41,"0","0"
12,"STATE REPRESENTATIVE 72ND DIST (Vote For 1)","Avery Anderson","REP",6166,63.69,15097,10017,22,22,"0","0"
13,"STATE REPRESENTATIVE 72ND DIST (Vote For 1)","Heidi Hoskinson","DEM",3500,36.15,15097,10017,22,22,"0","0"
14,"STATE REPRESENTATIVE 72ND DIST (Vote For 1)","Write-in","NP",15,0.15,15097,10017,22,22,"0","0"
15,"STATE REPRESENTATIVE  74TH DIST (Vote For 1)","Mike King","REP",4073,66.72,8398,6256,19,19,"0","0"
16,"STATE REPRESENTATIVE  74TH DIST (Vote For 1)","Jenna Ratzlaff","DEM",2026,33.19,8398,6256,19,19,"0","0"
17,"STATE REPRESENTATIVE  74TH DIST (Vote For 1)","Write-in","NP",6,0.10,8398,6256,19,19,"0","0"
18,"COUNTY COMMISSIONER-2nd DIST (Vote For 1)","Terry Scott","REP",2573,51.99,7812,5165,8,8,"0","0"
19,"COUNTY COMMISSIONER-2nd DIST (Vote For 1)","Mark Jenkins","DEM",2360,47.69,7812,5165,8,8,"0","0"
20,"COUNTY COMMISSIONER-2nd DIST (Vote For 1)","Write-in","NP",16,0.32,7812,5165,8,8,"0","0"
21,"COUNTY COMMISSIONER-3rd DIST (Vote For 1)","Don Schroeder","REP",4360,78.02,7925,5818,19,19,"0","0"
22,"COUNTY COMMISSIONER-3rd DIST (Vote For 1)","Richard D. McDiffett","DEM",1218,21.80,7925,5818,19,19,"0","0"
23,"COUNTY COMMISSIONER-3rd DIST (Vote For 1)","Write-in","NP",10,0.18,7925,5818,19,19,"0","0"
24,"COUNTY CLERK (Vote For 1)","Rick Piepho","REP",12551,97.86,23495,16273,41,41,"0","0"
25,"COUNTY CLERK (Vote For 1)","Write-in","NP",274,2.14,23495,16273,41,41,"0","0"
26,"COUNTY TREASURER (Vote For 1)","Amy Perkins","REP",10127,64.73,23495,16273,41,41,"0","0"
27,"COUNTY TREASURER (Vote For 1)","Mark Llamas","DEM",4902,31.33,23495,16273,41,41,"0","0"
28,"COUNTY TREASURER (Vote For 1)","Write-in","NP",617,3.94,23495,16273,41,41,"0","0"
29,"REGISTER OF DEEDS (Vote For 1)","Raquel R. Langley","REP",12674,98.42,23495,16273,41,41,"0","0"
30,"REGISTER OF DEEDS (Vote For 1)","Write-in","NP",203,1.58,23495,16273,41,41,"0","0"
31,"COUNTY ATTORNEY (Vote For 1)","Heather L. Figger","REP",12390,98.18,23495,16273,41,41,"0","0"
32,"COUNTY ATTORNEY (Vote For 1)","Write-in","NP",230,1.82,23495,16273,41,41,"0","0"
33,"COUNTY SHERIFF (Vote For 1)","Chad E. Gay","REP",13026,97.90,23495,16273,41,41,"0","0"
34,"COUNTY SHERIFF (Vote For 1)","Write-in","NP",280,2.10,23495,16273,41,41,"0","0"
35,"ALTA TOWNSHIP TRUSTEE (Vote For 1)","Gregg Ratzlaff","REP",118,99.16,178,127,1,1,"0","0"
36,"ALTA TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",1,0.84,178,127,1,1,"0","0"
37,"ALTA TOWNSHIP TREASURER (Vote For 1)","Kelton (Kelly) Pitts","REP",120,100.00,178,127,1,1,"0","0"
38,"ALTA TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",0,0.00,178,127,1,1,"0","0"
39,"BURRTON TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",69,100.00,640,416,2,2,"0","0"
40,"BURRTON TOWNSHIP TREASURER (Vote For 1)","Larry Ressler","REP",349,96.94,640,416,2,2,"0","0"
41,"BURRTON TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",11,3.06,640,416,2,2,"0","0"
42,"DARLINGTON TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",68,100.00,432,350,2,2,"0","0"
