Precinct,,Rep Amanda L. Adkins,,Dem Sharice L. Davids,,Lib Steven A. Hohe,,Write-in Totals,,,,,
BS 1-1,,397,,385,,47,,1,,,,,
BS 2-1,,306,,302,,35,,1,,,,,
BS 3-1,,428,,433,,36,,2,,,,,
BS 4-1,,559,,590,,50,,3,,,,,
DE 1-1,,16,,9,,1,,0,,,,,
ED 1-1,,765,,732,,81,,0,,,,,
ED 2-1,,134,,109,,16,,1,,,,,
KC 1-1,,14,,114,,1,,0,,,,,
KC 1-2,,12,,138,,2,,1,,,,,
KC 1-3,,18,,122,,4,,0,,,,,
KC 2-1,,47,,202,,12,,0,,,,,
KC 2-2,,12,,157,,3,,0,,,,,
KC 2-3,,5,,36,,1,,0,,,,,
KC 2-4,,12,,184,,1,,0,,,,,
KC 2-5,,35,,300,,6,,0,,,,,
KC 3-1,,26,,433,,11,,0,,,,,
KC 3-2,,16,,437,,6,,1,,,,,
KC 3-3,,6,,77,,2,,0,,,,,
KC 3-4,,15,,313,,11,,0,,,,,
KC 4-1,,88,,326,,12,,0,,,,,
KC 4-2,,28,,121,,4,,0,,,,,
KC 4-3,,63,,239,,6,,2,,,,,
KC 4-4,,132,,397,,16,,1,,,,,
KC 5-1,,82,,399,,14,,1,,,,,
KC 5-2,,40,,143,,10,,2,,,,,
KC 5-3,,30,,155,,6,,1,,,,,
KC 5-4,,46,,158,,7,,1,,,,,
KC 5-5,,53,,198,,17,,0,,,,,
KC 6-1,,84,,220,,9,,2,,,,,
KC 6-2,,34,,66,,4,,0,,,,,
KC 7-1,,111,,193,,12,,1,,,,,
KC 7-2,,55,,230,,9,,2,,,,,
KC 7-3,,73,,275,,9,,0,,,,,
KC 7-4,,243,,323,,31,,1,,,,,
KC 7-5,,30,,78,,4,,0,,,,,
KC 7-6,,176,,502,,28,,0,,,,,
KC 7-7,,44,,171,,12,,1,,,,,
KC 7-8,,259,,608,,37,,1,,,,,
KC 7-9,,286,,402,,22,,1,,,,,
KC 8-1,,97,,471,,18,,0,,,,,
KC 8-2,,93,,531,,21,,1,,,,,
KC 8-3,,157,,652,,27,,1,,,,,
KC 8-4,,144,,468,,20,,1,,,,,
KC 9-1,,24,,60,,0,,1,,,,,
KC 9-2,,127,,298,,6,,0,,,,,
KC 9-3,,197,,673,,21,,0,,,,,
KC 9-4,,59,,65,,3,,0,,,,,
KC 9-5,,22,,6,,2,,0,,,,,
KC 9-6,,87,,398,,15,,1,,,,,
KC 9-7,,187,,311,,20,,1,,,,,
KC 9-8,,72,,252,,9,,1,,,,,
KC 9-9,,86,,129,,10,,1,,,,,
KC 9-10,,199,,471,,23,,0,,,,,
KC 9-11,,167,,545,,28,,3,,,,,
KC 9-12,,248,,359,,37,,1,,,,,
KC 9-13,,188,,219,,29,,1,,,,,
KC 9-14,,260,,281,,24,,0,,,,,
KC 9-15,,0,,0,,0,,0,,,,,
KC 9-16,,534,,837,,50,,3,,,,,
KC 10-1,,21,,419,,6,,1,,,,,
KC 10-2,,58,,657,,15,,1,,,,,
KC 10-3,,0,,32,,1,,0,,,,,
KC 10-4,,34,,252,,12,,1,,,,,
KC 10-5,,107,,472,,9,,1,,,,,
KC 11-1,,80,,510,,13,,2,,,,,
KC 11-2,,52,,386,,5,,0,,,,,
KC 11-3,,109,,551,,23,,3,,,,,
KC 11-4,,72,,447,,21,,1,,,,,
KC 11-5,,143,,441,,21,,0,,,,,
KC 11-6,,68,,383,,8,,0,,,,,
KC 11-7,,93,,297,,7,,0,,,,,
KC 11-8,,67,,450,,11,,0,,,,,
KC 11-9,,81,,394,,16,,0,,,,,
KC 11-10,,116,,534,,15,,0,,,,,
KC 11-11,,224,,525,,17,,1,,,,,
KC 11-12,,58,,109,,7,,0,,,,,
KC 12-1,,175,,435,,14,,0,,,,,
KC 12-2,,68,,219,,14,,0,,,,,
KC 12-3,,163,,406,,19,,0,,,,,
KC 12-4,,234,,366,,30,,0,,,,,
KC 12-5,,290,,290,,15,,0,,,,,
KC 12-6,,230,,326,,34,,1,,,,,
KC 12-7,,174,,317,,26,,1,,,,,
KC 12-8,,227,,346,,31,,3,,,,,
KC 12-9,,216,,339,,24,,0,,,,,
KC 12-10,,222,,170,,14,,3,,,,,
KC 12-11,,118,,87,,13,,0,,,,,
KC 13-1,,84,,492,,14,,0,,,,,
KC 13-2,,134,,376,,15,,1,,,,,
KC 13-3,,95,,345,,15,,0,,,,,
KC 13-4,,37,,293,,4,,1,,,,,
