Precinct,,Rep Amanda L. Adkins,,Dem Sharice L. Davids,,Lib Steven A. Hohe,,Write-in Totals,,,,,
KC 13-5,,114,,371,,25,,1,,,,,
KC 13-6,,131,,335,,21,,0,,,,,
KC 13-7,,143,,220,,12,,0,,,,,
KC 13-8,,105,,282,,17,,0,,,,,
KC 13-9,,118,,409,,21,,1,,,,,
KC 14-1,,241,,351,,35,,1,,,,,
KC 14-2,,89,,214,,6,,0,,,,,
KC 14-3,,68,,211,,6,,1,,,,,
KC 14-4,,140,,390,,12,,2,,,,,
KC 14-5,,115,,363,,20,,0,,,,,
KC 14-6,,192,,422,,24,,0,,,,,
KC 14-7,,221,,593,,24,,0,,,,,
KC 14-8,,199,,421,,19,,0,,,,,
KC 14-9,,219,,153,,9,,1,,,,,
KC 14-10,,528,,709,,30,,1,,,,,
KC 14-11,,221,,417,,13,,1,,,,,
KC 14-12,,529,,678,,43,,1,,,,,
KC 14-13,,366,,500,,24,,3,,,,,
KC 14-14,,652,,701,,51,,0,,,,,
KC 14-15,,660,,621,,41,,0,,,,,
KC 14-16,,147,,211,,12,,0,,,,,
QC 1-1,,12,,11,,2,,0,,,,,
Totals,,"16,788",,"37,552",,"1,914",,77,,,,,
