PRECINCT NAME,Amanda L. Adkins,Sharice L. Davids,Steven A. Hohe,Write-in
Aubry Township Precinct 01,96,47,2,0
Aubry Township Precinct 02,616,354,28,0
Aubry Township Precinct 03,321,193,17,0
Aubry Township Precinct 04,849,464,37,0
Aubry Township Precinct 05,11,7,0,0
Aubry Township Precinct 06,80,36,6,0
Aubry Township Precinct 07,0,0,0,0
Gardner Township Precinct 01,339,168,12,0
Gardner Township Precinct 02,307,155,12,1
Gardner Township Precinct 03,0,0,0,0
Gardner Township Precinct 04,0,0,0,0
Gardner Township Precinct 05,5,0,0,0
Gardner Township Precinct 06,0,0,0,0
Gardner Township Precinct 07,2,1,0,0
Gardner Township Precinct 08,2,3,0,0
Gardner Township Precinct 09,2,1,0,0
Gardner Township Precinct 10,4,1,1,0
Gardner Township Precinct 11,75,57,7,0
Gardner Township Precinct 13,3,0,0,0
Gardner Township Precinct 14,0,5,0,0
Gardner Township Precinct 15,0,0,0,0
Gardner Township Precinct 16,9,4,0,1
Gardner Township Precinct 17,11,0,1,0
Gardner Township Precinct 18,0,3,0,0
Gardner Township Precinct 19,0,0,0,0
Gardner Township Precinct 20,3,1,0,0
Lexington Township Precinct 01,640,343,35,0
Lexington Township Precinct 02,0,1,0,0
Lexington Township Precinct 03,0,3,0,0
Lexington Township Precinct 04,0,0,0,0
Lexington Township Precinct 05,0,0,0,0
McCamish Township Precinct 01,162,45,6,0
McCamish Township Precinct 02,327,133,17,1
McCamish Township Precinct 03,0,0,0,0
McCamish Township Precinct 04,0,0,0,0
McCamish Township Precinct 05,0,0,0,0
Olathe Township Precinct 01,235,172,9,0
Olathe Township Precinct 02,45,21,1,0
Olathe Township Precinct 03,35,20,1,0
Olathe Township Precinct 04,4,0,0,0
Olathe Township Precinct 06,0,0,0,0
Olathe Township Precinct 07,0,0,0,0
Olathe Township Precinct 08,1,0,0,0
Olathe Township Precinct 09,0,0,0,0
Olathe Township Precinct 10,10,3,0,0
Olathe Township Precinct 11,5,0,0,0
Olathe Township Precinct 12,0,0,0,0
Olathe Township Precinct 13,3,3,1,0
Olathe Township Precinct 14,1,0,0,0
Olathe Township Precinct 15,0,0,0,0
Olathe Township Precinct 16,0,0,0,0
Olathe Township Precinct 17,0,0,0,0
Olathe Township Precinct 24,2,0,0,0
Olathe Township Precinct 25,7,0,0,0
Olathe Township Precinct 26,4,0,0,0
Olathe Township Precinct 27,0,0,0,0
Olathe Township Precinct 32,24,9,3,0
Oxford Township Precinct 01,0,1,0,0
Oxford Township Precinct 02,376,229,16,0
Oxford Township Precinct 03,0,0,0,0
Oxford Township Precinct 04,342,253,20,0
Oxford Township Precinct 05,17,2,0,0
Oxford Township Precinct 08,0,0,0,0
Oxford Township Precinct 09,21,11,1,0
Oxford Township Precinct 10,1,0,0,0
Oxford Township Precinct 11,95,51,4,0
Spring Hill Township Precinct 01,674,391,42,0
Spring Hill Township Precinct 02,0,0,0,0
Spring Hill Township Precinct 03,73,29,6,0
Spring Hill Township Precinct 04,21,2,0,0
Spring Hill Township Precinct 05,8,10,0,0
De Soto Precinct 01,596,469,69,0
De Soto Precinct 02,431,333,24,0
De Soto Precinct 03,671,429,47,0
De Soto Precinct 04,0,0,0,0
De Soto Precinct 05,0,0,0,0
De Soto Precinct 06,31,57,6,0
De Soto Precinct 07,0,0,0,0
De Soto Precinct 08,0,0,0,0
Edgerton Precinct 01,447,277,47,1
Edgerton Precinct 02,0,0,0,0
Edgerton Precinct 03,0,0,0,0
Edgerton Precinct 04,0,0,0,0
Edgerton Precinct 05,5,3,0,0
Edgerton Precinct 06,4,2,1,0
Edgerton Precinct 07,0,0,0,0
Gardner Precinct 01,921,681,75,1
Gardner Precinct 02,120,144,12,0
Gardner Precinct 03,618,495,65,1
Gardner Precinct 04,535,354,49,1
Gardner Precinct 05,0,0,0,0
Gardner Precinct 06,784,558,67,0
Gardner Precinct 07,9,16,0,0
Gardner Precinct 08,196,104,14,0
Gardner Precinct 09,862,675,71,0
Gardner Precinct 10,597,437,50,1
Gardner Precinct 11,0,0,0,0
Gardner Precinct 12,10,3,0,0
Gardner Precinct 13,550,435,49,2
Gardner Precinct 14,406,321,30,1
Gardner Precinct 15,0,0,0,0
Gardner Precinct 16,0,0,0,0
Gardner Precinct 17,0,0,0,0
Olathe Ward 1 Precinct 01,485,483,42,0
Olathe Ward 1 Precinct 02,284,339,30,1
Olathe Ward 1 Precinct 03,228,272,16,0
Olathe Ward 1 Precinct 04,469,530,37,2
Olathe Ward 1 Precinct 05,448,399,21,1
Olathe Ward 1 Precinct 06,261,315,13,0
Olathe Ward 1 Precinct 07,0,0,0,0
Olathe Ward 1 Precinct 08,735,837,54,0
Olathe Ward 1 Precinct 09,489,493,21,0
Olathe Ward 1 Precinct 10,0,0,0,0
Olathe Ward 1 Precinct 11,73,86,11,0
Olathe Ward 1 Precinct 12,0,0,0,0
Olathe Ward 1 Precinct 13,0,0,0,0
Olathe Ward 1 Precinct 14,416,391,26,1
Olathe Ward 1 Precinct 15,421,474,14,0
Olathe Ward 1 Precinct 16,693,589,24,3
Olathe Ward 1 Precinct 17,230,158,14,0
Olathe Ward 1 Precinct 18,390,379,15,0
Olathe Ward 1 Precinct 19,209,240,18,1
Olathe Ward 1 Precinct 20,288,327,26,0
Olathe Ward 1 Precinct 21,509,645,40,0
Olathe Ward 1 Precinct 22,1346,1094,56,2
Olathe Ward 1 Precinct 23,0,0,0,0
Olathe Ward 1 Precinct 24,79,66,7,0
Olathe Ward 1 Precinct 25,125,99,8,0
Olathe Ward 1 Precinct 26,3,3,0,0
Olathe Ward 1 Precinct 27,285,318,29,0
Olathe Ward 1 Precinct 28,0,0,0,0
Olathe Ward 2 Precinct 01,226,227,23,0
Olathe Ward 2 Precinct 02,388,445,16,0
Olathe Ward 2 Precinct 03,360,353,32,0
Olathe Ward 2 Precinct 04,353,431,34,0
Olathe Ward 2 Precinct 05,1223,764,30,1
Olathe Ward 2 Precinct 06,779,540,27,2
Olathe Ward 2 Precinct 07,1002,1019,43,0
Olathe Ward 2 Precinct 08,444,640,46,4
Olathe Ward 2 Precinct 09,296,290,12,1
Olathe Ward 2 Precinct 10,885,1032,57,3
Olathe Ward 2 Precinct 11,657,917,32,2
Olathe Ward 2 Precinct 12,339,384,27,0
Olathe Ward 2 Precinct 13,344,413,26,1
Olathe Ward 2 Precinct 14,289,403,18,2
Olathe Ward 2 Precinct 15,532,472,26,1
Olathe Ward 2 Precinct 16,114,168,10,0
Olathe Ward 2 Precinct 17,0,0,0,0
Olathe Ward 2 Precinct 18,0,0,0,0
Olathe Ward 2 Precinct 19,8,3,0,0
Olathe Ward 2 Precinct 20,0,0,0,0
Olathe Ward 2 Precinct 21,0,0,1,0
Olathe Ward 2 Precinct 22,962,846,41,0
Olathe Ward 2 Precinct 23,488,589,29,0
Olathe Ward 2 Precinct 24,0,2,0,0
Olathe Ward 3 Precinct 01,210,287,16,0
Olathe Ward 3 Precinct 02,556,614,36,0
Olathe Ward 3 Precinct 03,322,261,17,0
Olathe Ward 3 Precinct 04,481,502,39,0
