PRECINCT NAME,Amanda L. Adkins,Sharice L. Davids,Steven A. Hohe,Write-in
Olathe Ward 3 Precinct 05,613,419,18,0
Olathe Ward 3 Precinct 06,343,300,21,0
Olathe Ward 3 Precinct 07,330,339,20,1
Olathe Ward 3 Precinct 08,497,468,12,1
Olathe Ward 3 Precinct 09,270,251,19,1
Olathe Ward 3 Precinct 10,572,531,26,2
Olathe Ward 3 Precinct 11,360,419,24,0
Olathe Ward 3 Precinct 12,0,0,0,0
Olathe Ward 3 Precinct 13,482,549,23,0
Olathe Ward 3 Precinct 14,0,0,0,0
Olathe Ward 3 Precinct 15,449,408,25,0
Olathe Ward 3 Precinct 16,445,442,17,0
Olathe Ward 3 Precinct 17,649,610,27,2
Olathe Ward 3 Precinct 18,53,72,1,0
Olathe Ward 3 Precinct 19,383,327,15,0
Olathe Ward 3 Precinct 20,449,342,20,1
Olathe Ward 3 Precinct 21,1083,691,31,1
Olathe Ward 3 Precinct 22,412,439,35,0
Olathe Ward 3 Precinct 23,386,480,32,2
Olathe Ward 3 Precinct 24,213,212,9,0
Olathe Ward 3 Precinct 25,2,0,0,0
Olathe Ward 4 Precinct 01,361,502,38,3
Olathe Ward 4 Precinct 02,610,678,23,0
Olathe Ward 4 Precinct 03,217,424,19,4
Olathe Ward 4 Precinct 04,219,339,24,2
Olathe Ward 4 Precinct 05,435,517,25,0
Olathe Ward 4 Precinct 06,499,736,53,0
Olathe Ward 4 Precinct 07,468,649,39,1
Olathe Ward 4 Precinct 08,437,501,13,0
Olathe Ward 4 Precinct 09,613,659,43,1
Olathe Ward 4 Precinct 10,347,418,23,0
Olathe Ward 4 Precinct 11,176,338,15,0
Olathe Ward 4 Precinct 12,664,761,32,1
Olathe Ward 4 Precinct 13,273,387,24,1
Olathe Ward 4 Precinct 14,618,735,30,0
Olathe Ward 4 Precinct 15,38,48,1,0
Olathe Ward 4 Precinct 16,155,233,14,0
Olathe Ward 4 Precinct 17,4,2,0,0
Olathe Ward 4 Precinct 18,456,525,26,1
Olathe Ward 4 Precinct 19,545,509,25,1
Spring Hill Precinct 01,1386,887,122,1
Spring Hill Precinct 02,0,0,0,0
Spring Hill Precinct 03,135,62,2,0
Spring Hill Precinct 04,2,0,0,0
Fairway Ward 1 Precinct 01,157,286,8,0
Fairway Ward 1 Precinct 02,108,207,2,0
Fairway Ward 2 Precinct 01,106,178,7,0
Fairway Ward 2 Precinct 02,115,202,6,0
Fairway Ward 3 Precinct 01,169,239,0,0
Fairway Ward 3 Precinct 02,145,222,3,0
Fairway Ward 4 Precinct 01,52,131,3,0
Fairway Ward 4 Precinct 02,55,151,4,0
Fairway Ward 4 Precinct 03,44,92,3,0
Fairway Ward 4 Precinct 04,52,133,1,0
Leawood Ward 1 Precinct 01,250,455,11,0
Leawood Ward 1 Precinct 02,528,566,14,0
Leawood Ward 1 Precinct 03,412,561,6,3
Leawood Ward 1 Precinct 04,339,484,10,0
Leawood Ward 1 Precinct 05,303,389,9,0
Leawood Ward 1 Precinct 06,84,122,9,0
Leawood Ward 1 Precinct 07,395,483,12,0
Leawood Ward 2 Precinct 01,370,413,5,0
Leawood Ward 2 Precinct 02,540,615,18,0
Leawood Ward 2 Precinct 03,470,509,18,1
Leawood Ward 2 Precinct 04,653,395,10,0
Leawood Ward 2 Precinct 05,302,320,14,0
Leawood Ward 2 Precinct 06,263,240,9,0
Leawood Ward 2 Precinct 07,235,314,8,0
Leawood Ward 3 Precinct 01,474,467,8,0
Leawood Ward 3 Precinct 02,451,531,11,0
Leawood Ward 3 Precinct 03,359,288,11,1
Leawood Ward 3 Precinct 04,166,191,2,0
Leawood Ward 3 Precinct 05,886,772,22,1
Leawood Ward 3 Precinct 06,864,707,17,1
Leawood Ward 4 Precinct 01,167,128,2,0
Leawood Ward 4 Precinct 02,456,349,5,0
Leawood Ward 4 Precinct 03,416,251,6,0
Leawood Ward 4 Precinct 04,508,500,16,0
Leawood Ward 4 Precinct 05,486,527,8,0
Leawood Ward 4 Precinct 06,499,329,12,0
Leawood Ward 4 Precinct 07,917,727,17,0
Lenexa Ward 1 Precinct 01,1131,1031,68,2
Lenexa Ward 1 Precinct 02,487,641,20,0
Lenexa Ward 1 Precinct 03,566,749,24,1
Lenexa Ward 1 Precinct 04,380,574,30,0
Lenexa Ward 1 Precinct 05,37,19,3,0
Lenexa Ward 1 Precinct 06,681,750,36,1
Lenexa Ward 1 Precinct 07,107,106,7,1
Lenexa Ward 1 Precinct 08,282,427,23,0
Lenexa Ward 1 Precinct 09,6,18,0,0
Lenexa Ward 2 Precinct 01,486,467,17,0
Lenexa Ward 2 Precinct 02,883,635,40,0
Lenexa Ward 2 Precinct 03,775,594,25,0
Lenexa Ward 2 Precinct 04,908,543,20,0
Lenexa Ward 2 Precinct 05,423,651,27,3
Lenexa Ward 2 Precinct 06,421,250,6,0
Lenexa Ward 2 Precinct 07,693,659,35,0
Lenexa Ward 2 Precinct 08,0,0,0,0
Lenexa Ward 2 Precinct 09,0,0,0,0
Lenexa Ward 2 Precinct 10,98,256,11,0
Lenexa Ward 2 Precinct 11,287,276,15,0
Lenexa Ward 3 Precinct 01,270,612,31,1
Lenexa Ward 3 Precinct 02,464,918,47,0
Lenexa Ward 3 Precinct 03,543,669,25,1
Lenexa Ward 3 Precinct 04,387,379,17,0
Lenexa Ward 3 Precinct 05,236,603,34,1
Lenexa Ward 3 Precinct 06,285,431,15,0
Lenexa Ward 3 Precinct 07,417,508,21,1
Lenexa Ward 3 Precinct 08,416,496,10,1
Lenexa Ward 3 Precinct 09,391,467,30,0
Lenexa Ward 4 Precinct 01,190,278,14,0
Lenexa Ward 4 Precinct 02,380,485,20,0
Lenexa Ward 4 Precinct 03,203,456,33,1
Lenexa Ward 4 Precinct 04,243,290,17,0
Lenexa Ward 4 Precinct 05,167,251,16,0
Lenexa Ward 4 Precinct 06,395,545,19,1
Lenexa Ward 4 Precinct 07,326,425,19,1
Lenexa Ward 4 Precinct 08,276,362,15,0
Lenexa Ward 4 Precinct 09,326,442,17,0
Lenexa Ward 4 Precinct 10,185,302,14,1
Lenexa Ward 4 Precinct 11,45,78,5,0
Lenexa Ward 4 Precinct 12,285,361,24,1
Merriam Ward 1 Precinct 01,111,163,12,0
Merriam Ward 1 Precinct 02,103,236,22,0
Merriam Ward 1 Precinct 03,98,163,7,0
Merriam Ward 1 Precinct 04,122,258,12,0
Merriam Ward 2 Precinct 01,375,510,39,0
Merriam Ward 2 Precinct 02,4,1,0,0
Merriam Ward 2 Precinct 03,169,329,19,2
Merriam Ward 3 Precinct 01,256,584,21,0
Merriam Ward 3 Precinct 02,249,464,25,0
Merriam Ward 4 Precinct 01,331,604,19,0
Merriam Ward 4 Precinct 02,145,224,13,1
Merriam Ward 4 Precinct 03,162,312,19,0
Mission Ward 1 Precinct 01,159,322,18,0
Mission Ward 1 Precinct 02,160,429,29,1
Mission Ward 2 Precinct 01,242,598,24,0
Mission Ward 2 Precinct 02,234,520,22,0
Mission Ward 3 Precinct 01,226,660,31,2
Mission Ward 3 Precinct 02,136,278,12,1
Mission Ward 4 Precinct 01,166,341,4,0
Mission Ward 4 Precinct 02,242,433,20,1
Mission Ward 4 Precinct 03,137,319,14,0
Mission Hills Precinct 01,320,259,6,0
Mission Hills Precinct 02,369,399,6,0
Mission Hills Precinct 03,245,226,6,0
Mission Hills Precinct 04,380,416,5,0
Mission Woods Precinct 01,44,97,4,0
Overland Park Ward 1 Precinct 01,278,491,23,0
Overland Park Ward 1 Precinct 02,262,652,34,1
Overland Park Ward 1 Precinct 03,298,506,26,0
Overland Park Ward 1 Precinct 04,125,178,10,0
Overland Park Ward 1 Precinct 05,178,382,16,1
Overland Park Ward 1 Precinct 06,336,588,19,0
Overland Park Ward 1 Precinct 07,387,613,41,2
Overland Park Ward 1 Precinct 08,271,547,30,0
Overland Park Ward 1 Precinct 09,170,299,20,0
Overland Park Ward 1 Precinct 10,399,609,45,0
Overland Park Ward 1 Precinct 11,80,291,14,0
Overland Park Ward 1 Precinct 12,281,672,33,2
Overland Park Ward 1 Precinct 13,242,369,27,1
Overland Park Ward 1 Precinct 14,286,554,38,0
Overland Park Ward 1 Precinct 15,143,248,22,1
Overland Park Ward 1 Precinct 16,387,785,37,0
Overland Park Ward 1 Precinct 17,159,294,16,0
Overland Park Ward 1 Precinct 18,252,468,11,2
Overland Park Ward 1 Precinct 19,233,469,28,0
Overland Park Ward 1 Precinct 20,166,288,10,0
Overland Park Ward 1 Precinct 21,109,162,8,0
Overland Park Ward 1 Precinct 22,56,151,11,0
Overland Park Ward 1 Precinct 23,243,451,13,0
Overland Park Ward 2 Precinct 01,263,417,15,1
Overland Park Ward 2 Precinct 02,322,452,25,1
Overland Park Ward 2 Precinct 03,241,412,15,0
Overland Park Ward 2 Precinct 04,293,488,22,0
Overland Park Ward 2 Precinct 05,285,547,30,1
Overland Park Ward 2 Precinct 06,240,407,13,1
Overland Park Ward 2 Precinct 07,229,320,19,0
Overland Park Ward 2 Precinct 08,207,484,21,0
Overland Park Ward 2 Precinct 09,254,380,23,0
Overland Park Ward 2 Precinct 10,260,269,13,0
Overland Park Ward 2 Precinct 11,263,397,19,0
Overland Park Ward 2 Precinct 12,202,346,10,0
Overland Park Ward 2 Precinct 13,150,335,25,2
Overland Park Ward 2 Precinct 14,190,351,10,1
Overland Park Ward 2 Precinct 15,358,563,23,0
Overland Park Ward 2 Precinct 16,194,331,5,0
Overland Park Ward 2 Precinct 17,378,435,22,2
Overland Park Ward 2 Precinct 18,335,613,29,1
Overland Park Ward 2 Precinct 19,222,347,10,1
Overland Park Ward 2 Precinct 20,225,278,4,2
Overland Park Ward 2 Precinct 21,222,373,7,0
Overland Park Ward 2 Precinct 22,231,480,16,1
Overland Park Ward 2 Precinct 23,295,377,10,0
Overland Park Ward 2 Precinct 24,483,786,30,1
Overland Park Ward 2 Precinct 25,365,526,17,0
Overland Park Ward 2 Precinct 26,122,222,16,0
Overland Park Ward 2 Precinct 27,356,542,22,0
Overland Park Ward 3 Precinct 01,562,619,18,2
Overland Park Ward 3 Precinct 02,401,495,16,0
Overland Park Ward 3 Precinct 03,272,345,7,0
Overland Park Ward 3 Precinct 04,353,476,16,1
Overland Park Ward 3 Precinct 05,390,502,22,1
Overland Park Ward 3 Precinct 06,422,534,18,0
Overland Park Ward 3 Precinct 07,253,442,23,0
Overland Park Ward 3 Precinct 08,337,370,11,0
Overland Park Ward 3 Precinct 09,483,590,21,0
Overland Park Ward 3 Precinct 10,282,276,10,0
Overland Park Ward 3 Precinct 11,371,472,20,0
Overland Park Ward 3 Precinct 12,190,413,26,2
Overland Park Ward 3 Precinct 13,642,870,33,0
Overland Park Ward 3 Precinct 14,426,655,26,1
Overland Park Ward 3 Precinct 15,292,349,17,0
Overland Park Ward 3 Precinct 16,307,432,6,1
Overland Park Ward 3 Precinct 17,261,322,8,0
Overland Park Ward 3 Precinct 18,444,675,39,2
Overland Park Ward 3 Precinct 19,371,593,24,2
Overland Park Ward 3 Precinct 20,403,526,23,0
Overland Park Ward 3 Precinct 21,345,390,14,0
Overland Park Ward 3 Precinct 22,186,290,15,0
Overland Park Ward 3 Precinct 23,255,481,29,0
Overland Park Ward 4 Precinct 01,437,484,21,0
Overland Park Ward 4 Precinct 02,671,626,26,2
Overland Park Ward 4 Precinct 03,740,624,29,0
Overland Park Ward 4 Precinct 04,630,654,22,0
Overland Park Ward 4 Precinct 05,462,532,22,0
Overland Park Ward 4 Precinct 06,372,420,24,2
Overland Park Ward 4 Precinct 07,303,365,24,0
Overland Park Ward 4 Precinct 08,415,421,28,1
Overland Park Ward 4 Precinct 09,482,327,16,0
Overland Park Ward 4 Precinct 10,357,275,16,0
Overland Park Ward 4 Precinct 11,469,619,38,0
Overland Park Ward 4 Precinct 12,687,763,31,0
Overland Park Ward 4 Precinct 13,517,393,22,0
Overland Park Ward 4 Precinct 14,283,250,8,0
Overland Park Ward 4 Precinct 15,633,676,30,0
Overland Park Ward 4 Precinct 16,760,645,30,1
Overland Park Ward 4 Precinct 17,632,698,23,1
Overland Park Ward 4 Precinct 18,99,176,17,1
Overland Park Ward 4 Precinct 19,613,526,20,1
Overland Park Ward 5 Precinct 01,478,508,13,0
Overland Park Ward 5 Precinct 02,81,84,4,1
Overland Park Ward 5 Precinct 03,479,511,11,0
Overland Park Ward 5 Precinct 04,978,859,37,1
Overland Park Ward 5 Precinct 05,604,657,40,2
Overland Park Ward 5 Precinct 06,408,507,24,0
Overland Park Ward 5 Precinct 07,730,525,18,1
Overland Park Ward 5 Precinct 08,879,938,41,1
Overland Park Ward 5 Precinct 09,614,609,23,2
Overland Park Ward 5 Precinct 10,471,563,26,2
Overland Park Ward 5 Precinct 11,511,740,30,0
Overland Park Ward 5 Precinct 12,266,342,13,0
Overland Park Ward 5 Precinct 13,451,746,20,0
Overland Park Ward 5 Precinct 14,422,575,26,0
Overland Park Ward 5 Precinct 15,426,625,30,1
Overland Park Ward 5 Precinct 16,271,323,12,2
Overland Park Ward 5 Precinct 17,184,241,11,0
Overland Park Ward 6 Precinct 01,517,519,21,1
Overland Park Ward 6 Precinct 02,487,436,16,0
Overland Park Ward 6 Precinct 03,516,402,9,0
Overland Park Ward 6 Precinct 04,608,553,14,0
Overland Park Ward 6 Precinct 05,611,648,30,3
Overland Park Ward 6 Precinct 06,0,0,0,0
Overland Park Ward 6 Precinct 07,216,101,6,0
Overland Park Ward 6 Precinct 08,2332,1342,49,2
Overland Park Ward 6 Precinct 09,895,822,26,0
Overland Park Ward 6 Precinct 10,586,630,25,2
Overland Park Ward 6 Precinct 11,1352,884,29,3
Overland Park Ward 6 Precinct 12,204,228,13,0
Overland Park Ward 6 Precinct 13,493,251,20,0
Overland Park Ward 6 Precinct 14,0,0,0,0
Overland Park Ward 6 Precinct 15,740,647,31,0
Overland Park Ward 6 Precinct 16,345,339,12,1
Overland Park Ward 6 Precinct 17,108,91,8,0
Overland Park Ward 6 Precinct 18,49,20,2,0
Overland Park Ward 6 Precinct 19,532,560,27,1
Prairie Village Ward 1 Precinct 01,338,667,16,1
Prairie Village Ward 1 Precinct 02,240,479,16,1
Prairie Village Ward 1 Precinct 03,365,671,14,1
Prairie Village Ward 2 Precinct 01,266,571,17,0
Prairie Village Ward 2 Precinct 02,167,345,15,0
Prairie Village Ward 2 Precinct 03,258,574,24,1
Prairie Village Ward 3 Precinct 01,219,386,17,0
Prairie Village Ward 3 Precinct 02,299,607,22,1
Prairie Village Ward 3 Precinct 03,295,543,16,0
Prairie Village Ward 4 Precinct 01,390,485,14,1
Prairie Village Ward 4 Precinct 02,229,428,13,1
Prairie Village Ward 4 Precinct 03,379,642,19,1
Prairie Village Ward 5 Precinct 01,378,565,12,1
Prairie Village Ward 5 Precinct 02,494,575,19,1
Prairie Village Ward 5 Precinct 03,455,556,21,1
Prairie Village Ward 6 Precinct 01,305,630,14,0
Prairie Village Ward 6 Precinct 02,241,561,26,4
Prairie Village Ward 6 Precinct 03,234,389,15,0
Roeland Park Ward 1 Precinct 01,125,391,19,0
Roeland Park Ward 1 Precinct 02,94,256,6,1
Roeland Park Ward 2 Precinct 01,122,335,19,1
Roeland Park Ward 2 Precinct 02,181,395,16,0
Roeland Park Ward 3 Precinct 01,93,296,4,0
Roeland Park Ward 3 Precinct 02,111,252,9,0
Roeland Park Ward 3 Precinct 03,87,217,7,0
Roeland Park Ward 4 Precinct 01,106,199,5,0
Roeland Park Ward 4 Precinct 02,145,313,6,2
Roeland Park Ward 4 Precinct 03,116,311,11,0
Shawnee Ward 1 Precinct 01,420,520,54,3
Shawnee Ward 1 Precinct 02,317,368,21,0
Shawnee Ward 1 Precinct 03,301,374,55,0
Shawnee Ward 1 Precinct 04,597,554,33,0
Shawnee Ward 1 Precinct 05,586,749,59,2
Shawnee Ward 1 Precinct 06,527,476,34,0
Shawnee Ward 1 Precinct 07,462,508,53,0
Shawnee Ward 1 Precinct 08,721,837,68,1
Shawnee Ward 1 Precinct 09,58,134,14,0
Shawnee Ward 1 Precinct 10,193,146,13,0
Shawnee Ward 1 Precinct 11,383,472,36,0
Shawnee Ward 1 Precinct 12,6,3,0,0
Shawnee Ward 2 Precinct 01,214,270,40,0
Shawnee Ward 2 Precinct 02,340,450,64,0
Shawnee Ward 2 Precinct 03,324,548,42,1
Shawnee Ward 2 Precinct 04,417,568,50,2
Shawnee Ward 2 Precinct 05,232,278,27,0
Shawnee Ward 2 Precinct 06,307,332,31,0
Shawnee Ward 2 Precinct 07,249,319,35,0
Shawnee Ward 2 Precinct 08,236,299,30,0
Shawnee Ward 2 Precinct 09,209,306,32,0
Shawnee Ward 2 Precinct 10,201,296,27,1
Shawnee Ward 2 Precinct 11,330,399,21,1
Shawnee Ward 2 Precinct 12,89,207,15,0
Shawnee Ward 2 Precinct 13,141,244,19,0
Shawnee Ward 3 Precinct 01,401,329,40,0
Shawnee Ward 3 Precinct 02,780,781,66,1
Shawnee Ward 3 Precinct 03,547,623,58,1
Shawnee Ward 3 Precinct 04,580,516,48,0
Shawnee Ward 3 Precinct 05,771,457,43,1
Shawnee Ward 3 Precinct 06,550,551,60,0
Shawnee Ward 3 Precinct 07,902,719,77,1
Shawnee Ward 3 Precinct 08,557,491,62,0
Shawnee Ward 3 Precinct 09,626,444,49,0
Shawnee Ward 4 Precinct 01,502,632,47,0
Shawnee Ward 4 Precinct 02,291,366,30,1
Shawnee Ward 4 Precinct 03,125,204,14,2
Shawnee Ward 4 Precinct 04,149,389,24,0
Shawnee Ward 4 Precinct 05,420,565,39,1
Shawnee Ward 4 Precinct 06,379,459,42,0
Shawnee Ward 4 Precinct 07,511,646,32,3
Shawnee Ward 4 Precinct 08,198,218,5,0
Shawnee Ward 4 Precinct 09,845,811,78,0
Shawnee Ward 4 Precinct 10,0,0,0,0
Shawnee Ward 4 Precinct 11,310,496,40,1
Shawnee Ward 4 Precinct 12,44,65,1,0
Westwood Precinct 01,163,438,19,0
Westwood Precinct 02,120,373,12,0
Westwood Hills Precinct 01,80,192,4,0
Lake Quivira Precinct 01,429,310,17,0
Bonner Springs Ward 4 Precinct 01,0,0,0,0
COUNTY TOTALS,157148,180329,9474,213
