PRECINCT NAME,DEM Michelle De La Isla,LIB Robert Garrard,REP Jake LaTurner,Write-in
1 East Rossville,173,27,328,0
2 West Rossville,116,16,282,1
9 East Silver Lake,253,18,383,1
10 West Silver Lake,176,14,243,0
12 Grove,118,7,305,0
14 Kiro,210,21,387,0
15 Messhoss Creek,142,7,271,0
22 Little Muddy Creek,127,19,224,0
24 Sac,228,17,385,1
25 Sherman,202,22,357,0
26 Iroquois,280,19,359,0
28 West Wichita,204,20,261,0
29 Indianola,256,16,333,0
30 Apache,212,15,347,0
31 East Wichita,348,25,501,0
32 Fox,183,28,427,0
33 Elmont,319,26,480,0
34 Kilmer,55,2,117,0
35 Rochester,199,25,317,0
36 East Soldier,275,16,337,0
37 Whitfield,182,12,276,0
38 Sioux,205,8,277,4
39 Pottawatomie,251,22,372,0
40 Stinson Creek,115,2,106,1
41 North Tecumseh,217,16,261,0
42 South Tecumseh,200,17,240,0
43 Pawnee,252,13,385,0
44 Kaw,222,21,312,0
45 Peck & 17 Croco,183,10,161,0
46 East Peck,159,18,181,0
47 Kiowa,384,14,381,0
48 Cheyenne,261,19,276,0
49 Ponca,172,24,165,1
52 Deer Creek,14,3,10,0
53 Pauline,94,6,110,0
54 West Potter,23,2,52,1
55 Central Pauline,41,4,44,0
56 NW Monmouth,269,24,464,0
57 NE Monmouth,263,13,317,1
58 South Monmouth,280,29,465,2
62 Forbes,28,3,41,0
63 Montara,210,21,199,0
64 Cullen,209,28,204,1
65 Wakarusa,201,12,331,0
66 Kingston,52,6,94,0
72 City Of Auburn,206,42,326,0
73 Meadowlark,238,21,491,0
74 Buffalo,159,19,346,0
80 Gaillardia,293,14,376,0
81 Dover,138,11,307,0
82 Willard,134,15,279,0
84 Yucca,64,7,118,0
85 Aldersgate,118,4,94,0
86 Sunflower,327,13,586,1
87 Washburn & 83 Ichabod Washburn,250,10,361,0
89 North Mission,42,1,105,0
90 South Mission,142,11,264,0
91 Central Mission,291,11,338,1
92 Sherwood,196,6,283,0
93 South Sherwood,212,5,275,0
94 Indian Hills,234,10,293,0
95 York,223,9,326,0
96 Vaquero,144,11,223,0
97 York Outer,29,1,40,0
99 Verbena & 88 Lykins,26,2,57,0
Ward 1 Precinct 1,122,15,83,0
Ward 1 Precinct 2,154,20,120,0
Ward 1 Precinct 3,115,14,145,1
Ward 1 Precinct 4,172,17,172,0
Ward 1 Precinct 5,232,19,290,0
W01 P06 & W01 P07,296,43,340,0
Ward 2 Precinct 1,200,15,154,1
Ward 2 Precinct 2,173,18,109,1
Ward 2 Precinct 3,155,9,118,0
Ward 2 Precinct 4,161,11,102,0
Ward 2 Precinct 5,151,8,84,0
Ward 2 Precinct 6,170,9,73,0
Ward 2 Precinct 7,131,11,31,0
Ward 2 Precinct 8,172,7,20,1
Ward 2 Precinct 9,233,11,111,0
Ward 2 Precinct 10,295,16,64,0
Ward 2 Precinct 11,187,9,70,0
Ward 2 Precinct 12,0,0,0,0
Ward 3 Precinct 1,209,18,112,1
Ward 3 Precinct 2,207,10,101,0
Ward 3 Precinct 3,166,16,57,0
Ward 3 Precinct 4,188,20,82,0
Ward 3 Precinct 5,147,7,41,1
Ward 3 Precinct 6,150,7,54,0
Ward 3 Precinct 7,165,18,91,0
Ward 3 Precinct 8,183,10,79,0
Ward 3 Precinct 9,250,14,83,0
Ward 3 Precinct 10,27,0,5,0
Ward 4 Precinct 1,184,13,72,1
Ward 4 Precinct 2,249,16,70,0
Ward 4 Precinct 3,172,8,37,0
Ward 4 Precinct 4,284,12,50,0
Ward 4 Precinct 6,225,14,65,0
Ward 4 Precinct 7,168,6,47,0
Ward 4 Precinct 8,184,10,89,0
Ward 4 Precinct 9,236,10,64,0
Ward 4 Precinct 10,251,8,102,0
Ward 4 Precinct 11,59,2,42,0
Ward 4 Precinct 14,19,2,1,0
Ward 4 Precinct 15,105,12,80,1
Ward 5 Precinct 1,211,11,55,0
Ward 5 Precinct 2,177,12,78,1
Ward 5 Precinct 3,217,12,86,0
Ward 5 Precinct 4,196,12,106,0
Ward 5 Precinct 5,254,10,86,0
Ward 5 Precinct 6,192,9,62,0
Ward 5 Precinct 7,219,6,68,0
Ward 5 Precinct 8,179,4,77,0
Ward 5 Precinct 9,277,16,226,0
Ward 5 Precinct 10,318,14,241,1
Ward 5 Precinct 11,297,11,212,0
Ward 5 Precinct 14,133,16,174,0
Ward 5 Precinct 15,64,1,59,0
Ward 5 Precinct 91,100,1,51,0
Ward 6 Precinct 1,204,6,50,1
Ward 6 Precinct 2,182,18,61,2
Ward 6 Precinct 3,224,11,155,0
Ward 6 Precinct 4,252,19,143,0
Ward 6 Precinct 5,231,8,142,0
Ward 6 Precinct 6,163,9,80,0
Ward 6 Precinct 7,117,8,64,0
Ward 6 Precinct 8,270,17,140,1
Ward 6 Precinct 9,428,53,434,1
Ward 7 Precinct 1,269,10,129,1
Ward 7 Precinct 2,212,19,126,0
Ward 7 Precinct 3,237,17,127,1
Ward 7 Precinct 4,219,15,147,0
Ward 7 Precinct 5,190,10,122,0
Ward 7 Precinct 6,158,16,109,0
Ward 7 Precinct 7,185,10,81,0
Ward 7 Precinct 9,148,5,133,0
Ward 7 Precinct 10,182,15,107,0
Ward 7 Precinct 11,283,13,163,0
Ward 8 Precinct 1,202,9,85,1
Ward 8 Precinct 2,217,10,99,1
Ward 8 Precinct 3,301,15,122,1
Ward 8 Precinct 4,254,20,116,0
Ward 8 Precinct 5,381,18,236,0
Ward 8 Precinct 6,195,2,127,0
Ward 8 Precinct 7,199,9,97,0
Ward 8 Precinct 8,208,16,102,0
Ward 8 Precinct 9,243,11,176,0
Ward 8 Precinct 10,164,9,165,1
Ward 8 Precinct 11,255,22,202,0
Ward 9 Precinct 1,51,7,39,0
Ward 9 Precinct 2,167,14,99,1
Ward 9 Precinct 3,325,11,203,0
Ward 9 Precinct 4,299,7,171,0
Ward 9 Precinct 5,247,26,140,1
Ward 9 Precinct 6,257,12,169,1
Ward 9 Precinct 8,348,18,193,1
Ward 9 Precinct 9,190,6,146,0
Ward 9 Precinct 10,397,28,260,0
Ward 9 Precinct 11,221,7,147,1
Ward 9 Precinct 12,102,7,58,1
Ward 10 Precinct 1,249,5,134,0
Ward 10 Precinct 2,172,8,168,0
Ward 10 Precinct 3,344,13,289,2
Ward 10 Precinct 4,216,10,176,0
Ward 10 Precinct 5,201,10,147,0
Ward 10 Precinct 6,174,7,135,1
Ward 10 Precinct 7,222,14,193,0
Ward 10 Precinct 8,191,17,135,2
Ward 10 Precinct 9,138,6,103,0
Ward 10 Precinct 10,231,10,190,0
Ward 10 Precinct 11,340,21,257,0
Ward 10 Precinct 13,13,0,25,0
Ward 10 Precinct 14,242,9,174,0
Ward 11 Precinct 1,150,15,133,0
Ward 11 Precinct 2,227,11,149,1
Ward 11 Precinct 3,163,9,129,1
Ward 11 Precinct 4,269,15,201,0
Ward 11 Precinct 5,215,14,163,1
Ward 11 Precinct 6,240,19,142,0
Ward 11 Precinct 7,217,12,151,1
Ward 11 Precinct 8,190,16,146,1
Ward 11 Precinct 9,246,14,172,0
Ward 11 Precinct 10,170,8,96,1
Ward 12 Precinct 1,237,20,136,1
Ward 12 Precinct 2,228,14,95,0
Ward 12 Precinct 3,221,13,194,0
Ward 12 Precinct 4,256,13,245,1
Ward 12 Precinct 5,241,7,204,0
Ward 12 Precinct 6,307,13,211,0
Ward 12 Precinct 7,312,16,232,0
Ward 12 Precinct 8,290,14,187,0
Ward 12 Precinct 9,423,30,326,0
Ward 12 Precinct 11,389,8,349,2
Ward 12 Precinct 13,229,6,295,0
Ward 12 Precinct 14,221,7,215,1
Ward 12 Precinct 15,397,12,336,0
Ward 12 Precinct 16,456,24,341,0
W12 P19 & W13 P10,34,2,62,0
Ward 12 Precinct 20,290,16,286,0
Ward 12 Precinct 31,162,9,187,0
Ward 13 Precinct 2,124,6,75,0
Ward 13 Precinct 5,10,0,6,0
Ward 13 Precinct 6,51,0,116,2
Ward 13 Precinct 9,60,2,84,0
Ward 13 Precinct 12,364,15,414,0
Ward 13 Precinct 21,48,2,49,0
Ward 13 Precinct 22,50,2,43,0
W13 P30 & W13 P08,121,3,114,1
Ward 14 Precinct 1,385,22,346,0
Ward 14 Precinct 2,302,30,340,0
Ward 14 Precinct 3,179,3,216,0
Ward 14 Precinct 4,373,17,477,0
Ward 14 Precinct 5,151,5,262,1
Ward 15 Precinct 1,326,24,299,0
W15 P02 & W15 P04,223,12,194,0
Ward 15 Precinct 3,24,0,28,0
COUNTY TOTALS,43491,2743,39184,63
