Precinct,For State Representative 81st District,,,,For State Representative 82nd District,,,,For State Representative 83rd District,,,,For State Representative 84th District,,,,For State Representative 85th District,,,,For State Representative 86th District,,,,For State Representative 87th District,,,,For State Representative 88th District,,,For State Representative 89th District,,,,For State Representative 90th District,,,For State Representative 91st District,,,For State Representative 92nd District,,,,For State Representative 93rd District,,,For State Representative 94th District,,,,For State Representative 95th District,,,,For State Representative 96th District,,,,For State Representative 97th District,,,,For State Representative 98th District,,,,For State Representative 99th District,,,,For State Representative 100th District,,,,For State Representative 101st District,,,,For State Representative 103rd District,,,,,For State Representative 105th District,,,
,REP Blake Carpenter,DEM Matthew Joyce,Write-in Totals,Total Votes Cast,REP Jesse Burris,DEM Edward Hackerott,Write-in Totals,Total Votes Cast,DEM Henry Helgerson,REP David Robbins,Write-in Totals,Total Votes Cast,DEM Gail Finney,REP Janet Sue Rine,Write-in Totals,Total Votes Cast,DEM Marcey Gregory,REP Patrick Penn,Write-in Totals,Total Votes Cast,DEM Stephanie Byers,REP Cyndi Howerton,Write-in Totals,Total Votes Cast,REP Susan Oliver Estes,DEM Matt Fox,Write-in Totals,Total Votes Cast,DEM Elizabeth Bishop,Write-in Totals,Total Votes Cast,DEM KC Ohaebosim,REP Robert W. Herrick Jr.,Write-in Totals,Total Votes Cast,REP Steve Huebert,Write-in Totals,Total Votes Cast,REP Emil M. Bergquist,Write-in Totals,Total Votes Cast,DEM John Carmichael,REP Patrick McCormack,Write-in Totals,Total Votes Cast,REP Brian Bergkamp,Write-in Totals,Total Votes Cast,REP Leo G. Delperdang,DEM Derek Milligan,Write-in Totals,Total Votes Cast,REP Christopher Parisho,DEM Tom Sawyer,Write-in Totals,Total Votes Cast,REP Tom Kessler,DEM Stephanie Yeager,Write-in Totals,Total Votes Cast,REP Nick Hoheisel,DEM Kim Webb,Write-in Totals,Total Votes Cast,DEM Steven G. Crum,REP Ron Howard,Write-in Totals,Total Votes Cast,DEM Phil Hodson,REP Susan Humphries,Write-in Totals,Total Votes Cast,REP Daniel Hawkins,DEM Chad Smith,Write-in Totals,Total Votes Cast,DEM Elliott R. Adams,REP Joe Seiwert,Write-in Totals,Total Votes Cast,REP Susanne Haynes,LIB Loren John Hermreck,DEM Ponka-We Victors,Write-in Totals,Total Votes Cast,REP Brenda Landwehr,DEM Michelle Snyder,Write-in Totals,Total Votes Cast
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,514,0,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,480,454,1,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,15,121,0,195,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,43,0,65,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,231,1,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,869,298,3,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,913,517,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,644,275,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,749,334,3,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
