PRECINCT NAME,State Representative 8,State Representative 8,State Representative 8,State Representative 8,State Representative 14,State Representative 14,State Representative 14,State Representative 14,State Representative 14,State Representative 15,State Representative 15,State Representative 15,State Representative 15,State Representative 15,State Representative 16,State Representative 16,State Representative 16,State Representative 16,State Representative 16,State Representative 17,State Representative 17,State Representative 17,State Representative 17,State Representative 17,State Representative 17,State Representative 18,State Representative 18,State Representative 18,State Representative 18,State Representative 18,State Representative 19,State Representative 19,State Representative 19,State Representative 19,State Representative 20,State Representative 20,State Representative 20,State Representative 20,State Representative 20,State Representative 21,State Representative 21,State Representative 21,State Representative 21,State Representative 21,State Representative 22,State Representative 22,State Representative 22,State Representative 22,State Representative 23,State Representative 23,State Representative 23,State Representative 23,State Representative 23,State Representative 23,State Representative 24,State Representative 24,State Representative 24,State Representative 24,State Representative 25,State Representative 25,State Representative 25,State Representative 25,State Representative 26,State Representative 26,State Representative 26,State Representative 26,State Representative 26,State Representative 27,State Representative 27,State Representative 27,State Representative 27,State Representative 27,State Representative 28,State Representative 28,State Representative 28,State Representative 28,State Representative 28,State Representative 29,State Representative 29,State Representative 29,State Representative 29,State Representative 29,State Representative 30,State Representative 30,State Representative 30,State Representative 30,State Representative 30,State Representative 38,State Representative 38,State Representative 38,State Representative 38,State Representative 38,State Representative 39,State Representative 39,State Representative 39,State Representative 39,State Representative 39,State Representative 43,State Representative 43,State Representative 43,State Representative 43,State Representative 43,State Representative 48,State Representative 48,State Representative 48,State Representative 48,State Representative 48,State Representative 49,State Representative 49,State Representative 49,State Representative 49,State Representative 49,State Representative 78,State Representative 78,State Representative 78,State Representative 78,State Representative 78,State Representative 121,State Representative 121,State Representative 121,State Representative 121,State Representative 121
,Chris Croft,Write-in,OVER VOTES,UNDER VOTES,Charlotte Esau,Angela Justus Schweller,Write-in,OVER VOTES,UNDER VOTES,Cole Fine,John Toplikar,Write-in,OVER VOTES,UNDER VOTES,Linda Featherston,Rashard Young,Write-in,OVER VOTES,UNDER VOTES,Jo Ella Hoye,Michael Kerner,Kristine Sapp,Write-in,OVER VOTES,UNDER VOTES,Cathy Gordon,Cindy Neighbor,Write-in,OVER VOTES,UNDER VOTES,Stephanie Sawyer Clayton,Write-in,OVER VOTES,UNDER VOTES,Jane Dirks,Mari-Lynn Poskin,Write-in,OVER VOTES,UNDER VOTES,Bob Reese,Jerry Stogsdill,Write-in,OVER VOTES,UNDER VOTES,Lindsay Vaughn,Write-in,OVER VOTES,UNDER VOTES,Matthew Clark,Susan Ruiz,Jeff Shull,Write-in,OVER VOTES,UNDER VOTES,Jarrod Ousley,Write-in,OVER VOTES,UNDER VOTES,Rui Xu,Write-in,OVER VOTES,UNDER VOTES,W. Michael Shimeall,Adam T. Thomas,Write-in,OVER VOTES,UNDER VOTES,Sona Patel,Sean E. Tarwater Sr.,Write-in,OVER VOTES,UNDER VOTES,Sally Jercha,Carl Turner,Write-in,OVER VOTES,UNDER VOTES,Jerry Clinton,Brett Parker,Write-in,OVER VOTES,UNDER VOTES,Laura Williams,Brandon Woodard,Write-in,OVER VOTES,UNDER VOTES,Sherri D. Grogan,Timothy H. Johnson,Write-in,OVER VOTES,UNDER VOTES,Owen Donohoe,Les Lampe,Write-in,OVER VOTES,UNDER VOTES,Pamela Finley,Bill Sutton,Write-in,OVER VOTES,UNDER VOTES,Jennifer Day,Terry Frederick,Write-in,OVER VOTES,UNDER VOTES,Katie Dixon,Megan Lynn,Write-in,OVER VOTES,UNDER VOTES,Kathy Meyer,Ron Ryckman,Write-in,OVER VOTES,UNDER VOTES,John Resman,James Rexford,Write-in,OVER VOTES,UNDER VOTES
Aubry Township Precinct 01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,103,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aubry Township Precinct 02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,699,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aubry Township Precinct 03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,371,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aubry Township Precinct 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,967,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aubry Township Precinct 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aubry Township Precinct 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,99,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aubry Township Precinct 07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardner Township Precinct 01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,347,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardner Township Precinct 02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,322,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardner Township Precinct 03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
