County,Precinct,Race,Candidate,Party,Votes,VTD
Allen,Carlyle Township,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,25,000010
Allen,Carlyle Township,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,144,000010
Allen,Cottage Grove Township,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,20,000020
Allen,Cottage Grove Township,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,98,000020
Allen,Deer Creek Township,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,9,000030
Allen,Deer Creek Township,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,58,000030
Allen,East Elm,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,45,000040
Allen,East Elm,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,237,000040
Allen,Geneva Township,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,14,000050
Allen,Geneva Township,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,62,000050
Allen,Humboldt Township,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,29,00006A
Allen,Humboldt Township,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,134,00006A
Allen,Humboldt Township Rural Enclave,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,0,00006B
Allen,Humboldt Township Rural Enclave,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,0,00006B
Allen,Humboldt Township Split,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,0,00006C
Allen,Humboldt Township Split,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,0,00006C
Allen,Humboldt Ward 1,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,140,000070
Allen,Humboldt Ward 1,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,285,000070
Allen,Humboldt Ward 2,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,135,000080
Allen,Humboldt Ward 2,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,285,000080
Allen,Iola Ward 1,Kansas House of Representatives 9,"Cloutier, Alana",Democratic,122,000090
Allen,Iola Ward 1,Kansas House of Representatives 9,"Thompson, Kent L.",Republican,370,000090
