PRECINCT NAME,For State Representative 47th District,For State Representative 47th District,For State Representative 47th District,For State Representative 50th District,For State Representative 50th District,For State Representative 50th District,For State Representative 51st District,For State Representative 51st District,For State Representative 52nd District,For State Representative 52nd District,For State Representative 52nd District,For State Representative 53rd District,For State Representative 53rd District,For State Representative 53rd District,For State Representative 54th District,For State Representative 54th District,For State Representative 54th District,For State Representative 55th District,For State Representative 55th District,For State Representative 55th District,For State Representative 56th District,For State Representative 56th District,For State Representative 56th District,For State Representative 57th District,For State Representative 57th District,For State Representative 57th District,For State Representative 58th District,For State Representative 58th District,For State Representative 58th District
72 City Of Auburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,394,3,0,0,0,0,0,0,0,0,0,0,0,0
73 Meadowlark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,534,1,0,0,0,0,0,0,0,0,0,0,0,0
74 Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,395,2,0,0,0,0,0,0,0,0,0,0,0,0
80 Gaillardia,0,0,0,0,0,0,0,0,410,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81 Dover,0,0,0,326,116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82 Willard,0,0,0,322,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84 Yucca,0,0,0,133,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85 Aldersgate,0,0,0,0,0,0,0,0,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86 Sunflower,0,0,0,0,0,0,0,0,609,308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87 Washburn & 83 Ichabod Washburn,0,0,0,0,0,0,0,0,379,230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89 North Mission,0,0,0,0,0,0,0,0,105,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90 South Mission,0,0,0,0,0,0,0,0,283,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 Central Mission,0,0,0,0,0,0,0,0,353,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92 Sherwood,0,0,0,0,0,0,0,0,298,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93 South Sherwood,0,0,0,0,0,0,0,0,308,178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 Indian Hills,0,0,0,0,0,0,0,0,304,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95 York,0,0,0,0,0,0,0,0,340,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96 Vaquero,0,0,0,0,0,0,0,0,237,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97 York Outer,0,0,0,0,0,0,0,0,39,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99 Verbena & 88 Lykins,0,0,0,0,0,0,0,0,0,0,0,54,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,78,0,0,0,0
Ward 1 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,113,1,0,0,0
Ward 1 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,124,1,0,0,0
Ward 1 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,152,0,0,0,0
Ward 1 Precinct 5,0,0,0,338,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W01 P06 & W01 P07,0,0,0,441,230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 2 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,156,2,0,0,0
Ward 2 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,108,1,0,0,0
Ward 2 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,96,0,0,0,0
Ward 2 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,96,0,0,0,0
Ward 2 Precinct 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,79,0,0,0,0
Ward 2 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,68,0,0,0,0
Ward 2 Precinct 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,28,0,0,0,0
Ward 2 Precinct 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,28,0,0,0,0
Ward 2 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,98,0,0,0,0
Ward 2 Precinct 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,61,0,0,0,0
Ward 2 Precinct 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,78,2,0,0,0
Ward 2 Precinct 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 3 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,128,0,0,0,0,0,0,0,0,0,0
Ward 3 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,107,0,0,0,0,0,0,0,0,0,0
Ward 3 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,64,1,0,0,0,0,0,0,0,0,0
Ward 3 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,92,2,0,0,0,0,0,0,0,0,0
Ward 3 Precinct 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,46,1,0,0,0,0,0,0,0,0,0
Ward 3 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,61,0,0,0,0,0,0,0,0,0,0
Ward 3 Precinct 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,95,1,0,0,0,0,0,0,0,0,0
Ward 3 Precinct 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,190,1
Ward 3 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,253,0
Ward 3 Precinct 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0
Ward 4 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,76,1,0,0,0
Ward 4 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,70,1,0,0,0
Ward 4 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,37,0,0,0,0
Ward 4 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,284,1
Ward 4 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,220,1
Ward 4 Precinct 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,165,1
Ward 4 Precinct 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,201,1
Ward 4 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,230,1
Ward 4 Precinct 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,253,0
Ward 4 Precinct 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,55,0
Ward 4 Precinct 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0
Ward 4 Precinct 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,103,1,0,0,0,0,0,0
Ward 5 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,212,0
Ward 5 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,183,2
Ward 5 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,219,0
Ward 5 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,203,0
Ward 5 Precinct 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,255,2
Ward 5 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,196,0
Ward 5 Precinct 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,212,0
Ward 5 Precinct 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,171,0
Ward 5 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,283,0
Ward 5 Precinct 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,303,2
Ward 5 Precinct 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,202,0,0,0,0
Ward 5 Precinct 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,189,0,0,0,0
Ward 5 Precinct 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,70,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 5 Precinct 91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,60,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 6 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,202,0
Ward 6 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,186,1
Ward 6 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,199,0,0,0,0,0,0,0
Ward 6 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,237,1,0,0,0,0,0,0
Ward 6 Precinct 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,215,2,0,0,0,0,0,0
Ward 6 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,156,2,0,0,0,0,0,0
Ward 6 Precinct 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,108,2,0,0,0,0,0,0
Ward 6 Precinct 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,277,2
Ward 6 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,422,0,0,0,0,0,0,0
Ward 7 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,135,0,0,0,0,0,0,0,0,0,0
Ward 7 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,137,0,0,0,0,0,0,0,0,0,0
Ward 7 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,147,2,0,0,0,0,0,0,0,0,0
Ward 7 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,158,0,0,0,0,0,0,0,0,0,0
Ward 7 Precinct 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,134,0,0,0,0,0,0,0,0,0,0
Ward 7 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,116,0,0,0,0,0,0,0,0,0,0
Ward 7 Precinct 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,93,0,0,0,0,0,0,0,0,0,0
Ward 7 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,136,1,0,0,0,0,0,0,0,0,0
Ward 7 Precinct 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,119,2,0,0,0,0,0,0,0,0,0
Ward 7 Precinct 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,163,1,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,101,1,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,99,1,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,129,2,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,117,0,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,256,0,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,120,0,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,98,0,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,115,0,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,185,0,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,152,0,0,0,0,0,0,0,0,0,0
Ward 8 Precinct 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,213,2,0,0,0,0,0,0,0,0,0
Ward 9 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,51,1,0,0,0,0,0,0
Ward 9 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,156,1,0,0,0,0,0,0
Ward 9 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,302,0,0,0,0,0,0,0
Ward 9 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,250,2,0,0,0,0,0,0
Ward 9 Precinct 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,240,0,0,0,0,0,0,0
Ward 9 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,248,2,0,0,0,0,0,0
Ward 9 Precinct 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,319,2,0,0,0,0,0,0
Ward 9 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,176,0,0,0,0,0,0,0
Ward 9 Precinct 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,349,0,0,0,0,0,0,0
Ward 9 Precinct 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,192,2,0,0,0,0,0,0
Ward 9 Precinct 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,4,0,0,0,0,0,0
Ward 10 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,143,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,158,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,287,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,178,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 5,0,0,0,0,0,0,0,0,0,0,0,155,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,139,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 7,0,0,0,0,0,0,0,0,0,0,0,205,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 8,0,0,0,0,0,0,0,0,0,0,0,146,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,109,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 10,0,0,0,0,0,0,0,0,0,0,0,196,229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 11,0,0,0,0,0,0,0,0,0,0,0,271,340,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 13,0,0,0,0,0,0,0,0,0,0,0,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10 Precinct 14,0,0,0,0,0,0,0,0,0,0,0,171,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,143,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,152,227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,131,167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,209,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 5,0,0,0,0,0,0,0,0,0,0,0,160,222,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 6,0,0,0,0,0,0,0,0,0,0,0,158,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 7,0,0,0,0,0,0,0,0,0,0,0,170,199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 8,0,0,0,0,0,0,0,0,0,0,0,160,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 9,0,0,0,0,0,0,0,0,0,0,0,184,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11 Precinct 10,0,0,0,0,0,0,0,0,0,0,0,109,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12 Precinct 1,0,0,0,0,0,0,0,0,0,0,0,150,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12 Precinct 2,0,0,0,0,0,0,0,0,0,0,0,116,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12 Precinct 3,0,0,0,0,0,0,0,0,0,0,0,187,236,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12 Precinct 4,0,0,0,0,0,0,0,0,0,0,0,251,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12 Precinct 5,0,0,0,0,0,0,0,0,205,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12 Precinct 6,0,0,0,0,0,0,0,0,216,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
