PRECINCT NAME,For State Representative 47th District,For State Representative 47th District,For State Representative 47th District,For State Representative 50th District,For State Representative 50th District,For State Representative 50th District,For State Representative 51st District,For State Representative 51st District,For State Representative 52nd District,For State Representative 52nd District,For State Representative 52nd District,For State Representative 53rd District,For State Representative 53rd District,For State Representative 53rd District,For State Representative 54th District,For State Representative 54th District,For State Representative 54th District,For State Representative 55th District,For State Representative 55th District,For State Representative 55th District,For State Representative 56th District,For State Representative 56th District,For State Representative 56th District,For State Representative 57th District,For State Representative 57th District,For State Representative 57th District,For State Representative 58th District,For State Representative 58th District,For State Representative 58th District
,DEM Michael Caddell,REP Ronald B. Ellis,Write-in,REP Fred C. Patton,DEM Timothy B. Reed,Write-in,REP Ron Highland,Write-in,REP Jesse Borjon,DEM Mary Lou Davis,Write-in,REP Jeff Coen,DEM Jim Gartner,Write-in,DEM John Brosz,REP Ken Corbet,Write-in,DEM Annie Kuether,REP Janlyn Nesbett Tucker,Write-in,REP Tim Clothier,DEM Virgil Weigel,Write-in,DEM John Alcala,REP Michael Martin,Write-in,REP Geoffrey H Gawdun,DEM Vic Miller,Write-in
1 East Rossville,0,0,0,0,0,0,441,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 West Rossville,0,0,0,0,0,0,353,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 East Silver Lake,0,0,0,472,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 West Silver Lake,0,0,0,316,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Grove,0,0,0,346,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 Kiro,0,0,0,474,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 Messhoss Creek,0,0,0,314,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22 Little Muddy Creek,0,0,0,295,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 Sac,0,0,0,459,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 Sherman,0,0,0,456,116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26 Iroquois,0,0,0,473,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 West Wichita,0,0,0,353,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29 Indianola,0,0,0,465,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Apache,0,0,0,447,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31 East Wichita,0,0,0,678,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32 Fox,0,0,0,497,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33 Elmont,0,0,0,617,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 Kilmer,30,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 Rochester,0,0,0,409,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36 East Soldier,0,0,0,457,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37 Whitfield,0,0,0,347,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38 Sioux,146,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39 Pottawatomie,0,0,0,466,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40 Stinson Creek,93,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 North Tecumseh,193,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42 South Tecumseh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,270,0,0,0,0,0,0,0,0,0,0,0,0,0
43 Pawnee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,428,0,0,0,0,0,0,0,0,0,0,0,0,0
44 Kaw,178,366,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 Peck & 17 Croco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,156,0,0,0,0
46 East Peck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,205,0,0,0,0
47 Kiowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,439,1,0,0,0,0,0,0,0,0,0,0,0,0
48 Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,302,2,0,0,0
49 Ponca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,204,0,0,0,0,0,0,0,0,0,0,0,0,0
52 Deer Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0
53 Pauline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,83,0,0,0,0,0,0,0
54 West Potter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,23,1,0,0,0,0,0,0
55 Central Pauline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,36,0,0,0,0,0,0,0
56 NW Monmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,521,1,0,0,0,0,0,0,0,0,0,0,0,0
57 NE Monmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,366,1,0,0,0,0,0,0,0,0,0,0,0,0
58 South Monmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,524,2,0,0,0,0,0,0,0,0,0,0,0,0
62 Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0
63 Montara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,240,1,0,0,0,0,0,0,0,0,0,0,0,0
64 Cullen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,251,0,0,0,0,0,0,0,0,0,0,0,0,0
65 Wakarusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,386,0,0,0,0,0,0,0,0,0,0,0,0,0
66 Kingston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,0,0,0,0,0,0,0,0,0,0,0,0,0
