Offical Election Results
Anderson County
Contest Name,Candidate Name,Party,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Over Votes,Under Votes,Vote For
"Total Precincts Reported","17"
"US Representative District 3","Sharice Davids","Democratic Party","7","95","1","103","17","17","0","41","1"
"State Senate District 12","WRITE-IN 237","","1","7","0","8","17","17","0","148","1"
"State Representative District 9","WRITE-IN 240","","1","7","0","8","17","17","0","148","1"
"County Commissioner District 2","WRITE-IN 244","","1","5","0","6","5","5","0","69","1"
"County Commissioner District 3","Phyllis Gettler","Democratic Party","1","31","0","32","6","6","0","5","1"
"County Clerk","WRITE-IN 124","","4","11","0","15","17","17","0","141","1"
"County Treasurer","WRITE-IN 127","","2","10","0","12","17","17","0","144","1"
"County Register of Deeds","Sandra J. Baugher","Democratic Party","10","122","0","132","17","17","0","13","1"
"County Attorney","WRITE-IN 133","","1","24","0","25","17","17","0","130","1"
"County Sheriff","WRITE-IN 136","","3","33","0","36","17","17","0","119","1"
"Indian Creek Township Trustee","WRITE-IN 248","","0","0","0","0","1","1","0","1","1"
"Indian Creek Township Treasurer","WRITE-IN 250","","0","0","0","0","1","1","0","1","1"
"Jackson Township Trustee","WRITE-IN 252","","0","0","0","0","1","1","0","6","1"
"Jackson Township Treasurer","WRITE-IN 254","","0","0","0","0","1","1","0","6","1"
"Lincoln Township Trustee","WRITE-IN 256","","0","0","0","0","1","1","0","1","1"
"Lincoln Township Treasurer","WRITE-IN 258","","0","0","0","0","1","1","0","1","1"
"Lone Elm Township Trustee","WRITE-IN 260","","0","0","0","0","1","1","0","4","1"
"Lone Elm Township Treasurer","WRITE-IN 262","","0","0","0","0","1","1","0","4","1"
"Monroe Township Trustee","WRITE-IN 264","","0","0","0","0","1","1","0","13","1"
"Monroe Township Treasurer","WRITE-IN 266","","0","0","0","0","1","1","0","13","1"
"Ozark Township Trustee","WRITE-IN 268","","0","1","0","1","1","1","0","2","1"
"Ozark Township Treasurer","WRITE-IN 270","","0","1","0","1","1","1","0","2","1"
"Putnam Township Trustee","Anne Marie Strobel","Democratic Party","0","3","0","3","1","1","0","1","1"
"Putnam Township Treasurer","Joe Strobel","Democratic Party","0","2","0","2","1","1","0","2","1"
"Reeder Township Trustee","WRITE-IN 276","","0","0","0","0","1","1","0","2","1"
"Reeder Township Treasurer","WRITE-IN 278","","0","0","0","0","1","1","0","2","1"
"Rich Township Trustee","WRITE-IN 280","","0","0","0","0","1","1","0","7","1"
"Rich Township Treasurer","WRITE-IN 282","","0","0","0","0","1","1","0","7","1"
"Walker Township Trustee","WRITE-IN 284","","0","2","0","2","1","1","0","17","1"
"Walker Township Treasurer","WRITE-IN 286","","0","2","0","2","1","1","0","17","1"
"Washington Township Trustee","WRITE-IN 288","","0","0","0","0","1","1","0","5","1"
