Offical Election Results
Anderson County
Contest Name,Candidate Name,Party,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Over Votes,Under Votes,Vote For
"Washington Township Treasurer","WRITE-IN 290","","0","1","0","1","1","1","0","4","1"
"Welda Township Trustee","WRITE-IN 292","","0","2","0","2","1","1","0","6","1"
"Welda Township Treasurer","WRITE-IN 294","","0","1","0","1","1","1","0","7","1"
"Westphalia Twp Trustee","WRITE-IN 296","","0","0","0","0","1","1","0","7","1"
"Westphalia Twp Treasurer","WRITE-IN 298","","0","0","0","0","1","1","0","7","1"
"Garnett Precinct 1 Committeeman","WRITE-IN 300","","1","1","0","2","1","1","0","28","1"
"Garnett Precinct 1 Committeewoman","WRITE-IN 302","","1","1","0","2","1","1","0","28","1"
"Garnett Precinct 2 Committeeman","WRITE-IN 304","","0","1","0","1","1","1","0","14","1"
"Garnett Precinct 2 Committeewoman","WRITE-IN 306","","0","1","0","1","1","1","0","14","1"
"Garnett Precinct 3 Committeeman","WRITE-IN 308","","0","0","0","0","1","1","0","18","1"
"Garnett Precinct 3 Committeewoman","WRITE-IN 310","","0","0","0","0","1","1","0","18","1"
"Garnett Precinct 4 Committeeman","WRITE-IN 312","","0","1","0","1","1","1","0","9","1"
"Garnett Precinct 4 Committeewoman","WRITE-IN 314","","0","1","0","1","1","1","0","9","1"
"Indian Creek Township Precinct Committeeman","WRITE-IN 316","","0","0","0","0","1","1","0","1","1"
"Indian Creek Township Precinct Committeewoman","WRITE-IN 318","","0","0","0","0","1","1","0","1","1"
"Jackson Township Precinct Committeeman","WRITE-IN 320","","0","0","0","0","1","1","0","6","1"
"Jackson Township Precinct Committeewoman","WRITE-IN 322","","0","0","0","0","1","1","0","6","1"
"Lincoln Township Precinct Committeeman","WRITE-IN 324","","0","0","0","0","1","1","0","1","1"
"Lincoln Township Precinct Committeewoman","WRITE-IN 326","","0","0","0","0","1","1","0","1","1"
"Lone Elm Township Precinct Committeeman","WRITE-IN 328","","0","0","0","0","1","1","0","4","1"
"Lone Elm Township Precinct Committeewoman","WRITE-IN 330","","0","1","0","1","1","1","0","3","1"
"Monroe Township Precinct Committeeman","WRITE-IN 332","","0","0","0","0","1","1","0","13","1"
"Monroe Township Precinct Committeewoman","WRITE-IN 334","","0","0","0","0","1","1","0","13","1"
"Ozark Township Precinct Committeeman","WRITE-IN 340","","0","1","0","1","1","1","0","2","1"
"Ozark Township Precinct Committeewoman","WRITE-IN 342","","0","1","0","1","1","1","0","2","1"
"Putnam Township Precinct Committeeman","WRITE-IN 344","","0","0","0","0","1","1","0","7","1"
"Putnam Township Precinct Committeewoman","WRITE-IN 346","","0","0","0","0","1","1","0","7","1"
"Reeder Township Precinct Committeeman","WRITE-IN 352","","0","0","0","0","1","1","0","2","1"
"Reeder Township Precinct Committeewoman","WRITE-IN 354","","0","0","0","0","1","1","0","2","1"
"Rich Township Precinct Committeeman","WRITE-IN 348","","0","0","0","0","1","1","0","7","1"
"Rich Township Precinct Committeewoman","WRITE-IN 350","","0","0","0","0","1","1","0","7","1"
"Walker Township Precinct Committeeman","WRITE-IN 356","","0","2","0","2","1","1","0","17","1"
"Walker Township Precinct Committeewoman","WRITE-IN 358","","0","2","0","2","1","1","0","17","1"
"Washington Township Precinct Committeeman","WRITE-IN 360","","0","0","0","0","1","1","0","5","1"
"Washington Township Precinct Committeewoman","WRITE-IN 362","","0","0","0","0","1","1","0","5","1"
"Welda Township Precinct Committeeman","WRITE-IN 364","","0","2","0","2","1","1","0","6","1"
"Welda Township Precinct Committeewoman","WRITE-IN 366","","0","3","0","3","1","1","0","5","1"
"Westphalia Township Precinct Committeeman","WRITE-IN 368","","0","0","0","0","1","1","0","7","1"
"Westphalia Township Precinct Committeewoman","WRITE-IN 370","","0","0","0","0","1","1","0","7","1"
"US Representative District 3","Karen Crnkovich","Republican Party","13","567","6","586","17","17","0","121","1"
"US Representative District 3","Prasanth Reddy","Republican Party","10","353","5","368","17","17","0","121","1"
"State Senate District 12","Caryn Tyson","Republican Party","23","803","10","836","17","17","0","51","1"
"State Senate District 12","Stetson Kern","Republican Party","5","171","2","178","17","17","0","51","1"
"State Representative District 9","Fred Gardner","Republican Party","27","954","12","993","17","17","0","80","1"
"County Commissioner District 2","Anthony ""Spike"" Mersman","Republican Party","11","356","5","372","5","5","0","71","1"
"County Commissioner District 3","Michael E. Blaufuss","Republican Party","13","264","6","283","6","6","0","20","1"
"County Clerk","Julie Wettstein","Republican Party","27","924","12","963","17","17","0","103","1"
"County Treasurer","Ida (Yoder) McClelland","Republican Party","28","938","12","978","17","17","0","91","1"
"County Register of Deeds","WRITE-IN 129","","1","49","1","51","17","17","0","1103","1"
"County Attorney","Elizabeth Oliver","Republican Party","6","294","1","301","17","17","0","28","1"
"County Attorney","Steven R Wilson","Republican Party","23","701","11","735","17","17","0","28","1"
"County Sheriff","Wesley E McClain","Republican Party","16","803","11","830","17","17","0","44","1"
"County Sheriff","Mark Locke","Republican Party","14","181","1","196","17","17","0","44","1"
"Indian Creek Township Trustee","Rochelle Smart","Republican Party","0","18","0","18","1","1","0","4","1"
"Indian Creek Township Treasurer","WRITE-IN 249","","0","2","0","2","1","1","0","20","1"
"Jackson Township Trustee","WRITE-IN 251","","0","5","0","5","1","1","0","73","1"
"Jackson Township Treasurer","WRITE-IN 253","","0","3","0","3","1","1","0","74","1"
"Lincoln Township Trustee","WRITE-IN 255","","0","5","0","5","1","1","0","37","1"
"Lincoln Township Treasurer","J. Yvonne Cobbs","Republican Party","0","35","0","35","1","1","0","5","1"
"Lone Elm Township Trustee","WRITE-IN 259","","0","5","0","5","1","1","0","19","1"
"Lone Elm Township Treasurer","WRITE-IN 261","","0","5","0","5","1","1","0","19","1"
"Monroe Township Trustee","WRITE-IN 263","","0","0","0","0","1","1","0","54","1"
"Monroe Township Treasurer","WRITE-IN 265","","0","0","0","0","1","1","0","53","1"
"Ozark Township Trustee","WRITE-IN 267","","0","6","0","6","1","1","0","79","1"
"Ozark Township Treasurer","WRITE-IN 269","","0","5","0","5","1","1","0","80","1"
"Putnam Township Trustee","WRITE-IN 271","","0","2","0","2","1","1","0","47","1"
"Putnam Township Treasurer","WRITE-IN 273","","0","2","0","2","1","1","0","46","1"
"Reeder Township Trustee","WRITE-IN 275","","0","1","0","1","1","1","0","20","1"
"Reeder Township Treasurer","WRITE-IN 277","","0","1","0","1","1","1","0","21","1"
"Rich Township Trustee","WRITE-IN 279","","0","6","0","6","1","1","0","44","1"
"Rich Township Treasurer","Connie Thompson","Republican Party","0","3","0","3","1","1","0","43","1"
"Rich Township Treasurer","WRITE-IN 281","","0","4","0","4","1","1","0","43","1"
"Walker Township Trustee","Tanner Lickteig","Republican Party","0","3","0","3","1","1","0","78","1"
"Walker Township Trustee","WRITE-IN 283","","0","10","0","10","1","1","0","78","1"
"Walker Township Treasurer","Charlie Reese","Republican Party","0","3","0","3","1","1","0","79","1"
"Walker Township Treasurer","WRITE-IN 285","","0","9","0","9","1","1","0","79","1"
"Washington Township Trustee","WRITE-IN 287","","0","2","0","2","1","1","0","58","1"
"Washington Township Treasurer","WRITE-IN 289","","0","2","0","2","1","1","0","58","1"
"Welda Township Trustee","WRITE-IN 291","","0","15","0","15","1","1","0","30","1"
"Welda Township Treasurer","Peggy McGregor","Republican Party","0","6","0","6","1","1","0","34","1"
"Welda Township Treasurer","WRITE-IN 293","","0","4","0","4","1","1","0","34","1"
"Westphalia Twp Trustee","WRITE-IN 295","","0","6","0","6","1","1","0","46","1"
"Westphalia Twp Treasurer","WRITE-IN 297","","0","5","0","5","1","1","0","47","1"
"Garnett Precinct 1 Committeeman","Wesley Keller","Republican Party","4","121","2","127","1","1","0","49","1"
"Garnett Precinct 1 Committeeman","WRITE-IN 299","","0","4","0","4","1","1","0","49","1"
"Garnett Precinct 1 Committeewoman","Carolyn Keller","Republican Party","4","123","2","129","1","1","0","50","1"
"Garnett Precinct 1 Committeewoman","WRITE-IN 301","","0","2","0","2","1","1","0","50","1"
"Garnett Precinct 2 Committeeman","Willard ""Speed"" Elsasser","Republican Party","5","111","2","118","1","1","1","32","1"
"Garnett Precinct 2 Committeeman","WRITE-IN 303","","0","2","0","2","1","1","1","32","1"
"Garnett Precinct 2 Committeewoman","Jan Elsasser","Republican Party","5","111","2","118","1","1","1","33","1"
"Garnett Precinct 2 Committeewoman","WRITE-IN 305","","0","1","0","1","1","1","1","33","1"
"Garnett Precinct 3 Committeeman","WRITE-IN 307","","0","5","0","5","1","1","0","93","1"
"Garnett Precinct 3 Committeewoman","WRITE-IN 309","","0","2","0","2","1","1","0","98","1"
"Garnett Precinct 4 Committeeman","Ron Bruce","Republican Party","0","17","1","18","1","1","0","5","1"
"Garnett Precinct 4 Committeeman","WRITE-IN 311","","0","0","0","0","1","1","0","5","1"
"Garnett Precinct 4 Committeewoman","WRITE-IN 313","","0","0","0","0","1","1","0","24","1"
"Indian Creek Township Precinct Committeeman","WRITE-IN 315","","0","0","0","0","1","1","0","22","1"
"Indian Creek Township Precinct Committeewoman","Rochelle Smart","Republican Party","0","16","0","16","1","1","0","6","1"
"Indian Creek Township Precinct Committeewoman","WRITE-IN 317","","0","0","0","0","1","1","0","6","1"
"Jackson Township Precinct Committeeman","Fred Gardner","Republican Party","5","58","1","64","1","1","0","7","1"
"Jackson Township Precinct Committeeman","WRITE-IN 319","","0","0","0","0","1","1","0","7","1"
"Jackson Township Precinct Committeewoman","Jacqueline A Gardner","Republican Party","5","56","1","62","1","1","0","9","1"
"Jackson Township Precinct Committeewoman","WRITE-IN 321","","0","0","0","0","1","1","0","9","1"
"Lincoln Township Precinct Committeeman","Gary G. Hoke","Republican Party","0","35","0","35","1","1","0","6","1"
"Lincoln Township Precinct Committeeman","WRITE-IN 323","","0","0","0","0","1","1","0","6","1"
"Lincoln Township Precinct Committeewoman","Cathy D. Hoke","Republican Party","0","35","0","35","1","1","0","6","1"
"Lincoln Township Precinct Committeewoman","WRITE-IN 325","","0","0","0","0","1","1","0","6","1"
"Lone Elm Township Precinct Committeeman","WRITE-IN 327","","0","4","0","4","1","1","0","20","1"
"Lone Elm Township Precinct Committeewoman","WRITE-IN 329","","0","3","0","3","1","1","0","21","1"
"Monroe Township Precinct Committeeman","Garold Dane Hicks","Republican Party","0","32","0","32","1","1","0","16","1"
"Monroe Township Precinct Committeeman","WRITE-IN 331","","0","0","0","0","1","1","0","16","1"
"Monroe Township Precinct Committeewoman","Barbara K. Hicks","Republican Party","0","33","0","33","1","1","0","15","1"
"Monroe Township Precinct Committeewoman","WRITE-IN 333","","0","0","0","0","1","1","0","15","1"
"Ozark Township Precinct Committeeman","WRITE-IN 339","","0","8","0","8","1","1","0","77","1"
"Ozark Township Precinct Committeewoman","WRITE-IN 341","","0","7","0","7","1","1","0","78","1"
"Putnam Township Precinct Committeeman","Jeremy DuPont","Republican Party","1","37","0","38","1","1","0","8","1"
"Putnam Township Precinct Committeeman","WRITE-IN 343","","0","0","0","0","1","1","0","8","1"
"Putnam Township Precinct Committeewoman","WRITE-IN 345","","0","1","0","1","1","1","0","48","1"
"Reeder Township Precinct Committeeman","WRITE-IN 351","","0","1","0","1","1","1","0","22","1"
"Reeder Township Precinct Committeewoman","WRITE-IN 353","","0","3","0","3","1","1","0","21","1"
"Rich Township Precinct Committeeman","WRITE-IN 347","","0","3","0","3","1","1","0","47","1"
"Rich Township Precinct Committeewoman","WRITE-IN 349","","0","6","0","6","1","1","0","44","1"
"Walker Township Precinct Committeeman","WRITE-IN 355","","0","9","0","9","1","1","0","82","1"
"Walker Township Precinct Committeewoman","WRITE-IN 357","","0","12","0","12","1","1","0","79","1"
"Washington Township Precinct Committeeman","WRITE-IN 359","","0","1","0","1","1","1","0","59","1"
"Washington Township Precinct Committeewoman","WRITE-IN 361","","0","0","0","0","1","1","0","60","1"
"Welda Township Precinct Committeeman","WRITE-IN 363","","0","11","0","11","1","1","0","34","1"
"Welda Township Precinct Committeewoman","WRITE-IN 365","","0","5","0","5","1","1","0","41","1"
"Westphalia Township Precinct Committeeman","Carl Nichols","Republican Party","0","40","1","41","1","1","0","8","1"
"Westphalia Township Precinct Committeeman","WRITE-IN 367","","0","0","0","0","1","1","0","8","1"
"Westphalia Township Precinct Committeewoman","Lu Ann Nichols","Republican Party","0","42","1","43","1","1","0","6","1"
"Westphalia Township Precinct Committeewoman","WRITE-IN 369","","0","0","0","0","1","1","0","6","1"
