PRECINCT NAME,For State Senator 18th District,For State Senator 18th District,For State Senator 18th District,For State Senator 19th District,For State Senator 19th District,For State Senator 19th District,For State Senator 20th District,For State Senator 20th District,For State Senator 20th District
48 Cheyenne,0,0,0,249,306,1,0,0,0
49 Ponca,0,0,0,185,174,0,0,0,0
52 Deer Creek,0,0,0,13,13,0,0,0,0
53 Pauline,0,0,0,91,115,0,0,0,0
54 West Potter,0,0,0,0,0,0,53,22,2
55 Central Pauline,0,0,0,0,0,0,56,33,0
56 NW Monmouth,0,0,0,274,481,0,0,0,0
57 NE Monmouth,0,0,0,262,332,0,0,0,0
58 South Monmouth,0,0,0,267,511,0,0,0,0
62 Forbes,0,0,0,28,43,0,0,0,0
63 Montara,0,0,0,0,0,0,225,205,0
64 Cullen,0,0,0,0,0,0,234,204,1
65 Wakarusa,0,0,0,0,0,0,372,165,1
66 Kingston,0,0,0,52,98,0,0,0,0
72 City Of Auburn,0,0,0,0,0,0,371,196,2
73 Meadowlark,0,0,0,0,0,0,554,189,1
74 Buffalo,0,0,0,0,0,0,389,131,2
80 Gaillardia,0,0,0,0,0,0,434,245,0
81 Dover,0,0,0,0,0,0,321,119,3
82 Willard,296,125,1,0,0,0,0,0,0
84 Yucca,0,0,0,0,0,0,134,54,1
85 Aldersgate,0,0,0,0,0,0,128,89,0
86 Sunflower,0,0,0,0,0,0,677,242,2
87 Washburn & 83 Ichabod Washburn,0,0,0,0,0,0,414,206,1
89 North Mission,107,41,0,0,0,0,0,0,0
90 South Mission,0,0,0,0,0,0,301,114,0
91 Central Mission,0,0,0,0,0,0,412,223,1
92 Sherwood,0,0,0,0,0,0,311,164,3
93 South Sherwood,0,0,0,0,0,0,329,160,0
94 Indian Hills,0,0,0,0,0,0,358,174,1
95 York,0,0,0,0,0,0,373,178,3
96 Vaquero,0,0,0,0,0,0,244,133,1
97 York Outer,0,0,0,0,0,0,43,26,0
99 Verbena & 88 Lykins,0,0,0,0,0,0,59,24,1
Ward 1 Precinct 1,91,127,1,0,0,0,0,0,0
Ward 1 Precinct 2,137,152,0,0,0,0,0,0,0
Ward 1 Precinct 3,165,105,2,0,0,0,0,0,0
Ward 1 Precinct 4,195,157,0,0,0,0,0,0,0
Ward 1 Precinct 5,336,207,0,0,0,0,0,0,0
W01 P06 & W01 P07,415,264,0,0,0,0,0,0,0
Ward 2 Precinct 1,0,0,0,201,171,0,0,0,0
Ward 2 Precinct 2,0,0,0,174,124,1,0,0,0
Ward 2 Precinct 3,0,0,0,165,114,1,0,0,0
Ward 2 Precinct 4,0,0,0,163,110,0,0,0,0
Ward 2 Precinct 5,0,0,0,150,91,0,0,0,0
Ward 2 Precinct 6,0,0,0,167,83,0,0,0,0
Ward 2 Precinct 7,0,0,0,128,39,1,0,0,0
Ward 2 Precinct 8,0,0,0,165,30,0,0,0,0
Ward 2 Precinct 9,0,0,0,238,117,0,0,0,0
Ward 2 Precinct 10,0,0,0,288,85,0,0,0,0
Ward 2 Precinct 11,102,160,0,0,0,0,0,0,0
Ward 2 Precinct 12,0,0,0,0,0,0,0,0,0
Ward 3 Precinct 1,138,195,0,0,0,0,0,0,0
Ward 3 Precinct 2,119,197,0,0,0,0,0,0,0
Ward 3 Precinct 3,75,165,1,0,0,0,0,0,0
Ward 3 Precinct 4,99,184,2,0,0,0,0,0,0
Ward 3 Precinct 5,57,135,1,0,0,0,0,0,0
Ward 3 Precinct 6,63,146,0,0,0,0,0,0,0
Ward 3 Precinct 7,115,157,0,0,0,0,0,0,0
Ward 3 Precinct 8,88,181,0,0,0,0,0,0,0
Ward 3 Precinct 9,99,240,2,0,0,0,0,0,0
Ward 3 Precinct 10,9,23,0,0,0,0,0,0,0
Ward 4 Precinct 1,0,0,0,185,84,2,0,0,0
Ward 4 Precinct 2,0,0,0,257,75,0,0,0,0
Ward 4 Precinct 3,0,0,0,173,41,0,0,0,0
Ward 4 Precinct 4,0,0,0,270,74,0,0,0,0
Ward 4 Precinct 6,82,220,1,0,0,0,0,0,0
Ward 4 Precinct 7,0,0,0,164,52,1,0,0,0
Ward 4 Precinct 8,0,0,0,197,86,0,0,0,0
Ward 4 Precinct 9,0,0,0,230,75,1,0,0,0
Ward 4 Precinct 10,0,0,0,247,112,0,0,0,0
Ward 4 Precinct 11,0,0,0,61,41,0,0,0,0
Ward 4 Precinct 14,2,20,0,0,0,0,0,0,0
Ward 4 Precinct 15,0,0,0,105,92,1,0,0,0
Ward 5 Precinct 1,0,0,0,207,72,0,0,0,0
Ward 5 Precinct 2,0,0,0,175,88,3,0,0,0
Ward 5 Precinct 3,0,0,0,214,97,0,0,0,0
Ward 5 Precinct 4,0,0,0,192,122,0,0,0,0
Ward 5 Precinct 5,0,0,0,252,92,2,0,0,0
Ward 5 Precinct 6,0,0,0,191,72,0,0,0,0
Ward 5 Precinct 7,0,0,0,215,80,0,0,0,0
Ward 5 Precinct 8,0,0,0,172,85,0,0,0,0
Ward 5 Precinct 9,0,0,0,286,236,0,0,0,0
Ward 5 Precinct 10,0,0,0,326,245,1,0,0,0
Ward 5 Precinct 11,0,0,0,280,228,1,0,0,0
Ward 5 Precinct 14,0,0,0,121,200,0,0,0,0
Ward 5 Precinct 15,0,0,0,61,63,0,0,0,0
Ward 5 Precinct 91,0,0,0,93,55,0,0,0,0
Ward 6 Precinct 1,0,0,0,200,58,1,0,0,0
Ward 6 Precinct 2,0,0,0,187,74,1,0,0,0
Ward 6 Precinct 3,0,0,0,0,0,0,216,171,1
Ward 6 Precinct 4,0,0,0,0,0,0,170,239,1
Ward 6 Precinct 5,0,0,0,0,0,0,161,211,2
Ward 6 Precinct 6,0,0,0,0,0,0,93,154,2
Ward 6 Precinct 7,0,0,0,0,0,0,73,114,1
Ward 6 Precinct 8,0,0,0,276,142,3,0,0,0
Ward 6 Precinct 9,0,0,0,0,0,0,474,424,1
Ward 7 Precinct 1,139,268,0,0,0,0,0,0,0
Ward 7 Precinct 2,144,210,0,0,0,0,0,0,0
Ward 7 Precinct 3,158,218,2,0,0,0,0,0,0
Ward 7 Precinct 4,181,200,0,0,0,0,0,0,0
Ward 7 Precinct 5,152,165,0,0,0,0,0,0,0
Ward 7 Precinct 6,128,155,0,0,0,0,0,0,0
Ward 7 Precinct 7,109,163,0,0,0,0,0,0,0
Ward 7 Precinct 9,146,139,0,0,0,0,0,0,0
Ward 7 Precinct 10,135,167,0,0,0,0,0,0,0
Ward 7 Precinct 11,178,281,0,0,0,0,0,0,0
Ward 8 Precinct 1,105,191,0,0,0,0,0,0,0
Ward 8 Precinct 2,112,213,0,0,0,0,0,0,0
Ward 8 Precinct 3,128,306,1,0,0,0,0,0,0
Ward 8 Precinct 4,134,255,0,0,0,0,0,0,0
Ward 8 Precinct 5,277,355,0,0,0,0,0,0,0
Ward 8 Precinct 6,0,0,0,0,0,0,167,155,0
Ward 8 Precinct 7,106,199,0,0,0,0,0,0,0
Ward 8 Precinct 8,114,209,0,0,0,0,0,0,0
Ward 8 Precinct 9,184,244,1,0,0,0,0,0,0
Ward 8 Precinct 10,0,0,0,0,0,0,190,144,0
Ward 8 Precinct 11,0,0,0,0,0,0,234,240,1
Ward 9 Precinct 1,0,0,0,51,46,1,0,0,0
Ward 9 Precinct 2,0,0,0,0,0,0,114,159,3
Ward 9 Precinct 3,0,0,0,0,0,0,254,274,2
Ward 9 Precinct 4,0,0,0,0,0,0,229,241,3
Ward 9 Precinct 5,0,0,0,0,0,0,176,234,0
Ward 9 Precinct 6,0,0,0,0,0,0,190,245,2
Ward 9 Precinct 8,0,0,0,0,0,0,225,329,2
Ward 9 Precinct 9,0,0,0,0,0,0,169,170,0
Ward 9 Precinct 10,0,0,0,0,0,0,322,348,0
Ward 9 Precinct 11,0,0,0,0,0,0,192,179,3
Ward 9 Precinct 12,0,0,0,0,0,0,56,108,2
Ward 10 Precinct 1,151,238,1,0,0,0,0,0,0
Ward 10 Precinct 2,184,160,0,0,0,0,0,0,0
Ward 10 Precinct 3,0,0,0,0,0,0,343,294,1
Ward 10 Precinct 4,196,203,0,0,0,0,0,0,0
Ward 10 Precinct 5,0,0,0,0,0,0,173,176,1
Ward 10 Precinct 6,0,0,0,0,0,0,168,145,2
Ward 10 Precinct 7,0,0,0,0,0,0,209,215,1
Ward 10 Precinct 8,0,0,0,0,0,0,165,172,1
Ward 10 Precinct 9,0,0,0,0,0,0,117,124,0
Ward 10 Precinct 10,0,0,0,0,0,0,204,219,2
Ward 10 Precinct 11,292,322,1,0,0,0,0,0,0
Ward 10 Precinct 13,24,13,0,0,0,0,0,0,0
Ward 10 Precinct 14,196,223,1,0,0,0,0,0,0
Ward 11 Precinct 1,0,0,0,0,0,0,155,141,0
Ward 11 Precinct 2,0,0,0,0,0,0,183,201,0
Ward 11 Precinct 3,0,0,0,0,0,0,133,167,1
Ward 11 Precinct 4,0,0,0,0,0,0,228,248,1
Ward 11 Precinct 5,0,0,0,0,0,0,168,223,1
Ward 11 Precinct 6,0,0,0,0,0,0,160,240,0
Ward 11 Precinct 7,0,0,0,0,0,0,161,212,1
Ward 11 Precinct 8,0,0,0,0,0,0,180,169,1
Ward 11 Precinct 9,0,0,0,0,0,0,193,236,0
Ward 11 Precinct 10,0,0,0,0,0,0,109,159,1
Ward 12 Precinct 1,0,0,0,0,0,0,162,228,0
Ward 12 Precinct 2,0,0,0,0,0,0,115,218,1
Ward 12 Precinct 3,0,0,0,0,0,0,237,188,1
Ward 12 Precinct 4,0,0,0,0,0,0,287,220,0
Ward 12 Precinct 5,0,0,0,0,0,0,260,189,0
Ward 12 Precinct 6,0,0,0,0,0,0,238,286,0
Ward 12 Precinct 7,0,0,0,0,0,0,276,277,3
Ward 12 Precinct 8,0,0,0,0,0,0,226,262,1
Ward 12 Precinct 9,0,0,0,0,0,0,385,391,0
Ward 12 Precinct 11,0,0,0,0,0,0,461,282,0
Ward 12 Precinct 13,0,0,0,0,0,0,347,179,1
Ward 12 Precinct 14,0,0,0,0,0,0,278,159,2
Ward 12 Precinct 15,0,0,0,0,0,0,413,320,3
Ward 12 Precinct 16,0,0,0,0,0,0,453,368,1
W12 P19 & W13 P10,0,0,0,0,0,0,71,26,0
Ward 12 Precinct 20,0,0,0,0,0,0,332,253,1
Ward 12 Precinct 31,0,0,0,0,0,0,211,147,0
Ward 13 Precinct 2,0,0,0,0,0,0,97,108,0
Ward 13 Precinct 5,0,0,0,0,0,0,11,4,0
Ward 13 Precinct 6,0,0,0,0,0,0,130,37,1
Ward 13 Precinct 9,0,0,0,0,0,0,93,47,3
Ward 13 Precinct 12,0,0,0,0,0,0,526,265,1
Ward 13 Precinct 21,0,0,0,0,0,0,54,45,0
Ward 13 Precinct 22,0,0,0,0,0,0,48,46,0
W13 P30 & W13 P08,122,116,1,0,0,0,0,0,0
Ward 14 Precinct 1,0,0,0,0,0,0,427,319,1
Ward 14 Precinct 2,0,0,0,0,0,0,419,242,2
Ward 14 Precinct 3,0,0,0,0,0,0,249,146,0
Ward 14 Precinct 4,0,0,0,0,0,0,589,272,3
Ward 14 Precinct 5,0,0,0,0,0,0,310,100,1
Ward 15 Precinct 1,0,0,0,337,312,0,0,0,0
W15 P02 & W15 P04,0,0,0,229,196,0,0,0,0
Ward 15 Precinct 3,0,0,0,18,33,0,0,0,0
COUNTY TOTALS,15115,12476,28,10965,8479,24,21251,16400,92
