PRECINCT NAME,For State Senator 18th District,For State Senator 18th District,For State Senator 18th District,For State Senator 19th District,For State Senator 19th District,For State Senator 19th District,For State Senator 20th District,For State Senator 20th District,For State Senator 20th District
,REP Kristen O'Shea,DEM Tobias Schlingensiepen,Write-in,DEM Anthony Hensley,REP Rick Kloos,Write-in,REP Brenda S. Dietrich,DEM Rachel Willis,Write-in
1 East Rossville,383,140,1,0,0,0,0,0,0
2 West Rossville,309,100,0,0,0,0,0,0,0
9 East Silver Lake,442,205,1,0,0,0,0,0,0
10 West Silver Lake,292,138,1,0,0,0,0,0,0
12 Grove,330,99,1,0,0,0,0,0,0
14 Kiro,427,185,0,0,0,0,0,0,0
15 Messhoss Creek,279,137,2,0,0,0,0,0,0
22 Little Muddy Creek,258,108,0,0,0,0,0,0,0
24 Sac,414,217,0,0,0,0,0,0,0
25 Sherman,392,181,2,0,0,0,0,0,0
26 Iroquois,405,251,0,0,0,0,0,0,0
28 West Wichita,313,170,0,0,0,0,0,0,0
29 Indianola,418,182,0,0,0,0,0,0,0
30 Apache,392,181,0,0,0,0,0,0,0
31 East Wichita,572,295,0,0,0,0,0,0,0
32 Fox,474,164,0,0,0,0,0,0,0
33 Elmont,551,271,0,0,0,0,0,0,0
34 Kilmer,128,41,0,0,0,0,0,0,0
35 Rochester,344,193,0,0,0,0,0,0,0
36 East Soldier,375,246,0,0,0,0,0,0,0
37 Whitfield,308,157,0,0,0,0,0,0,0
38 Sioux,298,187,1,0,0,0,0,0,0
39 Pottawatomie,426,214,0,0,0,0,0,0,0
40 Stinson Creek,0,0,0,113,108,1,0,0,0
41 North Tecumseh,0,0,0,219,274,0,0,0,0
42 South Tecumseh,0,0,0,212,241,0,0,0,0
43 Pawnee,0,0,0,252,396,0,0,0,0
44 Kaw,0,0,0,238,312,0,0,0,0
45 Peck & 17 Croco,0,0,0,185,165,0,0,0,0
46 East Peck,0,0,0,140,215,0,0,0,0
47 Kiowa,0,0,0,374,403,1,0,0,0
