PRECINCT NAME,State Senate 6,State Senate 6,State Senate 6,State Senate 6,State Senate 6,State Senate 7,State Senate 7,State Senate 7,State Senate 7,State Senate 7,State Senate 8,State Senate 8,State Senate 8,State Senate 8,State Senate 8,State Senate 9,State Senate 9,State Senate 9,State Senate 9,State Senate 9,State Senate 10,State Senate 10,State Senate 10,State Senate 10,State Senate 10,State Senate 11,State Senate 11,State Senate 11,State Senate 11,State Senate 11,State Senate 21,State Senate 21,State Senate 21,State Senate 21,State Senate 21,State Senate 23,State Senate 23,State Senate 23,State Senate 23,State Senate 23,State Senate 37,State Senate 37,State Senate 37,State Senate 37,State Senate 37
,Pat Pettey,Diana Whittington,Write-in,OVER VOTES,UNDER VOTES,Ethan Corson,Laura McConwell,Write-in,OVER VOTES,UNDER VOTES,Cindy Holscher,James Todd,Write-in,OVER VOTES,UNDER VOTES,Beverly Gossage,Stacey Knoell,Write-in,OVER VOTES,UNDER VOTES,Lindsey Constance,Mike Thompson,Write-in,OVER VOTES,UNDER VOTES,Joy Koesten,Kellie Warren,Write-in,OVER VOTES,UNDER VOTES,Tom Bickimer,Dinah Sykes,Write-in,OVER VOTES,UNDER VOTES,Wendy Budetti,Rob Olson,Write-in,OVER VOTES,UNDER VOTES,Molly Baumgardner,Becca Peck,Write-in,OVER VOTES,UNDER VOTES
Aubry Township Precinct 01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,42,0,0,3
Aubry Township Precinct 02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,323,2,0,29
Aubry Township Precinct 03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,169,0,0,13
Aubry Township Precinct 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918,408,2,0,35
Aubry Township Precinct 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0
Aubry Township Precinct 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,24,0,0,2
Aubry Township Precinct 07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardner Township Precinct 01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,149,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardner Township Precinct 02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,129,3,0,11
