County,Precinct,Race,Candidate,Party,Votes,VTD
Allen,Carlyle Township,Kansas Senate 12,"Bruner, Mike",Democratic,37,000010
Allen,Carlyle Township,Kansas Senate 12,"Tyson, Caryn",Republican,131,000010
Allen,Cottage Grove Township,Kansas Senate 12,"Bruner, Mike",Democratic,29,000020
Allen,Cottage Grove Township,Kansas Senate 12,"Tyson, Caryn",Republican,90,000020
Allen,Deer Creek Township,Kansas Senate 12,"Bruner, Mike",Democratic,12,000030
Allen,Deer Creek Township,Kansas Senate 12,"Tyson, Caryn",Republican,59,000030
Allen,East Elm,Kansas Senate 12,"Bruner, Mike",Democratic,57,000040
Allen,East Elm,Kansas Senate 12,"Tyson, Caryn",Republican,223,000040
Allen,Geneva Township,Kansas Senate 12,"Bruner, Mike",Democratic,16,000050
Allen,Geneva Township,Kansas Senate 12,"Tyson, Caryn",Republican,59,000050
Allen,Humboldt Township,Kansas Senate 12,"Bruner, Mike",Democratic,31,00006A
Allen,Humboldt Township,Kansas Senate 12,"Tyson, Caryn",Republican,133,00006A
Allen,Humboldt Township Rural Enclave,Kansas Senate 12,"Bruner, Mike",Democratic,0,00006B
Allen,Humboldt Township Rural Enclave,Kansas Senate 12,"Tyson, Caryn",Republican,0,00006B
Allen,Humboldt Township Split,Kansas Senate 12,"Bruner, Mike",Democratic,0,00006C
Allen,Humboldt Township Split,Kansas Senate 12,"Tyson, Caryn",Republican,0,00006C
Allen,Humboldt Ward 1,Kansas Senate 12,"Bruner, Mike",Democratic,179,000070
Allen,Humboldt Ward 1,Kansas Senate 12,"Tyson, Caryn",Republican,248,000070
Allen,Humboldt Ward 2,Kansas Senate 12,"Bruner, Mike",Democratic,165,000080
Allen,Humboldt Ward 2,Kansas Senate 12,"Tyson, Caryn",Republican,258,000080
Allen,Iola Ward 1,Kansas Senate 12,"Bruner, Mike",Democratic,181,000090
Allen,Iola Ward 1,Kansas Senate 12,"Tyson, Caryn",Republican,312,000090
Allen,Iola Ward 2,Kansas Senate 12,"Bruner, Mike",Democratic,178,00010A
Allen,Iola Ward 2,Kansas Senate 12,"Tyson, Caryn",Republican,449,00010A
Allen,Iola Ward 2 Exclave,Kansas Senate 12,"Bruner, Mike",Democratic,0,00010B
Allen,Iola Ward 2 Exclave,Kansas Senate 12,"Tyson, Caryn",Republican,0,00010B
Allen,Iola Ward 3,Kansas Senate 12,"Bruner, Mike",Democratic,201,000110
Allen,Iola Ward 3,Kansas Senate 12,"Tyson, Caryn",Republican,305,000110
Allen,Iola Ward 4,Kansas Senate 12,"Bruner, Mike",Democratic,214,000120
Allen,Iola Ward 4,Kansas Senate 12,"Tyson, Caryn",Republican,325,000120
Allen,Marmaton Township,Kansas Senate 12,"Bruner, Mike",Democratic,113,000140
Allen,Marmaton Township,Kansas Senate 12,"Tyson, Caryn",Republican,265,000140
Allen,North Elsmore,Kansas Senate 12,"Bruner, Mike",Democratic,23,000150
Allen,North Elsmore,Kansas Senate 12,"Tyson, Caryn",Republican,71,000150
