COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Democratic,REGISTERED VOTERS - Republican,REGISTERED VOTERS - Nonpartisan,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic,BALLOTS CAST - Republican,BALLOTS CAST - Nonpartisan,BALLOTS CAST BLANK,DEM Democratic Presidential Preference,DEM Democratic Presidential Preference,DEM Democratic Presidential Preference,DEM Democratic Presidential Preference,DEM Democratic Presidential Preference,DEM Democratic Presidential Preference,DEM Democratic Presidential Preference,REP Republican Presidential Preference,REP Republican Presidential Preference,REP Republican Presidential Preference,REP Republican Presidential Preference,REP Republican Presidential Preference,REP Republican Presidential Preference,REP Republican Presidential Preference
,,,,DEM,REP,NON,,DEM,REP,NON,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,REP,REP,REP,REP,REP,REP,REP
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Marianne Williamson,Jason Michael Palmer,Dean Phillips,Joseph R. Biden Jr,None of the names shown,OVER VOTES,UNDER VOTES,Donald J. Trump,Nikki R. Haley,Ron Desantis,Ryan L. Binkley,None of the names shown,OVER VOTES,UNDER VOTES
91,1,Aubry Township Precinct 01,175,39,98,38,13,5,8,0,0,Redacted,Redacted,Redacted,Redacted,0,0,0,7,0,0,0,1,0,0
91,2,Aubry Township Precinct 02,1275,237,763,275,66,15,51,0,0,0,0,0,11,4,0,0,34,10,1,3,3,0,0
91,3,Aubry Township Precinct 03,560,114,324,122,43,10,33,0,0,Redacted,Redacted,Redacted,Redacted,0,0,0,28,2,3,0,0,0,0
91,4,Aubry Township Precinct 04,1659,334,929,396,116,20,96,0,0,1,0,1,15,3,0,0,71,17,4,1,3,0,0
91,5,Aubry Township Precinct 05,20,5,10,5,2,1,1,0,0,Redacted,Redacted,Redacted,Redacted,0,0,0,Redacted,Redacted,Redacted,Redacted,0,0,0
91,6,Aubry Township Precinct 06,156,24,97,35,13,3,10,0,0,0,0,0,1,2,0,0,9,1,0,0,0,0,0
91,7,Aubry Township Precinct 07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,8,Aubry Township Precinct 08,84,19,47,18,6,4,2,0,0,Redacted,Redacted,Redacted,Redacted,0,0,0,1,0,0,0,1,0,0
91,9,Gardner Township Precinct 01,521,102,297,122,44,6,38,0,0,0,1,0,5,0,0,0,30,5,0,1,2,0,0
91,10,Gardner Township Precinct 02,165,42,80,43,10,2,8,0,0,Redacted,Redacted,Redacted,Redacted,0,0,0,6,0,1,0,1,0,0
91,11,Gardner Township Precinct 03,250,40,158,52,19,5,14,0,0,Redacted,Redacted,Redacted,Redacted,0,0,0,13,1,0,0,0,0,0
91,12,Gardner Township Precinct 04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,13,Gardner Township Precinct 05,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,14,Gardner Township Precinct 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,15,Gardner Township Precinct 07,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,16,Gardner Township Precinct 08,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,17,Gardner Township Precinct 10,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,18,Gardner Township Precinct 11,37,11,16,10,3,0,3,0,0,0,0,0,0,0,0,0,Redacted,Redacted,Redacted,Redacted,0,0,0
91,19,Gardner Township Precinct 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,20,Gardner Township Precinct 13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,21,Gardner Township Precinct 14,5,1,2,2,1,1,0,0,0,Redacted,Redacted,Redacted,Redacted,0,0,0,0,0,0,0,0,0,0
91,22,Gardner Township Precinct 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,23,Gardner Township Precinct 16,18,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,24,Gardner Township Precinct 17,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,25,Gardner Township Precinct 18,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
