County,Precinct,Race,Candidate,Party,Votes,VTD
Allen,Humboldt Township Rural Enclave,Attorney General,"Mann, Chris",Democratic,0,00006B
Allen,Humboldt Township Rural Enclave,Attorney General,"Kobach, Kris",Republican,0,00006B
Allen,Humboldt Township Split,Attorney General,"Mann, Chris",Democratic,0,00006C
Allen,Humboldt Township Split,Attorney General,"Kobach, Kris",Republican,0,00006C
Allen,Humboldt Township Rural Enclave 2x,Attorney General,"Mann, Chris",Democratic,0,00006D
Allen,Humboldt Township Rural Enclave 2x,Attorney General,"Kobach, Kris",Republican,0,00006D
Allen,North Iola Part B,Attorney General,"Mann, Chris",Democratic,0,00016C
Allen,North Iola Part B,Attorney General,"Kobach, Kris",Republican,0,00016C
Allen,South Iola Enclave,Attorney General,"Mann, Chris",Democratic,0,00020B
Allen,South Iola Enclave,Attorney General,"Kobach, Kris",Republican,0,00020B
Allen,Bassett City Enclave,Attorney General,"Mann, Chris",Democratic,0,00020C
Allen,Bassett City Enclave,Attorney General,"Kobach, Kris",Republican,0,00020C
Allen,Iola Ward 3 Enclave,Attorney General,"Mann, Chris",Democratic,0,17003B
Allen,Iola Ward 3 Enclave,Attorney General,"Kobach, Kris",Republican,0,17003B
Allen,Iola Ward 3 Exclave,Attorney General,"Mann, Chris",Democratic,0,17003C
Allen,Iola Ward 3 Exclave,Attorney General,"Kobach, Kris",Republican,0,17003C
Allen,Humboldt Ward 2 Exclave,Attorney General,"Mann, Chris",Democratic,0,190010
Allen,Humboldt Ward 2 Exclave,Attorney General,"Kobach, Kris",Republican,0,190010
Allen,Humboldt Township Rural Enclave 2,Attorney General,"Mann, Chris",Democratic,0,190020
Allen,Humboldt Township Rural Enclave 2,Attorney General,"Kobach, Kris",Republican,0,190020
Anderson,Colony,Attorney General,"Mann, Chris",Democratic,0,000010
Anderson,Colony,Attorney General,"Kobach, Kris",Republican,0,000010
Anderson,Garnett Precinct 1 Exclave,Attorney General,"Mann, Chris",Democratic,0,00002B
Anderson,Garnett Precinct 1 Exclave,Attorney General,"Kobach, Kris",Republican,0,00002B
Anderson,Garnett Precinct 1 Exclave 2,Attorney General,"Mann, Chris",Democratic,0,00002C
Anderson,Garnett Precinct 1 Exclave 2,Attorney General,"Kobach, Kris",Republican,0,00002C
Anderson,Greeley,Attorney General,"Mann, Chris",Democratic,0,000060
Anderson,Greeley,Attorney General,"Kobach, Kris",Republican,0,000060
Anderson,Kincaid,Attorney General,"Mann, Chris",Democratic,0,000100
Anderson,Kincaid,Attorney General,"Kobach, Kris",Republican,0,000100
Anderson,Lone Elm City,Attorney General,"Mann, Chris",Democratic,0,000120
Anderson,Lone Elm City,Attorney General,"Kobach, Kris",Republican,0,000120
Anderson,Westphalia City,Attorney General,"Mann, Chris",Democratic,0,000230
Anderson,Westphalia City,Attorney General,"Kobach, Kris",Republican,0,000230
Anderson,Jackson Township H5,Attorney General,"Mann, Chris",Democratic,0,200010
Anderson,Jackson Township H5,Attorney General,"Kobach, Kris",Republican,0,200010
Atchison,Atchison Precinct 4 Exclave A,Attorney General,"Mann, Chris",Democratic,0,00006B
Atchison,Atchison Precinct 4 Exclave A,Attorney General,"Kobach, Kris",Republican,0,00006B
Atchison,Atchison Precinct 4 Exclave B,Attorney General,"Mann, Chris",Democratic,0,00006C
Atchison,Atchison Precinct 4 Exclave B,Attorney General,"Kobach, Kris",Republican,0,00006C
Atchison,Atchison Precinct 5 North Exclave A,Attorney General,"Mann, Chris",Democratic,0,00007B
Atchison,Atchison Precinct 5 North Exclave A,Attorney General,"Kobach, Kris",Republican,0,00007B
Atchison,Atchison Precinct 5 North Exclave B,Attorney General,"Mann, Chris",Democratic,0,00007C
Atchison,Atchison Precinct 5 North Exclave B,Attorney General,"Kobach, Kris",Republican,0,00007C
Atchison,Atchison Precinct 5 South Exclave A,Attorney General,"Mann, Chris",Democratic,0,00008B
Atchison,Atchison Precinct 5 South Exclave A,Attorney General,"Kobach, Kris",Republican,0,00008B
Atchison,Atchison Precinct 5 South Exclave C,Attorney General,"Mann, Chris",Democratic,0,00008D
Atchison,Atchison Precinct 5 South Exclave C,Attorney General,"Kobach, Kris",Republican,0,00008D
Atchison,Walnut Township Enclave,Attorney General,"Mann, Chris",Democratic,0,00017B
Atchison,Atchison Precinct 5 South Exclave B,Attorney General,"Mann, Chris",Democratic,0,180010
Atchison,Atchison Precinct 5 South Exclave B,Attorney General,"Kobach, Kris",Republican,0,180010
Atchison,Atchison Precinct 5 South Exclave D,Attorney General,"Mann, Chris",Democratic,0,180020
Atchison,Atchison Precinct 5 South Exclave D,Attorney General,"Kobach, Kris",Republican,0,180020
Barber,Deerhead Township,Attorney General,"Mann, Chris",Democratic,0,000020
Barber,Medecine Lodge Precinct 2 Exclave,Attorney General,"Mann, Chris",Democratic,0,00012B
Barber,Medecine Lodge Precinct 2 Exclave,Attorney General,"Kobach, Kris",Republican,0,00012B
Barber,Nippawalla Township,Attorney General,"Mann, Chris",Democratic,0,000180
Barber,Nippawalla Township,Attorney General,"Kobach, Kris",Republican,0,000180
Barber,Ridge Township,Attorney General,"Mann, Chris",Democratic,0,000190
Barber,Ridge Township,Attorney General,"Kobach, Kris",Republican,0,000190
Barton,Great Bend City Ward 3 Precinct 3 Exclave,Attorney General,"Mann, Chris",Democratic,0,00019B
Barton,Great Bend City Ward 3 Precinct 3 Exclave,Attorney General,"Kobach, Kris",Republican,0,00019B
Barton,Great Bend Township,Attorney General,"Mann, Chris",Democratic,0,00023C
Barton,Great Bend Township,Attorney General,"Kobach, Kris",Republican,0,00023C
Bourbon,Fort Scott Ward 1 Exclave Colonial,Attorney General,"Mann, Chris",Democratic,0,00002B
Bourbon,Fort Scott Ward 1 Exclave Colonial,Attorney General,"Kobach, Kris",Republican,0,00002B
Bourbon,Fort Scott Ward 1 Exclave Halls,Attorney General,"Mann, Chris",Democratic,0,00002C
Bourbon,Fort Scott Ward 1 Exclave Halls,Attorney General,"Kobach, Kris",Republican,0,00002C
