"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"DEM US House of Representatives (Vote For 1)","Sharice Davids","DEM",701,100.00,25922,4153,54,54,"0","0"
2,"REP US House of Representatives (Vote For 1)","Prasanth Reddy","REP",1619,49.72,25922,4153,54,54,"0","0"
3,"REP US House of Representatives (Vote For 1)","Karen Crnkovich","REP",1637,50.28,25922,4153,54,54,"0","0"
4,"DEM Kansas Senate 12th District (Vote For 1)","Write-in","DEM",34,100.00,12370,2464,32,32,"0","0"
5,"REP Kansas Senate 12th District (Vote For 1)","Stetson Kern","REP",620,31.86,12370,2464,32,32,"0","0"
6,"REP Kansas Senate 12th District (Vote For 1)","Caryn Tyson","REP",1326,68.14,12370,2464,32,32,"0","0"
7,"DEM Kansas Senate 23rd District (Vote For 1)","Stacey B Knoell","DEM",45,100.00,2573,180,8,8,"0","0"
8,"REP Kansas Senate 23rd District (Vote For 1)","Adam Thomas","REP",120,100.00,2573,180,8,8,"0","0"
9,"DEM Kansas Senate 37th District (Vote For 1)","Sherry Giebler","DEM",219,100.00,10979,1509,14,14,"0","0"
10,"REP Kansas Senate 37th District (Vote For 1)","Douglas Shane","REP",1113,100.00,10979,1509,14,14,"0","0"
11,"DEM KS House of Rep 5th District (Vote For 1)","Henry Johns","DEM",123,100.00,4692,774,11,11,"0","0"
12,"REP KS House of Rep 5th District (Vote For 1)","Carrie Barth","REP",575,100.00,4692,774,11,11,"0","0"
13,"DEM KS House of Rep 6th District (Vote For 1)","Elena Super","DEM",453,100.00,17640,2939,33,33,"0","0"
14,"REP KS House of Rep 6th District (Vote For 1)","Samantha M Poetter Parshall","REP",2152,100.00,17640,2939,33,33,"0","0"
15,"DEM KS House of Rep 9th District (Vote For 1)","Write-in","DEM",8,100.00,1482,291,8,8,"0","0"
16,"REP KS House of Rep 9th District (Vote For 1)","Fred Gardner","REP",225,100.00,1482,291,8,8,"0","0"
17,"DEM KS House of Rep 26th District (Vote For 1)","Write-in","DEM",4,100.00,2108,149,2,2,"0","0"
18,"REP KS House of Rep 26th District (Vote For 1)","Chip VanHouden","REP",95,100.00,2108,149,2,2,"0","0"
