"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
64,"Trustee Richland Township (Vote For 1)","Bruce Hilner","",1138,99.13,1747,1313,2,2,"0","0"
65,"Trustee Richland Township (Vote For 1)","Write-in","",10,0.87,1747,1313,2,2,"0","0"
66,"Trustee Stanton Township (Vote For 1)","Patty Reed","",173,34.06,715,518,2,2,"0","0"
67,"Trustee Stanton Township (Vote For 1)","Coram Sean McHenry","",334,65.75,715,518,2,2,"0","0"
68,"Trustee Stanton Township (Vote For 1)","Write-in","",1,0.20,715,518,2,2,"0","0"
69,"Trustee Sugar Creek Township (Vote For 1)","Jason Kueser","",291,99.66,476,324,2,2,"0","0"
70,"Trustee Sugar Creek Township (Vote For 1)","Write-in","",1,0.34,476,324,2,2,"0","0"
71,"Trustee Ten Mile Township (Vote For 1)","Write-in","",101,100.00,1288,990,1,1,"0","0"
72,"Trustee Valley Township (Vote For 1)","Write-in","",80,100.00,1145,846,4,4,"0","0"
73,"Trustee Wea Township (Vote For 1)","Julia Stegeman","",3386,98.52,5501,3934,6,6,"0","0"
74,"Trustee Wea Township (Vote For 1)","Write-in","",51,1.48,5501,3934,6,6,"0","0"
75,"Treasurer Marysville Township (Vote For 1)","Ann Boehm","",1371,99.28,2102,1577,5,5,"0","0"
76,"Treasurer Marysville Township (Vote For 1)","Write-in","",10,0.72,2102,1577,5,5,"0","0"
77,"Treasurer Miami Township (Vote For 1)","Write-in","",35,100.00,458,361,2,2,"0","0"
78,"Treasurer Middle Creek Township (Vote For 1)","Gary D Brumley","",1068,99.53,1687,1231,3,3,"0","0"
79,"Treasurer Middle Creek Township (Vote For 1)","Write-in","",5,0.47,1687,1231,3,3,"0","0"
80,"Treasurer Mound Township (Vote For 1)","Write-in","",52,100.00,556,396,2,2,"0","0"
81,"Treasurer Osage Township (Vote For 1)","Edie E Diediker","",303,99.34,484,349,2,2,"0","0"
82,"Treasurer Osage Township (Vote For 1)","Write-in","",2,0.66,484,349,2,2,"0","0"
83,"Treasurer Osawatomie Township (Vote For 1)","Misty M Kitchen","",383,98.71,564,427,2,2,"0","0"
84,"Treasurer Osawatomie Township (Vote For 1)","Write-in","",5,1.29,564,427,2,2,"0","0"
85,"Treasurer Paola Township (Vote For 1)","Write-in","",53,100.00,913,677,2,2,"0","0"
86,"Treasurer Richland Township (Vote For 1)","Daniel Gallagher","",1128,99.03,1747,1313,2,2,"0","0"
87,"Treasurer Richland Township (Vote For 1)","Write-in","",11,0.97,1747,1313,2,2,"0","0"
88,"Treasurer Stanton Township (Vote For 1)","Robert J Meinig","",456,98.70,715,518,2,2,"0","0"
89,"Treasurer Stanton Township (Vote For 1)","Write-in","",6,1.30,715,518,2,2,"0","0"
90,"Treasurer Sugar Creek Township (Vote For 1)","Robyn Atwood","",289,99.66,476,324,2,2,"0","0"
91,"Treasurer Sugar Creek Township (Vote For 1)","Write-in","",1,0.34,476,324,2,2,"0","0"
92,"Treasurer Ten Mile Township (Vote For 1)","Gary Alan Weidenbach","",834,98.93,1288,990,1,1,"0","0"
93,"Treasurer Ten Mile Township (Vote For 1)","Write-in","",9,1.07,1288,990,1,1,"0","0"
94,"Treasurer Valley Township (Vote For 1)","Write-in","",73,100.00,1145,846,4,4,"0","0"
95,"Treasurer Wea Township (Vote For 1)","Scott Hutchings","",3365,98.54,5501,3934,6,6,"0","0"
96,"Treasurer Wea Township (Vote For 1)","Write-in","",50,1.46,5501,3934,6,6,"0","0"
97,"Judical Offices - Court of Appeals, Pos 4 (Vote For 1)","Yes","",11713,72.28,26980,18824,46,46,"0","0"
98,"Judical Offices - Court of Appeals, Pos 4 (Vote For 1)","No","",4491,27.72,26980,18824,46,46,"0","0"
99,"Judical Offices - Court of Appeals, Pos 6 (Vote For 1)","Yes","",11574,72.04,26980,18824,46,46,"0","0"
100,"Judical Offices - Court of Appeals, Pos 6 (Vote For 1)","No","",4491,27.96,26980,18824,46,46,"0","0"
101,"Judical Offices - Court of Appeals, Pos 8 (Vote For 1)","Yes","",10228,64.06,26980,18824,46,46,"0","0"
102,"Judical Offices - Court of Appeals, Pos 8 (Vote For 1)","No","",5739,35.94,26980,18824,46,46,"0","0"
103,"Judical Offices - Court of Appeals, Pos 9 (Vote For 1)","Yes","",10269,64.50,26980,18824,46,46,"0","0"
104,"Judical Offices - Court of Appeals, Pos 9 (Vote For 1)","No","",5653,35.50,26980,18824,46,46,"0","0"
105,"Judical Offices - Court of Appeals, Pos 10 (Vote For 1)","Yes","",10103,63.69,26980,18824,46,46,"0","0"
106,"Judical Offices - Court of Appeals, Pos 10 (Vote For 1)","No","",5760,36.31,26980,18824,46,46,"0","0"
107,"Judical Offices - Court of Appeals, Pos 12 (Vote For 1)","Yes","",10298,65.19,26980,18824,46,46,"0","0"
108,"Judical Offices - Court of Appeals, Pos 12 (Vote For 1)","No","",5500,34.81,26980,18824,46,46,"0","0"
109,"Judical Offices - Court of Appeals, Pos 14 (Vote For 1)","Yes","",11222,71.10,26980,18824,46,46,"0","0"
110,"Judical Offices - Court of Appeals, Pos 14 (Vote For 1)","No","",4561,28.90,26980,18824,46,46,"0","0"
111,"Judicial Offices - District Court Judge District 6, Position 2 (Vote For 1)","Yes","",11133,71.43,26980,18824,46,46,"0","0"
112,"Judicial Offices - District Court Judge District 6, Position 2 (Vote For 1)","No","",4452,28.57,26980,18824,46,46,"0","0"
113,"Judicial Offices - District Court Judge District 6, Position 3 (Vote For 1)","Yes","",10909,70.32,26980,18824,46,46,"0","0"
114,"Judicial Offices - District Court Judge District 6, Position 3 (Vote For 1)","No","",4604,29.68,26980,18824,46,46,"0","0"
115,"Judicial Offices - District Court Judge District 6, Position 4 (Vote For 1)","Yes","",10850,70.17,26980,18824,46,46,"0","0"
116,"Judicial Offices - District Court Judge District 6, Position 4 (Vote For 1)","No","",4612,29.83,26980,18824,46,46,"0","0"
117,"Judicial Offices - District Court Judge District 6, Position 5 (Vote For 1)","Yes","",10940,69.94,26980,18824,46,46,"0","0"
118,"Judicial Offices - District Court Judge District 6, Position 5 (Vote For 1)","No","",4702,30.06,26980,18824,46,46,"0","0"
119,"Judicial Offices - District Court Judge District 6, Position 6 (Vote For 1)","Yes","",11455,72.12,26980,18824,46,46,"0","0"
120,"Judicial Offices - District Court Judge District 6, Position 6 (Vote For 1)","No","",4428,27.88,26980,18824,46,46,"0","0"
121,"Miami Sales Tax Question (Vote For 1)","Yes","",10743,59.03,26980,18824,46,46,"0","0"
122,"Miami Sales Tax Question (Vote For 1)","No","",7457,40.97,26980,18824,46,46,"0","0"
