"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"President & Vice President (Vote For 1)","Oliver / ter Matt","",106,0.57,26980,18824,46,46,"0","0"
2,"President & Vice President (Vote For 1)","Trump / Vance","",12854,68.55,26980,18824,46,46,"0","0"
3,"President & Vice President (Vote For 1)","Harris / Walz","",5472,29.18,26980,18824,46,46,"0","0"
4,"President & Vice President (Vote For 1)","Kennedy Jr / Shanahan","",253,1.35,26980,18824,46,46,"0","0"
5,"President & Vice President (Vote For 1)","Write-in","",65,0.35,26980,18824,46,46,"0","0"
6,"US House of Representative (Vote For 1)","Sharice Davids","",6399,34.52,26980,18824,46,46,"0","0"
7,"US House of Representative (Vote For 1)","Prasanth Reddy","",11145,60.12,26980,18824,46,46,"0","0"
8,"US House of Representative (Vote For 1)","Steve Roberts","",978,5.28,26980,18824,46,46,"0","0"
9,"US House of Representative (Vote For 1)","Write-in","",16,0.09,26980,18824,46,46,"0","0"
10,"Kansas Senate 12th District (Vote For 1)","Caryn Tyson","",5914,73.06,12843,8544,28,28,"0","0"
11,"Kansas Senate 12th District (Vote For 1)","Cullene Lang","",2139,26.42,12843,8544,28,28,"0","0"
12,"Kansas Senate 12th District (Vote For 1)","Write-in","",42,0.52,12843,8544,28,28,"0","0"
13,"Kansas Senate 23rd District (Vote For 1)","Stacey B Knoell","",661,35.33,2774,1917,4,4,"0","0"
14,"Kansas Senate 23rd District (Vote For 1)","Adam Thomas","",1209,64.62,2774,1917,4,4,"0","0"
15,"Kansas Senate 23rd District (Vote For 1)","Write-in","",1,0.05,2774,1917,4,4,"0","0"
16,"Kansas Senate 37th District (Vote For 1)","Sherry Giebler","",2157,26.36,11363,8363,14,14,"0","0"
17,"Kansas Senate 37th District (Vote For 1)","Douglas Shane","",6016,73.51,11363,8363,14,14,"0","0"
18,"Kansas Senate 37th District (Vote For 1)","Write-in","",11,0.13,11363,8363,14,14,"0","0"
19,"Kansas House of Representative 5th District (Vote For 1)","Carrie Barth","",2491,75.46,4843,3404,9,9,"0","0"
20,"Kansas House of Representative 5th District (Vote For 1)","Henry Johns","",807,24.45,4843,3404,9,9,"0","0"
21,"Kansas House of Representative 5th District (Vote For 1)","Write-in","",3,0.09,4843,3404,9,9,"0","0"
22,"Kansas House of Representative 6th District (Vote For 1)","Samantha M Poetter Parshall","",8703,70.60,18308,12717,28,28,"0","0"
23,"Kansas House of Representative 6th District (Vote For 1)","Elena Super","",3600,29.20,18308,12717,28,28,"0","0"
24,"Kansas House of Representative 6th District (Vote For 1)","Write-in","",24,0.19,18308,12717,28,28,"0","0"
25,"Kansas House of Representative 9th District (Vote For 1)","Fred Gardner","",968,98.07,1544,1143,8,8,"0","0"
26,"Kansas House of Representative 9th District (Vote For 1)","Write-in","",19,1.93,1544,1143,8,8,"0","0"
27,"Kansas House of Representative 26th District (Vote For 1)","Chip VanHouden","",1264,96.49,2285,1560,1,1,"0","0"
28,"Kansas House of Representative 26th District (Vote For 1)","Write-in","",46,3.51,2285,1560,1,1,"0","0"
29,"County Commissioner 2nd District (Vote For 1)","Paul Scruggs","",2965,96.86,5459,3593,6,6,"0","0"
30,"County Commissioner 2nd District (Vote For 1)","Write-in","",96,3.14,5459,3593,6,6,"0","0"
31,"County Commissioner 3rd District (Vote For 1)","George Pretz","",2368,93.75,4501,2853,11,11,"0","0"
32,"County Commissioner 3rd District (Vote For 1)","Write-in","",158,6.25,4501,2853,11,11,"0","0"
33,"County Clerk (Vote For 1)","Laura Epp","",13895,79.11,26980,18824,46,46,"0","0"
34,"County Clerk (Vote For 1)","Eric Lund","",3582,20.39,26980,18824,46,46,"0","0"
35,"County Clerk (Vote For 1)","Write-in","",87,0.50,26980,18824,46,46,"0","0"
36,"County Treasurer (Vote For 1)","Tricia Lee","",16176,98.42,26980,18824,46,46,"0","0"
37,"County Treasurer (Vote For 1)","Write-in","",260,1.58,26980,18824,46,46,"0","0"
38,"County Register of Deeds (Vote For 1)","Jamie Homrighausen","",16242,98.74,26980,18824,46,46,"0","0"
39,"County Register of Deeds (Vote For 1)","Write-in","",208,1.26,26980,18824,46,46,"0","0"
40,"County Attorney (Vote For 1)","Kenton D Harding","",16069,98.76,26980,18824,46,46,"0","0"
41,"County Attorney (Vote For 1)","Write-in","",201,1.24,26980,18824,46,46,"0","0"
42,"County Sheriff (Vote For 1)","Frank W Kelly","",16275,98.23,26980,18824,46,46,"0","0"
43,"County Sheriff (Vote For 1)","Write-in","",294,1.77,26980,18824,46,46,"0","0"
44,"Mayor Louisburg City (Vote For 1)","Donna Cook","",1798,74.33,3763,2605,5,5,"0","0"
45,"Mayor Louisburg City (Vote For 1)","Write-in","",621,25.67,3763,2605,5,5,"0","0"
46,"City Council Louisburg City Precinct 3 (Vote For 1)","Ryan J Graves","",634,97.69,1036,731,1,1,"0","0"
47,"City Council Louisburg City Precinct 3 (Vote For 1)","Write-in","",15,2.31,1036,731,1,1,"0","0"
48,"City Council Paola City Precinct 2 (Vote For 1)","Deborah D Hayes","",515,99.04,994,584,1,1,"0","0"
49,"City Council Paola City Precinct 2 (Vote For 1)","Write-in","",5,0.96,994,584,1,1,"0","0"
50,"City Council Paola City Precinct 4 (Vote For 1)","LeAnne Shields","",749,98.29,1330,887,1,1,"0","0"
51,"City Council Paola City Precinct 4 (Vote For 1)","Write-in","",13,1.71,1330,887,1,1,"0","0"
52,"Trustee Marysville Township (Vote For 1)","Bob Sundquist","",328,22.44,2102,1577,5,5,"0","0"
53,"Trustee Marysville Township (Vote For 1)","Jennifer Williams","",1123,76.81,2102,1577,5,5,"0","0"
54,"Trustee Marysville Township (Vote For 1)","Write-in","",11,0.75,2102,1577,5,5,"0","0"
55,"Trustee Miami Township (Vote For 1)","Write-in","",29,100.00,458,361,2,2,"0","0"
56,"Trustee Middle Creek Township (Vote For 1)","Chris Brown","",1065,98.98,1687,1231,3,3,"0","0"
57,"Trustee Middle Creek Township (Vote For 1)","Write-in","",11,1.02,1687,1231,3,3,"0","0"
58,"Trustee Mound Township (Vote For 1)","Write-in","",47,100.00,556,396,2,2,"0","0"
59,"Trustee Osage Township (Vote For 1)","Keith E Diediker","",303,99.02,484,349,2,2,"0","0"
60,"Trustee Osage Township (Vote For 1)","Write-in","",3,0.98,484,349,2,2,"0","0"
61,"Trustee Osawatomie Township (Vote For 1)","Jarred Shipley","",382,99.48,564,427,2,2,"0","0"
62,"Trustee Osawatomie Township (Vote For 1)","Write-in","",2,0.52,564,427,2,2,"0","0"
63,"Trustee Paola Township (Vote For 1)","Write-in","",52,100.00,913,677,2,2,"0","0"
