Offical Election Results
Anderson County
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Garnett Precinct I","US President and Vice President","Harris and Walz","130","66.67%"
"Garnett Precinct I","US President and Vice President","Kennedy Jr. and Shanahan","8","66.67%"
"Garnett Precinct I","US President and Vice President","Oliver and ter Maat","1","66.67%"
"Garnett Precinct I","US President and Vice President","Trump and Vance","415","66.67%"
"Garnett Precinct I","US President and Vice President","WRITE-IN","2","66.67%"
"Garnett Precinct I","US Representative District 3","Sharice Davids","148","66.67%"
"Garnett Precinct I","US Representative District 3","Prasanth Reddy","360","66.67%"
"Garnett Precinct I","US Representative District 3","Steve Roberts","39","66.67%"
"Garnett Precinct I","US Representative District 3","WRITE-IN","0","66.67%"
"Garnett Precinct I","State Senate District 12","Cullene Lang","93","66.67%"
"Garnett Precinct I","State Senate District 12","Caryn Tyson","444","66.67%"
"Garnett Precinct I","State Senate District 12","WRITE-IN","2","66.67%"
"Garnett Precinct I","State Representative District 9","Fred Gardner","523","66.67%"
"Garnett Precinct I","State Representative District 9","WRITE-IN","4","66.67%"
"Garnett Precinct I","County Commissioner District 2","Anthony ""Spike"" Mersman","492","66.67%"
"Garnett Precinct I","County Commissioner District 2","WRITE-IN","20","66.67%"
"Garnett Precinct I","County Clerk","Julie Wettstein","519","66.67%"
"Garnett Precinct I","County Clerk","WRITE-IN","5","66.67%"
"Garnett Precinct I","County Treasurer","Ida (Yoder) McClelland","522","66.67%"
"Garnett Precinct I","County Treasurer","WRITE-IN","0","66.67%"
"Garnett Precinct I","County Register of Deeds","Sandra J. Baugher","455","66.67%"
"Garnett Precinct I","County Register of Deeds","WRITE-IN","15","66.67%"
"Garnett Precinct I","County Attorney","Steven R Wilson","488","66.67%"
"Garnett Precinct I","County Attorney","WRITE-IN","21","66.67%"
"Garnett Precinct I","County Sheriff","Wesley E McClain","509","66.67%"
"Garnett Precinct I","County Sheriff","Robert Smith","9","66.67%"
"Garnett Precinct I","County Sheriff","WRITE-IN","4","66.67%"
