Offical Election Results
Anderson County
Contest Name,Candidate Name,Party,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Over Votes,Under Votes,Vote For
"Total Precincts Reported","17"
"US President and Vice President","Harris and Walz","Democratic","86","400","6","492","17","17","0","40","1"
"US President and Vice President","Kennedy Jr. and Shanahan","independent","5","33","1","39","17","17","0","40","1"
"US President and Vice President","Oliver and ter Maat","Libertarian","0","11","0","11","17","17","0","40","1"
"US President and Vice President","Trump and Vance","Republican","122","2002","42","2166","17","17","0","40","1"
"US President and Vice President","WRITE-IN","","0","6","0","6","17","17","0","40","1"
"US Representative District 3","Sharice Davids","Democratic","91","541","8","640","17","17","0","121","1"
"US Representative District 3","Prasanth Reddy","Republican","96","1638","33","1767","17","17","0","121","1"
"US Representative District 3","Steve Roberts","Libertarian","15","210","7","232","17","17","0","121","1"
"US Representative District 3","WRITE-IN","","0","4","0","4","17","17","0","121","1"
"State Senate District 12","Cullene Lang","Libertarian","47","295","6","348","17","17","2","181","1"
"State Senate District 12","Caryn Tyson","Republican","141","2058","41","2240","17","17","2","181","1"
"State Senate District 12","WRITE-IN","","0","12","0","12","17","17","2","181","1"
"State Representative District 9","Fred Gardner","Republican","179","2309","45","2533","17","17","2","270","1"
"State Representative District 9","WRITE-IN","","1","17","0","18","17","17","2","270","1"
"County Commissioner District 2","Anthony ""Spike"" Mersman","Republican","69","767","18","854","5","5","1","160","1"
"County Commissioner District 2","WRITE-IN","","1","30","1","32","5","5","1","160","1"
"County Commissioner District 3","Phyllis Gettler","Democratic","24","165","2","191","6","6","0","16","1"
"County Commissioner District 3","Michael E. Blaufuss","Republican","46","496","8","550","6","6","0","16","1"
"County Commissioner District 3","WRITE-IN","","0","3","0","3","6","6","0","16","1"
"County Clerk","Julie Wettstein","Republican","174","2261","44","2479","17","17","0","310","1"
"County Clerk","WRITE-IN","","2","22","0","24","17","17","0","310","1"
"County Treasurer","Ida (Yoder) McClelland","Republican","179","2300","45","2524","17","17","2","281","1"
"County Treasurer","WRITE-IN","","2","10","1","13","17","17","2","281","1"
"County Register of Deeds","Sandra J. Baugher","Democratic","178","1915","41","2134","17","17","0","814","1"
"County Register of Deeds","WRITE-IN","","3","50","2","55","17","17","0","814","1"
"County Attorney","Steven R Wilson","Republican","155","2156","43","2354","17","17","0","432","1"
"County Attorney","WRITE-IN","","9","55","1","65","17","17","0","432","1"
"County Sheriff","Wesley E McClain","Republican","171","2116","44","2331","17","17","0","337","1"
"County Sheriff","Robert Smith","Republican","5","115","0","120","17","17","0","337","1"
"County Sheriff","WRITE-IN","","0","35","0","35","17","17","0","337","1"
"Indian Creek Township Trustee","Rochelle Smart","Republican","4","46","0","50","1","1","0","12","1"
"Indian Creek Township Trustee","WRITE-IN","","0","1","0","1","1","1","0","12","1"
"Indian Creek Township Treasurer","Fred Blevins","","0","3","0","3","1","1","0","59","1"
"Indian Creek Township Treasurer","WRITE-IN","","0","5","0","5","1","1","0","59","1"
"Lincoln Township Treasurer","J. Yvonne Cobbs","Republican","7","70","0","77","1","1","0","10","1"
"Lincoln Township Treasurer","WRITE-IN","","0","0","0","0","1","1","0","10","1"
"Lincoln Township Trustee","WRITE-IN","","0","7","0","7","1","1","0","113","1"
"Putnam Township Trustee","Anne Marie Strobel","Democratic","5","86","0","91","1","1","0","34","1"
"Putnam Township Trustee","WRITE-IN","","0","6","0","6","1","1","0","34","1"
"Putnam Township Treasurer","Joe Strobel","Democratic","5","89","0","94","1","1","0","34","1"
"Putnam Township Treasurer","WRITE-IN","","0","4","0","4","1","1","0","34","1"
"Rich Township Treasurer","Connie Thompson","Republican","1","129","0","130","1","1","0","13","1"
"Rich Township Treasurer","WRITE-IN","","0","0","0","0","1","1","0","13","1"
"Rich Township Trustee","WRITE-IN","","0","15","0","15","1","1","0","159","1"
"Walker Township Trustee","Tanner Lickteig","Republican","17","235","2","254","1","1","0","24","1"
"Walker Township Trustee","WRITE-IN","","0","2","0","2","1","1","0","24","1"
"Walker Township Treasurer","Charlie Reese","Republican","16","228","2","246","1","1","0","31","1"
"Walker Township Treasurer","WRITE-IN","","0","3","0","3","1","1","0","31","1"
"Jackson Township Trustee","WRITE-IN","","2","14","0","16","1","1","0","223","1"
"Jackson Township Treasurer","WRITE-IN","","2","12","0","14","1","1","0","231","1"
"Lone Elm Township Trustee","Mike Johns","","0","4","0","4","1","1","0","108","1"
"Lone Elm Township Trustee","WRITE-IN","","2","15","0","17","1","1","0","108","1"
"Lone Elm Township Treasurer","Linda McAdam","","0","4","0","4","1","1","0","110","1"
"Lone Elm Township Treasurer","WRITE-IN","","2","13","0","15","1","1","0","110","1"
"Monroe Township Trustee","Andrea Sobba","","0","11","0","11","1","1","0","186","1"
"Monroe Township Trustee","WRITE-IN","","0","9","0","9","1","1","0","186","1"
"Monroe Township Treasurer","Daryl Sobba","","0","11","0","11","1","1","0","184","1"
"Monroe Township Treasurer","WRITE-IN","","0","9","0","9","1","1","0","184","1"
"Ozark Township Trustee","WRITE-IN","","0","25","0","25","1","1","0","254","1"
"Ozark Township Treasurer","Cody Bain","","0","3","0","3","1","1","0","256","1"
"Ozark Township Treasurer","WRITE-IN","","0","22","0","22","1","1","0","256","1"
"Reeder Township Trustee","WRITE-IN","","2","5","0","7","1","1","0","124","1"
"Reeder Township Treasurer","Monica Wilper","","0","3","0","3","1","1","0","122","1"
"Reeder Township Treasurer","WRITE-IN","","2","3","0","5","1","1","0","122","1"
"Washington Township Trustee","Renee Tush","","0","3","0","3","1","1","0","144","1"
"Washington Township Trustee","WRITE-IN","","0","8","0","8","1","1","0","144","1"
"Washington Township Treasurer","Ben Tush","","0","4","0","4","1","1","0","143","1"
"Washington Township Treasurer","WRITE-IN","","0","7","0","7","1","1","0","143","1"
"Welda Township Trustee","Melissa Miller","","0","12","0","12","1","1","0","114","1"
"Welda Township Trustee","WRITE-IN","","1","16","0","17","1","1","0","114","1"
"Welda Township Treasurer","Peggy McGregor","","0","12","0","12","1","1","0","119","1"
"Welda Township Treasurer","WRITE-IN","","1","11","0","12","1","1","0","119","1"
"Westphalia Twp Trustee","Tom Young","","0","4","0","4","1","1","0","135","1"
"Westphalia Twp Trustee","WRITE-IN","","1","11","0","12","1","1","0","135","1"
"Westphalia Twp Treasurer","Michelle Ratliff","","0","8","0","8","1","1","0","132","1"
"Westphalia Twp Treasurer","WRITE-IN","","1","10","1","12","1","1","0","132","1"
"City of Garnett Commissioner","Justin Thompson","","24","249","13","286","4","4","0","118","1"
