Offical Election Results
Douglas County
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Big Springs 58","Nominee for President","Joseph R Biden Jr","8","14.61%"
"Big Springs 58","Nominee for President","None of the names shown","4","14.61%"
"Big Springs 58","Nominee for President","Marianne Williamson","1","14.61%"
"Big Springs 58","Nominee for President","Jason Michael Palmer","0","14.61%"
"Big Springs 58","Nominee for President","Dean Phillips","0","14.61%"
"Big Springs 58","Nominee for President","Donald J. Trump","15","14.61%"
"Big Springs 58","Nominee for President","Nikki R. Haley","2","14.61%"
"Big Springs 58","Nominee for President","Ron DeSantis","1","14.61%"
"Big Springs 58","Nominee for President","None of the names shown","1","14.61%"
"Big Springs 58","Nominee for President","Ryan L. Binkley","0","14.61%"
"Central Eudora 54","Nominee for President","Joseph R Biden Jr","10","6.23%"
"Central Eudora 54","Nominee for President","Dean Phillips","2","6.23%"
"Central Eudora 54","Nominee for President","None of the names shown","1","6.23%"
"Central Eudora 54","Nominee for President","Marianne Williamson","0","6.23%"
"Central Eudora 54","Nominee for President","Jason Michael Palmer","0","6.23%"
"Central Eudora 54","Nominee for President","Donald J. Trump","26","6.23%"
"Central Eudora 54","Nominee for President","Nikki R. Haley","6","6.23%"
"Central Eudora 54","Nominee for President","None of the names shown","4","6.23%"
"Central Eudora 54","Nominee for President","Ron DeSantis","2","6.23%"
"Central Eudora 54","Nominee for President","Ryan L. Binkley","0","6.23%"
"Clinton 51","Nominee for President","Joseph R Biden Jr","23","21.53%"
"Clinton 51","Nominee for President","None of the names shown","5","21.53%"
"Clinton 51","Nominee for President","Marianne Williamson","1","21.53%"
"Clinton 51","Nominee for President","Jason Michael Palmer","1","21.53%"
"Clinton 51","Nominee for President","Dean Phillips","0","21.53%"
"Clinton 51","Nominee for President","Donald J. Trump","44","21.53%"
"Clinton 51","Nominee for President","Nikki R. Haley","12","21.53%"
"Clinton 51","Nominee for President","Ron DeSantis","5","21.53%"
"Clinton 51","Nominee for President","None of the names shown","2","21.53%"
"Clinton 51","Nominee for President","Ryan L. Binkley","0","21.53%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","Joseph R Biden Jr","2","8.70%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","Marianne Williamson","0","8.70%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","Jason Michael Palmer","0","8.70%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","Dean Phillips","0","8.70%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","None of the names shown","0","8.70%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","Donald J. Trump","0","8.70%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","Nikki R. Haley","0","8.70%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","Ron DeSantis","0","8.70%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","Ryan L. Binkley","0","8.70%"
"E Wakarusa 65 C1 S2 H42 (65.1, 65.2,65.4,65.5)","Nominee for President","None of the names shown","0","8.70%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","None of the names shown","3","133.33%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","Marianne Williamson","1","133.33%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","Jason Michael Palmer","0","133.33%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","Dean Phillips","0","133.33%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","Joseph R Biden Jr","0","133.33%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","Donald J. Trump","0","133.33%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","Nikki R. Haley","0","133.33%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","Ron DeSantis","0","133.33%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","Ryan L. Binkley","0","133.33%"
"E Wakarusa 65 C1 S2 H46 (65C.8)","Nominee for President","None of the names shown","0","133.33%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","None of the names shown","1","7.69%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","Marianne Williamson","0","7.69%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","Jason Michael Palmer","0","7.69%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","Dean Phillips","0","7.69%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","Joseph R Biden Jr","0","7.69%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","Donald J. Trump","0","7.69%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","Nikki R. Haley","0","7.69%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","Ron DeSantis","0","7.69%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","Ryan L. Binkley","0","7.69%"
"E Wakarusa 65 C2 S2 H42 (65B.1)","Nominee for President","None of the names shown","0","7.69%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","Marianne Williamson","0","60.00%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","Jason Michael Palmer","0","60.00%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","Dean Phillips","0","60.00%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","Joseph R Biden Jr","0","60.00%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","None of the names shown","0","60.00%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","Donald J. Trump","3","60.00%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","Nikki R. Haley","0","60.00%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","Ron DeSantis","0","60.00%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","Ryan L. Binkley","0","60.00%"
"E Wakarusa 65 C2 S3 H10 (65D.6, 65D.7)","Nominee for President","None of the names shown","0","60.00%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","Marianne Williamson","2","23.81%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","Joseph R Biden Jr","1","23.81%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","Jason Michael Palmer","0","23.81%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","Dean Phillips","0","23.81%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","None of the names shown","0","23.81%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","Donald J. Trump","2","23.81%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","Nikki R. Haley","0","23.81%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","Ron DeSantis","0","23.81%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","Ryan L. Binkley","0","23.81%"
"E Wakarusa 65 C2 S3 H42","Nominee for President","None of the names shown","0","23.81%"
"Grant 55 H42 (55B.2)","Nominee for President","Joseph R Biden Jr","1","1.85%"
"Grant 55 H42 (55B.2)","Nominee for President","Marianne Williamson","0","1.85%"
"Grant 55 H42 (55B.2)","Nominee for President","Jason Michael Palmer","0","1.85%"
"Grant 55 H42 (55B.2)","Nominee for President","Dean Phillips","0","1.85%"
"Grant 55 H42 (55B.2)","Nominee for President","None of the names shown","0","1.85%"
"Grant 55 H42 (55B.2)","Nominee for President","Donald J. Trump","0","1.85%"
"Grant 55 H42 (55B.2)","Nominee for President","Nikki R. Haley","0","1.85%"
"Grant 55 H42 (55B.2)","Nominee for President","Ron DeSantis","0","1.85%"
"Grant 55 H42 (55B.2)","Nominee for President","Ryan L. Binkley","0","1.85%"
"Grant 55 H42 (55B.2)","Nominee for President","None of the names shown","0","1.85%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","Joseph R Biden Jr","15","16.99%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","Dean Phillips","1","16.99%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","Marianne Williamson","0","16.99%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","Jason Michael Palmer","0","16.99%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","None of the names shown","0","16.99%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","Donald J. Trump","4","16.99%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","Nikki R. Haley","4","16.99%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","Ron DeSantis","1","16.99%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","None of the names shown","1","16.99%"
"Grant 55 H45 (55.1, 55.2)","Nominee for President","Ryan L. Binkley","0","16.99%"
"Kanwaka 56 C1 H45","Nominee for President","Jason Michael Palmer","1","10.00%"
"Kanwaka 56 C1 H45","Nominee for President","Joseph R Biden Jr","1","10.00%"
"Kanwaka 56 C1 H45","Nominee for President","Marianne Williamson","0","10.00%"
"Kanwaka 56 C1 H45","Nominee for President","Dean Phillips","0","10.00%"
"Kanwaka 56 C1 H45","Nominee for President","None of the names shown","0","10.00%"
"Kanwaka 56 C1 H45","Nominee for President","Donald J. Trump","4","10.00%"
"Kanwaka 56 C1 H45","Nominee for President","Nikki R. Haley","1","10.00%"
"Kanwaka 56 C1 H45","Nominee for President","Ron DeSantis","0","10.00%"
"Kanwaka 56 C1 H45","Nominee for President","Ryan L. Binkley","0","10.00%"
"Kanwaka 56 C1 H45","Nominee for President","None of the names shown","0","10.00%"
"Kanwaka 56 H47 S3","Nominee for President","Joseph R Biden Jr","36","11.72%"
"Kanwaka 56 H47 S3","Nominee for President","None of the names shown","7","11.72%"
"Kanwaka 56 H47 S3","Nominee for President","Marianne Williamson","0","11.72%"
"Kanwaka 56 H47 S3","Nominee for President","Jason Michael Palmer","0","11.72%"
"Kanwaka 56 H47 S3","Nominee for President","Dean Phillips","0","11.72%"
"Kanwaka 56 H47 S3","Nominee for President","Donald J. Trump","39","11.72%"
"Kanwaka 56 H47 S3","Nominee for President","Nikki R. Haley","9","11.72%"
"Kanwaka 56 H47 S3","Nominee for President","None of the names shown","3","11.72%"
"Kanwaka 56 H47 S3","Nominee for President","Ron DeSantis","2","11.72%"
