PRECINCT NAME,"Court of Appeals, Position No. 4","Court of Appeals, Position No. 4","Court of Appeals, Position No. 6","Court of Appeals, Position No. 6","Court of Appeals, Position No. 8","Court of Appeals, Position No. 8","Court of Appeals, Position No. 9","Court of Appeals, Position No. 9","Court of Appeals, Position No. 14","Court of Appeals, Position No. 14"
,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No
1 East Rossville,335,108,334,98,275,161,271,166,337,108
2 West Rossville,247,102,242,93,198,149,193,153,256,95
9 East Silver Lake,415,142,408,142,364,181,377,173,416,139
10 West Silver Lake,279,98,265,102,241,126,252,120,276,97
12 Grove,279,88,261,101,232,130,239,128,284,87
14 Kiro,369,161,375,151,314,214,313,216,384,150
15 Messhoss Creek,244,111,244,107,202,148,198,152,255,100
22 Little Muddy Creek,220,105,218,107,177,146,174,152,222,107
24 Sac,365,171,367,166,316,211,326,205,387,156
25 Sherman,380,139,368,150,307,212,314,203,389,133
26 Iroquois,430,132,398,154,361,192,373,185,420,145
28 West Wichita,301,116,299,119,244,172,245,171,308,114
29 Indianola,411,128,394,136,347,179,345,188,422,115
30 Apache,348,129,338,133,305,166,304,171,357,128
31 East Wichita,560,191,543,192,478,257,474,262,569,184
32 Fox,366,186,356,188,304,244,302,245,380,173
33 Elmont,497,218,503,206,444,263,444,266,527,192
34 Kilmer,109,41,108,41,81,66,86,65,116,38
35 Rochester,330,141,320,147,285,182,275,190,338,132
36 East Soldier,409,132,401,132,349,185,347,188,412,134
37 Whitfield,294,104,288,107,235,158,247,151,310,96
38 Sioux,301,126,286,131,256,163,259,163,315,117
39 Pottawatomie,400,147,391,154,346,192,347,191,401,151
40 Stinson Creek,133,55,137,48,112,70,110,72,130,53
41 North Tecumseh,333,112,313,133,270,169,280,168,324,121
42 South Tecumseh,277,111,273,107,239,141,239,141,299,95
43 Pawnee,428,144,391,170,352,210,351,211,419,160
44 Kaw,384,113,356,127,334,146,332,157,373,120
45 Peck & 17 Croco,240,71,226,72,208,95,208,96,232,74
46 East Peck,232,84,223,90,197,117,198,116,237,77
47 Kiowa,497,173,488,178,447,217,449,212,516,161
48 Cheyenne,336,136,318,144,286,183,288,181,326,147
49 Ponca,229,82,233,80,205,106,205,107,241,75
52 Deer Creek,20,3,17,5,20,2,18,5,19,4
53 Pauline,131,44,122,47,113,55,112,56,131,41
54 West Potter,50,21,50,21,37,33,39,32,53,19
55 Central Pauline,58,19,54,21,51,24,52,25,61,16
56 NW Monmouth,476,175,461,188,420,224,420,229,481,182
57 NE Monmouth,401,120,370,136,355,155,368,147,394,126
58 South Monmouth,462,191,445,200,384,263,389,262,480,183
62 Forbes,41,17,36,21,34,25,34,25,40,20
63 Montara,287,104,279,112,264,125,269,121,304,92
64 Cullen,296,103,292,100,271,122,266,129,297,99
65 Wakarusa,319,144,303,147,270,188,269,185,323,138
66 Kingston,76,50,83,41,71,51,69,54,90,33
72 City Of Auburn,376,144,367,149,347,169,344,171,388,137
73 Meadowlark,474,153,460,161,380,237,378,246,479,153
74 Buffalo,284,136,281,132,244,170,248,168,300,120
80 Gaillardia,454,136,447,142,379,205,383,200,460,130
81 Dover,271,118,263,124,225,161,230,155,283,110
82 Willard,254,112,267,99,206,154,209,151,272,97
84 Yucca,121,45,123,43,104,60,101,63,127,39
85 Aldersgate,138,30,121,37,118,43,121,42,126,39
86 Sunflower,596,196,579,201,520,265,532,254,617,181
87 Washburn & 83 Ichabod Washburn,385,135,361,141,323,190,340,174,381,140
89 North Mission,93,36,99,27,80,46,80,49,104,27
90 South Mission,275,78,261,82,233,115,228,121,271,81
91 Central Mission,425,129,416,135,358,186,357,187,420,132
92 Sherwood,312,104,313,95,263,144,270,137,334,85
93 South Sherwood,311,105,300,108,280,130,280,134,309,106
94 Indian Hills,358,109,354,107,309,152,315,142,366,100
95 York,366,109,350,120,322,147,329,140,372,107
96 Vaquero,223,99,213,99,189,123,187,130,241,82
97 York Outer,44,14,38,19,33,23,31,24,44,15
