Precinct,Court of Appeals Pos. 4,,,Court of Appeals Pos. 6,,,Court of Appeals Pos. 8,,,Court of Appeals Pos. 9,,,Court of Appeals Pos. 14,,
,Yes,No,Total Votes Cast,Yes,No,Total Votes Cast,Yes,No,Total Votes Cast,Yes,No,Total Votes Cast,Yes,No,Total Votes Cast
101,662,214,876,603,247,850,588,256,844,597,253,850,615,229,844
102,586,136,722,516,198,714,503,205,708,510,192,702,529,179,708
103,123,29,152,92,55,147,109,39,148,109,40,149,95,52,147
104,36,10,46,26,20,46,30,16,46,33,12,45,31,15,46
105,385,142,527,308,218,526,341,176,517,366,151,517,316,197,513
106,650,237,887,524,337,861,575,279,854,576,282,858,541,311,852
107,854,221,1075,704,346,1050,716,342,1058,726,334,1060,713,328,1041
108,589,156,745,458,270,728,526,208,734,540,193,733,474,251,725
109,659,224,883,555,318,873,594,272,866,605,257,862,595,264,859
110,896,223,1119,727,366,1093,732,361,1093,754,353,1107,745,350,1095
111,229,59,288,200,85,285,191,87,278,195,83,278,198,80,278
112,675,234,909,574,313,887,595,289,884,616,264,880,589,286,875
113,417,160,577,340,221,561,373,183,556,388,168,556,368,187,555
114,345,173,518,301,206,507,309,191,500,331,174,505,301,195,496
116,468,224,692,390,283,673,410,261,671,426,247,673,403,261,664
117,476,199,675,392,258,650,441,202,643,455,186,641,423,219,642
118,627,251,878,508,333,841,552,293,845,568,267,835,536,296,832
119,588,199,787,478,301,779,517,250,767,531,236,767,493,266,759
120,635,195,830,547,274,821,557,259,816,573,244,817,568,251,819
121,544,155,699,488,207,695,477,211,688,492,195,687,491,189,680
122,1043,266,1309,901,392,1293,908,368,1276,939,341,1280,926,336,1262
123,160,47,207,147,63,210,151,59,210,154,55,209,145,63,208
126,157,38,195,150,43,193,122,69,191,130,60,190,148,43,191
127,346,94,440,328,100,428,286,139,425,287,137,424,324,101,425
128,659,148,807,564,229,793,572,214,786,582,205,787,576,216,792
129,159,54,213,125,86,211,140,71,211,139,69,208,129,76,205
130,398,117,515,327,173,500,338,163,501,349,151,500,338,156,494
133,22,8,30,20,10,30,21,9,30,21,9,30,19,11,30
205,228,93,321,180,129,309,198,112,310,200,105,305,196,112,308
206,223,61,284,205,75,280,201,73,274,201,71,272,207,65,272
207,1171,353,1524,1004,492,1496,1018,468,1486,1037,439,1476,1037,435,1472
208,228,70,298,209,85,294,202,91,293,204,88,292,214,80,294
209,599,193,792,497,278,775,517,244,761,531,231,762,521,236,757
210,765,206,971,629,308,937,637,290,927,666,267,933,668,259,927
211,418,132,550,372,164,536,353,179,532,363,172,535,385,148,533
212,790,165,955,689,240,929,626,295,921,654,277,931,699,227,926
213,971,222,1193,889,277,1166,777,380,1157,791,366,1157,897,259,1156
214,864,238,1102,848,242,1090,715,369,1084,711,371,1082,840,233,1073
215,1223,293,1516,1123,373,1496,1058,419,1477,1068,418,1486,1138,348,1486
216,670,181,851,595,232,827,559,263,822,571,261,832,614,216,830
217,903,185,1088,858,212,1070,752,313,1065,760,298,1058,853,207,1060
218,1585,343,1928,1467,438,1905,1370,513,1883,1358,528,1886,1475,412,1887
221,593,124,717,568,141,709,459,241,700,472,230,702,563,136,699
222,1187,256,1443,1097,307,1404,988,412,1400,1011,386,1397,1107,287,1394
223,1167,288,1455,1093,342,1435,973,441,1414,983,429,1412,1095,321,1416
224,1221,362,1583,1095,477,1572,1070,499,1569,1107,462,1569,1127,432,1559
225,1279,363,1642,1144,466,1610,1114,484,1598,1144,447,1591,1168,423,1591
226,1641,411,2052,1523,495,2018,1383,630,2013,1386,619,2005,1548,455,2003
227,718,161,879,686,175,861,610,245,855,610,246,856,687,171,858
228,1220,298,1518,1219,275,1494,1050,442,1492,1070,416,1486,1218,264,1482
233,339,98,437,313,116,429,310,120,430,320,106,426,316,110,426
235,206,53,259,178,73,251,183,67,250,187,61,248,181,68,249
236,531,121,652,527,115,642,455,180,635,443,193,636,532,107,639
238,27,7,34,25,8,33,22,11,33,21,13,34,26,7,33
239,43,14,57,48,9,57,38,19,57,40,17,57,46,11,57
240,119,23,142,109,30,139,97,42,139,101,35,136,112,26,138
241,87,19,106,87,21,108,74,34,108,67,39,106,83,22,105
242,152,41,193,150,37,187,132,54,186,132,52,184,149,37,186
246,47,11,58,46,12,58,41,15,56,41,14,55,46,11,57
247,226,37,263,214,45,259,190,67,257,192,63,255,209,44,253
301,308,90,398,291,100,391,277,110,387,282,102,384,289,99,388
302,585,158,743,527,199,726,512,216,728,509,208,717,532,188,720
303,313,98,411,287,119,406,276,125,401,283,119,402,298,108,406
304,278,92,370,254,109,363,242,120,362,245,110,355,247,104,351
305,822,232,1054,718,316,1034,706,319,1025,718,306,1024,730,292,1022
306,930,285,1215,808,389,1197,838,343,1181,854,327,1181,829,345,1174
307,405,115,520,349,163,512,350,158,508,368,141,509,374,136,510
308,679,225,904,559,308,867,580,280,860,603,260,863,612,249,861
309,780,246,1026,686,306,992,683,303,986,703,281,984,714,269,983
310,424,139,563,375,175,550,379,163,542,404,144,548,395,150,545
311,299,76,375,270,94,364,235,128,363,252,116,368,276,86,362
312,275,89,364,256,100,356,246,107,353,245,111,356,259,95,354
313,801,249,1050,717,312,1029,700,320,1020,724,304,1028,715,304,1019
314,719,194,913,657,234,891,642,247,889,646,233,879,674,212,886
315,594,170,764,552,195,747,543,204,747,545,198,743,558,182,740
316,756,219,975,728,230,958,665,288,953,690,259,949,744,207,951
317,13,3,16,8,7,15,10,6,16,11,5,16,10,6,16
318,94,19,113,84,26,110,80,30,110,88,22,110,90,20,110
319,209,54,263,175,82,257,198,56,254,199,56,255,183,68,251
320,140,46,186,101,81,182,125,56,181,130,53,183,111,72,183
321,23,9,32,18,12,30,23,9,32,24,8,32,23,9,32
324,255,77,332,229,92,321,228,91,319,229,90,319,220,95,315
325,549,169,718,500,206,706,481,226,707,482,221,703,515,189,704
326,72,17,89,66,20,86,64,23,87,67,21,88,73,13,86
328,28,8,36,28,8,36,30,6,36,29,6,35,27,8,35
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,415,96,511,383,119,502,347,155,502,351,148,499,389,108,497
402,368,97,465,339,114,453,288,165,453,300,150,450,354,98,452
403,574,127,701,545,141,686,478,205,683,478,205,683,550,132,682
404,879,292,1171,784,343,1127,759,360,1119,771,351,1122,819,300,1119
405,562,187,749,489,246,735,494,238,732,504,229,733,502,232,734
406,580,161,741,526,202,728,533,196,729,539,190,729,540,179,719
407,67,17,84,62,21,83,66,18,84,63,17,80,66,17,83
408,511,152,663,466,183,649,450,200,650,452,193,645,490,160,650
409,321,89,410,297,102,399,290,105,395,289,105,394,303,90,393
410,1431,374,1805,1389,384,1773,1166,599,1765,1179,595,1774,1391,371,1762
412,1577,387,1964,1494,452,1946,1343,584,1927,1346,576,1922,1496,420,1916
413,1166,273,1439,1067,340,1407,985,414,1399,998,393,1391,1084,319,1403
414,354,82,436,348,86,434,313,117,430,312,116,428,346,83,429
416,654,174,828,623,186,809,565,237,802,561,236,797,620,184,804
417,487,163,650,453,185,638,433,201,634,443,186,629,456,171,627
