Precinct,,Pos. 4 KS Supreme Court Justice- Eric S. Rosen,,,,Pos. 4 KS Court of Appeals Judge-Sarah E. Warner,,,,Pos. 6 KS Court of Appeals Judge-David E. Bruns,,,Pos. 8 KS Court of Appeals Judge-G. Gordon Atcheson,,,,,
,,YES,,NO,,YES,,NO,,YES,NO,,YES,NO,,,,
BS 1-1,,494,,206,,546,,150,,497,190,,486,198,,,,
BS 2-1,,357,,186,,400,,144,,378,166,,352,181,,,,
BS 3-1,,549,,224,,597,,177,,566,201,,532,230,,,,
BS 4-1,,735,,291,,798,,221,,721,295,,694,309,,,,
DE 1-1,,16,,7,,15,,9,,15,8,,15,8,,,,
ED 1-1,,899,,429,,974,,333,,939,372,,874,417,,,,
ED 2-1,,144,,66,,158,,53,,158,55,,150,60,,,,
KC 1-1,,83,,36,,85,,30,,78,38,,82,36,,,,
KC 1-2,,81,,49,,91,,39,,73,52,,85,40,,,,
KC 1-3,,87,,27,,89,,24,,66,45,,84,29,,,,
KC 2-1,,170,,56,,163,,56,,151,71,,161,61,,,,
KC 2-2,,104,,47,,105,,43,,104,43,,101,47,,,,
KC 2-3,,20,,10,,24,,8,,22,9,,19,12,,,,
KC 2-4,,116,,41,,117,,37,,116,41,,109,43,,,,
KC 2-5,,225,,75,,229,,66,,220,72,,215,76,,,,
KC 3-1,,279,,106,,277,,106,,266,116,,265,117,,,,
KC 3-2,,282,,117,,285,,112,,257,134,,277,117,,,,
KC 3-3,,49,,19,,50,,16,,48,20,,46,22,,,,
KC 3-4,,218,,69,,225,,58,,185,96,,200,80,,,,
KC 4-1,,260,,90,,275,,70,,221,124,,257,81,,,,
KC 4-2,,100,,38,,107,,27,,92,43,,98,36,,,,
KC 4-3,,196,,66,,201,,59,,176,84,,193,68,,,,
KC 4-4,,345,,107,,355,,80,,312,129,,338,102,,,,
KC 5-1,,306,,126,,325,,100,,295,131,,302,122,,,,
KC 5-2,,120,,48,,130,,36,,115,51,,116,47,,,,
KC 5-3,,129,,35,,120,,41,,112,47,,119,38,,,,
