Precinct,DEM Joseph R Biden,LIB Jo Jorgensen,REP Donald J. Trump,Write-in Totals
101,601,33,488,8
102,496,25,444,10
103,141,4,62,0
104,45,3,21,1
105,456,17,212,8
106,900,24,310,6
107,958,48,480,12
108,651,26,279,6
109,784,36,349,5
110,884,29,558,16
111,193,13,170,3
112,865,32,330,8
113,714,11,130,8
114,652,11,77,7
116,921,9,76,9
117,906,15,64,3
118,1020,12,173,7
119,748,21,269,6
120,737,19,335,6
121,486,17,389,4
122,1068,43,601,10
123,144,8,94,5
126,118,2,143,1
127,250,15,279,5
128,640,41,432,10
129,152,6,107,0
130,415,29,246,5
133,22,2,16,0
205,249,20,123,0
206,205,16,153,1
207,1123,55,789,10
208,190,16,180,1
209,676,21,370,5
210,758,35,527,7
211,338,17,349,7
212,599,29,642,11
213,723,35,780,18
214,578,27,809,9
215,1034,47,982,9
216,563,30,556,6
217,607,23,786,13
218,1141,50,1228,12
221,403,20,476,13
222,792,34,1031,9
223,758,41,1048,12
224,1133,52,995,11
225,1088,47,998,14
226,1009,44,1507,19
227,432,26,664,4
228,648,36,1231,13
233,250,9,293,5
235,199,7,146,3
236,323,12,515,4
238,15,0,29,1
239,14,1,51,0
240,76,4,92,1
241,55,0,90,0
242,83,15,153,3
246,22,1,42,0
247,133,11,183,0
301,249,20,242,4
302,495,23,442,5
303,295,12,216,1
304,274,14,193,2
305,758,28,587,7
306,955,52,550,6
307,439,15,243,5
308,680,24,431,10
309,744,40,537,11
310,404,24,253,4
311,216,11,246,4
312,236,14,208,5
313,734,28,595,10
314,529,35,600,2
315,406,23,499,4
316,395,34,746,2
317,11,1,8,0
318,52,5,91,0
319,204,9,126,0
320,150,8,83,1
321,27,0,11,1
324,232,20,178,3
325,434,35,464,5
326,40,3,80,1
328,20,3,24,1
329,0,0,0,0
401,264,17,406,6
402,232,9,376,3
403,271,33,585,5
404,731,60,729,12
405,505,30,447,6
406,433,30,484,5
407,47,0,56,0
408,423,22,410,4
409,248,11,258,3
410,705,36,1534,11
412,850,62,1569,9
413,664,56,1060,5
414,196,20,324,3
416,304,26,697,5
417,368,20,429,5
418,494,36,608,2
419,402,32,513,3
