PRECINCT CODE,PRECINCT NAME,DEM Biden and Harris,LIB Jorgensen and Cohen,REP Trump and Pence
1,1 East Rossville,162,13,360
2,2 West Rossville,104,14,301
9,9 East Silver Lake,233,6,425
10,10 West Silver Lake,159,15,265
12,12 Grove,105,11,320
14,14 Kiro,194,17,404
15,15 Messhoss Creek,138,7,280
22,22 Little Muddy Creek,115,14,240
24,24 Sac,227,14,396
25,25 Sherman,202,21,360
26,26 Iroquois,269,14,380
28,28 West Wichita,201,14,272
29,29 Indianola,244,16,341
30,30 Apache,213,20,348
31,31 East Wichita,350,19,505
32,32 Fox,172,22,446
33,33 Elmont,302,18,511
34,34 Kilmer,49,2,122
35,35 Rochester,194,19,327
36,36 East Soldier,259,12,359
37,37 Whitfield,172,14,288
38,38 Sioux,196,7,289
39,39 Pottawatomie,246,12,381
40,40 Stinson Creek,113,0,108
41,41 North Tecumseh,203,15,283
42,42 South Tecumseh,197,8,255
43,43 Pawnee,253,10,387
44,44 Kaw,213,11,333
45,45 Peck & 17 Croco,181,10,160
46,46 East Peck,143,12,202
47,47 Kiowa,375,22,390
48,48 Cheyenne,257,21,279
49,49 Ponca,174,13,170
52,52 Deer Creek,11,4,12
53,53 Pauline,84,5,121
54,54 West Potter,23,3,52
55,55 Central Pauline,37,2,50
56,56 NW Monmouth,263,15,477
57,57 NE Monmouth,247,12,339
58,58 South Monmouth,275,18,490
62,62 Forbes,27,2,42
63,63 Montara,192,21,217
64,64 Cullen,195,28,218
65,65 Wakarusa,178,7,357
66,66 Kingston,58,1,96
72,72 City Of Auburn,204,23,349
73,73 Meadowlark,239,17,495
74,74 Buffalo,163,10,360
80,80 Gaillardia,292,12,370
81,81 Dover,127,6,322
82,82 Willard,124,13,290
84,84 Yucca,62,5,122
85,85 Aldersgate,126,3,89
86,86 Sunflower,338,16,567
87,87 Washburn & 83 Ichabod Washburn,251,17,354
89,89 North Mission,37,5,106
90,90 South Mission,145,11,262
91,91 Central Mission,292,11,328
92,92 Sherwood,198,8,279
93,93 South Sherwood,208,9,272
94,94 Indian Hills,238,14,282
95,95 York,219,12,327
96,96 Vaquero,150,6,224
97,97 York Outer,33,2,35
99,99 Verbena & 88 Lykins,24,4,56
101,Ward 1 Precinct 1,128,5,89
102,Ward 1 Precinct 2,159,8,131
103,Ward 1 Precinct 3,115,7,157
104,Ward 1 Precinct 4,164,9,187
105,Ward 1 Precinct 5,212,14,319
106,W01 P06 & W01 P07,286,38,363
201,Ward 2 Precinct 1,186,8,184
202,Ward 2 Precinct 2,165,10,129
203,Ward 2 Precinct 3,139,5,134
204,Ward 2 Precinct 4,150,7,119
205,Ward 2 Precinct 5,144,2,95
206,Ward 2 Precinct 6,161,7,83
207,Ward 2 Precinct 7,122,4,45
208,Ward 2 Precinct 8,170,6,22
209,Ward 2 Precinct 9,224,13,124
210,Ward 2 Precinct 10,284,5,84
211,Ward 2 Precinct 11,177,11,80
212,Ward 2 Precinct 12,0,0,0
301,Ward 3 Precinct 1,203,15,122
302,Ward 3 Precinct 2,205,8,105
303,Ward 3 Precinct 3,170,10,59
304,Ward 3 Precinct 4,193,9,86
305,Ward 3 Precinct 5,144,4,49
306,Ward 3 Precinct 6,142,4,61
307,Ward 3 Precinct 7,161,19,96
308,Ward 3 Precinct 8,179,8,84
309,Ward 3 Precinct 9,253,7,87
310,Ward 3 Precinct 10,31,0,2
401,Ward 4 Precinct 1,183,9,83
402,Ward 4 Precinct 2,259,6,74
403,Ward 4 Precinct 3,170,3,46
404,Ward 4 Precinct 4,279,6,67
406,Ward 4 Precinct 6,224,9,76
407,Ward 4 Precinct 7,162,6,54
408,Ward 4 Precinct 8,186,7,95
409,Ward 4 Precinct 9,234,8,70
410,Ward 4 Precinct 10,252,10,101
411,Ward 4 Precinct 11,56,4,42
414,Ward 4 Precinct 14,19,0,3
415,Ward 4 Precinct 15,98,11,86
501,Ward 5 Precinct 1,210,7,62
502,Ward 5 Precinct 2,168,11,90
503,Ward 5 Precinct 3,209,9,95
504,Ward 5 Precinct 4,193,4,117
505,Ward 5 Precinct 5,245,8,98
506,Ward 5 Precinct 6,189,9,69
507,Ward 5 Precinct 7,210,5,80
508,Ward 5 Precinct 8,177,7,77
509,Ward 5 Precinct 9,291,10,228
510,Ward 5 Precinct 10,310,13,249
511,Ward 5 Precinct 11,289,14,215
514,Ward 5 Precinct 14,132,11,180
515,Ward 5 Precinct 15,61,0,61
591,Ward 5 Precinct 91,96,4,54
601,Ward 6 Precinct 1,193,4,65
602,Ward 6 Precinct 2,184,6,74
603,Ward 6 Precinct 3,237,6,151
604,Ward 6 Precinct 4,241,17,157
605,Ward 6 Precinct 5,224,14,143
606,Ward 6 Precinct 6,153,11,89
607,Ward 6 Precinct 7,114,4,70
608,Ward 6 Precinct 8,276,7,142
609,Ward 6 Precinct 9,422,35,468
701,Ward 7 Precinct 1,272,5,131
702,Ward 7 Precinct 2,213,13,130
703,Ward 7 Precinct 3,227,16,139
704,Ward 7 Precinct 4,219,11,156
705,Ward 7 Precinct 5,178,12,135
706,Ward 7 Precinct 6,153,19,113
707,Ward 7 Precinct 7,180,8,85
709,Ward 7 Precinct 9,142,5,139
710,Ward 7 Precinct 10,182,7,117
711,Ward 7 Precinct 11,292,12,154
801,Ward 8 Precinct 1,203,3,92
802,Ward 8 Precinct 2,214,12,106
803,Ward 8 Precinct 3,301,12,123
804,Ward 8 Precinct 4,254,13,118
805,Ward 8 Precinct 5,378,20,231
806,Ward 8 Precinct 6,193,2,128
807,Ward 8 Precinct 7,198,8,99
808,Ward 8 Precinct 8,208,8,109
809,Ward 8 Precinct 9,241,9,174
810,Ward 8 Precinct 10,172,5,160
811,Ward 8 Precinct 11,273,14,192
901,Ward 9 Precinct 1,50,5,41
902,Ward 9 Precinct 2,165,7,109
903,Ward 9 Precinct 3,328,9,199
904,Ward 9 Precinct 4,292,16,173
905,Ward 9 Precinct 5,246,10,161
906,Ward 9 Precinct 6,265,11,167
908,Ward 9 Precinct 8,351,13,202
909,Ward 9 Precinct 9,198,2,138
910,Ward 9 Precinct 10,401,21,267
911,Ward 9 Precinct 11,221,7,149
912,Ward 9 Precinct 12,102,8,57
1001,Ward 10 Precinct 1,257,9,127
1002,Ward 10 Precinct 2,189,1,156
1003,Ward 10 Precinct 3,355,8,287
1004,Ward 10 Precinct 4,219,6,179
1005,Ward 10 Precinct 5,203,10,145
1006,Ward 10 Precinct 6,168,7,141
1007,Ward 10 Precinct 7,217,7,212
1008,Ward 10 Precinct 8,189,19,143
1009,Ward 10 Precinct 9,135,4,109
1010,Ward 10 Precinct 10,231,12,187
1011,Ward 10 Precinct 11,347,12,261
1013,Ward 10 Precinct 13,16,0,24
1014,Ward 10 Precinct 14,244,5,174
1101,Ward 11 Precinct 1,150,12,138
1102,Ward 11 Precinct 2,215,14,160
1103,Ward 11 Precinct 3,172,8,128
1104,Ward 11 Precinct 4,278,15,189
1105,Ward 11 Precinct 5,220,11,166
1106,Ward 11 Precinct 6,244,19,142
1107,Ward 11 Precinct 7,209,15,158
1108,Ward 11 Precinct 8,190,14,156
1109,Ward 11 Precinct 9,252,17,170
1110,Ward 11 Precinct 10,155,8,109
1201,Ward 12 Precinct 1,234,14,147
1202,Ward 12 Precinct 2,236,7,98
1203,Ward 12 Precinct 3,236,5,185
1204,Ward 12 Precinct 4,263,8,245
1205,Ward 12 Precinct 5,254,8,188
1206,Ward 12 Precinct 6,314,13,210
1207,Ward 12 Precinct 7,299,26,237
1208,Ward 12 Precinct 8,280,11,202
1209,Ward 12 Precinct 9,412,30,334
1211,Ward 12 Precinct 11,407,15,331
1213,Ward 12 Precinct 13,232,8,286
1214,Ward 12 Precinct 14,213,9,216
1215,Ward 12 Precinct 15,392,23,323
1216,Ward 12 Precinct 16,458,16,354
1219,W12 P19 & W13 P10,30,1,62
1220,Ward 12 Precinct 20,302,16,274
1231,Ward 12 Precinct 31,161,9,188
1302,Ward 13 Precinct 2,128,4,77
1305,Ward 13 Precinct 5,9,0,7
1306,Ward 13 Precinct 6,59,0,108
1309,Ward 13 Precinct 9,65,2,79
1312,Ward 13 Precinct 12,365,17,410
1321,Ward 13 Precinct 21,51,2,48
1322,Ward 13 Precinct 22,47,2,45
1330,W13 P30 & W13 P08,126,3,113
1401,Ward 14 Precinct 1,398,23,329
1402,Ward 14 Precinct 2,299,27,348
1403,Ward 14 Precinct 3,176,3,220
1404,Ward 14 Precinct 4,372,10,474
1405,Ward 14 Precinct 5,155,2,253
1501,Ward 15 Precinct 1,334,18,296
1502,W15 P02 & W15 P04,232,8,196
1503,Ward 15 Precinct 3,21,0,31
ZZZ,COUNTY TOTALS,43015,2199,40443
