PRECINCT CODE,PRECINCT NAME,Biden and Harris,Jorgensen and Cohen,Trump and Pence
1,Aubry Township Precinct 01,43,2,99
2,Aubry Township Precinct 02,381,34,589
3,Aubry Township Precinct 03,182,14,338
4,Aubry Township Precinct 04,468,32,852
5,Aubry Township Precinct 05,7,0,11
6,Aubry Township Precinct 06,38,1,82
7,Aubry Township Precinct 07,0,0,0
8,Gardner Township Precinct 01,165,6,351
9,Gardner Township Precinct 02,153,4,320
10,Gardner Township Precinct 03,0,0,0
11,Gardner Township Precinct 04,0,0,0
12,Gardner Township Precinct 05,0,0,4
13,Gardner Township Precinct 06,0,0,0
14,Gardner Township Precinct 07,1,0,2
15,Gardner Township Precinct 08,3,0,2
16,Gardner Township Precinct 09,1,0,3
17,Gardner Township Precinct 10,2,0,4
18,Gardner Township Precinct 11,49,5,83
19,Gardner Township Precinct 13,0,0,3
20,Gardner Township Precinct 14,5,0,0
21,Gardner Township Precinct 15,0,0,0
22,Gardner Township Precinct 16,4,0,10
23,Gardner Township Precinct 17,2,1,9
24,Gardner Township Precinct 18,3,0,0
25,Gardner Township Precinct 19,0,0,0
26,Gardner Township Precinct 20,1,0,3
27,Lexington Township Precinct 01,345,24,649
28,Lexington Township Precinct 02,0,0,1
29,Lexington Township Precinct 03,3,0,0
30,Lexington Township Precinct 04,0,0,0
31,Lexington Township Precinct 05,0,0,0
32,McCamish Township Precinct 01,46,6,159
33,McCamish Township Precinct 02,135,8,337
34,McCamish Township Precinct 03,0,0,0
35,McCamish Township Precinct 04,0,0,0
36,McCamish Township Precinct 05,0,0,0
37,Olathe Township Precinct 01,171,10,234
38,Olathe Township Precinct 02,20,0,47
39,Olathe Township Precinct 03,23,1,33
40,Olathe Township Precinct 04,0,0,4
41,Olathe Township Precinct 06,0,0,0
42,Olathe Township Precinct 07,0,0,0
43,Olathe Township Precinct 08,0,0,1
44,Olathe Township Precinct 09,0,0,0
45,Olathe Township Precinct 10,2,0,11
46,Olathe Township Precinct 11,0,0,5
47,Olathe Township Precinct 12,0,0,0
48,Olathe Township Precinct 13,3,0,4
49,Olathe Township Precinct 14,0,0,1
50,Olathe Township Precinct 15,0,0,0
51,Olathe Township Precinct 16,0,0,0
52,Olathe Township Precinct 17,0,0,0
53,Olathe Township Precinct 24,0,0,2
54,Olathe Township Precinct 25,0,0,7
55,Olathe Township Precinct 26,0,0,4
56,Olathe Township Precinct 27,0,0,0
57,Olathe Township Precinct 32,9,2,25
58,Oxford Township Precinct 01,1,0,0
59,Oxford Township Precinct 02,228,9,379
60,Oxford Township Precinct 03,0,0,0
61,Oxford Township Precinct 04,271,17,325
62,Oxford Township Precinct 05,1,0,15
63,Oxford Township Precinct 08,0,0,0
64,Oxford Township Precinct 09,11,1,21
65,Oxford Township Precinct 10,0,0,1
66,Oxford Township Precinct 11,49,4,94
67,Spring Hill Township Precinct 01,374,29,698
68,Spring Hill Township Precinct 02,0,0,0
69,Spring Hill Township Precinct 03,28,2,78
70,Spring Hill Township Precinct 04,2,0,21
71,Spring Hill Township Precinct 05,9,0,9
72,De Soto Precinct 01,463,40,640
73,De Soto Precinct 02,332,19,441
74,De Soto Precinct 03,437,16,694
75,De Soto Precinct 04,0,0,0
76,De Soto Precinct 05,0,0,0
77,De Soto Precinct 06,55,4,36
78,De Soto Precinct 07,0,0,0
79,De Soto Precinct 08,0,0,0
80,Edgerton Precinct 01,253,26,495
81,Edgerton Precinct 02,0,0,0
82,Edgerton Precinct 03,0,0,0
83,Edgerton Precinct 04,0,0,0
84,Edgerton Precinct 05,1,0,7
85,Edgerton Precinct 06,2,1,4
86,Edgerton Precinct 07,0,0,0
87,Gardner Precinct 01,644,50,993
88,Gardner Precinct 02,140,12,130
89,Gardner Precinct 03,480,40,662
90,Gardner Precinct 04,341,29,579
91,Gardner Precinct 05,0,0,0
92,Gardner Precinct 06,550,43,827
93,Gardner Precinct 07,16,0,10
94,Gardner Precinct 08,98,11,204
95,Gardner Precinct 09,652,47,923
96,Gardner Precinct 10,419,43,627
97,Gardner Precinct 11,0,0,0
98,Gardner Precinct 12,2,0,11
99,Gardner Precinct 13,421,50,571
100,Gardner Precinct 14,325,25,409
101,Gardner Precinct 15,0,0,0
102,Gardner Precinct 16,0,0,0
103,Gardner Precinct 17,0,0,0
104,Olathe Ward 1 Precinct 01,482,27,515
105,Olathe Ward 1 Precinct 02,327,19,305
106,Olathe Ward 1 Precinct 03,266,11,238
107,Olathe Ward 1 Precinct 04,525,32,473
108,Olathe Ward 1 Precinct 05,392,27,453
109,Olathe Ward 1 Precinct 06,302,13,272
110,Olathe Ward 1 Precinct 07,0,0,0
111,Olathe Ward 1 Precinct 08,839,44,744
112,Olathe Ward 1 Precinct 09,515,21,474
113,Olathe Ward 1 Precinct 10,0,0,0
114,Olathe Ward 1 Precinct 11,87,4,82
115,Olathe Ward 1 Precinct 12,0,0,0
116,Olathe Ward 1 Precinct 13,0,0,0
117,Olathe Ward 1 Precinct 14,410,24,400
118,Olathe Ward 1 Precinct 15,453,15,439
119,Olathe Ward 1 Precinct 16,600,24,682
120,Olathe Ward 1 Precinct 17,167,12,227
121,Olathe Ward 1 Precinct 18,380,16,390
122,Olathe Ward 1 Precinct 19,237,12,220
123,Olathe Ward 1 Precinct 20,313,22,313
124,Olathe Ward 1 Precinct 21,623,29,543
125,Olathe Ward 1 Precinct 22,1069,67,1363
126,Olathe Ward 1 Precinct 23,0,0,0
127,Olathe Ward 1 Precinct 24,69,2,80
128,Olathe Ward 1 Precinct 25,102,8,124
129,Olathe Ward 1 Precinct 26,3,0,3
130,Olathe Ward 1 Precinct 27,305,19,308
131,Olathe Ward 1 Precinct 28,0,0,0
132,Olathe Ward 2 Precinct 01,223,30,223
133,Olathe Ward 2 Precinct 02,449,11,386
134,Olathe Ward 2 Precinct 03,349,18,386
135,Olathe Ward 2 Precinct 04,422,21,379
136,Olathe Ward 2 Precinct 05,799,32,1176
137,Olathe Ward 2 Precinct 06,571,24,750
138,Olathe Ward 2 Precinct 07,1005,51,1010
139,Olathe Ward 2 Precinct 08,635,37,472
140,Olathe Ward 2 Precinct 09,302,2,298
141,Olathe Ward 2 Precinct 10,1008,52,909
142,Olathe Ward 2 Precinct 11,871,36,698
143,Olathe Ward 2 Precinct 12,394,23,337
144,Olathe Ward 2 Precinct 13,412,27,342
145,Olathe Ward 2 Precinct 14,409,7,298
146,Olathe Ward 2 Precinct 15,487,18,530
147,Olathe Ward 2 Precinct 16,172,6,117
148,Olathe Ward 2 Precinct 17,0,0,0
149,Olathe Ward 2 Precinct 18,0,0,0
150,Olathe Ward 2 Precinct 19,3,0,8
151,Olathe Ward 2 Precinct 20,0,0,0
152,Olathe Ward 2 Precinct 21,0,1,0
153,Olathe Ward 2 Precinct 22,870,34,930
154,Olathe Ward 2 Precinct 23,580,40,484
155,Olathe Ward 2 Precinct 24,2,0,0
156,Olathe Ward 3 Precinct 01,281,19,211
157,Olathe Ward 3 Precinct 02,600,23,582
158,Olathe Ward 3 Precinct 03,258,14,323
159,Olathe Ward 3 Precinct 04,498,28,504
160,Olathe Ward 3 Precinct 05,435,19,597
161,Olathe Ward 3 Precinct 06,303,11,347
162,Olathe Ward 3 Precinct 07,342,22,322
163,Olathe Ward 3 Precinct 08,472,24,477
164,Olathe Ward 3 Precinct 09,255,12,282
165,Olathe Ward 3 Precinct 10,550,33,545
166,Olathe Ward 3 Precinct 11,424,25,354
167,Olathe Ward 3 Precinct 12,0,0,0
168,Olathe Ward 3 Precinct 13,555,13,483
169,Olathe Ward 3 Precinct 14,0,0,0
170,Olathe Ward 3 Precinct 15,411,20,461
171,Olathe Ward 3 Precinct 16,447,19,438
172,Olathe Ward 3 Precinct 17,605,40,640
173,Olathe Ward 3 Precinct 18,75,2,50
174,Olathe Ward 3 Precinct 19,341,17,369
175,Olathe Ward 3 Precinct 20,346,17,454
176,Olathe Ward 3 Precinct 21,695,26,1088
177,Olathe Ward 3 Precinct 22,433,26,428
178,Olathe Ward 3 Precinct 23,480,20,403
179,Olathe Ward 3 Precinct 24,204,11,217
180,Olathe Ward 3 Precinct 25,0,0,2
181,Olathe Ward 4 Precinct 01,505,25,371
182,Olathe Ward 4 Precinct 02,701,25,590
183,Olathe Ward 4 Precinct 03,422,18,227
184,Olathe Ward 4 Precinct 04,325,11,247
185,Olathe Ward 4 Precinct 05,510,14,464
186,Olathe Ward 4 Precinct 06,725,45,520
187,Olathe Ward 4 Precinct 07,649,40,474
