Precinct,Dem Biden and Harris,Lib Jorgensen and Cohen,Rep Trump and Pence,Write-in Totals
BS 1-1,369,14,455,2
BS 2-1,284,18,347,5
BS 3-1,414,28,461,4
BS 4-1,600,25,584,5
DE 1-1,9,0,17,0
ED 1-1,701,36,867,7
ED 2-1,109,8,144,2
KC 1-1,120,3,11,1
KC 1-2,142,2,12,0
KC 1-3,119,1,24,1
KC 2-1,198,8,55,3
KC 2-2,162,4,10,0
KC 2-3,37,0,4,1
KC 2-4,183,2,13,1
KC 2-5,311,3,30,2
KC 3-1,443,5,27,2
KC 3-2,437,4,25,3
KC 3-3,78,1,9,1
KC 3-4,312,7,23,1
KC 4-1,309,11,105,2
KC 4-2,118,2,36,1
KC 4-3,225,2,91,2
KC 4-4,402,9,138,3
KC 5-1,393,7,95,3
KC 5-2,138,8,45,6
KC 5-3,159,1,36,1
KC 5-4,157,5,52,2
KC 5-5,199,4,70,1
KC 6-1,209,2,108,0
KC 6-2,69,1,37,0
KC 7-1,182,9,130,1
KC 7-2,232,4,60,4
KC 7-3,265,1,98,0
KC 7-4,292,12,312,0
KC 7-5,80,1,31,0
KC 7-6,499,16,192,2
KC 7-7,167,6,57,0
KC 7-8,600,19,297,7
KC 7-9,372,11,336,8
KC 8-1,482,10,103,4
KC 8-2,530,17,90,10
KC 8-3,647,17,167,9
KC 8-4,470,7,149,10
KC 9-1,55,1,34,0
KC 9-2,282,9,145,2
KC 9-3,671,17,225,2
KC 9-4,59,1,64,2
KC 9-5,7,0,23,0
KC 9-6,401,7,94,6
KC 9-7,296,10,211,6
KC 9-8,249,3,84,0
KC 9-9,123,2,100,3
KC 9-10,457,18,224,3
KC 9-11,538,14,193,4
KC 9-12,348,24,271,4
KC 9-13,215,8,223,1
KC 9-14,267,12,293,1
KC 9-15,0,0,0,0
KC 9-16,826,34,561,17
KC 10-1,428,0,25,1
KC 10-2,664,8,66,3
KC 10-3,30,1,2,0
KC 10-4,263,3,40,0
KC 10-5,476,6,115,3
KC 11-1,504,4,99,5
KC 11-2,385,4,54,4
KC 11-3,558,8,131,4
KC 11-4,447,11,90,2
KC 11-5,435,9,168,3
KC 11-6,372,8,82,2
KC 11-7,286,4,109,0
KC 11-8,450,10,71,1
KC 11-9,398,4,96,1
KC 11-10,538,6,125,3
KC 11-11,521,10,248,2
KC 11-12,105,1,67,1
KC 12-1,421,19,180,6
KC 12-2,215,15,76,2
KC 12-3,383,16,192,1
KC 12-4,333,15,281,6
KC 12-5,270,17,316,2
KC 12-6,295,21,279,4
KC 12-7,293,13,219,2
KC 12-8,334,16,259,3
KC 12-9,323,12,252,1
KC 12-10,159,9,241,1
KC 12-11,79,4,137,0
KC 13-1,483,5,100,2
KC 13-2,365,9,160,1
KC 13-3,351,5,107,2
KC 13-4,293,1,40,1
KC 13-5,368,13,136,1
KC 13-6,321,12,161,1
KC 13-7,211,6,162,1
KC 13-8,271,10,127,1
KC 13-9,410,12,139,2
KC 14-1,329,16,282,2
KC 14-2,210,6,94,0
KC 14-3,207,4,79,2
KC 14-4,382,7,162,1
KC 14-5,355,7,141,0
KC 14-6,405,11,229,1
KC 14-7,568,16,261,7
KC 14-8,403,12,225,4
KC 14-9,153,8,226,0
KC 14-10,674,27,582,5
KC 14-11,402,8,244,2
KC 14-12,664,25,569,7
KC 14-13,483,21,403,3
KC 14-14,677,27,710,5
KC 14-15,601,21,707,3
KC 14-16,207,9,157,1
QC 1-1,12,0,13,0
Totals,"36,788","1,063","18,934",286
