County,Precinct,Race,Candidate,Party,Votes,VTD
Allen,Carlyle Township,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,32,000010
Allen,Carlyle Township,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,134,000010
Allen,Carlyle Township,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,4,000010
Allen,Cottage Grove Township,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,18,000020
Allen,Cottage Grove Township,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,101,000020
Allen,Cottage Grove Township,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,2,000020
Allen,Deer Creek Township,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,11,000030
Allen,Deer Creek Township,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,60,000030
Allen,Deer Creek Township,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,1,000030
Allen,East Elm,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,45,000040
Allen,East Elm,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,237,000040
Allen,East Elm,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,2,000040
Allen,Geneva Township,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,12,000050
Allen,Geneva Township,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,65,000050
Allen,Geneva Township,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,000050
Allen,Humboldt Township,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,25,00006A
Allen,Humboldt Township,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,137,00006A
Allen,Humboldt Township,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,4,00006A
Allen,Humboldt Township Rural Enclave,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,0,00006B
Allen,Humboldt Township Rural Enclave,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,0,00006B
Allen,Humboldt Township Rural Enclave,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,00006B
Allen,Humboldt Township Split,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,0,00006C
Allen,Humboldt Township Split,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,0,00006C
Allen,Humboldt Township Split,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,00006C
Allen,Humboldt Ward 1,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,141,000070
Allen,Humboldt Ward 1,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,281,000070
Allen,Humboldt Ward 1,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,9,000070
Allen,Humboldt Ward 2,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,133,000080
Allen,Humboldt Ward 2,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,279,000080
Allen,Humboldt Ward 2,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,11,000080
Allen,Iola Ward 1,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,173,000090
Allen,Iola Ward 1,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,316,000090
Allen,Iola Ward 1,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,7,000090
Allen,Iola Ward 2,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,176,00010A
Allen,Iola Ward 2,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,447,00010A
Allen,Iola Ward 2,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,8,00010A
Allen,Iola Ward 2 Exclave,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,0,00010B
Allen,Iola Ward 2 Exclave,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,0,00010B
Allen,Iola Ward 2 Exclave,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,00010B
Allen,Iola Ward 3,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,171,000110
Allen,Iola Ward 3,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,325,000110
Allen,Iola Ward 3,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,14,000110
Allen,Iola Ward 4,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,165,000120
Allen,Iola Ward 4,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,363,000120
Allen,Iola Ward 4,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,13,000120
Allen,Marmaton Township,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,88,000140
Allen,Marmaton Township,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,284,000140
Allen,Marmaton Township,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,6,000140
Allen,North Elsmore,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,16,000150
Allen,North Elsmore,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,76,000150
Allen,North Elsmore,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,1,000150
Allen,North Iola Part A,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,32,00016A
Allen,North Iola Part A,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,108,00016A
Allen,North Iola Part A,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,3,00016A
Allen,North Iola Part A Rural Enclave,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,0,00016B
Allen,North Iola Part A Rural Enclave,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,0,00016B
Allen,North Iola Part A Rural Enclave,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,00016B
Allen,North Iola Part B,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,0,00016C
Allen,North Iola Part B,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,0,00016C
Allen,North Iola Part B,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,00016C
Allen,Osage Township,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,35,000170
Allen,Osage Township,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,107,000170
Allen,Osage Township,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,000170
Allen,Salem Township,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,43,000180
Allen,Salem Township,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,110,000180
Allen,Salem Township,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,1,000180
Allen,South Elsmore,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,19,000190
Allen,South Elsmore,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,68,000190
Allen,South Elsmore,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,1,000190
Allen,South Iola,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,69,00020A
Allen,South Iola,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,241,00020A
Allen,South Iola,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,7,00020A
Allen,South Iola Enclave,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,0,00020B
Allen,South Iola Enclave,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,0,00020B
Allen,South Iola Enclave,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,00020B
Allen,West Elm,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,141,000210
Allen,West Elm,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,388,000210
Allen,West Elm,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,9,000210
Allen,Logan Township S12,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,25,120020
Allen,Logan Township S12,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,91,120020
Allen,Logan Township S12,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,1,120020
Allen,Logan Township S15,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,0,120030
Allen,Logan Township S15,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,0,120030
Allen,Logan Township S15,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,120030
Anderson,Garnett Precinct 1,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,136,00002A
Anderson,Garnett Precinct 1,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,398,00002A
Anderson,Garnett Precinct 1,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,10,00002A
Anderson,Garnett Precinct 1 Exclave,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,0,00002B
Anderson,Garnett Precinct 1 Exclave,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,0,00002B
Anderson,Garnett Precinct 1 Exclave,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,0,00002B
Anderson,Garnett Precinct 2,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,107,000030
Anderson,Garnett Precinct 2,President / Vice President,Donald J. Trump / Michael R. Pence,Republican,375,000030
Anderson,Garnett Precinct 2,President / Vice President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,23,000030
Anderson,Garnett Precinct 3,President / Vice President,Joseph R. Biden / Kamala D. Harris,Democratic,88,000040
