PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - DEMOCRATIC,BALLOTS CAST - REPUBLICAN,BALLOTS CAST BLANK,REP For President,REP For President,REP For President,REP For President,REP For President,DEM For President,DEM For President,DEM For President,DEM For President,DEM For President
221,1156,277,580,299,75,22,53,0,28,19,3,0,3,0,0,0,20,2
222,1155,242,530,383,40,17,23,0,21,2,0,0,0,0,0,0,16,1
223,1761,443,788,530,141,40,101,0,74,21,4,1,1,0,0,0,38,2
224,3358,1014,994,1350,122,41,81,0,61,12,2,1,5,0,1,0,38,2
225,3528,976,1170,1382,168,61,107,1,90,11,3,0,2,2,0,0,58,1
226,2184,502,948,734,119,41,78,1,56,14,4,0,4,1,0,0,38,1
227,1499,266,813,420,108,18,90,0,59,22,6,0,3,0,0,0,17,1
228,2510,385,1391,734,109,15,94,0,62,24,6,0,2,0,0,0,13,2
230,88,16,41,31,4,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
233,797,210,271,316,20,6,14,0,10,3,0,0,1,0,0,0,4,2
235,588,223,145,220,48,22,26,0,21,5,0,0,0,0,0,0,21,1
236,1093,180,604,309,54,12,42,0,30,11,1,0,0,0,0,0,10,2
238,206,41,105,60,17,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
239,97,10,56,31,11,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
240,319,77,120,122,7,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
241,181,36,99,46,19,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
242,333,54,175,104,33,10,23,0,17,5,0,0,1,1,0,0,9,0
243,54,11,29,14,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
245,5,0,4,1,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
246,233,49,87,97,15,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
247,432,74,208,150,10,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
248,49,14,14,21,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
249,1574,338,857,379,134,31,103,0,70,25,1,1,6,0,1,0,29,1
250,751,133,456,162,74,22,52,0,40,10,2,0,0,0,0,0,21,1
251,655,127,333,195,50,10,40,0,31,4,2,0,3,0,0,0,10,0
252,751,150,361,240,23,3,20,0,13,6,1,0,0,0,0,0,3,0
257,1,0,1,0,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
301,980,257,249,474,50,27,23,0,18,2,1,0,2,1,2,3,15,6
302,2058,605,443,1010,86,40,46,0,35,8,1,0,2,2,1,1,29,7
303,1023,319,234,470,47,14,33,0,30,1,0,0,2,0,0,0,12,2
304,841,294,203,344,46,18,28,0,20,5,0,0,3,1,0,0,15,2
305,479,150,127,202,29,12,17,1,15,1,0,0,1,0,0,0,9,2
306,2236,833,478,925,158,88,70,0,59,8,1,0,2,3,0,2,76,7
307,1504,521,295,688,91,48,43,0,33,5,1,0,4,0,0,2,44,2
308,1780,651,387,742,104,60,44,1,31,9,2,0,2,3,0,3,50,3
309,169,53,37,79,6,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
310,1874,577,329,968,37,18,19,0,16,2,1,0,0,1,0,0,16,1
312,914,313,190,411,43,19,24,0,18,5,0,0,1,0,0,0,17,2
313,2384,764,543,1077,117,58,59,1,44,12,1,0,2,2,0,2,42,10
314,2050,573,600,877,130,46,84,0,70,8,2,0,4,2,1,1,40,2
315,1797,479,476,842,101,35,66,0,62,3,0,0,1,0,1,1,31,2
316,1153,261,478,414,98,28,70,0,62,6,1,1,0,2,0,2,20,4
317,22,7,6,9,2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
318,245,51,95,99,9,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
319,564,207,117,240,25,14,11,0,7,3,0,0,1,0,0,0,12,2
320,676,207,119,350,22,8,14,0,11,3,0,0,0,2,0,0,5,1
321,83,31,13,39,6,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
324,953,269,204,480,31,15,16,0,10,4,1,0,1,0,0,0,15,0
325,1133,320,307,506,70,31,39,0,35,4,0,0,0,2,0,0,25,4
326,183,33,72,78,11,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
328,129,27,34,68,1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
330,1595,594,457,544,154,78,76,0,54,14,1,2,5,1,0,0,72,5
331,385,124,115,146,28,8,20,0,11,9,0,0,0,0,0,0,8,0
332,852,275,200,377,39,17,22,0,19,3,0,0,0,1,1,0,14,1
333,1172,416,286,470,82,37,45,0,36,8,0,0,1,3,2,2,28,2
334,822,235,244,343,53,19,34,1,30,3,0,0,1,2,0,0,14,2
335,657,167,224,266,38,13,25,0,21,1,2,1,0,0,1,0,11,1
336,263,80,92,91,30,16,14,0,13,1,0,0,0,0,1,0,15,0
339,1942,620,450,872,112,52,60,0,44,14,0,0,2,1,0,1,44,6
401,1101,266,416,419,90,30,60,0,51,9,0,0,0,1,0,0,26,3
402,826,183,420,223,83,17,66,0,51,8,2,1,4,0,0,1,16,0
403,1010,167,533,310,89,16,73,0,55,17,1,0,0,1,0,0,15,0
404,2628,713,724,1191,134,63,71,0,55,13,1,0,2,3,1,4,49,6
405,1488,443,452,593,93,38,55,0,45,5,0,1,4,0,0,1,33,4
406,1643,483,436,724,93,38,55,1,48,4,0,0,2,3,0,0,32,3
407,216,58,60,98,15,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
408,1732,490,461,781,128,44,84,0,63,17,1,0,3,4,1,1,35,3
409,955,256,270,429,58,25,33,0,28,1,3,0,1,1,1,0,23,0
410,2196,318,1297,581,223,42,181,0,145,24,6,1,5,0,0,0,38,4
411,1,0,0,1,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
412,3541,666,1609,1266,155,42,113,0,84,17,3,0,9,0,1,0,41,0
413,2417,513,1041,863,120,35,85,0,69,10,4,0,2,2,0,1,28,4
414,900,177,413,310,40,11,29,0,22,4,1,1,1,1,0,0,10,0
416,1156,237,544,375,97,27,70,0,54,14,2,0,0,2,0,1,23,1
417,1319,355,397,567,63,20,43,0,39,3,0,0,1,1,1,2,12,4
418,1778,497,551,730,115,36,79,0,58,12,3,0,6,2,1,0,30,3
419,1215,320,382,513,76,29,47,0,36,6,0,1,4,2,0,0,26,1
420,1696,423,482,791,98,39,59,0,51,8,0,0,0,3,0,0,28,8
422,1165,277,384,504,55,18,37,0,37,0,0,0,0,0,0,0,16,2
423,1671,382,502,787,88,29,59,0,46,8,1,0,4,1,1,0,23,4
424,806,193,264,349,29,10,19,0,16,3,0,0,0,2,0,0,7,1
425,2516,553,956,1007,184,41,143,0,127,11,3,0,2,2,1,1,35,2
426,183,35,111,37,37,7,30,0,18,9,1,0,2,0,0,0,7,0
429,966,296,264,406,46,21,25,0,22,1,1,0,1,0,1,0,19,1
431,6,1,3,2,1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
433,722,154,277,291,30,10,20,0,18,1,1,0,0,0,0,0,8,2
434,2,0,2,0,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
437,946,214,305,427,36,14,22,0,18,2,1,0,1,2,0,0,12,0
439,5,0,3,2,1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
444,145,22,83,40,9,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
445,738,132,426,180,63,14,49,0,31,13,1,0,4,0,0,0,14,0
446,230,46,95,89,9,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
447,289,72,103,114,11,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
448,124,21,42,61,6,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
449,626,111,354,161,32,7,25,0,21,2,0,0,2,0,0,0,6,1
503,2283,608,753,922,103,40,63,0,50,9,2,0,2,2,3,0,33,2
504,1582,410,509,663,91,30,61,0,51,6,2,0,2,1,0,0,27,2
506,2042,495,855,692,161,48,113,0,86,14,2,0,11,0,1,1,43,3
507,1831,448,754,629,127,39,88,0,67,12,2,2,5,1,0,1,34,3
508,1692,457,685,550,142,43,99,1,73,19,2,0,4,2,0,0,39,2
509,1616,362,755,499,130,40,90,0,59,20,3,1,7,1,0,0,37,2
510,1977,287,1276,414,164,21,143,0,111,19,5,0,8,0,0,0,19,2
512,4058,781,2072,1205,304,85,219,0,160,39,7,2,11,0,1,0,77,7
513,1766,340,970,456,122,39,83,1,48,26,4,0,4,0,0,0,38,1
514,2403,523,1171,709,158,32,126,0,87,27,4,0,8,0,0,0,30,2
515,2049,475,916,658,150,43,107,0,75,23,3,0,6,2,0,2,35,4
516,1222,282,581,359,96,23,73,0,54,15,1,0,2,0,0,3,20,0
517,1252,305,540,407,125,43,82,0,62,15,2,0,3,0,0,0,39,4
518,1587,316,780,491,124,21,103,0,84,17,2,0,0,0,0,0,18,3
519,1823,420,838,565,161,51,110,0,86,19,0,0,5,2,0,0,40,9
522,1555,316,833,406,160,30,130,1,90,21,5,0,12,1,0,1,24,4
523,1560,344,792,424,153,49,104,0,79,18,4,0,3,1,0,1,46,1
524,2426,546,1274,606,247,75,172,0,127,31,2,2,10,1,1,1,67,5
525,1847,421,847,579,139,39,100,1,69,21,3,1,5,1,1,0,31,6
526,2048,444,1009,595,124,30,94,0,71,14,4,0,5,5,2,0,20,3
527,2018,404,980,634,145,41,104,0,87,7,2,1,7,2,0,2,31,6
528,2,0,2,0,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
530,1982,315,1191,476,138,22,116,0,90,17,3,1,5,2,0,1,18,1
531,2749,473,1602,674,234,48,186,0,138,37,5,0,6,0,0,0,46,2
534,230,30,127,73,8,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
539,1801,321,911,569,79,15,64,0,48,11,2,1,2,0,0,0,14,1
541,3,1,0,2,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
544,173,30,81,62,2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
545,687,105,353,229,37,4,33,0,25,6,2,0,0,0,0,0,4,0
552,1,0,1,0,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
601,2693,884,496,1313,56,33,23,0,13,6,2,2,0,2,1,0,30,0
602,2366,707,679,980,164,71,93,0,82,9,0,1,1,2,0,1,63,5
603,663,118,394,151,66,18,48,0,33,11,3,0,1,0,0,1,17,0
604,2147,590,733,824,155,60,95,0,80,9,1,1,4,1,1,0,54,4
605,804,217,272,315,50,22,28,0,20,5,1,0,2,0,1,1,17,3
606,713,205,240,268,58,27,31,0,18,10,0,0,3,2,0,0,22,3
607,2007,817,596,594,167,85,82,0,43,25,4,3,7,3,0,0,74,8
608,1777,744,320,713,103,77,26,0,16,6,1,1,2,8,0,0,58,11
609,2496,956,667,873,183,96,87,1,52,27,1,1,4,5,0,2,86,3
610,1716,487,714,515,201,68,133,2,92,34,1,0,5,0,1,0,56,10
611,1259,343,386,530,89,35,54,0,43,9,0,0,2,1,0,1,27,6
612,2206,606,900,700,243,90,153,1,100,34,10,1,8,1,2,0,81,5
613,1835,538,639,658,134,47,87,0,58,19,4,1,5,1,2,0,40,4
614,1210,364,323,523,63,31,32,0,25,6,0,0,1,0,0,0,26,5
615,3057,1127,471,1459,95,60,35,1,24,9,1,0,1,1,1,0,52,5
616,1425,366,447,612,67,22,45,0,39,5,0,0,1,0,0,0,21,1
617,975,363,158,454,45,25,20,1,17,2,0,0,1,2,0,1,20,1
618,736,192,329,215,60,23,37,0,32,3,1,0,1,0,1,0,22,0
619,1833,516,687,630,162,59,103,0,73,22,2,1,5,2,0,0,56,1
621,561,81,322,158,13,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
622,2094,362,1135,597,206,50,156,1,116,29,6,0,5,0,0,0,47,2
623,2072,377,1046,649,192,43,149,0,121,21,3,2,2,0,0,1,40,2
624,217,72,44,101,6,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
626,15,3,2,10,1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
627,125,40,45,40,17,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
629,33,6,14,13,1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
630,4,2,2,0,3,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
632,734,90,446,198,26,4,22,0,20,2,0,0,0,0,0,0,3,1
633,832,237,259,336,44,17,27,0,22,5,0,0,0,0,1,0,16,0
634,311,104,103,104,21,7,14,0,11,2,1,0,0,1,0,0,6,0
AF,1153,141,748,264,75,10,65,0,54,10,0,0,1,0,0,0,8,2
AT01,21,2,18,1,3,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT02,115,18,63,34,14,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT03,756,94,483,179,53,7,46,0,40,4,2,0,0,1,0,0,6,0
AT05,308,43,195,70,17,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT06,102,4,86,12,5,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT07,7,1,5,1,2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT08,95,8,55,32,6,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT12,63,14,34,15,4,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT13,4,0,4,0,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT15,10,1,9,0,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT16,2,0,1,1,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
AT22,143,22,53,68,6,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
BA01,2108,505,1018,585,161,45,116,0,80,25,5,1,5,0,1,1,42,1
BA02,1812,496,771,545,110,37,73,0,46,20,3,2,2,2,0,0,33,2
BA03,2686,691,1196,799,200,74,126,0,81,27,6,1,11,0,0,0,71,3
BA04,3,0,2,1,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB11,1078,197,488,393,68,10,58,0,46,8,2,0,2,0,0,2,7,1
DB12,1301,273,540,488,37,14,23,0,15,5,0,1,2,0,0,0,12,2
DB124,439,92,215,132,58,13,45,0,34,3,2,0,6,0,1,0,10,2
DB13,2,0,1,1,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB14,1196,227,548,421,47,18,29,0,19,8,1,0,1,1,0,0,17,0
DB211,973,176,409,388,56,9,47,0,33,12,1,0,1,0,0,0,8,1
DB22,1612,331,790,491,157,42,115,0,87,19,5,0,4,2,0,0,32,8
DB23,2017,384,976,657,165,38,127,0,93,28,4,0,2,1,0,0,35,2
DB31,461,84,204,173,34,7,27,0,24,1,0,0,2,0,0,0,5,2
DB315,42,5,23,14,2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB32,1280,284,583,413,90,22,68,0,45,15,4,0,4,0,1,0,20,1
DB321,1064,217,434,413,59,15,44,0,35,5,1,0,3,0,0,1,14,0
DB325,133,20,52,61,3,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB326,201,24,100,77,12,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB341,88,9,36,43,2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB345,3,1,1,1,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB36,982,197,457,328,54,15,39,0,27,8,2,2,0,0,0,0,14,1
DB37,298,74,99,125,17,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB38,17,1,9,7,3,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB41,824,193,305,326,47,13,34,0,26,6,1,0,1,0,0,0,11,2
DB42,2843,426,1445,972,203,30,173,1,126,32,3,0,11,0,0,1,24,5
DB433,55,6,25,24,2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB434,8,0,4,4,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DB436,782,162,354,266,46,7,39,0,31,3,0,0,5,0,0,0,7,0
DB437,60,12,30,18,8,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DL03,1,0,1,0,1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DL04,1,1,0,0,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
DL10,3,0,0,3,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
EA,820,123,432,265,58,12,46,0,37,4,3,0,2,0,0,0,9,3
ER,72,9,47,16,4,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
GA,1490,152,1015,323,86,14,72,1,56,9,1,2,3,2,0,0,10,2
