PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - DEMOCRATIC,BALLOTS CAST - REPUBLICAN,BALLOTS CAST BLANK,REP For President,REP For President,REP For President,REP For President,REP For President,DEM For President,DEM For President,DEM For President,DEM For President,DEM For President
,,DEM,REP,NON,,DEM,REP,,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM
,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Donald J. Trump,Nikki R. Haley,Ron DeSantis,Ryan L. Binkley,None of the names shown,Marianne Williamson,Jason Michael Palmer,Dean Phillips,Joseph R Biden Jr,None of the names shown
102,1250,353,535,362,107,43,64,0,38,19,1,0,6,1,0,0,41,1
103,310,105,92,113,20,9,11,0,3,6,1,0,1,0,1,0,8,0
104,132,43,28,61,4,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
105,1099,428,237,434,77,42,35,0,27,8,0,0,0,0,0,0,38,4
106,2415,1041,337,1037,125,83,42,0,33,7,0,0,2,4,0,0,72,7
107,1998,741,688,569,123,54,69,0,37,23,3,0,6,0,0,1,49,4
108,1389,593,315,481,83,51,32,0,13,15,1,0,3,1,0,0,46,4
109,1566,618,317,631,81,42,39,0,28,8,0,0,3,1,1,0,38,2
110,1934,706,737,491,154,60,94,0,57,25,5,0,7,1,0,1,56,2
111,488,181,193,114,64,41,23,0,13,7,1,0,2,1,0,1,38,1
112,1796,809,391,596,131,92,39,0,26,7,2,0,4,7,1,1,76,7
113,1734,884,164,686,90,84,6,0,5,0,0,0,1,0,1,1,78,4
114,1623,883,96,644,68,57,11,0,11,0,0,0,0,2,1,0,48,6
116,2125,1179,131,815,101,93,8,0,8,0,0,0,0,2,3,0,79,8
117,1822,1103,87,632,96,91,5,0,3,1,0,0,1,8,2,2,76,2
118,1916,1043,234,639,132,112,20,1,12,7,0,0,0,2,0,1,104,5
119,1620,750,313,557,100,76,24,1,17,4,1,0,2,2,0,0,67,6
120,1609,667,365,577,92,60,32,0,20,8,0,1,3,1,0,0,56,3
121,1263,445,449,369,98,43,55,0,40,10,0,0,5,0,0,1,40,2
122,2750,989,721,1040,120,63,57,0,42,13,0,0,2,2,0,3,55,3
123,379,120,118,141,16,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
124,1,0,1,0,0,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
126,368,107,149,112,29,9,20,0,15,3,1,0,1,0,0,1,7,1
127,33,4,17,12,2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
128,1448,512,534,402,116,48,68,0,41,24,1,0,2,1,0,0,42,5
129,570,163,105,302,16,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
130,1106,374,248,484,59,28,31,0,23,7,0,0,1,1,0,1,24,2
133,52,15,14,23,2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
135,440,185,49,206,13,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED
136,852,228,328,296,23,5,18,0,13,3,2,0,0,1,0,0,3,1
137,1562,430,762,370,165,65,100,0,57,34,1,0,8,0,0,1,60,4
138,1900,471,925,504,152,56,96,0,47,37,4,1,7,0,0,0,54,2
205,862,296,135,431,31,19,12,0,8,3,1,0,0,1,1,0,14,3
206,652,221,155,276,37,18,19,0,19,0,0,0,0,1,1,0,13,3
207,3160,1096,829,1235,155,79,76,1,45,16,6,1,8,3,1,0,73,1
208,597,166,182,249,44,16,28,0,21,4,2,0,1,0,0,0,16,0
209,1722,622,417,683,107,54,53,0,38,11,2,0,2,2,0,0,44,8
210,2376,837,592,947,93,41,52,0,44,5,1,0,2,3,0,0,35,3
211,937,258,374,305,78,25,53,0,37,10,0,0,6,1,0,0,23,1
214,1940,401,1029,510,115,29,86,0,53,25,3,0,5,1,0,0,27,1
215,2857,761,1244,852,237,82,155,0,95,43,6,0,11,2,0,0,74,6
216,1534,433,700,401,182,68,114,0,54,48,3,1,8,0,0,2,58,8
217,1904,458,980,466,133,40,93,0,54,30,3,0,6,0,0,0,38,2
218,3338,858,1412,1068,211,59,152,0,103,37,3,1,8,1,1,1,52,4
