Offical Election Results
Douglas County
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Lawrence 1","United States President/Vice President","Harris / Walz","450","68.98%"
"Lawrence 1","United States President/Vice President","Trump / Vance","78","68.98%"
"Lawrence 1","United States President/Vice President","Oliver / ter Maat","3","68.98%"
"Lawrence 1","United States President/Vice President","Kennedy / Shanahan","3","68.98%"
"Lawrence 1","US House 1","Paul Buskirk","450","68.98%"
"Lawrence 1","US House 1","Tracey Mann","78","68.98%"
"Lawrence 1","State Sen 2","Marci Francisco","457","68.98%"
"Lawrence 1","State Sen 2","David G. Miller","75","68.98%"
"Lawrence 1","State Rep 46","Brooklynne Mosley","467","68.98%"
"Lawrence 1","SBOE Dist 6","Beryl Ann New","436","68.98%"
"Lawrence 1","SBOE Dist 6","Bruce Schultz","79","68.98%"
"Lawrence 1","District Attorney","Dakota Loomis","445","68.98%"
"Lawrence 1","District Attorney","Mike Warner","78","68.98%"
"Lawrence 1","County Commissioner Dist 2","Shannon Reid","341","68.98%"
"Lawrence 1","County Commissioner Dist 2","Brad Chun","161","68.98%"
"Lawrence 1","Co Clerk","Jamie Shew","459","68.98%"
"Lawrence 1","CO Treas","Adam T. Rains","449","68.98%"
"Lawrence 1","CO Reg of Deeds","Kent Brown","449","68.98%"
"Lawrence 1","CO Sheriff","Jay Armbrister","435","68.98%"
"Lawrence 1","Sarah E. Warner","YES","336","68.98%"
"Lawrence 1","Sarah E. Warner","NO","74","68.98%"
"Lawrence 1","David E. Bruns","YES","261","68.98%"
"Lawrence 1","David E. Bruns","NO","145","68.98%"
"Lawrence 1","G. Gordon Atcheson","YES","308","68.98%"
"Lawrence 1","G. Gordon Atcheson","NO","96","68.98%"
"Lawrence 1","Karen Arnold-Burger","YES","327","68.98%"
"Lawrence 1","Karen Arnold-Burger","NO","79","68.98%"
"Lawrence 1","Rachel Pickering","YES","327","68.98%"
"Lawrence 1","Rachel Pickering","NO","74","68.98%"
"Lawrence 1","Angela D. Coble","YES","326","68.98%"
"Lawrence 1","Angela D. Coble","NO","76","68.98%"
"Lawrence 1","Kathryn Gardner","YES","278","68.98%"
"Lawrence 1","Kathryn Gardner","NO","125","68.98%"
"Lawrence 1","Catherine C. Theisen","YES","346","68.98%"
"Lawrence 1","Catherine C. Theisen","NO","67","68.98%"
"Lawrence 1","James R. McCabria","YES","293","68.98%"
"Lawrence 1","James R. McCabria","NO","120","68.98%"
"Lawrence 1","Mark Simpson","YES","335","68.98%"
"Lawrence 1","Mark Simpson","NO","79","68.98%"
"Lawrence 1","Carl Folsom III","YES","338","68.98%"
"Lawrence 1","Carl Folsom III","NO","74","68.98%"
"Lawrence 1","City of Lawrence Question 1","NO","268","68.98%"
"Lawrence 1","City of Lawrence Question 1","YES","222","68.98%"
"Lawrence 1","City of Lawrence Question 2","YES","302","68.98%"
"Lawrence 1","City of Lawrence Question 2","NO","212","68.98%"
"Lawrence 2","United States President/Vice President","Harris / Walz","524","73.21%"
"Lawrence 2","United States President/Vice President","Trump / Vance","58","73.21%"
"Lawrence 2","United States President/Vice President","Oliver / ter Maat","4","73.21%"
"Lawrence 2","United States President/Vice President","Kennedy / Shanahan","2","73.21%"
"Lawrence 2","US House 1","Paul Buskirk","539","73.21%"
"Lawrence 2","US House 1","Tracey Mann","51","73.21%"
"Lawrence 2","State Sen 2","Marci Francisco","523","73.21%"
"Lawrence 2","State Sen 2","David G. Miller","61","73.21%"
"Lawrence 2","State Rep 46","Brooklynne Mosley","534","73.21%"
"Lawrence 2","SBOE Dist 6","Beryl Ann New","520","73.21%"
"Lawrence 2","SBOE Dist 6","Bruce Schultz","56","73.21%"
"Lawrence 2","District Attorney","Dakota Loomis","495","73.21%"
"Lawrence 2","District Attorney","Mike Warner","89","73.21%"
"Lawrence 2","County Commissioner Dist 2","Shannon Reid","428","73.21%"
"Lawrence 2","County Commissioner Dist 2","Brad Chun","140","73.21%"
"Lawrence 2","Co Clerk","Jamie Shew","531","73.21%"
"Lawrence 2","CO Treas","Adam T. Rains","514","73.21%"
"Lawrence 2","CO Reg of Deeds","Kent Brown","515","73.21%"
"Lawrence 2","CO Sheriff","Jay Armbrister","504","73.21%"
"Lawrence 2","Sarah E. Warner","YES","373","73.21%"
"Lawrence 2","Sarah E. Warner","NO","80","73.21%"
"Lawrence 2","David E. Bruns","YES","312","73.21%"
"Lawrence 2","David E. Bruns","NO","131","73.21%"
"Lawrence 2","G. Gordon Atcheson","YES","341","73.21%"
"Lawrence 2","G. Gordon Atcheson","NO","93","73.21%"
"Lawrence 2","Karen Arnold-Burger","YES","377","73.21%"
"Lawrence 2","Karen Arnold-Burger","NO","63","73.21%"
"Lawrence 2","Rachel Pickering","YES","372","73.21%"
"Lawrence 2","Rachel Pickering","NO","65","73.21%"
"Lawrence 2","Angela D. Coble","YES","383","73.21%"
"Lawrence 2","Angela D. Coble","NO","53","73.21%"
"Lawrence 2","Kathryn Gardner","YES","314","73.21%"
"Lawrence 2","Kathryn Gardner","NO","126","73.21%"
"Lawrence 2","Catherine C. Theisen","YES","393","73.21%"
"Lawrence 2","Catherine C. Theisen","NO","51","73.21%"
"Lawrence 2","James R. McCabria","YES","354","73.21%"
"Lawrence 2","James R. McCabria","NO","83","73.21%"
"Lawrence 2","Mark Simpson","YES","377","73.21%"
"Lawrence 2","Mark Simpson","NO","63","73.21%"
"Lawrence 2","Carl Folsom III","YES","378","73.21%"
"Lawrence 2","Carl Folsom III","NO","59","73.21%"
"Lawrence 2","City of Lawrence Question 1","NO","335","73.21%"
"Lawrence 2","City of Lawrence Question 1","YES","200","73.21%"
"Lawrence 2","City of Lawrence Question 2","YES","369","73.21%"
"Lawrence 2","City of Lawrence Question 2","NO","207","73.21%"
"Lawrence 3","United States President/Vice President","Harris / Walz","642","67.59%"
"Lawrence 3","United States President/Vice President","Trump / Vance","90","67.59%"
"Lawrence 3","United States President/Vice President","Kennedy / Shanahan","6","67.59%"
"Lawrence 3","United States President/Vice President","Oliver / ter Maat","2","67.59%"
"Lawrence 3","US House 1","Paul Buskirk","626","67.59%"
"Lawrence 3","US House 1","Tracey Mann","92","67.59%"
"Lawrence 3","State Sen 2","Marci Francisco","618","67.59%"
"Lawrence 3","State Sen 2","David G. Miller","91","67.59%"
"Lawrence 3","State Rep 46","Brooklynne Mosley","618","67.59%"
"Lawrence 3","SBOE Dist 6","Beryl Ann New","604","67.59%"
