Offical Election Results
Douglas County
Contest Name,Candidate Name,Party,Advanced Voting Votes,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","102"
"United States President/Vice President","Harris / Walz","Democratic","24640","0","13861","1081","39582","102","102","58707"
"United States President/Vice President","Trump / Vance","Republican","8780","0","8215","528","17523","102","102","58707"
"United States President/Vice President","WRITE-IN 941","","322","0","316","28","666","102","102","58707"
"United States President/Vice President","Kennedy / Shanahan","independent","269","0","319","21","609","102","102","58707"
"United States President/Vice President","Oliver / ter Maat","Libertarian","133","0","185","9","327","102","102","58707"
"US House 1","Paul Buskirk","Democratic","20618","0","11685","970","33273","70","70","44002"
"US House 1","Tracey Mann","Republican","5798","0","4550","325","10673","70","70","44002"
"US House 1","WRITE-IN 1096","","22","0","31","3","56","70","70","44002"
"US House 2","Derek Schmidt","Republican","3111","0","3511","131","6753","32","32","13141"
"US House 2","Nancy Boyda","Democratic","3656","0","2159","102","5917","32","32","13141"
"US House 2","John Hauer","Libertarian","198","0","254","13","465","32","32","13141"
"US House 2","WRITE-IN 1099","","3","0","3","0","6","32","32","13141"
"State Sen 2","Marci Francisco","Democratic","14382","0","8907","715","24004","57","57","30725"
"State Sen 2","David G. Miller","Republican","3424","0","3000","227","6651","57","57","30725"
"State Sen 2","WRITE-IN 848","","33","0","31","6","70","57","57","30725"
"State Sen 3","Dena Sattler","Democratic","4585","0","2027","127","6739","18","18","11288"
"State Sen 3","Rick Kloos","Republican","2328","0","2142","71","4541","18","18","11288"
"State Sen 3","WRITE-IN 851","","5","0","3","0","8","18","18","11288"
"State Sen 9","Beverly Gossage","Republican","2265","0","2424","107","4796","14","14","7869"
"State Sen 9","Norman Mallicoat","Democratic","1901","0","1108","58","3067","14","14","7869"
"State Sen 9","WRITE-IN 1237","","3","0","3","0","6","14","14","7869"
"State Sen 19","Patrick Schmidt","Democratic","3017","0","1472","95","4584","13","13","6818"
"State Sen 19","Tyler Wible","Republican","1247","0","925","53","2225","13","13","6818"
"State Sen 19","WRITE-IN 854","","4","0","5","0","9","13","13","6818"
"KSRep5","Carrie Barth","Republican","1307","0","1551","49","2907","7","7","4798"
"KSRep5","Henry Johns","Democratic","1147","0","711","28","1886","7","7","4798"
"KSRep5","WRITE-IN 1102","","3","0","2","0","5","7","7","4798"
"State Rep 10","Suzanne Wikle","Democratic","4827","0","2780","257","7864","17","17","8031"
"State Rep 10","WRITE-IN 112","","96","0","65","6","167","17","17","8031"
"State Rep 42","Lance W. Neelly","Republican","817","0","876","62","1755","11","11","3313"
"State Rep 42","Eddy Martinez","Democratic","903","0","611","36","1550","11","11","3313"
"State Rep 42","WRITE-IN 115","","4","0","4","0","8","11","11","3313"
"State Rep 44","Barbara W. Ballard","Democratic","6524","0","3716","226","10466","17","17","10757"
"State Rep 44","WRITE-IN 118","","139","0","147","5","291","17","17","10757"
"State Rep 45","Mike Amyx","Democratic","7163","0","3797","235","11195","17","17","11498"
