Offical Election Results
Douglas County
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Big Springs 58","USRep2","Nancy Boyda","28","27.39%"
"Big Springs 58","USRep2","Matt Kleinmann","15","27.39%"
"Big Springs 58","USRep2","Derek Schmidt","17","27.39%"
"Big Springs 58","USRep2","Shawn Tiffany","12","27.39%"
"Big Springs 58","USRep2","Jeff Kahrs","10","27.39%"
"Big Springs 58","USRep2","Chad Young","4","27.39%"
"Big Springs 58","USRep2","Michael A. Ogle","0","27.39%"
"Big Springs 58","State Sen 19","Patrick Schmidt","22","27.39%"
"Big Springs 58","State Sen 19","Vic Miller","20","27.39%"
"Big Springs 58","State Sen 19","ShaMecha King Simms","1","27.39%"
"Big Springs 58","State Sen 19","Tyler Wible","22","27.39%"
"Big Springs 58","State Sen 19","Cynthia Smith","17","27.39%"
"Big Springs 58","KsRep47","Mary T. Williams","40","27.39%"
"Big Springs 58","KsRep47","Ronald B. Ellis","37","27.39%"
"Big Springs 58","SBOE Dist 6","Beryl Ann New","40","27.39%"
"Big Springs 58","SBOE Dist 6","Bruce Schultz","37","27.39%"
"Big Springs 58","District Attorney","Dakota Loomis","27","27.39%"
"Big Springs 58","District Attorney","Tonda Hill","9","27.39%"
"Big Springs 58","District Attorney","Suzanne Valdez","6","27.39%"
"Big Springs 58","District Attorney","Mike Warner","37","27.39%"
"Big Springs 58","County Commission 3rd Dist","Karen L. Willey","42","27.39%"
"Big Springs 58","County Commission 3rd Dist","Pam McDermott","26","27.39%"
"Big Springs 58","County Commission 3rd Dist","John Landon","15","27.39%"
"Big Springs 58","Co Clerk","Jamie Shew","42","27.39%"
"Big Springs 58","CO Treas","Adam T. Rains","40","27.39%"
"Big Springs 58","CO Reg of Deeds","Kent Brown","40","27.39%"
"Big Springs 58","CO Sheriff","Jay Armbrister","41","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Randy Cree","2","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Cheryl McLean","1","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Gayla Bagner","1","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Rance Roberts","1","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Jesse D. Robbs","1","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Ed Daniels","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Aiden Loveland Coster","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Doug Wingfield","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Sandra Gantz","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Benton Peugh","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Lynle Cook","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Kent Morgison","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Sandra Swaggerty","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Steve McDowell","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Dustin Dark","0","27.39%"
"Big Springs 58","Lecompton Twp Trustee","Ed Daniels","39","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","Mike Stewart","1","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","David Bogner","1","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","Carol Howard","1","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","R. Gayon Stanley","1","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","Jesse D. Robbs","1","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","Karen Abraham","1","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","Doug Wingfield","0","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","Bianca Storlazzi","0","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","Lynle Cook","0","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","Landen Swaggerty","0","27.39%"
"Big Springs 58","Lecompton Twp Treasurer","Keith Noe","40","27.39%"
"Big Springs 58","Precinct 58 Committeeman","Thaddeus (""Tad"") Kramar","39","27.39%"
