Offical Election Results
Douglas County
Contest Name,Candidate Name,Party,Advanced Voting Votes,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","101"
"US House 1","Paul Buskirk","Democratic","2179","0","5763","94","8036","70","69","8036"
"US House 1","Tracey Mann","Republican","237","0","929","4","1170","70","65","2246"
"US House 1","Eric Bloom","Republican","236","0","832","8","1076","70","65","2246"
"USRep2","Nancy Boyda","Democratic","226","0","710","7","943","31","28","1296"
"USRep2","Matt Kleinmann","Democratic","100","0","252","1","353","31","28","1296"
"USRep2","Derek Schmidt","Republican","108","0","850","5","963","31","29","1944"
"USRep2","Shawn Tiffany","Republican","42","0","347","0","389","31","29","1944"
"USRep2","Jeff Kahrs","Republican","53","0","271","3","327","31","29","1944"
"USRep2","Chad Young","Republican","28","0","181","3","212","31","29","1944"
"USRep2","Michael A. Ogle","Republican","7","0","46","0","53","31","29","1944"
"KS Sen 2","Marci Francisco","Democratic","1144","0","2769","34","3947","57","55","6971"
"KS Sen 2","Christina Haswood","Democratic","690","0","2289","45","3024","57","55","6971"
"KS Sen 2","David G. Miller","Republican","219","0","805","7","1031","57","50","1031"
"State Sen 3","Dena Sattler","Democratic","370","0","944","13","1327","18","16","1327"
"State Sen 3","Rick Kloos","Republican","128","0","752","5","885","18","18","885"
"State Sen 9","Norman Mallicoat","Democratic","155","0","457","5","617","14","14","617"
"State Sen 9","Beverly Gossage","Republican","106","0","723","5","834","14","14","1151"
"State Sen 9","Bryan Zesiger","Republican","43","0","272","2","317","14","14","1151"
"State Sen 19","Patrick Schmidt","Democratic","236","0","503","8","747","12","11","1286"
"State Sen 19","Vic Miller","Democratic","85","0","292","2","379","12","11","1286"
"State Sen 19","ShaMecha King Simms","Democratic","34","0","121","5","160","12","11","1286"
"State Sen 19","Cynthia Smith","Republican","65","0","236","1","302","12","12","506"
"State Sen 19","Tyler Wible","Republican","26","0","177","1","204","12","12","506"
"KSRep5","Henry Johns","Democratic","122","0","309","4","435","7","7","435"
"KSRep5","Carrie Barth","Republican","97","0","592","5","694","7","7","694"
"State Rep 10","Suzanne Wikle","Democratic","482","0","1290","18","1790","17","16","1975"
"State Rep 10","Zachary Thomas Hawkins","Democratic","48","0","134","3","185","17","16","1975"
"State Rep 10","WRITE-IN 113","","6","0","28","0","34","17","13","34"
"State Rep 10","Susan Pitts","Republican","0","0","0","0","0","17","13","34"
"State Rep 10","Cynthia Beal","Republican","0","0","0","0","0","17","13","34"
"State Rep 42","Eddy Martinez","Democratic","63","0","202","4","269","11","10","269"
"State Rep 42","Lance W. Neelly","Republican","25","0","193","2","220","11","9","382"
"State Rep 42","Mike Stieben","Republican","22","0","139","1","162","11","9","382"
"KSRep43","WRITE-IN 1107","","0","0","1","0","1","2","1","1"
"KSRep43","Bill Sutton","Republican","4","0","23","1","28","2","2","28"
"State Rep 44","Barbara W. Ballard","Democratic","633","0","1686","16","2335","17","17","2335"
"State Rep 44","WRITE-IN 119","","11","0","51","0","62","17","15","62"
"State Rep 45","Mike Amyx","Democratic","606","0","1604","27","2237","16","16","2237"
"State Rep 45","WRITE-IN 122","","16","0","50","0","66","16","13","66"
"State Rep 46","Brooklynne Mosley","Democratic","362","0","997","18","1377","18","17","2055"
"State Rep 46","Brittany Kathleen Hall","Democratic","173","0","395","10","578","18","17","2055"
"State Rep 46","Logan Ginavan","Democratic","22","0","76","2","100","18","17","2055"
"State Rep 46","WRITE-IN 125","","2","0","13","0","15","18","6","15"
"KsRep47","Mary T. Williams","Democratic","66","0","173","1","240","7","6","240"
"KsRep47","Ronald B. Ellis","Republican","35","0","221","0","256","7","7","256"
"KSRep117","Bill Hammond","Democratic","54","0","195","1","250","6","5","250"
"KSRep117","Adam Turk","Republican","32","0","309","1","342","6","6","342"
"SBOE Dist 4","Kris Meyer","Democratic","508","0","1395","18","1921","32","30","1921"
"SBOE Dist 4","Connie O'Brien","Republican","115","0","816","5","936","32","32","2136"
"SBOE Dist 4","Nancy Moneymaker","Republican","68","0","531","2","601","32","32","2136"
"SBOE Dist 4","Gina Montalbano Zesiger","Republican","126","0","468","5","599","32","32","2136"
"SBOE Dist 6","Beryl Ann New","Democratic","1772","0","4725","73","6570","69","65","6570"
"SBOE Dist 6","Bruce Schultz","Republican","239","0","1036","7","1282","69","62","1282"
"District Attorney","Dakota Loomis","Democratic","1669","0","4944","73","6686","101","97","10563"
"District Attorney","Tonda Hill","Democratic","892","0","1949","25","2866","101","97","10563"
"District Attorney","Suzanne Valdez","Democratic","249","0","743","19","1011","101","97","10563"
"District Attorney","Mike Warner","Republican","539","0","2721","21","3281","101","93","3281"
"County Commissioner 2nd","Shannon Reid","Democratic","285","0","962","24","1271","20","19","2213"
"County Commissioner 2nd","Lisa Larsen","Democratic","316","0","619","7","942","20","19","2213"
"County Commissioner 2nd","WRITE-IN 858","","8","0","29","1","38","20","13","38"
"County Commission 3rd Dist","Karen L. Willey","Democratic","481","0","1219","15","1715","19","18","1715"
"County Commission 3rd Dist","Pam McDermott","Republican","130","0","659","7","796","19","19","1246"
"County Commission 3rd Dist","John Landon","Republican","85","0","364","1","450","19","19","1246"
"County Commision Dist 4","Gene Dorsey","Democratic","274","0","818","9","1101","23","22","1815"
