Precinct,Supreme Court Pos. 4,,,,,,,,,,,,,,,,,
,Yes,No,Total Votes Cast,,,,,,,,,,,,,,,
VC11,524,205,729,,,,,,,,,,,,,,,
VC21,525,198,723,,,,,,,,,,,,,,,
VC31,425,196,621,,,,,,,,,,,,,,,
VC32,15,11,26,,,,,,,,,,,,,,,
VC41,468,209,677,,,,,,,,,,,,,,,
VC42,135,61,196,,,,,,,,,,,,,,,
VI,164,74,238,,,,,,,,,,,,,,,
WA01,44,22,66,,,,,,,,,,,,,,,
WA02,136,87,223,,,,,,,,,,,,,,,
WA03,8,9,17,,,,,,,,,,,,,,,
WA12,0,1,1,,,,,,,,,,,,,,,
Totals,121639,54385,176024,,,,,,,,,,,,,,,
