Precinct,Supreme Court Pos. 4,,,,,,,,,,,,,,,,,
,Yes,No,Total Votes Cast,,,,,,,,,,,,,,,
101,592,283,875,,,,,,,,,,,,,,,
102,526,214,740,,,,,,,,,,,,,,,
103,110,44,154,,,,,,,,,,,,,,,
104,33,16,49,,,,,,,,,,,,,,,
105,364,173,537,,,,,,,,,,,,,,,
106,585,303,888,,,,,,,,,,,,,,,
107,743,360,1103,,,,,,,,,,,,,,,
108,548,200,748,,,,,,,,,,,,,,,
109,595,296,891,,,,,,,,,,,,,,,
110,755,378,1133,,,,,,,,,,,,,,,
111,198,94,292,,,,,,,,,,,,,,,
112,600,312,912,,,,,,,,,,,,,,,
113,377,213,590,,,,,,,,,,,,,,,
114,323,195,518,,,,,,,,,,,,,,,
116,416,293,709,,,,,,,,,,,,,,,
117,432,249,681,,,,,,,,,,,,,,,
118,576,310,886,,,,,,,,,,,,,,,
119,531,270,801,,,,,,,,,,,,,,,
120,572,276,848,,,,,,,,,,,,,,,
121,503,215,718,,,,,,,,,,,,,,,
122,921,410,1331,,,,,,,,,,,,,,,
123,153,65,218,,,,,,,,,,,,,,,
126,129,72,201,,,,,,,,,,,,,,,
127,305,137,442,,,,,,,,,,,,,,,
128,590,241,831,,,,,,,,,,,,,,,
129,133,78,211,,,,,,,,,,,,,,,
130,350,173,523,,,,,,,,,,,,,,,
133,19,10,29,,,,,,,,,,,,,,,
205,206,110,316,,,,,,,,,,,,,,,
206,209,84,293,,,,,,,,,,,,,,,
207,1077,473,1550,,,,,,,,,,,,,,,
208,207,99,306,,,,,,,,,,,,,,,
209,551,245,796,,,,,,,,,,,,,,,
210,683,307,990,,,,,,,,,,,,,,,
211,373,193,566,,,,,,,,,,,,,,,
212,666,290,956,,,,,,,,,,,,,,,
213,819,394,1213,,,,,,,,,,,,,,,
214,753,373,1126,,,,,,,,,,,,,,,
215,1084,458,1542,,,,,,,,,,,,,,,
216,592,267,859,,,,,,,,,,,,,,,
217,787,316,1103,,,,,,,,,,,,,,,
218,1414,529,1943,,,,,,,,,,,,,,,
221,487,241,728,,,,,,,,,,,,,,,
222,1038,422,1460,,,,,,,,,,,,,,,
223,1017,451,1468,,,,,,,,,,,,,,,
224,1113,513,1626,,,,,,,,,,,,,,,
225,1170,499,1669,,,,,,,,,,,,,,,
226,1430,643,2073,,,,,,,,,,,,,,,
227,615,270,885,,,,,,,,,,,,,,,
228,1065,459,1524,,,,,,,,,,,,,,,
233,298,131,429,,,,,,,,,,,,,,,
235,184,81,265,,,,,,,,,,,,,,,
236,454,202,656,,,,,,,,,,,,,,,
238,19,13,32,,,,,,,,,,,,,,,
239,40,19,59,,,,,,,,,,,,,,,
240,92,48,140,,,,,,,,,,,,,,,
241,70,39,109,,,,,,,,,,,,,,,
242,143,56,199,,,,,,,,,,,,,,,
246,38,17,55,,,,,,,,,,,,,,,
247,194,67,261,,,,,,,,,,,,,,,
301,280,111,391,,,,,,,,,,,,,,,
302,532,208,740,,,,,,,,,,,,,,,
303,289,127,416,,,,,,,,,,,,,,,
304,254,121,375,,,,,,,,,,,,,,,
305,754,326,1080,,,,,,,,,,,,,,,
306,854,364,1218,,,,,,,,,,,,,,,
307,362,167,529,,,,,,,,,,,,,,,
308,622,276,898,,,,,,,,,,,,,,,
309,708,320,1028,,,,,,,,,,,,,,,
310,389,166,555,,,,,,,,,,,,,,,
311,249,121,370,,,,,,,,,,,,,,,
312,254,114,368,,,,,,,,,,,,,,,
313,729,330,1059,,,,,,,,,,,,,,,
314,678,245,923,,,,,,,,,,,,,,,
315,541,228,769,,,,,,,,,,,,,,,
316,673,301,974,,,,,,,,,,,,,,,
317,14,1,15,,,,,,,,,,,,,,,
318,87,28,115,,,,,,,,,,,,,,,
319,202,63,265,,,,,,,,,,,,,,,
320,125,64,189,,,,,,,,,,,,,,,
321,21,11,32,,,,,,,,,,,,,,,
324,232,99,331,,,,,,,,,,,,,,,
325,495,226,721,,,,,,,,,,,,,,,
326,65,23,88,,,,,,,,,,,,,,,
328,31,5,36,,,,,,,,,,,,,,,
329,0,0,0,,,,,,,,,,,,,,,
401,361,161,522,,,,,,,,,,,,,,,
402,310,159,469,,,,,,,,,,,,,,,
403,481,226,707,,,,,,,,,,,,,,,
404,807,372,1179,,,,,,,,,,,,,,,
405,513,252,765,,,,,,,,,,,,,,,
406,541,213,754,,,,,,,,,,,,,,,
407,65,20,85,,,,,,,,,,,,,,,
408,463,203,666,,,,,,,,,,,,,,,
409,287,122,409,,,,,,,,,,,,,,,
410,1201,629,1830,,,,,,,,,,,,,,,
412,1388,600,1988,,,,,,,,,,,,,,,
413,1029,424,1453,,,,,,,,,,,,,,,
414,325,112,437,,,,,,,,,,,,,,,
416,591,243,834,,,,,,,,,,,,,,,
417,446,215,661,,,,,,,,,,,,,,,
418,636,277,913,,,,,,,,,,,,,,,
419,529,219,748,,,,,,,,,,,,,,,
420,605,218,823,,,,,,,,,,,,,,,
422,392,168,560,,,,,,,,,,,,,,,
423,531,211,742,,,,,,,,,,,,,,,
424,250,84,334,,,,,,,,,,,,,,,
425,934,405,1339,,,,,,,,,,,,,,,
426,21,7,28,,,,,,,,,,,,,,,
429,331,138,469,,,,,,,,,,,,,,,
433,266,121,387,,,,,,,,,,,,,,,
437,309,95,404,,,,,,,,,,,,,,,
503,818,331,1149,,,,,,,,,,,,,,,
504,469,211,680,,,,,,,,,,,,,,,
506,761,349,1110,,,,,,,,,,,,,,,
507,714,336,1050,,,,,,,,,,,,,,,
508,667,307,974,,,,,,,,,,,,,,,
509,594,295,889,,,,,,,,,,,,,,,
510,817,395,1212,,,,,,,,,,,,,,,
512,1932,745,2677,,,,,,,,,,,,,,,
513,730,282,1012,,,,,,,,,,,,,,,
514,959,418,1377,,,,,,,,,,,,,,,
515,840,351,1191,,,,,,,,,,,,,,,
516,515,223,738,,,,,,,,,,,,,,,
517,516,229,745,,,,,,,,,,,,,,,
518,625,344,969,,,,,,,,,,,,,,,
519,712,279,991,,,,,,,,,,,,,,,
522,652,322,974,,,,,,,,,,,,,,,
523,654,357,1011,,,,,,,,,,,,,,,
524,1026,483,1509,,,,,,,,,,,,,,,
525,783,348,1131,,,,,,,,,,,,,,,
526,862,375,1237,,,,,,,,,,,,,,,
527,886,342,1228,,,,,,,,,,,,,,,
530,807,447,1254,,,,,,,,,,,,,,,
531,1168,572,1740,,,,,,,,,,,,,,,
534,95,42,137,,,,,,,,,,,,,,,
538,242,136,378,,,,,,,,,,,,,,,
539,702,278,980,,,,,,,,,,,,,,,
601,648,253,901,,,,,,,,,,,,,,,
602,785,339,1124,,,,,,,,,,,,,,,
603,492,214,706,,,,,,,,,,,,,,,
604,778,322,1100,,,,,,,,,,,,,,,
605,266,97,363,,,,,,,,,,,,,,,
606,239,112,351,,,,,,,,,,,,,,,
607,816,346,1162,,,,,,,,,,,,,,,
608,543,228,771,,,,,,,,,,,,,,,
609,999,398,1397,,,,,,,,,,,,,,,
610,665,337,1002,,,,,,,,,,,,,,,
611,389,181,570,,,,,,,,,,,,,,,
612,895,425,1320,,,,,,,,,,,,,,,
613,729,292,1021,,,,,,,,,,,,,,,
614,382,143,525,,,,,,,,,,,,,,,
615,810,372,1182,,,,,,,,,,,,,,,
616,439,172,611,,,,,,,,,,,,,,,
617,256,126,382,,,,,,,,,,,,,,,
618,674,315,989,,,,,,,,,,,,,,,
619,656,288,944,,,,,,,,,,,,,,,
621,154,66,220,,,,,,,,,,,,,,,
622,865,411,1276,,,,,,,,,,,,,,,
623,787,404,1191,,,,,,,,,,,,,,,
624,67,32,99,,,,,,,,,,,,,,,
627,48,32,80,,,,,,,,,,,,,,,
AF,468,263,731,,,,,,,,,,,,,,,
AT01,8,9,17,,,,,,,,,,,,,,,
AT02,75,39,114,,,,,,,,,,,,,,,
AT03,313,155,468,,,,,,,,,,,,,,,
AT05,124,73,197,,,,,,,,,,,,,,,
AT06,27,37,64,,,,,,,,,,,,,,,
AT08,28,23,51,,,,,,,,,,,,,,,
AT12,35,20,55,,,,,,,,,,,,,,,
BA01,834,453,1287,,,,,,,,,,,,,,,
BA02,714,384,1098,,,,,,,,,,,,,,,
BA03,845,423,1268,,,,,,,,,,,,,,,
DB11,965,365,1330,,,,,,,,,,,,,,,
DB12,524,199,723,,,,,,,,,,,,,,,
DB14,465,184,649,,,,,,,,,,,,,,,
DB15,12,4,16,,,,,,,,,,,,,,,
DB21,468,215,683,,,,,,,,,,,,,,,
DB22,671,252,923,,,,,,,,,,,,,,,
DB23,733,306,1039,,,,,,,,,,,,,,,
DB24,188,72,260,,,,,,,,,,,,,,,
DB25,60,14,74,,,,,,,,,,,,,,,
DB31,166,68,234,,,,,,,,,,,,,,,
DB32,538,200,738,,,,,,,,,,,,,,,
DB36,754,293,1047,,,,,,,,,,,,,,,
DB37,142,50,192,,,,,,,,,,,,,,,
DB41,366,133,499,,,,,,,,,,,,,,,
DB42,1248,519,1767,,,,,,,,,,,,,,,
EA,336,132,468,,,,,,,,,,,,,,,
ER,28,9,37,,,,,,,,,,,,,,,
GA,550,343,893,,,,,,,,,,,,,,,
GD,167,121,288,,,,,,,,,,,,,,,
GN01,458,234,692,,,,,,,,,,,,,,,
GO,751,305,1056,,,,,,,,,,,,,,,
GO04,36,18,54,,,,,,,,,,,,,,,
GO05,577,233,810,,,,,,,,,,,,,,,
GR,294,139,433,,,,,,,,,,,,,,,
GY01,1001,522,1523,,,,,,,,,,,,,,,
GY02,44,16,60,,,,,,,,,,,,,,,
GY03,29,14,43,,,,,,,,,,,,,,,
GY04,8,2,10,,,,,,,,,,,,,,,
HA11,541,214,755,,,,,,,,,,,,,,,
HA21,682,237,919,,,,,,,,,,,,,,,
HA24,32,12,44,,,,,,,,,,,,,,,
HA25,20,5,25,,,,,,,,,,,,,,,
HA31,827,246,1073,,,,,,,,,,,,,,,
HA33,23,11,34,,,,,,,,,,,,,,,
HA41,562,209,771,,,,,,,,,,,,,,,
HA42,190,79,269,,,,,,,,,,,,,,,
IL01,585,366,951,,,,,,,,,,,,,,,
KE02,5,0,5,,,,,,,,,,,,,,,
KE03,550,277,827,,,,,,,,,,,,,,,
KE04,31,10,41,,,,,,,,,,,,,,,
KE07,4,8,12,,,,,,,,,,,,,,,
KE08,9,4,13,,,,,,,,,,,,,,,
LI,162,118,280,,,,,,,,,,,,,,,
MI01,702,296,998,,,,,,,,,,,,,,,
MI02,285,142,427,,,,,,,,,,,,,,,
MI03,7,6,13,,,,,,,,,,,,,,,
MI05,2,2,4,,,,,,,,,,,,,,,
MI07,12,9,21,,,,,,,,,,,,,,,
MI08,16,9,25,,,,,,,,,,,,,,,
MI09,158,58,216,,,,,,,,,,,,,,,
MI12,1,0,1,,,,,,,,,,,,,,,
MI14,60,34,94,,,,,,,,,,,,,,,
MO,843,295,1138,,,,,,,,,,,,,,,
MV01,418,175,593,,,,,,,,,,,,,,,
MV02,1127,421,1548,,,,,,,,,,,,,,,
MV06,49,19,68,,,,,,,,,,,,,,,
NI,845,290,1135,,,,,,,,,,,,,,,
NI01,150,77,227,,,,,,,,,,,,,,,
OH01,432,192,624,,,,,,,,,,,,,,,
PA01,204,84,288,,,,,,,,,,,,,,,
PA02,95,48,143,,,,,,,,,,,,,,,
PA05,1360,542,1902,,,,,,,,,,,,,,,
PA06,27,21,48,,,,,,,,,,,,,,,
PC11,434,177,611,,,,,,,,,,,,,,,
PC13,190,81,271,,,,,,,,,,,,,,,
PC21,591,254,845,,,,,,,,,,,,,,,
PC22,14,9,23,,,,,,,,,,,,,,,
PC31,403,163,566,,,,,,,,,,,,,,,
PC41,286,141,427,,,,,,,,,,,,,,,
PC43,185,109,294,,,,,,,,,,,,,,,
President,0,0,0,,,,,,,,,,,,,,,
PY01,433,199,632,,,,,,,,,,,,,,,
RI01,39,8,47,,,,,,,,,,,,,,,
RI03,234,88,322,,,,,,,,,,,,,,,
RI06,73,33,106,,,,,,,,,,,,,,,
RI07,292,106,398,,,,,,,,,,,,,,,
RO01,262,153,415,,,,,,,,,,,,,,,
RO03,174,102,276,,,,,,,,,,,,,,,
RO04,12,3,15,,,,,,,,,,,,,,,
SA01,627,299,926,,,,,,,,,,,,,,,
SA02,457,225,682,,,,,,,,,,,,,,,
SH,510,304,814,,,,,,,,,,,,,,,
UN01,633,483,1116,,,,,,,,,,,,,,,
UN02,55,20,75,,,,,,,,,,,,,,,
VA,378,168,546,,,,,,,,,,,,,,,
