PRECINCT NAME,"Kansas Supreme Court, Position No. 4","Kansas Supreme Court, Position No. 4"
,Yes,No
1 East Rossville,296,146
2 West Rossville,211,148
9 East Silver Lake,405,163
10 West Silver Lake,265,125
12 Grove,255,118
14 Kiro,355,203
15 Messhoss Creek,224,146
22 Little Muddy Creek,197,138
24 Sac,358,198
25 Sherman,336,193
26 Iroquois,396,183
28 West Wichita,266,172
29 Indianola,380,171
30 Apache,342,162
31 East Wichita,534,242
32 Fox,346,219
33 Elmont,485,254
34 Kilmer,89,64
35 Rochester,308,177
36 East Soldier,374,186
37 Whitfield,270,140
38 Sioux,291,158
39 Pottawatomie,385,171
40 Stinson Creek,125,68
41 North Tecumseh,298,153
42 South Tecumseh,278,126
43 Pawnee,374,203
44 Kaw,360,142
45 Peck & 17 Croco,228,93
46 East Peck,218,108
47 Kiowa,486,214
48 Cheyenne,325,160
49 Ponca,221,104
52 Deer Creek,18,6
53 Pauline,136,42
54 West Potter,41,32
55 Central Pauline,56,22
56 NW Monmouth,457,215
57 NE Monmouth,389,140
58 South Monmouth,436,247
62 Forbes,38,23
63 Montara,281,116
64 Cullen,284,120
65 Wakarusa,308,169
66 Kingston,74,54
72 City Of Auburn,374,152
73 Meadowlark,413,232
74 Buffalo,285,160
80 Gaillardia,425,181
81 Dover,256,151
82 Willard,245,142
84 Yucca,112,59
85 Aldersgate,150,32
86 Sunflower,575,250
87 Washburn & 83 Ichabod Washburn,359,169
89 North Mission,86,48
90 South Mission,250,111
91 Central Mission,403,176
92 Sherwood,289,144
93 South Sherwood,303,130
94 Indian Hills,349,132
95 York,350,142
96 Vaquero,208,118
97 York Outer,36,23
99 Verbena & 88 Lykins,49,27
Ward 1 Precinct 1,123,63
Ward 1 Precinct 2,165,87
Ward 1 Precinct 3,161,81
Ward 1 Precinct 4,215,104
Ward 1 Precinct 5,320,169
W01 P06 & W01 P07,415,208
Ward 2 Precinct 1,227,99
Ward 2 Precinct 2,191,75
Ward 2 Precinct 3,170,84
Ward 2 Precinct 4,176,68
Ward 2 Precinct 5,144,61
Ward 2 Precinct 6,153,63
Ward 2 Precinct 7,115,37
Ward 2 Precinct 8,139,42
Ward 2 Precinct 9,227,93
Ward 2 Precinct 10,267,73
Ward 2 Precinct 11,181,58
Ward 2 Precinct 12,0,0
Ward 3 Precinct 1,192,106
Ward 3 Precinct 2,223,76
Ward 3 Precinct 3,153,64
Ward 3 Precinct 4,193,65
Ward 3 Precinct 5,112,54
Ward 3 Precinct 6,128,58
Ward 3 Precinct 7,172,70
Ward 3 Precinct 8,168,77
Ward 3 Precinct 9,222,91
Ward 3 Precinct 10,21,8
Ward 4 Precinct 1,178,67
Ward 4 Precinct 2,211,89
Ward 4 Precinct 3,135,67
Ward 4 Precinct 4,227,86
Ward 4 Precinct 6,207,77
Ward 4 Precinct 7,135,58
Ward 4 Precinct 8,188,73
Ward 4 Precinct 9,184,90
Ward 4 Precinct 10,247,85
Ward 4 Precinct 11,60,33
Ward 4 Precinct 14,14,8
Ward 4 Precinct 15,129,41
Ward 5 Precinct 1,187,63
Ward 5 Precinct 2,163,83
Ward 5 Precinct 3,187,93
Ward 5 Precinct 4,203,70
Ward 5 Precinct 5,231,85
Ward 5 Precinct 6,179,55
Ward 5 Precinct 7,170,83
Ward 5 Precinct 8,162,70
Ward 5 Precinct 9,311,146
Ward 5 Precinct 10,394,119
Ward 5 Precinct 11,317,136
Ward 5 Precinct 14,193,100
Ward 5 Precinct 15,69,36
Ward 5 Precinct 91,106,32
Ward 6 Precinct 1,161,76
Ward 6 Precinct 2,162,71
Ward 6 Precinct 3,284,51
Ward 6 Precinct 4,266,111
Ward 6 Precinct 5,241,90
Ward 6 Precinct 6,163,68
Ward 6 Precinct 7,125,46
Ward 6 Precinct 8,251,116
Ward 6 Precinct 9,527,262
Ward 7 Precinct 1,284,86
Ward 7 Precinct 2,218,105
Ward 7 Precinct 3,246,95
Ward 7 Precinct 4,236,94
Ward 7 Precinct 5,197,95
Ward 7 Precinct 6,182,69
Ward 7 Precinct 7,181,74
Ward 7 Precinct 9,194,63
Ward 7 Precinct 10,184,73
Ward 7 Precinct 11,281,128
Ward 8 Precinct 1,176,81
Ward 8 Precinct 2,220,78
Ward 8 Precinct 3,298,96
Ward 8 Precinct 4,268,88
Ward 8 Precinct 5,387,176
Ward 8 Precinct 6,202,87
Ward 8 Precinct 7,216,63
Ward 8 Precinct 8,214,80
Ward 8 Precinct 9,255,108
Ward 8 Precinct 10,224,81
Ward 8 Precinct 11,295,136
Ward 9 Precinct 1,58,33
Ward 9 Precinct 2,183,60
Ward 9 Precinct 3,350,132
Ward 9 Precinct 4,333,103
Ward 9 Precinct 5,274,103
Ward 9 Precinct 6,278,109
Ward 9 Precinct 8,361,150
Ward 9 Precinct 9,211,94
Ward 9 Precinct 10,444,162
Ward 9 Precinct 11,259,86
Ward 9 Precinct 12,102,55
Ward 10 Precinct 1,255,87
Ward 10 Precinct 2,238,73
Ward 10 Precinct 3,399,160
Ward 10 Precinct 4,241,112
Ward 10 Precinct 5,216,86
Ward 10 Precinct 6,197,84
Ward 10 Precinct 7,254,123
Ward 10 Precinct 8,213,87
Ward 10 Precinct 9,168,55
Ward 10 Precinct 10,274,93
Ward 10 Precinct 11,407,144
Ward 10 Precinct 13,26,8
Ward 10 Precinct 14,276,93
Ward 11 Precinct 1,183,77
Ward 11 Precinct 2,244,102
Ward 11 Precinct 3,181,81
Ward 11 Precinct 4,299,128
Ward 11 Precinct 5,243,115
Ward 11 Precinct 6,264,100
Ward 11 Precinct 7,226,99
Ward 11 Precinct 8,203,108
Ward 11 Precinct 9,270,121
Ward 11 Precinct 10,184,60
Ward 12 Precinct 1,264,97
Ward 12 Precinct 2,223,82
Ward 12 Precinct 3,286,108
Ward 12 Precinct 4,331,121
Ward 12 Precinct 5,320,90
Ward 12 Precinct 6,347,135
Ward 12 Precinct 7,380,123
Ward 12 Precinct 8,296,147
Ward 12 Precinct 9,485,222
Ward 12 Precinct 11,497,182
Ward 12 Precinct 13,339,136
Ward 12 Precinct 14,280,129
Ward 12 Precinct 15,503,176
Ward 12 Precinct 16,537,203
W12 P19 & W13 P10,59,25
Ward 12 Precinct 20,396,123
Ward 12 Precinct 31,241,93
Ward 13 Precinct 2,145,37
Ward 13 Precinct 5,6,4
Ward 13 Precinct 6,108,40
Ward 13 Precinct 9,104,30
Ward 13 Precinct 12,495,196
Ward 13 Precinct 21,57,19
Ward 13 Precinct 22,67,23
W13 P30 & W13 P08,148,60
Ward 14 Precinct 1,498,165
Ward 14 Precinct 2,465,150
Ward 14 Precinct 3,225,120
Ward 14 Precinct 4,541,236
Ward 14 Precinct 5,267,93
Ward 15 Precinct 1,414,182
W15 P02 & W15 P04,281,102
Ward 15 Precinct 3,34,13
COUNTY TOTALS,53167,22884
